date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,12,2021,5,65,22,56,10,6,3
2021/5/2,12,2021,5,54,15,46,11,4,3
2021/5/3,12,2021,5,48,20,56,18,6,4
2021/5/4,12,2021,5,65,26,36,14,8,3
2021/5/5,12,2021,5,58, , , , , 
2021/4/10,12,2021,4,42,17,34,10,1,1
2021/4/11,12,2021,4,51,14,33,21,1,2
2021/4/12,12,2021,4,50,20,40,17,2,2
2021/4/13,12,2021,4,51,20,33,10,1,2
2021/4/14,12,2021,4,44,15,34,15,1,3
2021/4/15,12,2021,4,47,16,40,18,1,2
2021/4/16,12,2021,4,43,17,40,13,1,2
2021/4/17,12,2021,4,31,20,38,8,3,2
2021/4/18,12,2021,4,27,26,41,12,3,2
2021/4/19,12,2021,4,41,29,49,32,7,2
2021/4/20,12,2021,4,51,29,46,28,2,4
2021/4/21,12,2021,4,70,24,57,22,3,4
2021/4/22,12,2021,4,66,21,44,15,2,2
2021/4/23,12,2021,4,51,17,42,16,5,2
2021/4/24,12,2021,4,56,22,52,14,4,2
2021/4/25,12,2021,4,63,16,56,14,1,3
2021/4/26,12,2021,4,45,14,40,14,2,2
2021/4/27,12,2021,4,43,23,42,16,6,2
2021/4/28,12,2021,4,54,19,39,11,3,2
2021/4/29,12,2021,4,36,22,32,14,5,4
2021/4/30,12,2021,4,59,27,53,14,4,3
2021/3/1,12,2021,3,57,16,32,10,2,3
2021/3/2,12,2021,3,46,7,33,4,1,2
2021/3/3,12,2021,3,16,14,36,22,1,2
2021/3/4,12,2021,3,48,17,31,26,2,2
2021/3/5,12,2021,3,50,29,37,17,1,2
2021/3/6,12,2021,3,64,13,36,4,2,2
2021/3/7,12,2021,3,48,16,34,15,1,2
2021/3/8,12,2021,3,42,15,32,18,1,3
2021/3/9,12,2021,3,42,21,42,22,1,3
2021/3/10,12,2021,3,57,18,39,25,2,2
2021/3/11,12,2021,3,55,29,36,32,5,3
2021/3/12,12,2021,3,69,15,34,12,1,1
2021/3/13,12,2021,3,41,12,40,10,3,2
2021/3/14,12,2021,3,38,15,40,15,1,2
2021/3/15,12,2021,3,49,28,46,28,3,4
2021/3/16,12,2021,3,72,21,45,23,2,2
2021/3/17,12,2021,3,55,21,43,23,5,2
2021/3/18,12,2021,3,62,20,40,16,2,2
2021/3/19,12,2021,3,59,20,39,11,2,1
2021/3/20,12,2021,3,50,26,35,8,1,3
2021/3/21,12,2021,3,48,13,38,14,1,2
2021/3/22,12,2021,3,45,13,45,17,3,3
2021/3/23,12,2021,3,44,20,47,20,4,3
2021/3/24,12,2021,3,60,20,36,21,4,3
2021/3/25,12,2021,3,50,28,53,22,2,3
2021/3/26,12,2021,3,69,23,55,17,2,3
2021/3/27,12,2021,3,69,26,45,6,3,3
2021/3/28,12,2021,3,60,16,33,16,1,3
2021/3/29,12,2021,3,43, , , , , 
2021/2/1,12,2021,2,63,23,33,20,4,3
2021/2/2,12,2021,2,43,12,32,32,1,3
2021/2/3,12,2021,2,25,15,34,26,3,3
2021/2/4,12,2021,2,48,11,30,29,2,2
2021/2/5,12,2021,2,43,26,35,31,3,4
2021/2/6,12,2021,2,73,28,41,22,5,3
2021/2/7,12,2021,2,75,12,29,20,1,3
2021/2/8,12,2021,2,42,11,30,17,1,2
2021/2/9,12,2021,2,33,15,31,29,2,3
2021/2/10,12,2021,2,49,18,39,18,2,4
2021/2/11,12,2021,2,45,17,33,31,2,4
2021/2/12,12,2021,2,43,20,34,24,4,3
2021/2/13,12,2021,2,49,24,33,17,4,2
2021/2/14,12,2021,2,70,18,28,21,2,2
2021/2/15,12,2021,2,37,19,33,19,4,2
2021/2/16,12,2021,2,39,15,35,11,3,2
2021/2/17,12,2021,2,28,9,30,17,3,2
2021/2/18,12,2021,2,32,11,32,19,3,3
2021/2/19,12,2021,2,36,23,45,24,5,3
2021/2/20,12,2021,2,69,35,51,25,10,4
2021/2/21,12,2021,2,90,42,45,39,12,4
2021/2/22,12,2021,2,104,17,37,12,4,3
2021/2/23,12,2021,2,48,12,34,11,1,3
2021/2/24,12,2021,2,38,12,36,19,1,3
2021/2/25,12,2021,2,42,22,31,30,2,3
2021/2/26,12,2021,2,65,15,35,13,1,2
2021/2/27,12,2021,2,49,17,36,20,3,3
2021/2/28,12,2021,2,58,19,34,27,4,4
2021/1/4,12,2021,1,63,22,19,28,1,4
2021/1/5,12,2021,1,59,16,26,17,1,2
2021/1/6,12,2021,1,44,22,32,17,2,2
2021/1/7,12,2021,1,39,11,23,22,2,3
2021/1/8,12,2021,1,26,13,28,27,1,3
2021/1/9,12,2021,1,43,18,27,25,1,5
2021/1/10,12,2021,1,57,22,21,23,1,5
2021/1/11,12,2021,1,68,25,11,25,1,4
2021/1/12,12,2021,1,70,23,19,36,1,5
2021/1/13,12,2021,1,71,28,22,43,6,5
2021/1/14,12,2021,1,81,32,17,27,1,3
2021/1/15,12,2021,1,78,32,34,22,2,3
2021/1/16,12,2021,1,76,14,27,9,1,2
2021/1/17,12,2021,1,42,16,26,21,2,2
2021/1/18,12,2021,1,51,14,29,13,1,2
2021/1/19,12,2021,1,40,15,28,22,1,3
2021/1/20,12,2021,1,45,32,22,40,4,6
2021/1/21,12,2021,1,86,50,26,52,4,6
2021/1/22,12,2021,1,124,28,33,13,1,3
2021/1/23,12,2021,1,70,14,25,6,1,2
2021/1/24,12,2021,1,45,17,28,24,1,5
2021/1/25,12,2021,1,53,28,17,32,2,4
2021/1/26,12,2021,1,61,35,24,31,2,4
2021/1/27,12,2021,1,65,18,28,19,1,2
2021/1/28,12,2021,1,45,17,31,19,2,2
2021/1/29,12,2021,1,59,12,31,22,1,3
2021/1/30,12,2021,1,49,14,33,21,1,5
2021/1/31,12,2021,1,51,22,37,23,5,3
2020/10/1,12,2020,10,36,21,51,23,1,3
2020/10/2,12,2020,10,43,19,43,17,2,2
2020/10/3,12,2020,10,53,27,45,14,2,4
2020/10/4,12,2020,10,74,29,30,20,3,3
2020/10/5,12,2020,10,71,16,34,18,1,2
2020/10/6,12,2020,10,52,16,28,16,1,3
2020/10/7,12,2020,10,53,13,27,12, ,2
2020/10/8,12,2020,10,37,15,24,12,1,2
2020/10/9,12,2020,10,33,14,31,10,1,2
2020/10/10,12,2020,10,38,13,29,3,1,2
2020/10/11,12,2020,10,34,14,22,13,1,2
2020/10/12,12,2020,10,40,20,26,17,1,2
2020/10/13,12,2020,10,50,18,34,21,1,3
2020/10/14,12,2020,10,58,14,26,16,1,2
2020/10/15,12,2020,10,50,13,30,15,1,1
2020/10/16,12,2020,10,47,13,28,13,1,2
2020/10/17,12,2020,10,38,12,34,9,1,2
2020/10/18,12,2020,10,40,21,16,24, ,4
2020/10/19,12,2020,10,54,18,32,23,1,3
2020/10/20,12,2020,10,46,16,34,19,1,2
2020/10/21,12,2020,10,33,24,29,22,1,4
2020/10/22,12,2020,10,65,30,9,22,1,3
2020/10/23,12,2020,10,61,13,33,20,1,3
2020/10/24,12,2020,10,41,13,37,15,3,3
2020/10/25,12,2020,10,47,22,38,28,2,4
2020/10/26,12,2020,10,66,17,32,22,1,2
2020/10/27,12,2020,10,54,20,30,24,1,3
2020/10/28,12,2020,10,62,22,44,23,1,3
2020/10/29,12,2020,10,68,14,27,19,1,2
2020/10/30,12,2020,10,54,14,32,22,1,2
2020/10/31,12,2020,10,54,23,32,18,1,4
2020/11/1,12,2020,11,67,34,22,27,1,5
2020/11/2,12,2020,11,76,27,20,18,1,3
2020/11/3,12,2020,11,62,11,26,21,1,2
2020/11/4,12,2020,11,42,22,31,29,1,4
2020/11/5,12,2020,11,67,34,12,32,1,5
2020/11/6,12,2020,11,85,42,24,30,2,3
2020/11/7,12,2020,11,94,35,32,18,1,3
2020/11/8,12,2020,11,78,18,26,23,1,3
2020/11/9,12,2020,11,47,12,26,19,1,3
2020/11/10,12,2020,11,49,13,29,23,1,3
2020/11/11,12,2020,11,48,14,26,21,1,2
2020/11/12,12,2020,11,47,19,31,27,1,4
2020/11/13,12,2020,11,67,22,40,20,1,4
2020/11/14,12,2020,11,72,21,33,17,4,4
2020/11/15,12,2020,11,62,32,27,35,4,5
2020/11/16,12,2020,11,87,31,37,33,1,4
2020/11/17,12,2020,11,81,34,32,31,5,4
