date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,16,2021,5,38,4,43,1, , 
2021/5/2,16,2021,5,17,6,42,1, , 
2021/5/3,16,2021,5,24,8,46,2,1, 
2021/5/4,16,2021,5,33,9,26,2, , 
2021/5/5,16,2021,5,40, , , , , 
2021/4/10,16,2021,4,24,5,37,1,1,3
2021/4/11,16,2021,4,21,12,43,4,1,4
2021/4/12,16,2021,4,44,4,41,1, ,3
2021/4/13,16,2021,4,18,4,39,2, , 
2021/4/14,16,2021,4,17,6,37,2,1, 
2021/4/15,16,2021,4,24,4,37,2, , 
2021/4/16,16,2021,4,25,3,28,5, , 
2021/4/17,16,2021,4,18,8,38,1, , 
2021/4/18,16,2021,4,36,12,42,1,1, 
2021/4/19,16,2021,4,49,14,64,2,1, 
2021/4/20,16,2021,4,52,20,44,3,1, 
2021/4/21,16,2021,4,65,10,40,3,1, 
2021/4/22,16,2021,4,41,11,38,2,1, 
2021/4/23,16,2021,4,47,11,41,3,1, 
2021/4/24,16,2021,4,40,9,41,3,1, 
2021/4/25,16,2021,4,38,8,33,2,1, 
2021/4/26,16,2021,4,41,7,34,4,1, 
2021/4/27,16,2021,4,24,6,40,2, , 
2021/4/28,16,2021,4,26,3,40,2, , 
2021/4/29,16,2021,4,15,9,45,2,1, 
2021/4/30,16,2021,4,32,9,45,2,1, 
2021/3/1,16,2021,3,22,2,34,4, ,3
2021/3/2,16,2021,3,12,4,33,2, , 
2021/3/3,16,2021,3,28,4,15,1,1, 
2021/3/4,16,2021,3,28,5,28,5, , 
2021/3/5,16,2021,3,27,7,35,3, , 
2021/3/6,16,2021,3,34,4,34,2, , 
2021/3/7,16,2021,3,23,4,29,4, , 
2021/3/8,16,2021,3,21,6,29,5,1, 
2021/3/9,16,2021,3,31,7,33,3, , 
2021/3/10,16,2021,3,35,8,33,5,2, 
2021/3/11,16,2021,3,36,11,28,7,1, 
2021/3/12,16,2021,3,53,5,37,3, , 
2021/3/13,16,2021,3,23,4,36,1, , 
2021/3/14,16,2021,3,25,8,40,3,1, 
2021/3/15,16,2021,3,37,10,40,3,1, 
2021/3/16,16,2021,3,40,15,32,2,1, 
2021/3/17,16,2021,3,53,10,37,4,1, 
2021/3/18,16,2021,3,44,7,36,3,1, 
2021/3/19,16,2021,3,32,7,41,3, , 
2021/3/20,16,2021,3,36,3,39,1, , 
2021/3/21,16,2021,3,17,9,34,2, , 
2021/3/22,16,2021,3,42,7,39,1,1, 
2021/3/23,16,2021,3,33,9,48,3,1, 
2021/3/24,16,2021,3,35,9,37,3, , 
2021/3/25,16,2021,3,43,11,51,4,1, 
2021/3/26,16,2021,3,50,15,45,3,1, 
2021/3/27,16,2021,3,59,6,53,1, ,4
2021/3/28,16,2021,3,30,2,29,1, ,3
2021/3/29,16,2021,3,14, , , , , 
2021/2/1,16,2021,2,21,7,34,5, ,5
2021/2/2,16,2021,2,35,4,33,2, ,3
2021/2/3,16,2021,2,22,4,33,3, ,3
2021/2/4,16,2021,2,20,3,28,4,1,3
2021/2/5,16,2021,2,13,6,36,2,1, 
2021/2/6,16,2021,2,29,15,38,3, , 
2021/2/7,16,2021,2,59,7,28,2, , 
2021/2/8,16,2021,2,31,3,27,3, , 
2021/2/9,16,2021,2,13,5,36,5,1, 
2021/2/10,16,2021,2,28,13,36,4, , 
2021/2/11,16,2021,2,55,12,31,7, , 
2021/2/12,16,2021,2,51,8,35,3,1,5
2021/2/13,16,2021,2,36,7,32,2,1,4
2021/2/14,16,2021,2,34,4,38,5, ,5
2021/2/15,16,2021,2,24,4,36,1, ,3
2021/2/16,16,2021,2,24,3,32,1, ,3
2021/2/17,16,2021,2,15,2,27,4, ,3
2021/2/18,16,2021,2,15,2,27,6, ,4
2021/2/19,16,2021,2,15,12,52,2, , 
2021/2/20,16,2021,2,48,18,50,3,1, 
2021/2/21,16,2021,2,68,12,41,3,1, 
2021/2/22,16,2021,2,51,10,36,1, , 
2021/2/23,16,2021,2,42,5,30,2, ,4
2021/2/24,16,2021,2,25,5,31,3, ,4
2021/2/25,16,2021,2,22,7,35,4, ,4
2021/2/26,16,2021,2,36,5,33,3, ,4
2021/2/27,16,2021,2,25,6,33,3,1,4
2021/2/28,16,2021,2,30,5,36,2, ,4
2021/1/4,16,2021,1,15,5,25,6,1,4
2021/1/5,16,2021,1,27,3,31,4, ,4
2021/1/6,16,2021,1,16,4,30,3, ,3
2021/1/7,16,2021,1,17,2,27,5, ,4
2021/1/8,16,2021,1,12,1,28,4, , 
2021/1/9,16,2021,1,11,3,26,6,1, 
2021/1/10,16,2021,1,25,3,24,6,1,4
2021/1/11,16,2021,1,14,3,28,9, ,4
2021/1/12,16,2021,1,19,6,29,6,1,5
2021/1/13,16,2021,1,30,14,28,13,1,6
2021/1/14,16,2021,1,54,17,34,13, ,6
2021/1/15,16,2021,1,56,8,36,6, ,5
2021/1/16,16,2021,1,38,7,25,3, ,4
2021/1/17,16,2021,1,28,2,31,3, , 
2021/1/18,16,2021,1,16,3,28,4, , 
2021/1/19,16,2021,1,14,3,28,6,1, 
2021/1/20,16,2021,1,22,6,26,11,1, 
2021/1/21,16,2021,1,43,7,27,16, , 
2021/1/22,16,2021,1,34,12,20,12, , 
2021/1/23,16,2021,1,57,8,16,8, , 
2021/1/24,16,2021,1,45,8,14,10,1, 
2021/1/25,16,2021,1,43,5,30,6,1, 
2021/1/26,16,2021,1,34,8,27,8, ,4
2021/1/27,16,2021,1,38,9,27,8,1,4
2021/1/28,16,2021,1,44,5,32,1, ,3
2021/1/29,16,2021,1,14,4,33,4, ,3
2021/1/30,16,2021,1,20,7,29,4,1,4
2021/1/31,16,2021,1,34,4,36,4, ,7
2020/10/1,16,2020,10,26,7,33,2,1, 
2020/10/2,16,2020,10,31,14,23,3,1, 
2020/10/3,16,2020,10,52,14,20,1,1, 
2020/10/4,16,2020,10,51,10,30,1, , 
2020/10/5,16,2020,10,42,5,23,4,1, 
2020/10/6,16,2020,10,22,3,26,3, , 
2020/10/7,16,2020,10,18,4,13,5, , 
2020/10/8,16,2020,10,19,4,10,4, , 
2020/10/9,16,2020,10,23,5,26,2,1, 
2020/10/10,16,2020,10,24,8,26,1, , 
2020/10/11,16,2020,10,34,8,24,2,1, 
2020/10/12,16,2020,10,35,5,27,3, , 
2020/10/13,16,2020,10,28,7,32,2,1, 
2020/10/14,16,2020,10,32,4,27,2, ,3
2020/10/15,16,2020,10,17,3,29,2,1,3
2020/10/16,16,2020,10,20,3,18,2, ,4
2020/10/17,16,2020,10,16,4,29,2,2,3
2020/10/18,16,2020,10,25,6,17,4,1,4
2020/10/19,16,2020,10,28,7,35,3,1,4
2020/10/20,16,2020,10,35,9,33,3,1,4
2020/10/21,16,2020,10,39,6,32,2,1, 
2020/10/22,16,2020,10,30,8,32,3, , 
2020/10/23,16,2020,10,28,4,27,1, , 
2020/10/24,16,2020,10,20,5,31,1, , 
2020/10/25,16,2020,10,25,6,29,3,1, 
2020/10/26,16,2020,10,30,5,33,2, , 
2020/10/27,16,2020,10,28,5,25,3, ,4
2020/10/28,16,2020,10,22,9,29,3, ,4
2020/10/29,16,2020,10,36,5,27,2,1,3
2020/10/30,16,2020,10,29,6,26,2, ,3
2020/10/31,16,2020,10,29,3,34,1, ,4
2020/11/1,16,2020,11,21,5,33,4, ,3
2020/11/2,16,2020,11,23,6,29,1, ,3
2020/11/3,16,2020,11,31,4,23,2, ,4
2020/11/4,16,2020,11,15,4,27,2,1,4
2020/11/5,16,2020,11,23,6,13,5,1,4
2020/11/6,16,2020,11,29,8,21,4, ,4
2020/11/7,16,2020,11,36,14,35,1, ,4
2020/11/8,16,2020,11,50,4,19,2, ,4
2020/11/9,16,2020,11,16,3,23,1, ,3
2020/11/10,16,2020,11,17,3,23,3, , 
2020/11/11,16,2020,11,20,4,23,3,1, 
2020/11/12,16,2020,11,21,7,28,3, , 
2020/11/13,16,2020,11,32,7,26,3, , 
2020/11/14,16,2020,11,36,6,30,1, , 
2020/11/15,16,2020,11,35,9,34,3, , 
2020/11/16,16,2020,11,42,17,34,4,1, 
2020/11/17,16,2020,11,63,13,34,4, , 
2020/11/18,16,2020,11,55,5,33,1, ,5
2020/11/19,16,2020,11,31,7,29,1, ,5
2020/11/20,16,2020,11,28,4,22,1,1,3
2020/11/21,16,2020,11,17,5,30,1,1,3
2020/11/22,16,2020,11,25,3,25,2, ,3
2020/11/23,16,2020,11,17,3,25,3, ,4
2020/11/24,16,2020,11,18,4,24,4,1,3
2020/11/25,16,2020,11,18,6,27,4, , 
2020/11/26,16,2020,11,28,5,23,4, , 
2020/11/27,16,2020,11,26,3,23,1, , 
2020/11/28,16,2020,11,26,3,23,1, , 
2020/11/29,16,2020,11,21,3,23,4, , 
2020/11/30,16,2020,11,17,2,26,3, , 
2020/12/1,16,2020,12,20,2,22,4,1, 
2020/12/2,16,2020,12,16,2,25,2, , 
2020/12/3,16,2020,12,16,3,25,3, , 
2020/12/4,16,2020,12,19,2,24,3, ,5
2020/12/5,16,2020,12,14,3,26,2, ,4
