date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,21,2021,5,54,4,41,3,1, 
2021/5/2,21,2021,5,28,9,47,3,1, 
2021/5/3,21,2021,5,51,12,60,6,2, 
2021/5/4,21,2021,5,60,17,38,7,1, 
2021/5/5,21,2021,5,56, , , , , 
2021/4/10,21,2021,4,38,9,47,5, , 
2021/4/11,21,2021,4,54,11,42,7,1, 
2021/4/12,21,2021,4,56,11,35,10,1, 
2021/4/13,21,2021,4,41,6,44,4,1, 
2021/4/14,21,2021,4,39,9,43,7, , 
2021/4/15,21,2021,4,49,11,33,10,1, 
2021/4/16,21,2021,4,49,7,29,8,1, 
2021/4/17,21,2021,4,33,9,41,4, , 
2021/4/18,21,2021,4,42,16,44,5, , 
2021/4/19,21,2021,4,67,17,73,7, , 
2021/4/20,21,2021,4,67,17,47,9,1, 
2021/4/21,21,2021,4,75,11,43,8,1, 
2021/4/22,21,2021,4,57,15,50,10,1, 
2021/4/23,21,2021,4,65,17,58,8,1, 
2021/4/24,21,2021,4,65,12,45,5,1, 
2021/4/25,21,2021,4,58,7,42,5,1, 
2021/4/26,21,2021,4,48,8,48,7,1, 
2021/4/27,21,2021,4,48,15,32,9,1, 
2021/4/28,21,2021,4,54,10,35,6, , 
2021/4/29,21,2021,4,31,10,59,6, , 
2021/4/30,21,2021,4,51,16,44,7,1, 
2021/3/1,21,2021,3,54,14,35,5,1, 
2021/3/2,21,2021,3,26,6,37,6,1, 
2021/3/3,21,2021,3,47,10,28,17,1, 
2021/3/4,21,2021,3,51,10,22,14, , 
2021/3/5,21,2021,3,46,5,39,5, , 
2021/3/6,21,2021,3,28,7,35,4,1, 
2021/3/7,21,2021,3,40,7,32,7,1, 
2021/3/8,21,2021,3,41,9,31,14,1, 
2021/3/9,21,2021,3,47,9,41,9, , 
2021/3/10,21,2021,3,47,11,43,11,1, 
2021/3/11,21,2021,3,40,13,33,13,1, 
2021/3/12,21,2021,3,48,6,40,6, , 
2021/3/13,21,2021,3,22,6,39,3,1, 
2021/3/14,21,2021,3,41,8,41,10,1, 
2021/3/15,21,2021,3,56,13,26,13,1, 
2021/3/16,21,2021,3,56,12,37,9,1, 
2021/3/17,21,2021,3,51,12,38,10,1, 
2021/3/18,21,2021,3,56,11,38,12,1, 
2021/3/19,21,2021,3,50,17,45,10,1, 
2021/3/20,21,2021,3,65,12,37,7, , 
2021/3/21,21,2021,3,40,9,36,5, , 
2021/3/22,21,2021,3,50,10,41,9,1,3
2021/3/23,21,2021,3,56,13,51,11,1,3
2021/3/24,21,2021,3,62,15,33,14,1,3
2021/3/25,21,2021,3,59,15,53,11,1,2
2021/3/26,21,2021,3,59,19,55,9,1,2
2021/3/27,21,2021,3,72,21,47,4,1,1
2021/3/28,21,2021,3,58,6,28,10,1,3
2021/3/29,21,2021,3,26, , , ,2, 
2021/2/1,21,2021,2,50,9,34,6, , 
2021/2/2,21,2021,2,45,7,33,4, , 
2021/2/3,21,2021,2,45,9,32,8,1, 
2021/2/4,21,2021,2,51,8,33,13, , 
2021/2/5,21,2021,2,48,10,39,9,1, 
2021/2/6,21,2021,2,46,21,43,6, , 
2021/2/7,21,2021,2,69,11,31,6, , 
2021/2/8,21,2021,2,56,4,31,5, , 
2021/2/9,21,2021,2,35,8,35,10,1, 
2021/2/10,21,2021,2,52,13,41,8, , 
2021/2/11,21,2021,2,63,15,29,21,1, 
2021/2/12,21,2021,2,69,15,35,14,2, 
2021/2/13,21,2021,2,62,12,36,8,1, 
2021/2/14,21,2021,2,56,10,41,7, , 
2021/2/15,21,2021,2,44,7,35,5, , 
2021/2/16,21,2021,2,37,5,35,4,1, 
2021/2/17,21,2021,2,35,3,30,7, , 
2021/2/18,21,2021,2,31,6,28,17, , 
2021/2/19,21,2021,2,35,13,31,13,1, 
2021/2/20,21,2021,2,54,23,47,9,1, 
2021/2/21,21,2021,2,79,20,43,15,1, 
2021/2/22,21,2021,2,78,12,40,4, , 
2021/2/23,21,2021,2,51,5,35,4, , 
2021/2/24,21,2021,2,38,6,35,11,1, 
2021/2/25,21,2021,2,41,5,33,9, , 
2021/2/26,21,2021,2,33,7,38,4,1, 
2021/2/27,21,2021,2,43,9,39,7,1, 
2021/2/28,21,2021,2,50,11,34,9,1, 
