date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,34,2021,5,48,13,40,8,1,2
2021/5/2,34,2021,5,44,16,48,13,1,3
2021/5/3,34,2021,5,52,17,46,12,4,3
2021/5/4,34,2021,5,53,14,40,2,1,2
2021/5/5,34,2021,5,39, , , , , 
2021/4/1,34,2021,4,68, ,51, , , 
2021/4/2,34,2021,4,75, ,43, , , 
2021/4/3,34,2021,4,65, ,36, , , 
2021/4/4,34,2021,4,49, ,37, , , 
2021/4/5,34,2021,4,45, ,40, , , 
2021/4/6,34,2021,4,54, ,45, , , 
2021/4/7,34,2021,4,48, ,49, , , 
2021/4/8,34,2021,4,58, ,41, , , 
2021/4/9,34,2021,4,54,12,38,19,1,4
2021/4/10,34,2021,4,45,13,42,13,1,4
2021/4/11,34,2021,4,52,17,32,25,2,5
2021/4/12,34,2021,4,60,16,27,29,1,5
2021/4/13,34,2021,4,55,12,39,15,1,3
2021/4/14,34,2021,4,46,12,41,17,1,4
2021/4/15,34,2021,4,41,16,44,27,1,4
2021/4/16,34,2021,4,53,18,40,16,1,4
2021/4/17,34,2021,4,52,18,37,9,1,3
2021/4/18,34,2021,4,50,18,46,11,1,4
2021/4/19,34,2021,4,52,19,56,24,2,5
2021/4/20,34,2021,4,59,24,80,30,2,5
2021/4/21,34,2021,4,68,21,58,25,2,4
2021/4/22,34,2021,4,64,18,44,23,2,4
2021/4/23,34,2021,4,57,20,54,19,2,4
2021/4/24,34,2021,4,77,13,43,8,1,2
2021/4/25,34,2021,4,47,11,42,14,1,4
2021/4/26,34,2021,4,45,15,45,19,1,3
2021/4/27,34,2021,4,45,16,36,22,1,4
2021/4/28,34,2021,4,53,10,32,15,1,3
2021/4/29,34,2021,4,32,20,53,20,2,4
2021/4/30,34,2021,4,60,16,52,11,1,3
2021/3/1,34,2021,3,53,9,36,10,1,2
2021/3/2,34,2021,3,41,12,35,14,1,4
2021/3/3,34,2021,3,51,10,17,16,1,3
2021/3/4,34,2021,3,47,9,26,16,1,3
2021/3/5,34,2021,3,43,14,36,9,1,3
2021/3/6,34,2021,3,56,12,34,9,1,3
2021/3/7,34,2021,3,59,13,35,16,1,3
2021/3/8,34,2021,3,54,12,27,18,1,4
2021/3/9,34,2021,3,50,18,44,18,1,4
2021/3/10,34,2021,3,65,16,33,23,1,5
2021/3/11,34,2021,3,58,16,27,27,2,4
2021/3/12,34,2021,3,59,13,42,10, ,2
2021/3/13,34,2021,3,53,15,35,15,1,4
2021/3/14,34,2021,3,55,29,45,21,1,6
2021/3/15,34,2021,3,85,30,29,30,3,6
2021/3/16,34,2021,3,85,20,48,19,1,4
2021/3/17,34,2021,3,64,25,35,21,2,4
2021/3/18,34,2021,3,69,23,42,26,3,6
2021/3/19,34,2021,3,68,20,21,23,1,5
2021/3/20,34,2021,3,68,14,40,17, ,4
2021/3/21,34,2021,3,50,17,36,15,1,4
2021/3/22,34,2021,3,67,16,42,23,2,4
2021/3/23,34,2021,3,55,21,41,24,2,4
2021/3/24,34,2021,3,64,18,39,22,2,4
2021/3/25,34,2021,3,67,21,51,24,2,4
2021/3/26,34,2021,3,64,19,48,21,2,4
2021/3/27,34,2021,3,67,19,38,24,1,4
2021/3/28,34,2021,3,59,17,56,20,1,5
2021/3/29,34,2021,3,105, ,44, , , 
2021/3/30,34,2021,3,126, ,46, , , 
2021/3/31,34,2021,3,79, ,42, , , 
2021/2/1,34,2021,2,76,18,34,19,1,4
2021/2/2,34,2021,2,63,14,34,22,1,4
2021/2/3,34,2021,2,60,14,34,26,1,6
2021/2/4,34,2021,2,59,15,31,28,2,5
2021/2/5,34,2021,2,56,14,32,25,2,5
2021/2/6,34,2021,2,57,24,40,20,2,4
2021/2/7,34,2021,2,72,17,34,15, ,4
2021/2/8,34,2021,2,64,13,30,19,1,4
2021/2/9,34,2021,2,54,13,28,25,1,5
2021/2/10,34,2021,2,49,27,44,24,2,5
2021/2/11,34,2021,2,79,27,36,27,3,6
2021/2/12,34,2021,2,81,28,33,29,3,8
2021/2/13,34,2021,2,86,22,30,25,2,5
2021/2/14,34,2021,2,70,11,38,12,1,4
2021/2/15,34,2021,2,48,10,34,11,1,3
2021/2/16,34,2021,2,54,10,31,9,1,3
2021/2/17,34,2021,2,50,10,30,14,1,4
