date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,24,2021,5,48,7,41,1, , 
2021/5/2,24,2021,5,21,8,43,1, , 
2021/5/3,24,2021,5,27,10,50,3, , 
2021/5/4,24,2021,5,37,13,24,2, , 
2021/5/5,24,2021,5,45, , , , , 
2021/4/10,24,2021,4,23,8,48,4, , 
2021/4/11,24,2021,4,29,9,40,5, , 
2021/4/12,24,2021,4,33,7,33,4, , 
2021/4/13,24,2021,4,18,5,39,3, , 
2021/4/14,24,2021,4,17,6,41,3, , 
2021/4/15,24,2021,4,22,8,35,4, , 
2021/4/16,24,2021,4,26,6,33,3, , 
2021/4/17,24,2021,4,20,9,36,1, , 
2021/4/18,24,2021,4,29,11,42,3, , 
2021/4/19,24,2021,4,37,16,68,6, , 
2021/4/20,24,2021,4,53,16,59,2, , 
2021/4/21,24,2021,4,57,10,44,2, , 
2021/4/22,24,2021,4,37,12,42,4, , 
2021/4/23,24,2021,4,41,12,53,4, , 
2021/4/24,24,2021,4,44,10,43,2, , 
2021/4/25,24,2021,4,34,6,40,1, , 
2021/4/26,24,2021,4,21,8,43,5, , 
2021/4/27,24,2021,4,28,13,32,10, , 
2021/4/28,24,2021,4,40,5,30,4, , 
2021/4/29,24,2021,4,15,14,50,2, , 
2021/4/30,24,2021,4,46,15,45,3, , 
2021/3/1,24,2021,3,27,4,33,5, ,3
2021/3/2,24,2021,3,12,5,36,2, ,3
2021/3/3,24,2021,3,15,9,28,8, ,4
2021/3/4,24,2021,3,30,5,27,4, ,3
2021/3/5,24,2021,3,17,12,36,4, ,4
2021/3/6,24,2021,3,38,7,34,1, ,3
2021/3/7,24,2021,3,23,6,31,3, ,3
2021/3/8,24,2021,3,17,6,24,7, ,4
2021/3/9,24,2021,3,22,8,40,2, ,3
2021/3/10,24,2021,3,27,8,41,5, ,4
2021/3/11,24,2021,3,25,14,30,14, ,5
2021/3/12,24,2021,3,44,5,39,1, ,3
2021/3/13,24,2021,3,15,6,36,1, ,3
2021/3/14,24,2021,3,16,11,41,3, ,4
2021/3/15,24,2021,3,41,19,29,12, ,4
2021/3/16,24,2021,3,62,14,37,3, ,3
2021/3/17,24,2021,3,45,10,38,5, ,3
2021/3/18,24,2021,3,34,8,37,5, ,4
2021/3/19,24,2021,3,28,12,41,5, ,4
2021/3/24,24,2021,3,57,10,27,6, ,2
2021/3/25,24,2021,3,39,14,48,4, ,2
2021/3/26,24,2021,3,50,16,51,3, ,3
2021/3/27,24,2021,3,53,12,43,5, ,2
2021/3/28,24,2021,3,37,6,38,2, ,2
2021/3/29,24,2021,3,21, , , , ,3
2021/2/1,24,2021,2,34,10,32,5, ,4
2021/2/2,24,2021,2,35,9,29,5, ,4
2021/2/3,24,2021,2,32,9,33,4, ,3
2021/2/4,24,2021,2,34,8,31,7, ,3
2021/2/5,24,2021,2,29,11,32,8, ,4
2021/2/6,24,2021,2,40,16,38,5, ,3
2021/2/7,24,2021,2,53,12,29,3, ,3
2021/2/8,24,2021,2,35,3,29,2, ,2
2021/2/9,24,2021,2,10,7,33,6, ,3
2021/2/10,24,2021,2,25,14,40,4, ,3
2021/2/11,24,2021,2,51,16,30,10, ,6
2021/2/12,24,2021,2,57,17,35,11, ,5
2021/2/13,24,2021,2,60,10,30,6, ,3
2021/2/14,24,2021,2,37,5,36,3, ,2
2021/2/15,24,2021,2,18,7,33,3, ,2
2021/2/16,24,2021,2,24,5,31,3, , 
2021/2/17,24,2021,2,19,5,26,3, ,3
2021/2/18,24,2021,2,16,5,28,6, ,4
2021/2/19,24,2021,2,17,13,45,13, ,4
2021/2/20,24,2021,2,45,19,56,8, ,5
2021/2/21,24,2021,2,62,12,44,4, ,4
2021/2/22,24,2021,2,46,11,38,1, ,3
2021/2/23,24,2021,2,38,5,33,1, , 
2021/2/24,24,2021,2,18,6,33,5, ,4
2021/2/25,24,2021,2,22,6,29,5, ,3
2021/2/26,24,2021,2,16,6,35,1, ,3
2021/2/27,24,2021,2,20,7,36,4, ,3
2021/2/28,24,2021,2,24,8,29,10, ,3
2021/1/4,24,2021,1,18,10,24,10, ,4
2021/1/5,24,2021,1,37,7,29,6, ,4
2021/1/6,24,2021,1,25,5,27,4, ,4
2021/1/7,24,2021,1,16,4,28,4, ,4
2021/1/8,24,2021,1,11,5,29,3, ,4
2021/1/9,24,2021,1,19,5,28,2, ,4
2021/1/10,24,2021,1,21,5,25,5, ,4
2021/1/11,24,2021,1,21,11,16,12, ,6
2021/1/12,24,2021,1,42,12,29,9, ,6
2021/1/13,24,2021,1,48,20,32,10, ,6
2021/1/14,24,2021,1,61,22,29,10, ,5
2021/1/15,24,2021,1,63,16,25,7, ,5
2021/1/16,24,2021,1,52,6,30,1, ,3
2021/1/17,24,2021,1,23,5,27,5, ,3
2021/1/18,24,2021,1,17,5,29,2, ,4
2021/1/19,24,2021,1,21,3,30,4, ,4
2021/1/20,24,2021,1,15,10,22,13, ,5
2021/1/21,24,2021,1,38,15,15,12, ,5
2021/1/22,24,2021,1,52,7,16,10, ,4
2021/1/23,24,2021,1,29,3,28,2, ,4
2021/1/24,24,2021,1,7,5,30,5, ,4
2021/1/25,24,2021,1,17,10,20,10, ,4
2021/1/26,24,2021,1,39,6,33,3, ,3
2021/1/27,24,2021,1,21,10,27,5, ,4
2021/1/28,24,2021,1,38,5,30,3, ,3
2021/1/29,24,2021,1,21,6,32,2, ,3
2021/1/30,24,2021,1,18,12,32,2, ,3
2021/1/31,24,2021,1,39,9,21,9, ,5
2020/10/1,24,2020,10,23,11,48,4, ,2
2020/10/2,24,2020,10,37,14,34,5, ,3
2020/10/3,24,2020,10,51,14,37,3, ,3
2020/10/4,24,2020,10,48,11,33,2, ,3
2020/10/5,24,2020,10,35,7,30,1, ,3
2020/10/6,24,2020,10,18,9,33,4, ,3
2020/10/7,24,2020,10,30,4,32,5, ,3
2020/10/8,24,2020,10,13,4,30,6, ,3
2020/10/9,24,2020,10,13,3,24,4, ,3
2020/10/10,24,2020,10,8,5,29,1, ,2
2020/10/11,24,2020,10,16,7,31,4, ,3
2020/10/12,24,2020,10,24,7,35,1, ,2
2020/10/13,24,2020,10,23,8,37,1, ,3
