date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,29,2021,5,54,8,43,1,2, 
2021/5/2,29,2021,5,35,8,46,3,4, 
2021/5/3,29,2021,5,41,10,54,3,6, 
2021/5/4,29,2021,5,47,11,35,2,4, 
2021/5/5,29,2021,5,37, , , , , 
2021/4/10,29,2021,4,29,7,40,3,3,2
2021/4/11,29,2021,4,32,9,38,3,3,2
2021/4/12,29,2021,4,38,9,37,2,2, 
2021/4/13,29,2021,4,23,10,36,4,2,2
2021/4/14,29,2021,4,25,6,42,3,4,2
2021/4/15,29,2021,4,32,7,37,2,2, 
2021/4/16,29,2021,4,22,7,33,5,3, 
2021/4/17,29,2021,4,18,16,36,3,2, 
2021/4/18,29,2021,4,43,15,45,7,4, 
2021/4/19,29,2021,4,50,16,62,10,5, 
2021/4/20,29,2021,4,58,16,53,5,5, 
2021/4/21,29,2021,4,58,9,44,4,5, 
2021/4/22,29,2021,4,44,15,48,4,5, 
2021/4/23,29,2021,4,52,17,50,4,4, 
2021/4/24,29,2021,4,53,11,44,5,4, 
2021/4/25,29,2021,4,43,6,40,1,4, 
2021/4/26,29,2021,4,32,7,46,7,4, 
2021/4/27,29,2021,4,37,12,30,7,3, 
2021/4/28,29,2021,4,42,4,30,3,4, 
2021/4/29,29,2021,4,17,16,55,3,4, 
2021/4/30,29,2021,4,50,17,48,2,3, 
2021/3/1,29,2021,3,27,3,32,3,2, 
2021/3/2,29,2021,3,13,5,36,2,1, 
2021/3/3,29,2021,3,23,6,22,5,3, 
2021/3/4,29,2021,3,31,5,26,3,1, 
2021/3/5,29,2021,3,20,4,37,2,2, 
2021/3/6,29,2021,3,27,7,33,2,3, 
2021/3/7,29,2021,3,26,5,32,3, , 
2021/3/8,29,2021,3,18,8,33,10,2, 
2021/3/9,29,2021,3,35,13,39,7,2, 
2021/3/10,29,2021,3,45,9,39,10,5, 
2021/3/11,29,2021,3,37,13,32,9,2, 
2021/3/12,29,2021,3,50,5,40,2,1, 
2021/3/13,29,2021,3,24,9,38,2,4, 
2021/3/14,29,2021,3,32,20,43,11,4, 
2021/3/15,29,2021,3,66,22,36,12,4, 
2021/3/16,29,2021,3,72,23,37,2,3, 
