date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2021/5/1,8,2021,5,69,5,45,2, 
2021/5/2,8,2021,5,33,4,42,2,1
2021/5/3,8,2021,5,68,5,54,3,1
2021/5/4,8,2021,5,73,10,19,2, 
2021/5/5,8,2021,5,11, , , , 
2021/4/1,8,2021,4,56,7,39,2,1
2021/4/2,8,2021,4,38,8,42,2,1
2021/4/3,8,2021,4,39,14,37,4,1
2021/4/4,8,2021,4,51,7,30,2,1
2021/4/5,8,2021,4,27,1,33,1,1
2021/4/6,8,2021,4,33,4,38,3, 
2021/4/7,8,2021,4,46,8,43,2,1
2021/4/8,8,2021,4,47,4,41,2,1
2021/4/9,8,2021,4,60,3,36,2, 
2021/4/10,8,2021,4,42,3,39,2,1
2021/4/11,8,2021,4,47,5,40,3,1
2021/4/12,8,2021,4,48,5,37,4,1
2021/4/13,8,2021,4,36,6,33,3, 
2021/4/14,8,2021,4,24,5,38,2,1
2021/4/15,8,2021,4,37,6,39,3,1
2021/4/16,8,2021,4,42,6,37,3,1
2021/4/17,8,2021,4,34,5,41,1,1
2021/4/18,8,2021,4,40,8,45,3,1
2021/4/19,8,2021,4,48,14,60,7,1
2021/4/20,8,2021,4,62,16,49,5,1
2021/4/21,8,2021,4,58,8,40,3,1
2021/4/22,8,2021,4,71,6,36,3,1
2021/4/23,8,2021,4,43,7,42,4,1
2021/4/24,8,2021,4,62,9,46,3,1
2021/4/25,8,2021,4,65,5,33,1,1
2021/4/26,8,2021,4,39,3,38,3,1
2021/4/27,8,2021,4,51,6,50,5,1
2021/4/28,8,2021,4,74,6,31,4, 
2021/4/29,8,2021,4,16,2,45,2,1
2021/4/30,8,2021,4,49,9,56,2,1
2021/3/1,8,2021,3,56,5,30,3,1
2021/3/2,8,2021,3,35,2,35,3, 
2021/3/3,8,2021,3,23,2,36,3,1
2021/3/4,8,2021,3,43,3,33,5,1
2021/3/5,8,2021,3,36,5,33,3,1
2021/3/6,8,2021,3,40,2,36,1,1
2021/3/7,8,2021,3,22,5,26,6,1
2021/3/8,8,2021,3,27,2,32,6,1
2021/3/9,8,2021,3,35,6,37,3, 
2021/3/10,8,2021,3,51,3,36,6,1
2021/3/11,8,2021,3,41,11,35,9,1
2021/3/12,8,2021,3,56,6,34,2, 
2021/3/13,8,2021,3,24,1,37,2, 
2021/3/14,8,2021,3,50,4,37,6, 
2021/3/15,8,2021,3,43,7,39,9,1
2021/3/16,8,2021,3,55,7,37,2,1
2021/3/17,8,2021,3,50,8,41,6,1
2021/3/18,8,2021,3,46,6,36,3,1
2021/3/19,8,2021,3,33,3,35,4,1
2021/3/20,8,2021,3,36,7,33,3, 
2021/3/21,8,2021,3,39,4,33,2, 
2021/3/22,8,2021,3,37,7,39,4,1
2021/3/23,8,2021,3,43,8,47,6,1
2021/3/24,8,2021,3,53,7,36,7,1
2021/3/25,8,2021,3,42,12,51,5,1
2021/3/26,8,2021,3,55,11,45,4,1
2021/3/27,8,2021,3,45,11,42,3, 
2021/3/28,8,2021,3,52,5,40,2,1
2021/3/29,8,2021,3,41,38,47,3,1
2021/3/30,8,2021,3,105,42,45,3,1
2021/3/31,8,2021,3,100,16,43,3,1
2021/2/1,8,2021,2,49,8,30,7,1
2021/2/2,8,2021,2,56,4,30,6,1
2021/2/3,8,2021,2,36,2,32,6,1
2021/2/4,8,2021,2,50,4,31,11,1
2021/2/5,8,2021,2,40,9,36,9,1
2021/2/6,8,2021,2,49,10,42,2,1
2021/2/7,8,2021,2,56,2,31,1,1
2021/2/8,8,2021,2,37,3,29,4,1
2021/2/9,8,2021,2,32,4,29,13,1
2021/2/10,8,2021,2,44,5,35,5,1
2021/2/11,8,2021,2,38,9,31,10,1
2021/2/12,8,2021,2,40,9,36,8,1
2021/2/13,8,2021,2,47,8,35,5, 
2021/2/14,8,2021,2,47,5,30,5, 
2021/2/15,8,2021,2,31,2,34,1,1
2021/2/16,8,2021,2,34,4,30,6,1
2021/2/17,8,2021,2,37,2,29,3,1
2021/2/18,8,2021,2,39,3,29,11,1
2021/2/19,8,2021,2,42,8,34,10,1
2021/2/20,8,2021,2,55,17,45,8,1
2021/2/21,8,2021,2,73,19,48,10,2
2021/2/22,8,2021,2,72,9,33,4, 
2021/2/23,8,2021,2,37,2,32,3,1
2021/2/24,8,2021,2,37,3,34,7,1
2021/2/25,8,2021,2,38,4,30,5, 
2021/2/26,8,2021,2,29,4,33,2,1
2021/2/27,8,2021,2,23,5,35,5,1
2021/2/28,8,2021,2,49,6,33,6,1
2021/1/4,8,2021,1,38,3,3,7, 
2021/1/5,8,2021,1,38,5,5,5,1
2021/1/6,8,2021,1,23,3,3,6,1
2021/1/7,8,2021,1,36,3,25,7,1
2021/1/8,8,2021,1,43,2,27,7,1
2021/1/9,8,2021,1,35,4,28,5, 
2021/1/10,8,2021,1,38,5,25,6,1
2021/1/11,8,2021,1,41,3,18,5, 
2021/1/12,8,2021,1,31,9,22,10,1
2021/1/13,8,2021,1,40,8,29,9,1
2021/1/14,8,2021,1,58,10,23,8, 
2021/1/15,8,2021,1,45,12,30,7,1
2021/1/16,8,2021,1,64,5,28,2, 
2021/1/17,8,2021,1,23,7,26,9,1
2021/1/18,8,2021,1,42,7,31,9,1
2021/1/19,8,2021,1,41,5,28,12,1
2021/1/20,8,2021,1,37,10,30,11,1
2021/1/21,8,2021,1,56,16,36,14,1
2021/1/22,8,2021,1,71,11,32,4,1
2021/1/23,8,2021,1,44,3,24,1, 
2021/1/24,8,2021,1,29,5,28,7,1
2021/1/25,8,2021,1,37,6,26,10,1
2021/1/26,8,2021,1,46,6,31,5, 
2021/1/27,8,2021,1,41,5,30,4,1
2021/1/28,8,2021,1,27,3,30,4, 
2021/1/29,8,2021,1,39,2,30,8, 
2021/1/30,8,2021,1,29,6,32,2,1
2021/1/31,8,2021,1,44,8,23,8, 
2020/12/24,8,2020,12,76,7,4,9, 
2020/12/25,8,2020,12,46,5,3,8,1
2020/12/26,8,2020,12,44,5,4,4,1
2020/12/27,8,2020,12,32,6,2,7,1
2020/12/28,8,2020,12,43,8,3,8,1
2020/12/29,8,2020,12,45,10,6,5,1
2020/12/30,8,2020,12,47,3,4,3, 
2020/12/31,8,2020,12,37,2,3,4, 
2021/1/1,8,2021,1,37,2,5,2,1
2021/1/2,8,2021,1,37,1,3,4, 
2021/1/3,8,2021,1,42,3,5,4,1
2020/9/13,8,2020,9,13,5,19,3,1
2020/9/14,8,2020,9,17,6,18,3,1
2020/9/15,8,2020,9,20,6,19,3,1
2020/9/16,8,2020,9,21,8,22,4,1
2020/9/17,8,2020,9,29,10,23,4,1
2020/9/18,8,2020,9,28,4,25,4,1
2020/9/19,8,2020,9,22, , , , 
2020/4/1,8,2020,4,26, , , , 
2020/1/1,8,2020,1,27,4,28,3,1
