date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,46,2021,5,70,16,43,2,1,1
2021/5/2,46,2021,5,59,18,40,7,3,1
2021/5/3,46,2021,5,57,16,39,6,2,1
2021/5/4,46,2021,5,53,20,40,3,1, 
2021/5/5,46,2021,5,53, , , , , 
2021/4/10,46,2021,4,58,20,42,4,20,1
2021/4/11,46,2021,4,66,19,36,6,7,1
2021/4/12,46,2021,4,53,22,36,8,1,2
2021/4/13,46,2021,4,46,16,38,6,1,1
2021/4/14,46,2021,4,53,15,40,9,6,1
2021/4/15,46,2021,4,54,15,39,9,2,1
2021/4/16,46,2021,4,48,22,38,9,1,1
2021/4/17,46,2021,4,60,16,36,2,1,1
2021/4/18,46,2021,4,54,18,44,9,1,2
2021/4/19,46,2021,4,60,20,46,13,4,2
2021/4/20,46,2021,4,68,25,44,16,3,2
2021/4/21,46,2021,4,79,20,48,15,3,1
2021/4/22,46,2021,4,67,20,43,10,14,1
2021/4/23,46,2021,4,60,20,36,6,15,1
2021/4/24,46,2021,4,60,17,35,9,3,1
2021/4/25,46,2021,4,58,18,38,11,4,1
2021/4/26,46,2021,4,58,15,33,10,1,1
2021/4/27,46,2021,4,49,15,22,13,3,1
2021/4/28,46,2021,4,47,13,31,11,1,1
2021/4/29,46,2021,4,43,33,65,11,1,3
2021/4/30,46,2021,4,86,27,51,7,1,1
2021/3/1,46,2021,3,31,9,31,4,1,1
2021/3/2,46,2021,3,23,8,29,1,3,1
2021/3/3,46,2021,3,31,12,30,11,4,1
2021/3/4,46,2021,3,38,15,28,15,2,2
2021/3/5,46,2021,3,41,18,24,15,1,2
2021/3/6,46,2021,3,53,19,32,6,1,1
2021/3/7,46,2021,3,59,15,22,12,2,2
2021/3/8,46,2021,3,54,18,32,13,2,2
2021/3/9,46,2021,3,59,23,34,12,8,2
2021/3/10,46,2021,3,71,21,37,16,5,2
2021/3/11,46,2021,3,70,15,38,11,5,2
2021/3/12,46,2021,3,48,12,38,4,2,1
2021/3/13,46,2021,3,39,23,43,5,2,2
2021/3/14,46,2021,3,75,24,38,15,4,2
2021/3/15,46,2021,3,76,26,26,17,2,2
2021/3/16,46,2021,3,71,25,37,11,3,2
2021/3/17,46,2021,3,64,28,40,13,5,2
2021/3/18,46,2021,3,76,21,35,12,11,2
2021/3/19,46,2021,3,64,15,35,13,12,2
2021/3/20,46,2021,3,45,22,39,4,2,2
2021/3/21,46,2021,3,50,17,34,5,2,1
2021/3/22,46,2021,3,60,19,39,11,3,2
2021/3/23,46,2021,3,60,20,32,11,5,1
2021/3/24,46,2021,3,63,16,33,11,5,1
2021/3/25,46,2021,3,58,24,30,13,7,1
2021/3/26,46,2021,3,72,23,35,10,2,1
2021/3/27,46,2021,3,68,28,43,5,1,3
2021/3/28,46,2021,3,56,30,22,9, ,3
2021/3/29,46,2021,3,77, , , , , 
2021/2/1,46,2021,2,59,24,37,7,2,2
2021/2/2,46,2021,2,67,14,31,6,2,2
2021/2/3,46,2021,2,48,19,34,13,2,3
2021/2/4,46,2021,2,57,14,23,17,3,3
2021/2/5,46,2021,2,53,14,32,12,1,2
2021/2/6,46,2021,2,41,26,44,7,3,2
2021/2/7,46,2021,2,70,26,34,9,3,2
2021/2/8,46,2021,2,69,11,29,9,3,2
2021/2/9,46,2021,2,43,12,31,13,3,2
2021/2/10,46,2021,2,42,18,39,12,9,2
2021/2/11,46,2021,2,55,22,38,8,3,2
2021/2/12,46,2021,2,63,13,30,4,17,1
2021/2/13,46,2021,2,41,12,28,2,17, 
2021/2/14,46,2021,2,36,16,35,4,2,2
2021/2/15,46,2021,2,43,13,31,5,2,1
2021/2/16,46,2021,2,41,11,33,3,2,1
2021/2/17,46,2021,2,42,10,27,6,1,2
2021/2/18,46,2021,2,34,13,31,10,2,2
2021/2/19,46,2021,2,48,11,42,10,1,2
2021/2/20,46,2021,2,36,16,42,9,1,2
2021/2/21,46,2021,2,52,13,41,9,1,2
2021/2/22,46,2021,2,42,18,35,7,1,2
2021/2/23,46,2021,2,59,19,36,14,1,2
2021/2/24,46,2021,2,64,17,31,10,3,2
2021/2/25,46,2021,2,56,12,33,5,8, 
2021/2/26,46,2021,2,34,12,32,5,34, 
2021/2/27,46,2021,2,43,17,33,4,19, 
2021/2/28,46,2021,2,38,15,30,7,4, 
2021/1/4,46,2021,1,48,13,30,8,2,2
2021/1/5,46,2021,1,56,11,28,8,1,2
2021/1/6,46,2021,1,49,7,28,8,1,1
2021/1/7,46,2021,1,40,6,26,7, ,2
2021/1/8,46,2021,1,38,7,28,5, ,1
2021/1/9,46,2021,1,39,8,27,6,1,2
2021/1/10,46,2021,1,41,12,25,9,8,2
2021/1/11,46,2021,1,51,10,25,10,1,4
2021/1/12,46,2021,1,49,19,24,18,1,4
2021/1/13,46,2021,1,67,30,25,19,1,3
2021/1/14,46,2021,1,93,27,24,20,1,4
2021/1/15,46,2021,1,76,30,31,11,1,3
2021/1/16,46,2021,1,81,11,28,3,1,1
2021/1/17,46,2021,1,48,14,32,8,2,2
2021/1/18,46,2021,1,48,16,29,11,2,2
2021/1/19,46,2021,1,58,16,25,16,2,3
2021/1/20,46,2021,1,59,19,18,22,5,4
2021/1/21,46,2021,1,65,17,18,18,1,3
2021/1/22,46,2021,1,54,19,17,13,1,3
2021/1/23,46,2021,1,50,11,25,6,1,2
2021/1/24,46,2021,1,40,14,31,9,9,2
2021/1/25,46,2021,1,46,13,30,11,10,2
2021/1/26,46,2021,1,41,15,26,9,3,2
2021/1/27,46,2021,1,40,18,35,7,1,2
2021/1/28,46,2021,1,56,13,30,5,1,1
2021/1/29,46,2021,1,48,18,32,11,2,3
2021/1/30,46,2021,1,57,24,30,11,15,3
2021/1/31,46,2021,1,68,20,27,16,3,3
2020/10/1,46,2020,10,67,18,27,11,6,1
2020/10/2,46,2020,10,67,20,29,10,4,1
2020/10/3,46,2020,10,66,22,23,4,2,1
2020/10/4,46,2020,10,67,23,36,7,1,1
2020/10/5,46,2020,10,71,20,31,9,11,2
2020/10/6,46,2020,10,66,16,31,8,8,1
2020/10/7,46,2020,10,55,12,27,5,2, 
2020/10/8,46,2020,10,42,11,22,7,1,1
2020/10/9,46,2020,10,46,17,27,7,2,1
2020/10/10,46,2020,10,53,20,24,6,2,1
2020/10/11,46,2020,10,62,22,33,8,1,1
2020/10/12,46,2020,10,68,22,40,10,1,2
2020/10/13,46,2020,10,68,26,36,13,3,2
2020/10/14,46,2020,10,82,22,34,12,3,2
2020/10/15,46,2020,10,73,25,24,14,12,2
2020/10/16,46,2020,10,76,9,23,7,1,2
2020/10/17,46,2020,10,38,11,29,5,17,1
2020/10/18,46,2020,10,43,15,26,9,12,2
2020/10/19,46,2020,10,55,15,29,8,39,1
2020/10/20,46,2020,10,61,16,30,7,28,1
2020/10/21,46,2020,10,55,16,26,10,4,2
2020/10/22,46,2020,10,46,21,31,6,3,2
2020/10/23,46,2020,10,57,12,31,7,3,1
2020/10/24,46,2020,10,49,13,32,7,2,1
2020/10/25,46,2020,10,51,15,27,14,3,2
2020/10/26,46,2020,10,57,20,30,12,3,2
2020/10/27,46,2020,10,68,26,31,13,2,2
2020/10/28,46,2020,10,83,30,37,14,3,3
2020/10/29,46,2020,10,89,28,42,14,4,3
2020/10/30,46,2020,10,89, , , , , 
2020/11/2,46,2020,11,26,21,39,4,1,1
2020/11/3,46,2020,11,63,11,29,10,1,1
2020/11/4,46,2020,11,49,16,35,16,7,2
2020/11/5,46,2020,11,58,13,32,16,2,1
2020/11/6,46,2020,11,57,12,27,9,2,1
2020/11/7,46,2020,11,36,22,37,6,2,2
2020/11/8,46,2020,11,67,15,32,10, ,2
2020/11/9,46,2020,11,58,10,33,9,1,2
2020/11/10,46,2020,11,47,16,31,12,9,1
2020/11/11,46,2020,11,61,16,28,13,9,2
2020/11/12,46,2020,11,63,18,27,16,6,2
2020/11/13,46,2020,11,66,17,42,11,18,2
2020/11/14,46,2020,11,63,17,38,7,12,1
2020/11/15,46,2020,11,60,15,27,14,2,1
2020/11/16,46,2020,11,56,14,28,9,5,1
2020/11/17,46,2020,11,53,16,30,12,7,2
2020/11/18,46,2020,11,57,19,27,16,3,1
2020/11/19,46,2020,11,54,22,26,8,1,3
2020/11/20,46,2020,11,55,21,28,12,2,4
2020/11/21,46,2020,11,65,17,30,7,1,2
2020/11/22,46,2020,11,57,16,29,4,1,2
2020/11/23,46,2020,11,53,19,24,12,2,2
2020/11/24,46,2020,11,63,17,28,11,1,2
2020/11/25,46,2020,11,64,18,31,13,2,3
2020/11/26,46,2020,11,60,16,33,11,1,2
2020/11/27,46,2020,11,60,14,27,7,1,1
2020/11/28,46,2020,11,54,11,27,5,1,1
2020/11/29,46,2020,11,52,15,25,12,1,2
2020/11/30,46,2020,11,55,15,22,11,10,2
2020/12/1,46,2020,12,59,14,28,12,2,2
2020/12/2,46,2020,12,52,13,32,9,2,1
2020/12/3,46,2020,12,50,14,28,12,2,2
2020/12/4,46,2020,12,56,15,27,12,2,2
2020/12/5,46,2020,12,59,25,22,9,6,3
2020/12/6,46,2020,12,84,22,30,12,1,2
2020/12/7,46,2020,12,73,21,31,11,1,3
2020/12/8,46,2020,12,76,18,27,14,1,3
2020/12/9,46,2020,12,71,15,22,18,4,3
2020/12/10,46,2020,12,69,13,25,16,1,3
2020/12/11,46,2020,12,49,15,34,11,1,3
2020/12/12,46,2020,12,60,14,33,9,4,2
2020/12/13,46,2020,12,64,12,24,8,1,2
2020/12/14,46,2020,12,53,7,24,7,1,1
2020/12/15,46,2020,12,42,7,25,9,1,2
2020/12/16,46,2020,12,44,7,27,10, ,2
2020/12/17,46,2020,12,40,8,25,15, ,3
2020/12/18,46,2020,12,47,11,28,11,1,3
2020/12/19,46,2020,12,51,7,28,8,1,2
2020/12/20,46,2020,12,40,10,29,14, ,2
2020/12/21,46,2020,12,53,17,31,17,1,3
2020/12/22,46,2020,12,68,26,28,22,6,4
2020/12/23,46,2020,12,86,26,21,18,6,3
2020/12/24,46,2020,12,78,15,27,10,1,2
2020/12/25,46,2020,12,55,11,27,14,1,2
2020/12/26,46,2020,12,48,16,19,14,1,3
2020/12/27,46,2020,12,59,16,17,16,1,2
2020/12/28,46,2020,12,58,17,23,15,3,2
2020/12/29,46,2020,12,58,9,28,3,1,1
2020/12/30,46,2020,12,44,5,27,3,1,1
2020/12/31,46,2020,12,33,7,26,5, ,1
2021/1/1,46,2021,1,36,9,27,5, ,1
2021/1/2,46,2021,1,39,10,29,6,1,2
2021/1/3,46,2021,1,51,12,26,13,2,2
2020/7/1,46,2020,7,48,17,29,12,3,2
2020/7/2,46,2020,7,49,18,31,13,1,1
2020/7/3,46,2020,7,41,25,60,5,1,2
2020/7/4,46,2020,7,55,22,41,6,1,1
2020/7/5,46,2020,7,47,15,22,6,1,1
2020/7/6,46,2020,7,34,21,28,6,1,1
2020/7/7,46,2020,7,40,17,38,14,1,1
2020/7/8,46,2020,7,41,18,27,11,2,1
2020/7/9,46,2020,7,31,21,23,9,2,1
2020/7/10,46,2020,7,40,27,32,6,2,1
2020/7/11,46,2020,7,47,18,28,4,1, 
2020/7/12,46,2020,7,38,23,26,9,2,1
2020/7/13,46,2020,7,50,18,35,8, ,1
2020/7/14,46,2020,7,41,14,27,11,1,1
2020/7/15,46,2020,7,36,11,23,14,1,1
2020/7/16,46,2020,7,31,17,30,11,1,1
2020/7/17,46,2020,7,43,23,31,11,2,1
2020/7/18,46,2020,7,60,27,23,7,2,1
2020/7/19,46,2020,7,53,18,26,9,1,1
2020/7/20,46,2020,7,36,18,57,6,1,1
2020/7/21,46,2020,7,43,17,57,4,1,1
2020/7/22,46,2020,7,46,18,50,5,2,1
2020/7/23,46,2020,7,39,20,56,7,7,1
2020/7/24,46,2020,7,35,26,50,12,2,1
2020/7/25,46,2020,7,53,19,43,7,1,1
2020/7/26,46,2020,7,42,24,34,10,3,1
2020/7/27,46,2020,7,37,27,15,11,2,1
2020/7/28,46,2020,7,50,31,11,6,3, 
2020/7/29,46,2020,7,68,33,14,5,3,1
2020/7/30,46,2020,7,64,28,15,7,2,1
2020/7/31,46,2020,7,59,24,19,6,2, 
2020/8/1,46,2020,8,50,42,16,3,2, 
2020/8/2,46,2020,8,82,64,17,6,8,2
2020/8/3,46,2020,8,137,47,11,6,4,2
2020/8/4,46,2020,8,94,27,15,7,1,2
2020/8/5,46,2020,8,63,34,15,6,5,2
2020/8/6,46,2020,8,74,44,14,8,3,2
2020/8/7,46,2020,8,84,33,10,6,4,2
2020/8/8,46,2020,8,68,19,13,3,5,2
2020/8/9,46,2020,8,33,30,17,4,2,2
2020/8/10,46,2020,8,41,22,16,7,2,3
2020/8/11,46,2020,8,39,25,18,5,2,2
2020/8/12,46,2020,8,44,21,15,4,1,2
2020/8/13,46,2020,8,40,15,15,2,1, 
2020/8/14,46,2020,8,31,15,17,1,2, 
2020/8/15,46,2020,8,35,20,15,2,2, 
2020/8/16,46,2020,8,46,36,27,9,3,2
2020/8/17,46,2020,8,73,48,35,9,2,2
2020/8/18,46,2020,8,86,51,40,9,2,2
2020/8/19,46,2020,8,95,56,35,9,3,2
2020/8/20,46,2020,8,104,57,32,9,2,2
2020/8/21,46,2020,8,106,47,31,9,2,2
2020/8/22,46,2020,8,84,58,29,6,2,3
2020/8/23,46,2020,8,111,61,20,8,6,2
2020/8/24,46,2020,8,122,28,19,5,3,2
2020/8/25,46,2020,8,54,25,19,7,1,2
2020/8/26,46,2020,8,45,21,15,8,1,2
2020/8/27,46,2020,8,43,18,20,10,2,2
2020/8/28,46,2020,8,44,15,18,6,1,2
2020/8/29,46,2020,8,39,27,20,4,8,2
2020/8/30,46,2020,8,54,23,16,4,11,1
2020/8/31,46,2020,8,52,20,17,3,10, 
2020/9/1,46,2020,9,37,38,22,2,4,1
