date,prefecture_num,year,month, pm25, pm10, no2, so2, co
2021/5/1,2,2021,5,41,8,1, , 
2021/5/2,2,2021,5,28,10,1, , 
2021/5/3,2,2021,5,33,16,3, ,1
2021/5/4,2,2021,5,48,17,7, , 
2021/5/5,2,2021,5,58, , , , 
2021/4/10,2,2021,4,31,11,4, ,1
2021/4/11,2,2021,4,33,10,7, ,1
2021/4/12,2,2021,4,41,15,11, ,1
2021/4/13,2,2021,4,42,9,1, ,1
2021/4/14,2,2021,4,31,12,3, ,1
2021/4/15,2,2021,4,43,14,8, ,1
2021/4/16,2,2021,4,40,16,15, ,1
2021/4/17,2,2021,4,47,7,5, ,1
2021/4/18,2,2021,4,21,16,1, ,1
2021/4/19,2,2021,4,45,17,2, ,1
2021/4/20,2,2021,4,49,11,2, ,1
2021/4/21,2,2021,4,36,13,3, ,1
2021/4/22,2,2021,4,42,10,7, ,1
2021/4/23,2,2021,4,26,12,4, ,1
2021/4/24,2,2021,4,31,11,1, , 
2021/4/25,2,2021,4,32,6,2, , 
2021/4/26,2,2021,4,19,14,4, ,1
2021/4/27,2,2021,4,40,12,7, ,1
2021/4/28,2,2021,4,31,25,7, ,1
2021/4/29,2,2021,4,56,9,2, ,1
2021/4/30,2,2021,4,21,12,3, ,1
2021/3/1,2,2021,3,38,15,15, ,12
2021/3/2,2,2021,3,44,8,6, ,12
2021/3/3,2,2021,3,26,9,13, ,11
2021/3/4,2,2021,3,22,13,16, ,11
2021/3/5,2,2021,3,37,11,3, ,10
2021/3/6,2,2021,3,27,9,3, ,11
2021/3/7,2,2021,3,21,9,4, ,11
2021/3/8,2,2021,3,27,11,8, ,11
2021/3/9,2,2021,3,31,16,4,1,11
2021/3/10,2,2021,3,49,13,5, ,11
2021/3/11,2,2021,3,38,20,9, ,11
2021/3/12,2,2021,3,54,16,11, ,12
2021/3/13,2,2021,3,51,10,5, ,11
2021/3/14,2,2021,3,28,14,3, ,11
2021/3/15,2,2021,3,38,16,10, ,6
2021/3/16,2,2021,3,35,27,1, ,1
2021/3/17,2,2021,3,53,14,2, ,1
2021/3/18,2,2021,3,36,11,4, ,1
2021/3/19,2,2021,3,33,9,6, ,1
2021/3/20,2,2021,3,34,8,10, ,2
2021/3/21,2,2021,3,16,8,1, ,1
2021/3/22,2,2021,3,36,11,2, , 
2021/3/23,2,2021,3,38,22,3, , 
2021/3/24,2,2021,3,56,29,19, ,1
2021/3/25,2,2021,3,66,20,6, ,1
2021/3/26,2,2021,3,53,12,4, ,1
2021/3/27,2,2021,3,35,16,6, ,1
2021/3/28,2,2021,3,48,11,6, , 
2021/3/29,2,2021,3,39, , , , 
2021/2/1,2,2021,2,46,17,4, ,10
2021/2/2,2,2021,2,59,12,2, ,10
2021/2/3,2,2021,2,51,12,4, ,11
2021/2/4,2,2021,2,46,18,8, ,12
2021/2/5,2,2021,2,39,23,13, ,12
2021/2/6,2,2021,2,56,24,9, ,12
2021/2/7,2,2021,2,59,11,2, ,10
2021/2/8,2,2021,2,25,10,2,1,10
2021/2/9,2,2021,2,29,12,3,1,12
2021/2/10,2,2021,2,38,13,4,1,10
2021/2/11,2,2021,2,45,13,13,1,12
2021/2/12,2,2021,2,41,14,25,1,12
2021/2/13,2,2021,2,48,15,25,1,12
2021/2/14,2,2021,2,53,20,24, ,14
2021/2/15,2,2021,2,59,12,1, ,10
2021/2/16,2,2021,2,34,11,1, ,11
2021/2/17,2,2021,2,30,8,2,1,11
2021/2/18,2,2021,2,18,10,5,1,11
2021/2/19,2,2021,2,29,19,1,1,12
2021/2/20,2,2021,2,49,16,11,1,11
2021/2/21,2,2021,2,49,18,29,1,11
2021/2/22,2,2021,2,54,13,3,1,10
2021/2/23,2,2021,2,42,10,3,1,11
2021/2/24,2,2021,2,33,11,5, ,11
2021/2/25,2,2021,2,29,13,6, ,11
2021/2/26,2,2021,2,39,10,11, ,10
2021/2/27,2,2021,2,28,10,13, ,11
2021/2/28,2,2021,2,26,14,14, ,12
2021/1/4,2,2021,1,40,12,12, ,9
2021/1/5,2,2021,1,41,12,17, ,11
2021/1/6,2,2021,1,42,10,14, ,10
2021/1/7,2,2021,1,33,13,6, ,12
2021/1/8,2,2021,1,39,11,10, ,9
2021/1/9,2,2021,1,31,9,5, ,9
2021/1/10,2,2021,1,35,9,7, ,9
2021/1/11,2,2021,1,41,14,28, ,11
2021/1/12,2,2021,1,54,16,9, ,10
2021/1/13,2,2021,1,47,17,10, ,9
2021/1/14,2,2021,1,55,14,13, ,10
2021/1/15,2,2021,1,50,20,7, ,9
2021/1/16,2,2021,1,59,11,3, ,9
2021/1/17,2,2021,1,43,10,8, ,10
2021/1/18,2,2021,1,39,10,7, ,9
2021/1/19,2,2021,1,49,11,5, ,10
2021/1/20,2,2021,1,44,17,13, ,11
2021/1/21,2,2021,1,57,21,18, ,11
2021/1/22,2,2021,1,67,14,18,1,10
2021/1/23,2,2021,1,52,14,18, ,10
2021/1/24,2,2021,1,53,15,14, ,11
2021/1/25,2,2021,1,54,17,25, ,12
2021/1/26,2,2021,1,63,15,12, ,11
2021/1/27,2,2021,1,58,14,7, ,11
2021/1/28,2,2021,1,47,12,2, ,10
2021/1/29,2,2021,1,42,15,2, , 
