date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,17,2021,5,63,22,52,11,1,2
2021/5/2,17,2021,5,43,10,46,4,1,2
2021/5/3,17,2021,5,52,11,55,10,2,2
2021/5/4,17,2021,5,45,12,44,4, ,2
2021/5/5,17,2021,5,44, , , , , 
2021/4/10,17,2021,4,39,5,35,6,1,2
2021/4/11,17,2021,4,42,8,44,11,1,2
2021/4/12,17,2021,4,48,11,46,14,1,2
2021/4/13,17,2021,4,36,10,40,15,1,2
2021/4/14,17,2021,4,32,7,45,9,1,2
2021/4/15,17,2021,4,43,9,41,15,1,3
2021/4/16,17,2021,4,37,8,40,10,1,2
2021/4/17,17,2021,4,28,11,32,19,1,2
2021/4/18,17,2021,4,56,19,44,7,1,3
2021/4/19,17,2021,4,63,19,47,18,1,3
2021/4/20,17,2021,4,61,21,72,28,1,3
2021/4/21,17,2021,4,83,32,66,13,1, 
2021/4/22,17,2021,4,49,14,50,15,1,2
2021/4/23,17,2021,4,62,19,48,12,1,2
2021/4/24,17,2021,4,58,16,51,11,1,2
2021/4/25,17,2021,4,51,12,45,4,1,1
2021/4/26,17,2021,4,41,11,39,3,1,2
2021/4/27,17,2021,4,30,8,45,10,1,2
2021/4/28,17,2021,4,41,14,38,23,1,2
2021/4/29,17,2021,4,33,5,38,11, ,3
2021/4/30,17,2021,4,53,18,57,16,1,3
2021/3/1,17,2021,3,39,9,34,11,1,2
2021/3/2,17,2021,3,26,8,37,4,3,2
2021/3/3,17,2021,3,44,9,35,18,1,3
2021/3/4,17,2021,3,35,10,23,18,1,3
2021/3/5,17,2021,3,41,11,37,9, ,2
2021/3/6,17,2021,3,44,7,37,4,1,2
2021/3/7,17,2021,3,36,7,36,5,1,2
2021/3/8,17,2021,3,33,10,36,31,1,2
2021/3/9,17,2021,3,29,11,39,12,1,2
2021/3/10,17,2021,3,46,12,39,36,1,3
2021/3/11,17,2021,3,42,14,35,24,2,3
2021/3/12,17,2021,3,53,11,46,5,1,2
2021/3/13,17,2021,3,45,9,43,4,1,3
2021/3/14,17,2021,3,36,22,44,27,1,3
2021/3/15,17,2021,3,44,26,46,34,1,3
2021/3/16,17,2021,3,57,21,39,6,1,2
2021/3/17,17,2021,3,60,15,42,15,1,2
2021/3/18,17,2021,3,48,10,39,7,1,2
2021/3/19,17,2021,3,42,14,37,17,1,2
2021/3/20,17,2021,3,47,11,40,9,1,3
2021/3/21,17,2021,3,33,13,40,5,1,3
2021/3/22,17,2021,3,55,9,41,7,1,3
2021/3/23,17,2021,3,47,15,53,11,1,3
2021/3/24,17,2021,3,46,12,41,10,1,3
2021/3/25,17,2021,3,48,18,55,6,1,3
2021/3/26,17,2021,3,59,18,46,8,1,2
2021/3/27,17,2021,3,64,17,41,5,1,3
2021/3/28,17,2021,3,44,33,48,20,1,3
2021/3/29,17,2021,3,51,57,45,27,2, 
2021/2/1,17,2021,2,35,15,39,15,1,2
2021/2/2,17,2021,2,47,10,38,13,1,3
2021/2/3,17,2021,2,38,12,38,22,1,2
2021/2/4,17,2021,2,44,10,35,25,2,3
2021/2/5,17,2021,2,32,14,40,33,2,3
2021/2/6,17,2021,2,46,31,44,16,1,4
2021/2/7,17,2021,2,73,17,34,11,2,3
2021/2/8,17,2021,2,43,4,32,12,1,3
2021/2/9,17,2021,2,31,8,40,18,1,4
2021/2/10,17,2021,2,44,20,44,14,1,4
2021/2/11,17,2021,2,64,19,32,32,3,3
2021/2/12,17,2021,2,57,14,40,21,1,3
2021/2/13,17,2021,2,45,11,38,16,1,3
2021/2/14,17,2021,2,45,8,42,10,1,2
2021/2/15,17,2021,2,36,10,36,7,1,2
2021/2/16,17,2021,2,41,6,34,5,1,2
2021/2/17,17,2021,2,28,6,33,9,1,2
2021/2/18,17,2021,2,34,8,38,19,2,3
2021/2/19,17,2021,2,27,20,55,30,1,3
2021/2/20,17,2021,2,62,25,60,20,1,3
2021/2/21,17,2021,2,73,18,53,24,1,3
2021/2/22,17,2021,2,59,17,42,7,1,3
2021/2/23,17,2021,2,54,8,35,6,1,2
2021/2/24,17,2021,2,40,10,35,29,3,3
2021/2/25,17,2021,2,40,11,38,14,4,3
2021/2/26,17,2021,2,43,8,38,3,1,2
