date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,39,2021,5,50,7,43,1, , 
2021/5/2,39,2021,5,31,8,45,1,1, 
2021/5/3,39,2021,5,31,10,45,1,1, 
2021/5/4,39,2021,5,38,11,27,1, , 
2021/5/5,39,2021,5,38, , , , , 
2021/4/10,39,2021,4,25,8,43,2,1, 
2021/4/11,39,2021,4,26,8,39,3,1, 
2021/4/12,39,2021,4,30,7,35,4,1, 
2021/4/13,39,2021,4,26,8,43,2,1, 
2021/4/14,39,2021,4,36,7,41,2,1, 
2021/4/15,39,2021,4,23,7,37,2,1, 
2021/4/16,39,2021,4,27,7,38,2, , 
2021/4/17,39,2021,4,23,11,38,1,1, 
2021/4/18,39,2021,4,35,11,45,2,1, 
2021/4/19,39,2021,4,41,14,49,2,1, 
2021/4/20,39,2021,4,49,16,62,3,1, 
2021/4/21,39,2021,4,54,15,55,3,1, 
2021/4/22,39,2021,4,56,14,43,2,1, 
2021/4/23,39,2021,4,45,10,42,1, , 
2021/4/24,39,2021,4,38,10,47,1,1, 
2021/4/25,39,2021,4,44,6,41,1, , 
2021/4/26,39,2021,4,22,9,44,2,1, 
2021/4/27,39,2021,4,27,8,32,2, , 
2021/4/28,39,2021,4,27,5,30,3,1, 
2021/4/29,39,2021,4,22,13,50,2,1, 
2021/4/30,39,2021,4,50,14,48,2,1, 
2021/3/1,39,2021,3,16,4,33,1, , 
2021/3/2,39,2021,3,14,8,35,1, , 
2021/3/3,39,2021,3,30,7,33,4,1, 
2021/3/4,39,2021,3,23,4,28,4, ,2
2021/3/5,39,2021,3,16,6,34,3,1,2
2021/3/6,39,2021,3,29,12,36,1, ,2
2021/3/7,39,2021,3,48,10,36,2,1,2
2021/3/8,39,2021,3,42,11,33,3, ,3
2021/3/9,39,2021,3,44,14,43,3, ,3
2021/3/10,39,2021,3,54,13,39,4,1,3
2021/3/11,39,2021,3,46,11,35,4,1,3
2021/3/12,39,2021,3,45,7,40,1, ,2
2021/3/13,39,2021,3,28,14,43,2,1,2
2021/3/14,39,2021,3,53,20,45,4,1,4
2021/3/15,39,2021,3,68,20,41,5,2,3
2021/3/16,39,2021,3,69,16,45,3,1,3
2021/3/17,39,2021,3,63,12,40,4,1, 
2021/3/18,39,2021,3,41,13,47,3,1, 
2021/3/19,39,2021,3,52,9,37,3,1, 
2021/3/20,39,2021,3,38,5,36,3,1, 
2021/3/21,39,2021,3,21,15,35,1,1,2
2021/3/22,39,2021,3,51,9,40,3,1,2
2021/3/23,39,2021,3,36,10,43,3,1,2
2021/3/24,39,2021,3,36,9,31,3,1,2
2021/3/25,39,2021,3,34,11,44,3, ,2
2021/3/26,39,2021,3,45,13,48,2, ,3
2021/3/27,39,2021,3,45,9,42,1, ,3
2021/3/28,39,2021,3,38,5,17,2, ,3
2021/3/29,39,2021,3,19, , , , , 
2021/2/1,39,2021,2,67,13,47,4,1,3
2021/2/2,39,2021,2,46,9,41,4,1,4
2021/2/3,39,2021,2,31,11,45,6,1,4
2021/2/4,39,2021,2,39,8,40,7, ,5
2021/2/5,39,2021,2,27,9,40,5,1,4
2021/2/6,39,2021,2,30,15,55,4,1,5
2021/2/7,39,2021,2,44,14,43,7,1,4
2021/2/8,39,2021,2,48,8,40,3,1,5
2021/2/9,39,2021,2,27,7,42,6,1,4
2021/2/10,39,2021,2,26,14,49,6,1,3
2021/2/11,39,2021,2,49,13,43,8,1,4
2021/2/12,39,2021,2,47,10,35,5,1,4
2021/2/13,39,2021,2,41,7,39,3, , 
2021/2/14,39,2021,2,24,6,48,2,1, 
2021/2/15,39,2021,2,31,8,44,2, , 
2021/2/16,39,2021,2,32,7,39,2,1, 
2021/2/17,39,2021,2,29,8,21,2,1, 
2021/2/18,39,2021,2,32,7,28,4,1, 
2021/2/19,39,2021,2,25,11,31,6,1, 
2021/2/20,39,2021,2,35,16,41,3,1, 
2021/2/21,39,2021,2,57,12,34,4,1, 
2021/2/22,39,2021,2,48,13,35,2,1, 
2021/2/23,39,2021,2,47,9,31,1,1, 
2021/2/24,39,2021,2,36,9,31,4,1, 
2021/2/25,39,2021,2,32,3,26,2, , 
2021/2/26,39,2021,2,18,7,31,1,1, 
2021/2/27,39,2021,2,26,6,32,2,1, 
2021/2/28,39,2021,2,18,5,31,3, , 
2021/1/4,39,2021,1,27,9,33,8,1, 
2021/1/5,39,2021,1,37,10,36,6,1, 
2021/1/6,39,2021,1,37,5,34,3, , 
2021/1/7,39,2021,1,23,9,33,3,1, 
2021/1/8,39,2021,1,32,6,36,4,1, 
2021/1/9,39,2021,1,29,6,35,4,1, 
2021/1/10,39,2021,1,26,7,37,6,1, 
2021/1/11,39,2021,1,24,7,28,5,1, 
2021/1/12,39,2021,1,29,13,34,8,1, 
2021/1/13,39,2021,1,49,18,36,8,1, 
2021/1/14,39,2021,1,56,18,43,8, , 
2021/1/15,39,2021,1,61,16,43,5,1, 
2021/1/16,39,2021,1,59,11,39,1,1, 
2021/1/17,39,2021,1,41,7,39,3,1, 
2021/1/18,39,2021,1,28,8,40,2,1, 
2021/1/19,39,2021,1,34,8,37,7,1, 
2021/1/20,39,2021,1,30,8,36,5,1, 
2021/1/21,39,2021,1,32,9,32,6,1, 
2021/1/22,39,2021,1,40,7,26,4, ,3
2021/1/23,39,2021,1,34,2,35,1, ,2
2021/1/24,39,2021,1,10,4,33,5,1,2
2021/1/25,39,2021,1,20,6,34,5,1,3
2021/1/26,39,2021,1,23,6,37,2,1,3
2021/1/27,39,2021,1,27,10,46,3,1,3
2021/1/28,39,2021,1,37,8,40,1, ,3
2021/1/29,39,2021,1,27,10,39,5,1, 
2021/1/30,39,2021,1,33,16,44,5,1, 
2021/1/31,39,2021,1,53,20,19,13,1, 
2020/10/1,39,2020,10,42,11,43,2,1,2
2020/10/2,39,2020,10,46,11,45,1,1,2
2020/10/3,39,2020,10,43,9,39,1, ,2
2020/10/4,39,2020,10,38,12,45,2,1, 
2020/10/5,39,2020,10,45,6,44,1,1, 
2020/10/6,39,2020,10,24,7,35,2,1, 
2020/10/7,39,2020,10,29,3,36,1, , 
2020/10/8,39,2020,10,18,3,16,5, , 
2020/10/9,39,2020,10,17,3,24,1, , 
2020/10/10,39,2020,10,16,5,26,1, , 
2020/10/11,39,2020,10,24,11,29,2,1, 
2020/10/12,39,2020,10,45,12,31,2,1, 
2020/10/13,39,2020,10,53,12,38,2, , 
2020/10/14,39,2020,10,53,8,44,1,1, 
2020/10/15,39,2020,10,37,6,35,2,1, 
2020/10/16,39,2020,10,26,3,30,2,1, 
2020/10/17,39,2020,10,17,4,29,2,1, 
2020/10/18,39,2020,10,19,7,17,5,1, 
2020/10/19,39,2020,10,39,6,42,3,1, 
2020/10/20,39,2020,10,31,9,46,2,1, 
2020/10/21,39,2020,10,43,9,32,3,1, 
2020/10/22,39,2020,10,35,7,37,3,1, 
2020/10/23,39,2020,10,33,8,38,2,1, 
2020/10/24,39,2020,10,28,6,39,2,1, 
2020/10/25,39,2020,10,28,8,40,3,1, 
2020/10/26,39,2020,10,35,8,40,3,1, 
2020/10/27,39,2020,10,45,11,37,4,1, 
2020/10/28,39,2020,10,51,13,65,4, , 
2020/10/29,39,2020,10,60,9,41,1, , 
2020/10/30,39,2020,10,39,5,40,2, , 
2020/10/31,39,2020,10,18,5,36,1, , 
2020/11/1,39,2020,11,30,3,23,4, , 
2020/11/2,39,2020,11,21,8,42,1, , 
2020/11/3,39,2020,11,34,6,40,2,1, 
2020/11/4,39,2020,11,27,6,37,4,1, 
2020/11/5,39,2020,11,29,10,30,5,1, 
2020/11/6,39,2020,11,49,7,18,5, , 
2020/11/7,39,2020,11,35,11,43,2,1, 
2020/11/8,39,2020,11,50,9,37,3,1, 
2020/11/9,39,2020,11,38,6,37,4,1, 
2020/11/10,39,2020,11,30,5,35,2,1, 
2020/11/11,39,2020,11,22,9,27,4,1,3
2020/11/12,39,2020,11,35,5,23,4, ,3
2020/11/13,39,2020,11,28,7,32,3,1,4
2020/11/14,39,2020,11,38,7,27,2,1,3
2020/11/15,39,2020,11,32,8,23,4,1,5
2020/11/16,39,2020,11,39,10,24,5,1,3
2020/11/17,39,2020,11,51,12,35,5,1,4
2020/11/18,39,2020,11,57,9,25,5,1, 
2020/11/19,39,2020,11,47,9,30,3,1, 
2020/11/20,39,2020,11,43,6,33,1,1, 
2020/11/21,39,2020,11,30,5,32,2, , 
2020/11/22,39,2020,11,35,6,35,1, , 
2020/11/23,39,2020,11,34,8,32,3,1, 
2020/11/24,39,2020,11,37,11,17,6,1, 
2020/11/25,39,2020,11,55,8,28,6,1, 
2020/11/26,39,2020,11,42,8,36,4,1, 
2020/11/27,39,2020,11,45,6,31,2,1, 
2020/11/28,39,2020,11,29,5,31,3,1, 
2020/11/29,39,2020,11,26,7,30,4,1, 
2020/11/30,39,2020,11,28,6,33,4, , 
