date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,28,2021,5,68,12,44,5,1, 
2021/5/2,28,2021,5,44,16,51,11,1, 
2021/5/3,28,2021,5,55,16,51,12,1, 
2021/5/4,28,2021,5,53,15,45,4,1, 
2021/5/5,28,2021,5,41, , , , , 
2021/4/1,28,2021,4,76,41,50,19,1, 
2021/4/2,28,2021,4,93,22,42,15,1, 
2021/4/3,28,2021,4,67,31,35,16,1, 
2021/4/4,28,2021,4,59,9,39,5,1, 
2021/4/5,28,2021,4,28,16,30,23,1, 
2021/4/6,28,2021,4,50,15,44,22,1, 
2021/4/7,28,2021,4,54,19,45,23,1, 
2021/4/8,28,2021,4,61,13,40,7,1, 
2021/4/9,28,2021,4,52,11,37,9,1, 
2021/4/10,28,2021,4,41,13,42,11,1, 
2021/4/11,28,2021,4,47,15,40,19,1, 
2021/4/12,28,2021,4,52,15,34,22,1, 
2021/4/13,28,2021,4,46,19,36,14,1, 
2021/4/14,28,2021,4,43,13,42,21,1, 
2021/4/15,28,2021,4,46,12,35,21,1, 
2021/4/16,28,2021,4,50,11,32,19,1, 
2021/4/17,28,2021,4,34,19,38,7,1, 
2021/4/18,28,2021,4,53,20,42,16,1, 
2021/4/19,28,2021,4,61,23,56,33,2, 
2021/4/20,28,2021,4,66,30,70,35,1, 
2021/4/21,28,2021,4,85,16,41,30,2, 
2021/4/22,28,2021,4,60,19,53,20,1, 
2021/4/23,28,2021,4,62,19,42,16,1, 
2021/4/24,28,2021,4,54,14,44,7,1, 
2021/4/25,28,2021,4,53,12,40,8,1, 
2021/4/26,28,2021,4,44,13,45,18,1, 
2021/4/27,28,2021,4,43,20,34,25,1, 
2021/4/28,28,2021,4,49,9,31,17,1, 
2021/4/29,28,2021,4,21,23,52,20,1, 
2021/4/30,28,2021,4,62,28,51,13,1, 
2021/3/1,28,2021,3,45,13,33,18,1, 
2021/3/2,28,2021,3,29,10,35,10,1, 
2021/3/3,28,2021,3,40,13,35,24,1, 
2021/3/4,28,2021,3,48,8,28,12,1, 
2021/3/5,28,2021,3,33,13,38,12,1, 
2021/3/6,28,2021,3,43,10,36,8,1, 
2021/3/7,28,2021,3,41,10,34,16,1, 
2021/3/8,28,2021,3,38,12,29,34,1, 
2021/3/9,28,2021,3,46,17,39,21,1, 
2021/3/10,28,2021,3,58,14,30,35,1, 
2021/3/11,28,2021,3,64,17,32,31,1, 
2021/3/12,28,2021,3,57,9,41,10,1, 
2021/3/13,28,2021,3,29,16,38,9,1, 
2021/3/14,28,2021,3,56,28,42,31,1, 
2021/3/15,28,2021,3,82,35,32,40,1, 
2021/3/16,28,2021,3,97,28,39,18,1, 
2021/3/17,28,2021,3,76,20,33,28,1, 
2021/3/18,28,2021,3,64,16,34,31,1, 
2021/3/19,28,2021,3,57,19,41,17,1, 
2021/3/20,28,2021,3,55,17,34,11,1, 
2021/3/21,28,2021,3,30,17,34,13,1, 
2021/3/22,28,2021,3,54,13,38,19,2, 
2021/3/23,28,2021,3,50,12,40,20,1, 
2021/3/24,28,2021,3,46,14,22,29,1, 
2021/3/25,28,2021,3,49,21,45,16,1, 
2021/3/26,28,2021,3,69,18,52,13,1, 
2021/3/27,28,2021,3,64,14,35,16,1, 
2021/3/28,28,2021,3,46,36,55,23,1, 
2021/3/29,28,2021,3,90,64,40,29,2, 
2021/3/30,28,2021,3,145,33,41,19,1, 
2021/3/31,28,2021,3,78,29,47,26,1, 
2021/2/1,28,2021,2,58,17,34,13,1, 
2021/2/2,28,2021,2,54,15,33,16,1, 
2021/2/3,28,2021,2,61,15,33,22,2, 
2021/2/4,28,2021,2,55,14,34,26,1, 
2021/2/5,28,2021,2,51,19,28,35,2, 
2021/2/6,28,2021,2,62,29,40,22,2, 
2021/2/7,28,2021,2,83,20,30,14,1, 
2021/2/8,28,2021,2,59,10,28,15,1, 
2021/2/9,28,2021,2,38,15,33,25,1, 
2021/2/10,28,2021,2,54,26,39,20,2, 
2021/2/11,28,2021,2,80,28,30,39,1, 
2021/2/12,28,2021,2,85,20,36,25,1, 
2021/2/13,28,2021,2,59,14,35,20,1, 
2021/2/14,28,2021,2,46,13,37,14,1, 
2021/2/15,28,2021,2,37,14,34,12,1, 
2021/2/16,28,2021,2,48,12,31,10,1, 
2021/2/17,28,2021,2,46,10,28,13,1, 
2021/2/18,28,2021,2,47,11,33,16,1, 
2021/2/19,28,2021,2,44,18,36,26,1, 
2021/2/20,28,2021,2,63,24,48,21,1, 
2021/2/21,28,2021,2,73,23,38,29,1, 
2021/2/22,28,2021,2,66,19,37,9,1, 
2021/2/23,28,2021,2,60,10,34,9,1, 
2021/2/24,28,2021,2,40,12,27,24,1, 
2021/2/25,28,2021,2,40,12,35,24,1, 
2021/2/26,28,2021,2,41,15,36,6,1, 
2021/2/27,28,2021,2,56,14,33,17,1, 
2021/2/28,28,2021,2,49,15,31,19,1, 
2021/1/4,28,2021,1,46,11,31,28,1, 
2021/1/5,28,2021,1,60,8,32,12,1, 
2021/1/6,28,2021,1,45,10,28,13,1, 
2021/1/7,28,2021,1,39,8,29,12,1, 
2021/1/8,28,2021,1,32,9,31,10,1, 
2021/1/9,28,2021,1,39,10,29,10,1, 
2021/1/10,28,2021,1,46,12,25,18,1, 
2021/1/11,28,2021,1,49,17,17,31,1, 
2021/1/12,28,2021,1,65,20,26,29,1, 
2021/1/13,28,2021,1,71,36,27,37,2, 
2021/1/14,28,2021,1,89,40,25,45,1, 
2021/1/15,28,2021,1,95,26,26,31,1, 
2021/1/16,28,2021,1,71,12,32,9,1, 
2021/1/17,28,2021,1,40,12,30,15,1, 
2021/1/18,28,2021,1,45,11,29,11,1, 
2021/1/19,28,2021,1,42,10,27,25,1, 
2021/1/20,28,2021,1,42,17,14,41,1, 
2021/1/21,28,2021,1,59,24,7,43,1, 
2021/1/22,28,2021,1,79,16,27,31,1, 
2021/1/23,28,2021,1,51,8,32,13,1, 
2021/1/24,28,2021,1,23,12,31,21,1, 
2021/1/25,28,2021,1,43,13,25,26,1, 
2021/1/26,28,2021,1,48,12,33,13,1, 
2021/1/27,28,2021,1,42,17,32,24,1, 
2021/1/28,28,2021,1,59,10,31,11,1, 
2021/1/29,28,2021,1,44,14,31,16,1, 
2021/1/30,28,2021,1,49,25,29,17,1, 
2021/1/31,28,2021,1,72,20,32,27,1, 
2020/10/1,28,2020,10,31,15,40,21,1, 
2020/10/2,28,2020,10,43,19,43,20,1, 
2020/10/3,28,2020,10,53,20,36,14,1, 
2020/10/4,28,2020,10,53,21,32,10,1, 
2020/10/5,28,2020,10,57,13,32,10,1, 
2020/10/6,28,2020,10,34,12,31,10,1, 
2020/10/7,28,2020,10,33,10,35,14,1, 
2020/10/8,28,2020,10,26,8,33,8,1, 
2020/10/9,28,2020,10,13,7,31,5, , 
2020/10/10,28,2020,10,16,9,30,8,1, 
2020/10/11,28,2020,10,35,12,29,19,1, 
2020/10/12,28,2020,10,40,11,36,9,1, 
2020/10/13,28,2020,10,40,16,34,18,1, 
2020/10/14,28,2020,10,46,12,35,8,1, 
2020/10/15,28,2020,10,34,12,35,10,1, 
2020/10/16,28,2020,10,31,11,32,12,1, 
2020/10/17,28,2020,10,23,10,27,14,1, 
2020/10/18,28,2020,10,29,15,19,30,1, 
2020/10/19,28,2020,10,44,16,40,21,1, 
2020/10/20,28,2020,10,55,17,40,19,1, 
2020/10/21,28,2020,10,53,16,34,13,1, 
2020/10/22,28,2020,10,41,14,33,13,1, 
2020/10/23,28,2020,10,34,14,36,10,1, 
2020/10/24,28,2020,10,44,14,42,14,1, 
2020/10/25,28,2020,10,45,16,36,22,1, 
2020/10/26,28,2020,10,49,13,33,24,1, 
2020/10/27,28,2020,10,37,15,33,27,1, 
2020/10/28,28,2020,10,47,23,37,14,1, 
2020/10/29,28,2020,10,61,12,31,11,1, 
2020/10/30,28,2020,10,35,13,26,21,1, 
2020/10/31,28,2020,10,43,15,34,13,1, 
2020/11/1,28,2020,11,48,16,27,25,1, 
2020/11/2,28,2020,11,40,14,33,6,1, 
2020/11/3,28,2020,11,43,11,31,9,1, 
2020/11/4,28,2020,11,38,12,30,26,1, 
2020/11/5,28,2020,11,47,17,30,30,1, 
2020/11/6,28,2020,11,51,25,18,30,1, 
2020/11/7,28,2020,11,62,25,41,13,1, 
2020/11/8,28,2020,11,63,13,31,7,1, 
2020/11/9,28,2020,11,37,11,27,11,1, 
2020/11/10,28,2020,11,35,11,28,15,1, 
2020/11/11,28,2020,11,35,14,25,29,1, 
2020/11/12,28,2020,11,46,21,27,27,1, 
2020/11/13,28,2020,11,55,13,32,17,1, 
2020/11/14,28,2020,11,46,15,26,22,1, 
2020/11/15,28,2020,11,47,23,39,30,2, 
2020/11/16,28,2020,11,64,23,36,36,1, 
2020/11/17,28,2020,11,67,23,39,29,1, 
2020/11/18,28,2020,11,67,23,30,24,2, 
2020/11/19,28,2020,11,57,26,28,15,1, 
2020/11/20,28,2020,11,48, , , , , 
2020/11/24,28,2020,11,31,8,19,28,1, 
2020/11/25,28,2020,11,24,8,22,21,1, 
2020/11/26,28,2020,11,34,9,29,12,1, 
2020/11/27,28,2020,11,37,10,27,7,1, 
2020/11/28,28,2020,11,34,10,25,11,1,4
2020/11/29,28,2020,11,28,11,29,20,1,4
2020/11/30,28,2020,11,44,10,29,15,1,4
2020/12/1,28,2020,12,33,9,17,22,1,4
2020/12/2,28,2020,12,36,9,32,15,1,4
2020/12/3,28,2020,12,35,11,30,13,1,3
2020/12/4,28,2020,12,35,13,32,17,1,5
2020/12/5,28,2020,12,44,13,29,20,1, 
2020/12/6,28,2020,12,46,19,24,30,2, 
2020/12/7,28,2020,12,61,23,34,16,1, 
2020/12/8,28,2020,12,70,16,28,25,1, 
2020/12/9,28,2020,12,51,21,17,33,1, 
2020/12/10,28,2020,12,68,17,28,28,1, 
2020/12/11,28,2020,12,62,23,34,22,1, 
2020/12/12,28,2020,12,70,18,32,13,1, 
2020/12/13,28,2020,12,61,12,30,14,1, 
2020/12/14,28,2020,12,43,9,26,12,1, 
2020/12/15,28,2020,12,32,8,34,12,1, 
2020/12/16,28,2020,12,30,9,30,12,1, 
2020/12/17,28,2020,12,34,13,26,17,1, 
2020/12/18,28,2020,12,45,11,27,13,1, 
2020/12/19,28,2020,12,44,7,28,8, , 
2020/12/20,28,2020,12,25,12,32,22,1, 
2020/12/21,28,2020,12,48,18,29,27,1, 
2020/12/22,28,2020,12,63,25,34,31,2, 
2020/12/23,28,2020,12,80,34,14,39,1, 
2020/12/24,28,2020,12,98,19,30,13,1, 
2020/12/25,28,2020,12,67,13,26,11,1, 
2020/12/26,28,2020,12,49,17,22,19,2, 
2020/12/27,28,2020,12,61,18,26,19,3, 
2020/12/28,28,2020,12,60,18,23,30,1, 
2020/12/29,28,2020,12,65,11,30,11,1, 
2020/12/30,28,2020,12,40,7,28,6,1, 
2020/12/31,28,2020,12,24,10,29,7,1, 
2021/1/1,28,2021,1,33,13,30,9,1, 
2021/1/2,28,2021,1,49,15,30,8,1, 
2021/1/3,28,2021,1,51,8,29,13,2, 
2020/7/1,28,2020,7,55,13,38,14,1, 
2020/7/2,28,2020,7,37,13,28,19,1, 
2020/7/3,28,2020,7,30,23,27,12,1, 
2020/7/4,28,2020,7,36,26,40,12,1, 
2020/7/5,28,2020,7,52,36,9,8,1, 
2020/7/6,28,2020,7,52,35,30,11,1, 
2020/7/7,28,2020,7,41,19,41,19,1, 
2020/7/8,28,2020,7,31,20,20,15,1, 
2020/7/9,28,2020,7,32,24,9,11,1, 
2020/7/10,28,2020,7,32,36,15,11,1, 
2020/7/11,28,2020,7,55,11,36,7,1, 
2020/7/12,28,2020,7,32,15,21,21,1, 
2020/7/13,28,2020,7,36,32,35,10,1, 
2020/7/14,28,2020,7,46,14,32,12,1, 
2020/7/15,28,2020,7,33,16,47,19,1, 
2020/7/16,28,2020,7,38,14,35,15,1, 
2020/7/17,28,2020,7,31,17,44,13,1, 
2020/7/18,28,2020,7,35,25,43,10,1, 
2020/7/19,28,2020,7,56,40,47,20,2, 
2020/7/20,28,2020,7,78,41,42,18,3, 
2020/7/21,28,2020,7,76,25,60,16,1, 
2020/7/22,28,2020,7,50,24,29,17,1, 
2020/7/23,28,2020,7,48,20,18,10,1, 
2020/7/24,28,2020,7,37,17,28,11,1, 
2020/7/25,28,2020,7,23,18,24,13,1, 
2020/7/26,28,2020,7,30,19,14,15,1, 
2020/7/27,28,2020,7,26,33,12,12,1, 
2020/7/28,28,2020,7,46,26,25,19,2, 
2020/7/29,28,2020,7,49,26,36,18,1, 
2020/7/30,28,2020,7,43,31,42,19,1, 
2020/7/31,28,2020,7,53,25,60,14,1, 
2020/8/1,28,2020,8,54,34,64,12,1, 
2020/8/2,28,2020,8,64,35,28,12,1, 
2020/8/3,28,2020,8,63,50,32,14,1, 
2020/8/4,28,2020,8,91,65,49,18,4, 
2020/8/5,28,2020,8,125,40,25,12,1, 
2020/8/6,28,2020,8,77,40,22,13,2, 
2020/8/7,28,2020,8,74,53,16,8,4, 
2020/8/8,28,2020,8,90,35,16,5,1, 
2020/8/9,28,2020,8,56,23,12,5,1, 
2020/8/10,28,2020,8,30,35,17,7,1, 
2020/8/11,28,2020,8,45,25,36,15,1, 
2020/8/12,28,2020,8,48,31,43,17,2, 
2020/8/13,28,2020,8,56,37,48,14,2, 
2020/8/14,28,2020,8,59,38,59,13,3, 
2020/8/15,28,2020,8,63,34,67,12,2, 
2020/8/16,28,2020,8,66,40,81,18,2, 
2020/8/17,28,2020,8,79,27,46,12,1, 
2020/8/18,28,2020,8,64,15,70,11,1, 
2020/8/19,28,2020,8,63,38,45,18,1, 
2020/8/20,28,2020,8,67,44,75,14,2, 
2020/8/21,28,2020,8,125,38,52,6,1, 
2020/8/22,28,2020,8,89,29,49,5,1, 
2020/8/23,28,2020,8,137,38,49,12,1, 
2020/8/24,28,2020,8,69,41,36,14,1, 
2020/8/25,28,2020,8,72,27,41,14,1, 
2020/8/26,28,2020,8,49,30,37,16,1, 
2020/8/27,28,2020,8,53,24,35,14,1, 
2020/8/28,28,2020,8,35,27,33,10,1, 
2020/8/29,28,2020,8,38,36,54,10,1, 
