date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,19,2021,5,78,16,40,1,1,2
2021/5/2,19,2021,5,38,5,42,1,1,2
2021/5/3,19,2021,5,44,10,46,2,1,2
2021/5/4,19,2021,5,54,18,35,2, ,2
2021/5/5,19,2021,5,20, , , , , 
2021/4/10,19,2021,4,19,9,42,4, ,2
2021/4/11,19,2021,4,42,9,40,4,1,2
2021/4/12,19,2021,4,44,6,33,4,1,2
2021/4/13,19,2021,4,36,6,34,3,1,2
2021/4/14,19,2021,4,43,6,32,3,1,2
2021/4/15,19,2021,4,43,8,35,5,1,3
2021/4/16,19,2021,4,35,10,25,5,1,3
2021/4/17,19,2021,4,27,7,39,1,1,2
2021/4/18,19,2021,4,30,7,42,3,1,2
2021/4/19,19,2021,4,52,12,48,6,1,3
2021/4/20,19,2021,4,59,12,57,5,1,3
2021/4/21,19,2021,4,52,7,40,3,1,2
2021/4/22,19,2021,4,52,10,46,4,1,2
2021/4/23,19,2021,4,64,15,48,7,1,3
2021/4/24,19,2021,4,55,14,43,3,1,3
2021/4/25,19,2021,4,64,5,39,2,1,2
2021/4/26,19,2021,4,48,6,42,4,1,2
2021/4/27,19,2021,4,50,9,35,4,1,2
2021/4/28,19,2021,4,47,18,27,3,1,2
2021/4/29,19,2021,4,23,14,52,3,1,3
2021/4/30,19,2021,4,60,11,46,3,1,3
2021/3/1,19,2021,3,44,8,34,4,1,3
2021/3/2,19,2021,3,33,4,34,4,1,2
2021/3/3,19,2021,3,51,1,27,6,1,3
2021/3/4,19,2021,3,27,9,26,9, ,3
2021/3/5,19,2021,3,33,7,30,6,1,3
2021/3/6,19,2021,3,41,7,27,3,1,3
2021/3/7,19,2021,3,41,15,21,9,1,4
2021/3/8,19,2021,3,47,5,30,7,1,2
2021/3/9,19,2021,3,38,9,40,6,1,3
2021/3/10,19,2021,3,43,9,37,7,1,3
2021/3/11,19,2021,3,43,12,30,12,1,3
2021/3/12,19,2021,3,49,7,30,8,1,4
2021/3/13,19,2021,3,22,5,39,3, ,2
2021/3/14,19,2021,3,43,6,39,4,1,2
2021/3/15,19,2021,3,43,10,34,10,1,4
2021/3/16,19,2021,3,46,9,36,6,1,3
2021/3/17,19,2021,3,48,13,20,7, ,3
2021/3/18,19,2021,3,46,10,47,7,1,3
2021/3/19,19,2021,3,46,12,42,6,1,3
2021/3/20,19,2021,3,48,15,30,6,1,3
2021/3/21,19,2021,3,22,7,38,4,1,2
2021/3/22,19,2021,3,43,4,35,5,1,3
2021/3/23,19,2021,3,37,10,42,3,1,3
2021/3/24,19,2021,3,44,11,35,3,1,3
2021/3/25,19,2021,3,45,11,50,3,1,3
2021/3/26,19,2021,3,49,13,49,3,1,3
2021/3/27,19,2021,3,52,15,41,2, ,3
2021/3/28,19,2021,3,48,17,23,3, ,3
2021/3/29,19,2021,3,18, , , ,1, 
2021/2/1,19,2021,2,44,8,37,8,1,3
2021/2/2,19,2021,2,36,4,34,3,1,3
2021/2/3,19,2021,2,33,5,36,7,1,4
2021/2/4,19,2021,2,39,3,31,7,1,4
2021/2/5,19,2021,2,35,8,33,12,1,4
2021/2/6,19,2021,2,50,11,44,8,1,4
2021/2/7,19,2021,2,48,7,32,5,1,3
2021/2/8,19,2021,2,42,2,32,3,1,3
2021/2/9,19,2021,2,28,6,29,13,1,4
2021/2/10,19,2021,2,39,8,38,8,1,3
2021/2/11,19,2021,2,41,13,22,16,1,6
2021/2/12,19,2021,2,53,12,35,13,1,5
2021/2/13,19,2021,2,58,10,33,7, ,3
2021/2/14,19,2021,2,52,8,35,7,1,3
2021/2/15,19,2021,2,22,4,36,2, ,2
2021/2/16,19,2021,2,21,3,34,3,1,2
2021/2/17,19,2021,2,27,2,32,3,1,3
2021/2/18,19,2021,2,30,4,31,9,1,4
2021/2/19,19,2021,2,33,12,48,9,1,4
2021/2/20,19,2021,2,55,20,44,6,1,4
2021/2/21,19,2021,2,73,16,45,11,1,4
2021/2/22,19,2021,2,62,9,37,3, ,3
2021/2/23,19,2021,2,30,2,34,3,1,2
2021/2/24,19,2021,2,44,6,32,8,1,3
2021/2/25,19,2021,2,38,8,30,10,1,3
2021/2/26,19,2021,2,33,6,36,3, ,2
2021/2/27,19,2021,2,30,4,36,5, ,3
2021/2/28,19,2021,2,43,6,32,9,1,3
2021/1/4,19,2021,1,33,5,24,13,1,4
