date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,43,2021,5,50,22,44,1,1,1
2021/5/2,43,2021,5,34,20,44,2,3,1
2021/5/3,43,2021,5,34,24,41,3,4,1
2021/5/4,43,2021,5,51,21,24,3,1, 
2021/5/5,43,2021,5,47, , , , , 
2021/4/10,43,2021,4,39,23,49,4,9,1
2021/4/11,43,2021,4,45,17,34,7,1,1
2021/4/12,43,2021,4,31,15,41,5,1,1
2021/4/13,43,2021,4,20,24,42,3,1,1
2021/4/14,43,2021,4,41,19,44,5,3,2
2021/4/15,43,2021,4,37,18,35,7,1,1
2021/4/16,43,2021,4,32,26,42,4,1,1
2021/4/17,43,2021,4,47,21,40,2,1,2
2021/4/18,43,2021,4,31,24,53,5,1,1
2021/4/19,43,2021,4,42,29,62,7,1,1
2021/4/20,43,2021,4,49,31,65,7,3,1
2021/4/21,43,2021,4,59,34,58,7,2,1
2021/4/22,43,2021,4,69,26,48,4,1,1
2021/4/23,43,2021,4,49,26,43,2,2,1
2021/4/24,43,2021,4,46,22,47,2,1,1
2021/4/25,43,2021,4,41,19,42,2,1,1
2021/4/26,43,2021,4,28,23,43,5,2,1
2021/4/27,43,2021,4,38,19,34,4,1,1
2021/4/28,43,2021,4,40,18,40,2, ,1
2021/4/29,43,2021,4,30,38,72,4,1,1
2021/4/30,43,2021,4,69,30,54,2,1,1
2021/3/1,43,2021,3,27,14,33,1,3,1
2021/3/2,43,2021,3,26,21,31,1,4,2
2021/3/3,43,2021,3,35,16,30,11,1,2
2021/3/4,43,2021,3,37,14,30,8,1,2
2021/3/5,43,2021,3,33,16,32,5,1,1
2021/3/6,43,2021,3,34,21,29,3,1,2
2021/3/7,43,2021,3,51,19,37,5,1,1
2021/3/8,43,2021,3,44,24,28,11,1,2
2021/3/9,43,2021,3,53,26,44,8,1,1
2021/3/10,43,2021,3,58,33,44,12,3,2
2021/3/11,43,2021,3,70,23,33,9,2,1
2021/3/12,43,2021,3,45,21,40,2,1,1
2021/3/13,43,2021,3,37,31,43,6,1,2
2021/3/14,43,2021,3,72,27,43,9,1,3
2021/3/15,43,2021,3,64,26,37,10,1,2
2021/3/16,43,2021,3,53,32,45,5,1,1
2021/3/17,43,2021,3,55,38,45,9,8,2
2021/3/18,43,2021,3,71,33,30,12,2,2
2021/3/19,43,2021,3,65,18,30,9,1,1
2021/3/20,43,2021,3,37,19,39,3,1,1
2021/3/21,43,2021,3,33,25,38,3,1,1
2021/3/22,43,2021,3,51,28,42,9,1,1
2021/3/23,43,2021,3,51,32,41,8,6,1
2021/3/24,43,2021,3,59,29,44,7,1,1
2021/3/25,43,2021,3,61,29,55,9,1,1
2021/3/26,43,2021,3,54,29,48,7,3,1
2021/3/27,43,2021,3,58,22,43,4,1,2
2021/3/28,43,2021,3,35,19,11,10, ,2
2021/3/29,43,2021,3,60, , , , , 
2021/2/1,43,2021,2,59,24,37,5,1,2
2021/2/2,43,2021,2,40,21,34,7,1,2
2021/2/3,43,2021,2,47,28,31,15,1,3
2021/2/4,43,2021,2,61,25,30,13,1,3
2021/2/5,43,2021,2,58,17,33,8,1,2
2021/2/6,43,2021,2,38,31,44,8,2,3
2021/2/7,43,2021,2,63,28,35,8,1,3
2021/2/8,43,2021,2,68,19,32,11,1,2
2021/2/9,43,2021,2,41,19,31,14,1,2
2021/2/10,43,2021,2,46,26,34,12,2,2
2021/2/11,43,2021,2,65,34,32,17,6,4
2021/2/12,43,2021,2,80,18,30,5,1,1
2021/2/13,43,2021,2,38,16,29,6,1,1
2021/2/14,43,2021,2,25,18,37,3,1,1
2021/2/15,43,2021,2,39,21,35,2,1,1
2021/2/16,43,2021,2,31,17,31,1,1, 
2021/2/17,43,2021,2,33,18,30,3,1,1
2021/2/18,43,2021,2,39,22,36,9,1,2
2021/2/19,43,2021,2,46,22,45,9,1,2
2021/2/20,43,2021,2,46,28,46,3,1,2
2021/2/21,43,2021,2,52,22,37,7,1,1
2021/2/22,43,2021,2,38,26,39,4,1,1
2021/2/23,43,2021,2,49,23,37,7,4,2
2021/2/24,43,2021,2,47,25,34,7,4,2
2021/2/25,43,2021,2,50,10,34,4,1,2
2021/2/26,43,2021,2,13,17,34,3,2,2
2021/2/27,43,2021,2,28,16,34,1,1,1
2021/2/28,43,2021,2,33,12,32,7,1,1
2021/1/4,43,2021,1,37,22,27,11,1,2
2021/1/5,43,2021,1,60,17,29,10,1,2
2021/1/6,43,2021,1,56,11,25,6,1,1
2021/1/7,43,2021,1,33,8,25,6, ,2
2021/1/8,43,2021,1,26,11,25,8, ,2
2021/1/9,43,2021,1,39,15,27,10, ,3
2021/1/10,43,2021,1,50,22,22,12,2,3
2021/1/11,43,2021,1,65,21,26,12,1,2
2021/1/12,43,2021,1,58,32,31,18,1,3
2021/1/13,43,2021,1,63,38,37,19,1,4
2021/1/14,43,2021,1,70,36,35,14,6,4
2021/1/15,43,2021,1,72,39,35,11,1,4
2021/1/16,43,2021,1,74,18,31,3,1,3
2021/1/17,43,2021,1,40,21,28,11,1,5
2021/1/18,43,2021,1,45,24,33,10,1,5
2021/1/19,43,2021,1,51,23,30,13,3,4
2021/1/20,43,2021,1,58,28,26,20,5,4
2021/1/21,43,2021,1,69,31,29,16,2,3
2021/1/22,43,2021,1,74,20,19,15,1,3
2021/1/23,43,2021,1,56,9,29,2,1,1
2021/1/24,43,2021,1,17,14,27,9,1,2
2021/1/25,43,2021,1,31,18,30,18,1,2
2021/1/26,43,2021,1,42,14,34,3,1,1
2021/1/27,43,2021,1,27,26,37,8,1,2
2021/1/28,43,2021,1,54,18,30,4,1,1
2021/1/29,43,2021,1,41,28,35,10,1,2
2021/1/30,43,2021,1,59,29,38,9,1,2
2021/1/31,43,2021,1,66,26,35,12,6,3
2020/10/1,43,2020,10,39,18,40,6,2,1
2020/10/2,43,2020,10,52,28,41,6,14,1
2020/10/3,43,2020,10,79,30,35,4,10,1
2020/10/4,43,2020,10,84,18,42,3,1,1
2020/10/5,43,2020,10,54,12,34,5,1,1
2020/10/6,43,2020,10,25,12,39,3,8,1
2020/10/7,43,2020,10,32,12,31,2,1,1
2020/10/8,43,2020,10,22,13,28,2,1, 
2020/10/9,43,2020,10,24,12,31,5, , 
2020/10/10,43,2020,10,32,12,33,3,1,1
2020/10/11,43,2020,10,35,18,40,4, ,1
2020/10/12,43,2020,10,52,21,47,6,1,1
2020/10/13,43,2020,10,58,17,42,5,1,1
2020/10/14,43,2020,10,54,14,46,5, ,1
2020/10/15,43,2020,10,44,20,35,6,3,2
2020/10/16,43,2020,10,58,5,28,4, ,1
2020/10/17,43,2020,10,17,10,37,4,3,1
2020/10/18,43,2020,10,30,12,35,5,1,2
2020/10/19,43,2020,10,41,15,37,6,7,1
2020/10/20,43,2020,10,46,13,37,6,1,1
2020/10/21,43,2020,10,38,12,22,6,1,1
2020/10/22,43,2020,10,33,30,36,4,1,2
2020/10/23,43,2020,10,45,22,37,6,1,1
2020/10/24,43,2020,10,36,28,40,5,1,2
2020/10/25,43,2020,10,48,26,42,9,1,2
2020/10/26,43,2020,10,53,32,50,10,2,2
2020/10/27,43,2020,10,65,36,47,11,1,2
2020/10/28,43,2020,10,72,40,61,9,1,2
2020/10/29,43,2020,10,78,33,38,6,1,1
2020/10/30,43,2020,10,55,25,36,5,3,2
2020/10/31,43,2020,10,36,24,33,6,1,1
2020/11/1,43,2020,11,54,16,31,7, ,1
2020/11/2,43,2020,11,33,31,39,5,1,1
2020/11/3,43,2020,11,54,18,32,8,1,2
2020/11/4,43,2020,11,33,21,33,13,2,3
2020/11/5,43,2020,11,44,29,32,14,4,3
2020/11/6,43,2020,11,63,18,17,10, ,1
2020/11/7,43,2020,11,51,30,46,5,1,1
2020/11/8,43,2020,11,56,24,31,6,1,2
2020/11/9,43,2020,11,46,21,31,8,1,1
2020/11/10,43,2020,11,45,21,35,8,17,1
2020/11/11,43,2020,11,50,25,35,10,3,2
2020/11/12,43,2020,11,47,29,32,10,3,2
2020/11/13,43,2020,11,63,30,41,6,3,1
2020/11/14,43,2020,11,55,33,36,8,2,2
2020/11/15,43,2020,11,65,34,25,15,3,3
2020/11/16,43,2020,11,81,30,30,10,3,2
2020/11/17,43,2020,11,69,26,35,11,1,2
2020/11/18,43,2020,11,56,21,28,11,5,2
2020/11/19,43,2020,11,43,15,32,4,1,3
2020/11/20,43,2020,11,48,17,33,6,1,2
2020/11/21,43,2020,11,51,22,24,9,1,3
2020/11/22,43,2020,11,65,14,32,4,1,1
2020/11/23,43,2020,11,43,20,24,10,4,2
2020/11/24,43,2020,11,55,24,32,11,1,2
2020/11/25,43,2020,11,63,23,23,13,1,3
2020/11/26,43,2020,11,64,24,35,10,1,2
2020/11/27,43,2020,11,62,13,31,5,1,1
2020/11/28,43,2020,11,37,13,31,6,1,2
2020/11/29,43,2020,11,45,16,27,9, ,2
2020/11/30,43,2020,11,46,14,30,9,1,1
2020/12/1,43,2020,12,42,21,24,14,4,2
2020/12/2,43,2020,12,51,15,35,11,1,2
2020/12/3,43,2020,12,45,19,32,11,1,2
2020/12/4,43,2020,12,51,18,32,10,1,2
2020/12/5,43,2020,12,51,19,33,9,1,2
2020/12/6,43,2020,12,60,23,28,12,1,3
2020/12/7,43,2020,12,64,30,35,12,1,3
2020/12/8,43,2020,12,74,26,28,15,1,3
2020/12/9,43,2020,12,71,23,28,16,2,3
2020/12/10,43,2020,12,62,28,20,20,1,3
2020/12/11,43,2020,12,65,32,39,13,1,3
2020/12/12,43,2020,12,76,29,37,12,1,3
2020/12/13,43,2020,12,78,15,28,6,1,2
2020/12/14,43,2020,12,42,12,27,9,1,1
2020/12/15,43,2020,12,29,15,24,13,1,2
2020/12/16,43,2020,12,42,19,28,14,1,3
2020/12/17,43,2020,12,45,16,29,14,1,2
2020/12/18,43,2020,12,37,17,30,12,1,2
2020/12/19,43,2020,12,46,13,29,9,1,2
2020/12/20,43,2020,12,32,19,30,11,1,2
2020/12/21,43,2020,12,49,32,30,18,1,3
2020/12/22,43,2020,12,77,37,36,17,1,3
2020/12/23,43,2020,12,93,30,14,20,1,3
2020/12/24,43,2020,12,72,17,28,10,1,2
2020/12/25,43,2020,12,46,19,28,11,1,2
2020/12/26,43,2020,12,53,33,16,11,2,4
2020/12/27,43,2020,12,91,20,30,9,1,2
2020/12/28,43,2020,12,63,20,21,14,1,4
2020/12/29,43,2020,12,52,8,28,3,1,1
2020/12/30,43,2020,12,34,8,29,3,1,1
2020/12/31,43,2020,12,22,12,27,6, ,2
2021/1/1,43,2021,1,41,13,22,8, ,2
2021/1/2,43,2021,1,42,15,31,6, ,2
2021/1/3,43,2021,1,46,13,29,8,1,2
2020/7/1,43,2020,7,34,23,47,4,4,1
2020/7/2,43,2020,7,42,17,27,5,1,1
2020/7/3,43,2020,7,33,15,35,3,1,1
2020/7/4,43,2020,7,22,17,35,2,1,1
2020/7/5,43,2020,7,28,14,25,2,1, 
2020/7/6,43,2020,7,16,17,20,2,1,1
2020/7/7,43,2020,7,19,20,37,2,1,1
2020/7/8,43,2020,7,24,14,23,5,1,1
2020/7/9,43,2020,7,16,13,20,4,1,1
2020/7/10,43,2020,7,22,15,32,2,1, 
2020/7/11,43,2020,7,19,14,23,3, ,1
2020/7/12,43,2020,7,23,18,10,3,1,1
2020/7/13,43,2020,7,34,17,33,2,1,1
2020/7/14,43,2020,7,19,14,28,2,1,1
2020/7/15,43,2020,7,14,15,34,2,1,1
2020/7/16,43,2020,7,20,23,39,2,2,1
2020/7/17,43,2020,7,42,29,36,2,1,1
2020/7/18,43,2020,7,55,18,19,2,1,1
2020/7/19,43,2020,7,33,14,11,1,1, 
2020/7/20,43,2020,7,16,17,17,2,1,1
2020/7/21,43,2020,7,25,14,12,1,1, 
2020/7/22,43,2020,7,22,13,12,2,1,1
2020/7/23,43,2020,7,21,16,35,2,1,1
2020/7/24,43,2020,7,26,17,31,2,1,1
2020/7/25,43,2020,7,22,24,25,3,1,1
2020/7/26,43,2020,7,50,20,9,5,1,1
2020/7/27,43,2020,7,39,19,11,3,2,1
2020/7/28,43,2020,7,34,22,12,2,1,2
2020/7/29,43,2020,7,41,26,17,2,1,1
2020/7/30,43,2020,7,55,23,22,2, ,1
2020/7/31,43,2020,7,47,22,24,3,1,1
2020/8/1,43,2020,8,43,38,15,1,1, 
2020/8/2,43,2020,8,83,56,21,2,7,1
2020/8/3,43,2020,8,119,55,18,3,8,1
2020/8/4,43,2020,8,117,31,19,2,4,1
2020/8/5,43,2020,8,66,41,15,2,5,2
2020/8/6,43,2020,8,84,40,16,2,1,1
2020/8/7,43,2020,8,78,24,12,1,1, 
2020/8/8,43,2020,8,45,17,13,2,3, 
2020/8/9,43,2020,8,32,11,13,1,1,1
2020/8/10,43,2020,8,15,15,13,1,1,1
2020/8/11,43,2020,8,21,17,15,1,1, 
2020/8/12,43,2020,8,24,16,13,1,1, 
2020/8/13,43,2020,8,29,13,14,1,1, 
2020/8/14,43,2020,8,18,12,15,1,1, 
2020/8/15,43,2020,8,20,17,24,2,1, 
2020/8/16,43,2020,8,29,29,32,3,1,1
2020/8/17,43,2020,8,54,37,39,5,1,1
2020/8/18,43,2020,8,71,42,49,5,1,1
2020/8/19,43,2020,8,80,48,42,5,2,1
2020/8/20,43,2020,8,91,49,75,6,3,1
2020/8/21,43,2020,8,67,39,52,6,2,1
2020/8/22,43,2020,8,61,38,37,3,1,1
2020/8/23,43,2020,8,75,48,37,5,7,1
2020/8/24,43,2020,8,96,27,11,3,1,1
2020/8/25,43,2020,8,51,13,17,4,1,1
2020/8/26,43,2020,8,12,11,16,3,1,1
2020/8/27,43,2020,8,13,15,20,3,2,1
2020/8/28,43,2020,8,21,21,29,4,1,1
2020/8/29,43,2020,8,39,23,26,3,1,1
2020/8/30,43,2020,8,47,29,32,6,3,1
2020/8/31,43,2020,8,59,18,8,6,1,2
2020/9/1,43,2020,9,22,15,20,5,1,1
2020/9/2,43,2020,9,17,26,28,1,1, 
2020/9/3,43,2020,9,41,29,34,4,1,1
2020/9/4,43,2020,9,57,21,15,2,1,1
2020/9/5,43,2020,9,42,8,16,1,1, 
2020/9/6,43,2020,9,23,13,24,1, , 
2020/9/7,43,2020,9,18, , , , , 
2020/9/13,43,2020,9,17,14,43,9,1,1
2020/9/14,43,2020,9,33,19,38,10,2,1
2020/9/15,43,2020,9,48,23,22,13,1,1
2020/9/16,43,2020,9,57,12,20,9,1,1
2020/9/17,43,2020,9,23,13,35,9,1,2
2020/9/18,43,2020,9,25,16,34,10,1,1
2020/9/19,43,2020,9,48,15,41,3,1,1
2020/9/20,43,2020,9,46,11,39,4,2,1
2020/9/21,43,2020,9,35,19,39,4,5,1
2020/9/22,43,2020,9,49,21,43,4,5,1
2020/9/23,43,2020,9,55,10,24,5,1,1
2020/9/24,43,2020,9,31,7,32,3,1,1
2020/9/25,43,2020,9,15,14,30,2,1, 
2020/9/26,43,2020,9,31,9,34,2, ,1
2020/9/27,43,2020,9,22,12,35,3,15,1
2020/9/28,43,2020,9,36,20,43,6,5,1
2020/9/29,43,2020,9,52,22,40,5,1,1
2020/9/30,43,2020,9,62,13,37,5,2,1
2020/4/1,43,2020,4,33,24,45,6,1,1
2020/4/2,43,2020,4,53,30,42,8,4,1
2020/4/3,43,2020,4,67,32,59,6,1,1
2020/4/4,43,2020,4,66,26,42,3,1,1
2020/4/5,43,2020,4,48,27,47,5,12,1
2020/4/6,43,2020,4,57,30,55,6,2,1
2020/4/7,43,2020,4,62,36,71,8,1,2
2020/4/8,43,2020,4,72,31,55,6,1,1
2020/4/9,43,2020,4,63,31,58,5,1,1
2020/4/10,43,2020,4,64,27,53,5,1,1
2020/4/11,43,2020,4,58,18,35,3,2,1
2020/4/12,43,2020,4,36,17,39,1, ,1
2020/4/13,43,2020,4,25,24,47,6,1,1
2020/4/14,43,2020,4,51,26,49,7,2,1
2020/4/15,43,2020,4,55,31,51,6,1,1
2020/4/16,43,2020,4,62,29,41,7,3,1
2020/4/17,43,2020,4,65,39,65,3,1,1
2020/4/18,43,2020,4,68,28,36,4,3,1
2020/4/19,43,2020,4,58,20,52,2,1,1
2020/4/20,43,2020,4,27,24,45,3,1,2
2020/4/21,43,2020,4,40,26,44,1,1, 
2020/4/22,43,2020,4,38,28,39,2,1,1
2020/4/23,43,2020,4,43,24,46,4,1,1
2020/4/24,43,2020,4,43,28,73,4,1,1
2020/4/25,43,2020,4,49,43,82,2,1,1
2020/4/26,43,2020,4,69,31,57,5,1,1
2020/4/27,43,2020,4,63,30,59,4,1,1
2020/4/28,43,2020,4,56,27,59,4,1,1
2020/4/29,43,2020,4,53,25,59,4,1,1
2020/4/30,43,2020,4,50,32,45,3,1,1
2020/5/1,43,2020,5,64,34,40,3,14,1
2020/5/2,43,2020,5,80,31,22,3,2,1
2020/5/3,43,2020,5,70,27,56,2,1, 
2020/5/4,43,2020,5,57,30,42,2,1,1
2020/5/5,43,2020,5,63,40,44,1,2, 
2020/5/6,43,2020,5,88,23,45,3,14,1
2020/5/7,43,2020,5,37,19,47,5,1,1
2020/5/8,43,2020,5,30,22,34,4,2,1
