date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,33,2021,5,53,8,39,1, , 
2021/5/2,33,2021,5,26,18,41,6, , 
2021/5/3,33,2021,5,51,18,47,7, , 
2021/5/4,33,2021,5,56,19,27,4, , 
2021/5/5,33,2021,5,60, , , , , 
2021/4/10,33,2021,4,41,8,37,5, , 
2021/4/11,33,2021,4,33,12,38,6, , 
2021/4/12,33,2021,4,37,16,34,3, , 
2021/4/13,33,2021,4,33,15,36,6, , 
2021/4/14,33,2021,4,38,9,39,8, , 
2021/4/15,33,2021,4,35,12,38,5, , 
2021/4/16,33,2021,4,36,8,30,5, , 
2021/4/17,33,2021,4,25,19,37,2, , 
2021/4/18,33,2021,4,52,22,40,11, , 
2021/4/19,33,2021,4,59,25,40,21, , 
2021/4/20,33,2021,4,69,26,66,20, , 
2021/4/21,33,2021,4,73,19,47,14, , 
2021/4/22,33,2021,4,60,17,46,12, , 
2021/4/23,33,2021,4,53,20,44,4, , 
2021/4/24,33,2021,4,56,13,43,5, , 
2021/4/25,33,2021,4,43,12,38,7, , 
2021/4/26,33,2021,4,38,12,40,5, , 
2021/4/27,33,2021,4,36,16,31,8, , 
2021/4/28,33,2021,4,49,10,29,5, , 
2021/4/29,33,2021,4,30,22,56,7, , 
2021/4/30,33,2021,4,54,20,51,5, , 
2021/3/1,33,2021,3,31,6,33,4, , 
2021/3/2,33,2021,3,18,9,35,9, , 
2021/3/3,33,2021,3,35,10,30,10, , 
2021/3/4,33,2021,3,38,9,20,9, , 
2021/3/5,33,2021,3,30,10,36,8, , 
2021/3/6,33,2021,3,34,10,34,3, , 
2021/3/7,33,2021,3,38,7,32,5, , 
2021/3/8,33,2021,3,31,8,27,9, , 
2021/3/9,33,2021,3,32,16,39,9, , 
2021/3/10,33,2021,3,55,12,30,11, , 
2021/3/11,33,2021,3,43,16,28,15, , 
2021/3/12,33,2021,3,51,10,39,2, , 
2021/3/13,33,2021,3,34,17,35,7, , 
2021/3/14,33,2021,3,53,30,39,17, , 
2021/3/15,33,2021,3,84,35,25,20, , 
2021/3/16,33,2021,3,86,24,38,4, , 
2021/3/17,33,2021,3,59,20,36,10, , 
2021/3/18,33,2021,3,55,18,39,12, , 
2021/3/19,33,2021,3,54,17,35,8, , 
2021/3/20,33,2021,3,45,22,36,6, , 
2021/3/21,33,2021,3,43,16,33,4, , 
2021/3/22,33,2021,3,54,15,34,12, , 
2021/3/23,33,2021,3,54,19,41,12, , 
2021/3/24,33,2021,3,60,28,30,15, , 
2021/3/25,33,2021,3,74, , , , , 
2021/2/1,33,2021,2,71,15,34,5, , 
