date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,45,2021,5,52,10,45, ,1, 
2021/5/2,45,2021,5,35,7,42, ,1, 
2021/5/3,45,2021,5,40,10,39, ,2, 
2021/5/4,45,2021,5,42,12,25, , , 
2021/5/5,45,2021,5,29, , , , , 
2021/4/10,45,2021,4,48,9,37, ,1, 
2021/4/11,45,2021,4,37,15,34, ,1, 
2021/4/12,45,2021,4,36,17,36, , , 
2021/4/13,45,2021,4,33,12,37, ,1, 
2021/4/14,45,2021,4,34,8,39, ,1, 
2021/4/15,45,2021,4,36,9,36, ,1, 
2021/4/16,45,2021,4,34,13,41, ,1, 
2021/4/17,45,2021,4,37,10,36, , , 
2021/4/18,45,2021,4,42,12,41, ,1, 
2021/4/19,45,2021,4,43,16,49, ,4, 
2021/4/20,45,2021,4,52,18,64, ,2, 
2021/4/21,45,2021,4,57,12,50, ,1, 
2021/4/22,45,2021,4,48,16,44, ,1, 
2021/4/23,45,2021,4,39,11,35, , , 
2021/4/24,45,2021,4,37,12,42, ,1, 
2021/4/25,45,2021,4,40,9,38, ,1, 
2021/4/26,45,2021,4,36,10,37, ,1, 
2021/4/27,45,2021,4,38,12,27, ,2, 
2021/4/28,45,2021,4,33,12,39, ,1, 
2021/4/29,45,2021,4,33,21,66, ,1, 
2021/4/30,45,2021,4,60,16,53, ,1, 
2021/3/1,45,2021,3,31,4,32,1,1, 
2021/3/2,45,2021,3,26,7,30,4,1, 
2021/3/3,45,2021,3,33,12,28,4,1, 
2021/3/4,45,2021,3,31,9,32,1,1, 
2021/3/5,45,2021,3,34,10,25,3,1, 
2021/3/6,45,2021,3,30,18,27,1, , 
2021/3/7,45,2021,3,40,12,28,4, , 
2021/3/8,45,2021,3,41,13,31,3, , 
2021/3/9,45,2021,3,41,16,40,4, , 
2021/3/10,45,2021,3,45,16,42,4,1, 
2021/3/11,45,2021,3,50,17,35,3, , 
2021/3/12,45,2021,3,37,5,36,1,1, 
2021/3/13,45,2021,3,32,17,40,1,1, 
2021/3/14,45,2021,3,48,20,41,4,1, 
2021/3/15,45,2021,3,57,22,40,2,6, 
2021/3/16,45,2021,3,59,18,42,3,2, 
2021/3/17,45,2021,3,49,16,37,4,1, 
2021/3/18,45,2021,3,48,14,32,4, , 
2021/3/19,45,2021,3,39,10,32,1, , 
2021/3/20,45,2021,3,31,10,39,1, , 
2021/3/21,45,2021,3,28,13,38,1, , 
2021/3/22,45,2021,3,45,12,35,4,5, 
2021/3/23,45,2021,3,41,12,37,3,1, 
2021/3/24,45,2021,3,42,11,33,3,1, 
2021/3/25,45,2021,3,38,15,48,4,1, 
2021/3/26,45,2021,3,46,15,49,3,1, 
2021/3/27,45,2021,3,46,11,46,1, , 
2021/3/28,45,2021,3,28,19,47,1, , 
2021/3/29,45,2021,3,38, , , , , 
2021/2/1,45,2021,2,49,19,40,1,1, 
2021/2/2,45,2021,2,44,8,33,1,1, 
2021/2/3,45,2021,2,36,13,40,3, , 
2021/2/4,45,2021,2,43,12,31,4,5, 
2021/2/5,45,2021,2,43,11,30,3, , 
2021/2/6,45,2021,2,33,12,39,1,1, 
2021/2/7,45,2021,2,39,16,36,1,1, 
2021/2/8,45,2021,2,51,7,30,7,1, 
2021/2/9,45,2021,2,34,6,31,5,1, 
2021/2/10,45,2021,2,36,15,34,5,1, 
2021/2/11,45,2021,2,39,20,35,8,1, 
2021/2/12,45,2021,2,52,13,28,1, , 
2021/2/13,45,2021,2,29,10,27,1, , 
2021/2/14,45,2021,2,27,9,35,1, , 
2021/2/15,45,2021,2,27,7,32,1, , 
2021/2/16,45,2021,2,31,6,32, , , 
2021/2/17,45,2021,2,29,5,31,1, , 
2021/2/18,45,2021,2,29,9,35,2,1, 
2021/2/19,45,2021,2,37,10,43,1,1, 
2021/2/20,45,2021,2,37,14,43,1, , 
2021/2/21,45,2021,2,43,10,37,1, , 
2021/2/22,45,2021,2,33,19,39,2,1, 
2021/2/23,45,2021,2,47,14,33,5,1, 
2021/2/24,45,2021,2,43,13,33,7,1, 
2021/2/25,45,2021,2,36,2,30,6, , 
2021/2/26,45,2021,2,26, , , , , 
2021/1/4,45,2021,1,32,11,23,5,3, 
