date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,18,2021,5,45,7,43,1, ,3
2021/5/2,18,2021,5,17,10,49,1, ,3
2021/5/3,18,2021,5,32,10,54,1,1,3
2021/5/4,18,2021,5,32,13,33,3,1, 
2021/5/5,18,2021,5,44, , , , , 
2021/4/10,18,2021,4,16,7,40,2,1,2
2021/4/11,18,2021,4,20,9,43,3,1,2
2021/4/12,18,2021,4,30,4,39,3,1,2
2021/4/13,18,2021,4,16,4,38,2, ,3
2021/4/14,18,2021,4,14,6,38,3,1,3
2021/4/15,18,2021,4,21,7,39,2, ,2
2021/4/16,18,2021,4,25,3,28,3,1,2
2021/4/17,18,2021,4,9,13,41,1,1,2
2021/4/18,18,2021,4,37,15,44,3, ,3
2021/4/19,18,2021,4,49,16,68,5,1,3
2021/4/20,18,2021,4,52,21,52,5,1,3
2021/4/21,18,2021,4,62,12,44,4,1,2
2021/4/22,18,2021,4,42,12,47,3,1, 
2021/4/23,18,2021,4,43,14,50,3,1,3
2021/4/24,18,2021,4,50,10,43,1,1,2
2021/4/25,18,2021,4,30,8,41,1,1,2
2021/4/26,18,2021,4,28,6,45,3,1,2
2021/4/27,18,2021,4,19,9,29,5,1,3
2021/4/28,18,2021,4,31,2,36,1, ,3
2021/4/29,18,2021,4,9,11,51,2, ,4
2021/4/30,18,2021,4,36,15,50,1, ,3
2021/3/1,18,2021,3,22,2,37,2,1,2
2021/3/2,18,2021,3,7,7,37,2,1,2
2021/3/3,18,2021,3,21,8,35,6,1,3
2021/3/4,18,2021,3,25,8,16,3,1,2
2021/3/5,18,2021,3,24,9,35,5, ,2
2021/3/6,18,2021,3,28,6,35,1,1,2
2021/3/7,18,2021,3,17,5,32,3,1,2
2021/3/8,18,2021,3,16,7,30,5,1,2
2021/3/9,18,2021,3,23,10,36,6,2,2
2021/3/10,18,2021,3,31,11,36,7, ,2
2021/3/11,18,2021,3,32,12,33,9,1,3
2021/3/12,18,2021,3,44,5,41,2,1,2
2021/3/13,18,2021,3,17,6,39,1, ,2
2021/3/14,18,2021,3,17,7,40,3,1,2
2021/3/15,18,2021,3,25,17,31,10,1,3
