date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,7,2021,5,41,6,40,1, , 
2021/5/2,7,2021,5,25,8,40,1, , 
2021/5/3,7,2021,5,30,10,46,2, , 
2021/5/4,7,2021,5,42,9,19,4, , 
2021/5/5,7,2021,5,36, , , , , 
2021/4/10,7,2021,4,49,6,36,4,1, 
2021/4/11,7,2021,4,46,8,41,4,1, 
2021/4/12,7,2021,4,38,14,34,3,1, 
2021/4/13,7,2021,4,32,8,37,2, , 
2021/4/14,7,2021,4,23,14,35,2, , 
2021/4/15,7,2021,4,41,10,39,3,1, 
2021/4/16,7,2021,4,34,14,31,3, , 
2021/4/17,7,2021,4,32,6,39,1,1, 
2021/4/18,7,2021,4,24,14,41,2, , 
2021/4/19,7,2021,4,53,18,57,5,1, 
2021/4/20,7,2021,4,59,20,45,1,1, 
2021/4/21,7,2021,4,59,12,43,2,1, 
2021/4/22,7,2021,4,46,9,36,3,1, 
2021/4/23,7,2021,4,43,10,41,5,1, 
2021/4/24,7,2021,4,46,14,38,3, , 
2021/4/25,7,2021,4,45,7,34,1, , 
2021/4/26,7,2021,4,30,11,36,3, , 
2021/4/27,7,2021,4,60,14,37,8,1, 
2021/4/28,7,2021,4,43,14,31,5, , 
2021/4/29,7,2021,4,42,11,47,1, , 
2021/4/30,7,2021,4,28,11,45,2,1, 
2021/3/1,7,2021,3,40,7,32,1,1, 
2021/3/2,7,2021,3,21,8,33,4, , 
2021/3/3,7,2021,3,28,6,38,13,1, 
2021/3/4,7,2021,3,42,11,31,5,1, 
2021/3/5,7,2021,3,38,9,36,4, , 
2021/3/6,7,2021,3,34,6,33,3, , 
2021/3/7,7,2021,3,32,8,31,6, , 
2021/3/8,7,2021,3,32,9,30,9,1, 
2021/3/9,7,2021,3,40,22,33,4, , 
2021/3/10,7,2021,3,51,12,34,6, , 
2021/3/11,7,2021,3,36,14,31,14,1, 
2021/3/12,7,2021,3,44,10,33,6, , 
2021/3/13,7,2021,3,34,6,39,1, , 
2021/3/14,7,2021,3,14,9,38,1, , 
2021/3/15,7,2021,3,34,12,41,8,1, 
2021/3/16,7,2021,3,34,18,35,1, , 
2021/3/17,7,2021,3,44,11,36,2, , 
2021/3/18,7,2021,3,42,10,34,3,1, 
2021/3/19,7,2021,3,36,10,30,5, , 
2021/3/20,7,2021,3,29,9,36,2, , 
2021/3/21,7,2021,3,31,8,35,1, , 
2021/3/22,7,2021,3,32,10,33,6, , 
2021/3/23,7,2021,3,38,11,42,10,1, 
2021/3/24,7,2021,3,44,10,41,8, , 
2021/3/25,7,2021,3,43,15,50,5, , 
2021/3/26,7,2021,3,41,15,40,2, , 
2021/3/27,7,2021,3,59,15,38,3, , 
2021/3/28,7,2021,3,45,9,31,3, , 
2021/3/29,7,2021,3,24, , , , , 
2021/2/1,7,2021,2,39,11,28,5, , 
2021/2/2,7,2021,2,37,7,26,3, , 
2021/2/3,7,2021,2,20,7,28,5, , 
2021/2/4,7,2021,2,18,9,30,7, , 
2021/2/5,7,2021,2,29,8,34,12,1, 
2021/2/6,7,2021,2,43,10,37,5,1, 
2021/2/7,7,2021,2,42,5,28,2, , 
2021/2/8,7,2021,2,23,6,27,4, , 
2021/2/9,7,2021,2,21,5,29,4, , 
2021/2/10,7,2021,2,28,8,30,1, , 
2021/2/11,7,2021,2,34,7,27,8,1, 
2021/2/12,7,2021,2,37,8,26,14,1, 
2021/2/13,7,2021,2,46,10,32,10,1, 
2021/2/14,7,2021,2,41,14,30,7,1, 
2021/2/15,7,2021,2,44,7,31,2, , 
2021/2/16,7,2021,2,26,8,26,3, , 
2021/2/17,7,2021,2,19,5,27,2, , 
2021/2/18,7,2021,2,12,6,28,3, , 
2021/2/19,7,2021,2,23,12,43,8,1, 
2021/2/20,7,2021,2,45,21,44,5,1, 
2021/2/21,7,2021,2,76,19,41,4,1, 
2021/2/22,7,2021,2,66,7,36,1,1, 
2021/2/23,7,2021,2,31,7,30,1, , 
2021/2/24,7,2021,2,19,8,31,6,1, 
2021/2/25,7,2021,2,34,8,35,7, , 
2021/2/26,7,2021,2,40,6,31,2, , 
2021/2/27,7,2021,2,23,6,32,6,1, 
2021/2/28,7,2021,2,35,8,34,7,1, 
2021/1/4,7,2021,1,20,8,20,8,10, 
2021/1/5,7,2021,1,26,8,21,9,12, 
2021/1/6,7,2021,1,31,9,28,6,9, 
2021/1/7,7,2021,1,34,5,24,7, , 
2021/1/8,7,2021,1,22,8,21,10, , 
2021/1/9,7,2021,1,23,8,22,8, , 
2021/1/10,7,2021,1,22,7,23,8, , 
2021/1/11,7,2021,1,25,10,14,14, , 
2021/1/12,7,2021,1,31,10,20,16,1, 
2021/1/13,7,2021,1,40,8,29,6, , 
2021/1/14,7,2021,1,34,12,24,8,1, 
2021/1/15,7,2021,1,37,10,28,6, , 
2021/1/16,7,2021,1,37,7,26,2, , 
2021/1/17,7,2021,1,16,7,27,7,1, 
2021/1/18,7,2021,1,29,6,27,2, , 
2021/1/19,7,2021,1,14,6,27,5, , 
2021/1/20,7,2021,1,19,11,24,18,1, 
2021/1/21,7,2021,1,34,13,34,15,1, 
2021/1/22,7,2021,1,55,15,31,4,1, 
2021/1/23,7,2021,1,54,11,24,6, , 
2021/1/24,7,2021,1,42,10,27,12, , 
2021/1/25,7,2021,1,47,13,11,18,1, 
2021/1/26,7,2021,1,46,9,31,7, , 
2021/1/27,7,2021,1,35,10,24,5, , 
2021/1/28,7,2021,1,37,6,29,3, , 
2021/1/29,7,2021,1,26,7,28,4, , 
2021/1/30,7,2021,1,23,6,29,4, , 
2021/1/31,7,2021,1,31,9,23,12,1, 
2020/10/1,7,2020,10,32,8,30,4,9, 
2020/10/2,7,2020,10,33,11,16,6, , 
2020/10/3,7,2020,10,44,15,27,5,1, 
2020/10/4,7,2020,10,58,18,29,3, , 
2020/10/5,7,2020,10,41,8,25,2,13, 
2020/10/6,7,2020,10,23,9,22,5,10, 
2020/10/7,7,2020,10,24,9,16,5,10, 
2020/10/8,7,2020,10,23,9,16,6,10, 
2020/10/9,7,2020,10,26,11,14,7,7, 
2020/10/10,7,2020,10,24,7,21,2,4, 
2020/10/11,7,2020,10,16,6,22,4,4, 
2020/10/12,7,2020,10,12,7,28,2,9, 
2020/10/13,7,2020,10,20,8,28,4,14, 
2020/10/14,7,2020,10,30,7,26,1,9, 
2020/10/15,7,2020,10,19,8,26,5,4, 
2020/10/16,7,2020,10,29,8,16,6, , 
2020/10/17,7,2020,10,27,7,20,4, , 
2020/10/18,7,2020,10,28,9,6,9, , 
2020/10/19,7,2020,10,37,7,23,7, , 
2020/10/20,7,2020,10,32,9,25,9,1, 
2020/10/21,7,2020,10,33,11,14,10, , 
2020/10/22,7,2020,10,45,8,32,7, , 
2020/10/23,7,2020,10,29,6,26,2, , 
2020/10/24,7,2020,10,30,7,29,2, , 
2020/10/25,7,2020,10,30,7,25,5, , 
2020/10/26,7,2020,10,26,8,24,8,1, 
2020/10/27,7,2020,10,36,9,25,7,1, 
2020/10/28,7,2020,10,33,9,28,5, , 
2020/10/29,7,2020,10,35,6,25,4, , 
2020/10/30,7,2020,10,34,8,27,5, , 
2020/10/31,7,2020,10,45,8,21,7, , 
2020/11/1,7,2020,11,39,12,15,8,1, 
2020/11/2,7,2020,11,47,5,27,3, , 
2020/11/3,7,2020,11,30,4,22,3, , 
2020/11/4,7,2020,11,25,7,25,7, , 
2020/11/5,7,2020,11,27,13,12,13,1, 
2020/11/6,7,2020,11,47,14,18,10,1, 
2020/11/7,7,2020,11,53,14,35,3,1, 
2020/11/8,7,2020,11,51,7,21,2, , 
2020/11/9,7,2020,11,29,6,20,4,1, 
2020/11/10,7,2020,11,25,6,23,5, , 
2020/11/11,7,2020,11,19,7,18,12,1, 
2020/11/12,7,2020,11,37,10,19,13,1, 
2020/11/13,7,2020,11,42,9,28,1, , 
2020/11/14,7,2020,11,33,10,23,7,1, 
2020/11/15,7,2020,11,46,14,35,6,1, 
2020/11/16,7,2020,11,54,15,28,6,1, 
2020/11/17,7,2020,11,52,18,20,15,1, 
2020/11/18,7,2020,11,64,21,36,10,1, 
2020/11/19,7,2020,11,68,14,26,5,1, 
2020/11/20,7,2020,11,50,5,24,1, , 
2020/11/21,7,2020,11,29,9,20,5,1, 
2020/11/22,7,2020,11,52,5,26,5, , 
2020/11/23,7,2020,11,28,5,25,6, , 
2020/11/24,7,2020,11,21,9,16,8, , 
2020/11/25,7,2020,11,31,9,24,6, , 
2020/11/26,7,2020,11,28,9,22,4,1, 
2020/11/27,7,2020,11,32,8,25,2,5, 
2020/11/28,7,2020,11,34,5,22,5,5, 
2020/11/29,7,2020,11,34,5,21,7,6, 
2020/11/30,7,2020,11,24,4,24,5,4, 
2020/12/1,7,2020,12,26,4,23,6,8, 
2020/12/2,7,2020,12,30,7,20,7,8, 
2020/12/3,7,2020,12,24,4,24,3,6, 
2020/12/4,7,2020,12,20,8,14,12,1, 
2020/12/5,7,2020,12,39,9,20,10, , 
2020/12/6,7,2020,12,38,7,22,14, , 
2020/12/7,7,2020,12,38,8,27,5, , 
2020/12/8,7,2020,12,35,4,23,5, , 
2020/12/9,7,2020,12,25,9,8,17,1, 
2020/12/10,7,2020,12,37,7,16,13,16, 
2020/12/11,7,2020,12,39,11,26,9,12, 
2020/12/12,7,2020,12,32,7,23,5,10, 
2020/12/13,7,2020,12,29,5,21,3,2, 
2020/12/14,7,2020,12,15,7,21,5,3, 
2020/12/15,7,2020,12,10,7,22,3,3, 
2020/12/16,7,2020,12,11,6,22,5,4, 
2020/12/17,7,2020,12,12,8,25,8,3, 
2020/12/18,7,2020,12,21,6,25,2,4, 
2020/12/19,7,2020,12,12,6,26,1,2, 
2020/12/20,7,2020,12,16,6,27,6,5, 
2020/12/21,7,2020,12,20,8,13,17,4, 
2020/12/22,7,2020,12,29,10,15,22,1, 
2020/12/23,7,2020,12,36,10,21,17,1, 
2020/12/24,7,2020,12,42,7,29,2, , 
2020/12/25,7,2020,12,26,7,23,3, , 
2020/12/26,7,2020,12,18,7,18,7, , 
2020/12/27,7,2020,12,28,8,19,10,1, 
2020/12/28,7,2020,12,34,7,26,8,1, 
2020/12/29,7,2020,12,41,10,26,6, , 
