date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,20,2021,5,35,6,45,1,1, 
2021/5/2,20,2021,5,12,9,47,2,1, 
2021/5/3,20,2021,5,21,11,56,3,1, 
2021/5/4,20,2021,5,38,12,40,3,1, 
2021/5/5,20,2021,5,33, , , , , 
2021/4/10,20,2021,4,32,10,44,4,1, 
2021/4/11,20,2021,4,33,13,50,4,1, 
2021/4/12,20,2021,4,41,7,41,2,1, 
2021/4/13,20,2021,4,19,7,41,2,1, 
2021/4/14,20,2021,4,11,7,42,3,1, 
2021/4/15,20,2021,4,20,12,44,3,1, 
2021/4/16,20,2021,4,35,8,37,3,1, 
2021/4/17,20,2021,4,21,9,44,1,1, 
2021/4/18,20,2021,4,20,17,51,4,1, 
2021/4/19,20,2021,4,47,15,64,5,1, 
2021/4/20,20,2021,4,52,19,52,5,1, 
2021/4/21,20,2021,4,59,12,47,5,1, 
2021/4/22,20,2021,4,41,11,52,5,1, 
2021/4/23,20,2021,4,41,14,54,7,1, 
2021/4/24,20,2021,4,43,13,44,2,1, 
2021/4/25,20,2021,4,39,10,40,2,1, 
2021/4/26,20,2021,4,30,8,46,4,1, 
2021/4/27,20,2021,4,25,12,42,6,1, 
2021/4/28,20,2021,4,35,11,38,4,1, 
2021/4/29,20,2021,4,22,9,50,2,1, 
2021/4/30,20,2021,4,22,15,50,3,1, 
2021/3/1,20,2021,3,30,5,35,3,1, 
2021/3/2,20,2021,3,7,6,36,1,1, 
2021/3/3,20,2021,3,9,11,41,6,1, 
2021/3/4,20,2021,3,28,12,32,5,1, 
2021/3/5,20,2021,3,36,10,37,6,1, 
2021/3/6,20,2021,3,29,7,39,2,1, 
2021/3/7,20,2021,3,20,9,35,5,1, 
2021/3/8,20,2021,3,28,10,40,7,1, 
2021/3/9,20,2021,3,34,13,39,7,1, 
2021/3/10,20,2021,3,40,12,42,9,1, 
2021/3/11,20,2021,3,40,20,38,13,1, 
2021/3/12,20,2021,3,59,9,37,3,1, 
2021/3/13,20,2021,3,20,7,41,2,1, 
2021/3/14,20,2021,3,18,10,46,7,1, 
2021/3/15,20,2021,3,32,12,44,7,1, 
2021/3/16,20,2021,3,40,23,37,3,1, 
2021/3/17,20,2021,3,47,18,43,6,1, 
2021/3/18,20,2021,3,45,14,42,7,1, 
2021/3/19,20,2021,3,40,19,45,5,1, 
2021/3/20,20,2021,3,52,8,40,1,1, 
2021/3/21,20,2021,3,20,10,38,3,1, 
2021/3/22,20,2021,3,31,12,45,6,1,3
2021/3/23,20,2021,3,38,13,48,8,1,2
2021/3/24,20,2021,3,43,15,56,10,1,3
2021/3/25,20,2021,3,51,17,53,9,1,4
2021/3/26,20,2021,3,51,19,53,6,1,3
2021/3/27,20,2021,3,58,12,48,2,1,2
2021/3/28,20,2021,3,36,7,40,4, ,2
2021/3/29,20,2021,3,17, , , , , 
2021/2/1,20,2021,2,34,8,31,6,1, 
2021/2/2,20,2021,2,25,9,32,10,1, 
2021/2/3,20,2021,2,35,9,32,10,1, 
2021/2/4,20,2021,2,37,10,35,7,1, 
2021/2/5,20,2021,2,29,14,39,11,1, 
2021/2/6,20,2021,2,43,16,40,7,1, 
2021/2/7,20,2021,2,50,9,31,3,1, 
2021/2/8,20,2021,2,20,7,30,7,1, 
2021/2/9,20,2021,2,26,10,32,12,1, 
2021/2/10,20,2021,2,31,18,38,14,1,4
2021/2/11,20,2021,2,56,23,27,19,1,5
2021/2/12,20,2021,2,69,14,39,14,1,4
2021/2/13,20,2021,2,59,19,42,9,1,3
2021/2/14,20,2021,2,60,11,30,10,1,3
2021/2/15,20,2021,2,30,6,35,3,1,2
2021/2/16,20,2021,2,24,6,31,6,1,2
2021/2/17,20,2021,2,25,6,31,5,1, 
2021/2/18,20,2021,2,25,7,34,8,1, 
2021/2/19,20,2021,2,25,17,48,10,1, 
2021/2/20,20,2021,2,56,21,51,7,1, 
2021/2/21,20,2021,2,58,24,50,12,1, 
2021/2/22,20,2021,2,74,10,38,3,1, 
2021/2/23,20,2021,2,38,7,36,3,1, 
2021/2/24,20,2021,2,40,9,38,7,1, 
2021/2/25,20,2021,2,33,14,38,10,1, 
2021/2/26,20,2021,2,45,9,37,3, , 
2021/2/27,20,2021,2,32,11,41,6, , 
2021/2/28,20,2021,2,43,10,39,5,1, 
2021/1/4,20,2021,1,25,16,17,16,1, 
2021/1/5,20,2021,1,51,10,30,12,1, 
2021/1/6,20,2021,1,35,10,29,11,1, 
2021/1/7,20,2021,1,35,8,23,8, , 
2021/1/8,20,2021,1,27,6,27,7,1, 
2021/1/9,20,2021,1,26,10,27,8, , 
2021/1/10,20,2021,1,35,12,26,7,1, 
2021/1/11,20,2021,1,40,15,20,12,1, 
2021/1/12,20,2021,1,46,16,25,13,1, 
2021/1/13,20,2021,1,52,13,27,12,1, 
2021/1/14,20,2021,1,42,14,28,9,1,2
2021/1/15,20,2021,1,48,13,29,11,1,3
2021/1/16,20,2021,1,47,7,30,3, ,3
2021/1/17,20,2021,1,28,6,26,5,1,2
2021/1/18,20,2021,1,17,7,28,4,1,3
2021/1/19,20,2021,1,24,6,31,6,1,3
2021/1/20,20,2021,1,25,15,25,16,1,5
2021/1/21,20,2021,1,48,23,21,22,1,3
2021/1/22,20,2021,1,67,21,33,10,1,4
2021/1/23,20,2021,1,54,9,30,5,1,5
2021/1/24,20,2021,1,23,11,30,9,1, 
2021/1/25,20,2021,1,40,9,33,6,1, 
2021/1/26,20,2021,1,38,12,32,6,1, 
2021/1/27,20,2021,1,39,12,31,5,1, 
2021/1/28,20,2021,1,40,7,33,2,1, 
2021/1/29,20,2021,1,20,9,33,5, , 
2021/1/30,20,2021,1,30,11,32,6, , 
2021/1/31,20,2021,1,39,8,38,5,1, 
2020/10/1,20,2020,10,42,12,36,4,1, 
2020/10/2,20,2020,10,44,20,26,3,1, 
2020/10/3,20,2020,10,70,28,24,3,1, 
2020/10/4,20,2020,10,84,17,33,3,1, 
2020/10/5,20,2020,10,54,10,28,3,1, 
2020/10/6,20,2020,10,36,10,27,3,1, 
2020/10/7,20,2020,10,39,8,23,4,1, 
2020/10/8,20,2020,10,34,5,28,1,1, 
2020/10/9,20,2020,10,18,5,31,1,1, 
2020/10/10,20,2020,10,20,9,27,3,1, 
2020/10/11,20,2020,10,26,12,24,4,1, 
2020/10/12,20,2020,10,42,9,31,2,1, 
2020/10/13,20,2020,10,34,11,34,2,1, 
2020/10/14,20,2020,10,47,8,31,2,1, 
2020/10/15,20,2020,10,23,11,31,4,1, 
2020/10/16,20,2020,10,37,10,20,5,1, 
2020/10/17,20,2020,10,34,7,24,2,1, 
2020/10/18,20,2020,10,27,10,7,5,1, 
2020/10/19,20,2020,10,36,10,33,4,1, 
2020/10/20,20,2020,10,42,13,32,3,1, 
2020/10/21,20,2020,10,47,13,25,3,1, 
2020/10/22,20,2020,10,41,9,24,6,1, 
2020/10/23,20,2020,10,34,7,29,2,1, 
2020/10/24,20,2020,10,23,8,30,2,1, 
2020/10/25,20,2020,10,34,10,30,4,1, 
2020/10/26,20,2020,10,39,11,33,6,1, 
2020/10/27,20,2020,10,39,13,25,8,1, 
2020/10/28,20,2020,10,45,13,32,5,1, 
2020/10/29,20,2020,10,43,8,28,6,1, 
2020/10/30,20,2020,10,28,12,26,5,1, 
2020/10/31,20,2020,10,42,15,26,4,1, 
2020/11/1,20,2020,11,55,21,15,12,1, 
2020/11/2,20,2020,11,61,12,32,4,1, 
2020/11/3,20,2020,11,43,8,26,4,1, 
2020/11/4,20,2020,11,26,10,27,7,1, 
2020/11/5,20,2020,11,31,16,18,11,1, 
2020/11/6,20,2020,11,59,27,9,12,1, 
2020/11/7,20,2020,11,77,23,42,5,1, 
2020/11/8,20,2020,11,67,7,23,4,1, 
2020/11/9,20,2020,11,23,8,25,6,1, 
2020/11/10,20,2020,11,24,7,27,8,1, 
2020/11/11,20,2020,11,26,12,25,10,1, 
2020/11/12,20,2020,11,42,14,29,10,1, 
2020/11/13,20,2020,11,38,12,30,7,1, 
2020/11/14,20,2020,11,44,16,26,7,1, 
2020/11/15,20,2020,11,56,19,34,9,1, 
2020/11/16,20,2020,11,58,25,34,8,1, 
2020/11/17,20,2020,11,76,23,34,10,1, 
2020/11/18,20,2020,11,69,15,32,5,1, 
2020/11/19,20,2020,11,47,9,30,3,1, 
2020/11/20,20,2020,11,29,7,25,2,1, 
