date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2021/5/1,42,2021,5,57,15,46,2, 
2021/5/2,42,2021,5,54,13,46,4,2
2021/5/3,42,2021,5,51,14,44,2,2
2021/5/4,42,2021,5,56,18,43,1, 
2021/5/5,42,2021,5,50, , , , 
2021/4/10,42,2021,4,54,12,49,4,1
2021/4/11,42,2021,4,50,14,39,5,1
2021/4/12,42,2021,4,48,19,44,4,1
2021/4/13,42,2021,4,39,16,43,6, 
2021/4/14,42,2021,4,54,14,45,7,2
2021/4/15,42,2021,4,44,15,38,5,1
2021/4/16,42,2021,4,51,22,42,3,1
2021/4/17,42,2021,4,58,14,41,3, 
2021/4/18,42,2021,4,47,14,55,8,1
2021/4/19,42,2021,4,56,17,67,10,1
2021/4/20,42,2021,4,56,21,71,10,3
2021/4/21,42,2021,4,67,24,59,12,2
2021/4/22,42,2021,4,79,20,54,9,1
2021/4/23,42,2021,4,71,20,42,4,1
2021/4/24,42,2021,4,63,17,46,2,1
2021/4/25,42,2021,4,61,11,43,5,1
2021/4/26,42,2021,4,45,13,42,4,2
2021/4/27,42,2021,4,51,11,37,5,1
2021/4/28,42,2021,4,45,12,45,5,1
2021/4/29,42,2021,4,40,30,72,5,1
2021/4/30,42,2021,4,79,22,52,2, 
2021/3/1,42,2021,3,33,8,36,4, 
2021/3/2,42,2021,3,30,11,34,3,1
2021/3/3,42,2021,3,44,13,32,7,1
2021/3/4,42,2021,3,52,8,29,6, 
2021/3/5,42,2021,3,32,14,35,4, 
2021/3/6,42,2021,3,44,16,34,4, 
2021/3/7,42,2021,3,56,13,35,5,1
2021/3/8,42,2021,3,45,11,33,6,1
2021/3/9,42,2021,3,41,20,47,7,1
2021/3/10,42,2021,3,62,24,43,10,4
2021/3/11,42,2021,3,77,15,41,5,1
2021/3/12,42,2021,3,47,15,41,4,1
2021/3/13,42,2021,3,52,26,52,5,1
2021/3/14,42,2021,3,81,22,46,9,1
2021/3/15,42,2021,3,72,19,47,5,1
2021/3/16,42,2021,3,58,30,44,6,1
2021/3/17,42,2021,3,66,27,42,7,7
2021/3/18,42,2021,3,69,27,38,9,2
2021/3/19,42,2021,3,72,15,36,4,1
2021/3/20,42,2021,3,48,20,42,4,1
2021/3/21,42,2021,3,56,20,40,6, 
2021/3/22,42,2021,3,56,21,45,7, 
2021/3/23,42,2021,3,58,22,44,8, 
2021/3/24,42,2021,3,61,20,47,8,1
2021/3/25,42,2021,3,59,19,66,11,2
2021/3/26,42,2021,3,63,20,45,5,3
2021/3/27,42,2021,3,64,25,54,6,1
2021/3/28,42,2021,3,62,33,35,4, 
2021/3/29,42,2021,3,84, , , , 
2021/2/1,42,2021,2,53,23,34,8,1
2021/2/2,42,2021,2,63,12,31,9,1
2021/2/3,42,2021,2,40,16,33,11,1
2021/2/4,42,2021,2,52,12,31,12,1
2021/2/5,42,2021,2,49,11,34,9,1
2021/2/6,42,2021,2,47,38,47,10,1
2021/2/7,42,2021,2,90,21,34,8,1
