date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,15,2021,5,48,10,47,6,1,5
2021/5/2,15,2021,5,36,19,46,7,1,5
2021/5/3,15,2021,5,53,14,54,7,1,3
2021/5/4,15,2021,5,46,10,34,8,1, 
2021/5/5,15,2021,5,45, , , , , 
2021/4/10,15,2021,4,31,8,39,7,1,2
2021/4/11,15,2021,4,33,12,47,10,2,2
2021/4/12,15,2021,4,49,8,38,5,1,3
2021/4/13,15,2021,4,30,10,39,5,2,2
2021/4/14,15,2021,4,29,9,40,6,1,2
2021/4/15,15,2021,4,32,10,40,9,2, 
2021/4/16,15,2021,4,43,9,32,7,1,2
2021/4/17,15,2021,4,27,17,44,8,1,5
2021/4/18,15,2021,4,48,26,47,8,1,6
2021/4/19,15,2021,4,68,24,66,9,1,5
2021/4/20,15,2021,4,69,15,42,8,3,2
2021/4/21,15,2021,4,46,20,61,8,2,3
2021/4/22,15,2021,4,64,17,41,6,2,2
2021/4/23,15,2021,4,54,14,41,9,2,2
2021/4/24,15,2021,4,45,14,43,4,1, 
2021/4/25,15,2021,4,42,8,38,3,2,1
2021/4/26,15,2021,4,26,8,40,8,1,2
2021/4/27,15,2021,4,28,10,38,12,1,3
2021/4/28,15,2021,4,40,13,43,5,1, 
2021/4/29,15,2021,4,38,12,45,5,2,2
2021/4/30,15,2021,4,35,15,52,6,2,2
2021/3/1,15,2021,3,40,8,36,7, ,4
2021/3/2,15,2021,3,26,8,37,6,1,2
2021/3/3,15,2021,3,37,11,37,12,1,2
2021/3/4,15,2021,3,42,13,31,15,3,2
2021/3/5,15,2021,3,49,13,37,8, ,2
2021/3/6,15,2021,3,43,7,36,3,2, 
2021/3/7,15,2021,3,24,8,36,10,2,2
2021/3/8,15,2021,3,28,9,35,13,2,2
2021/3/9,15,2021,3,35,11,36,8,1,3
2021/3/10,15,2021,3,43,12,38,13,1,2
2021/3/11,15,2021,3,46,14,37,16,2,2
2021/3/12,15,2021,3,51,9,37,9,1,2
2021/3/13,15,2021,3,34,11,43,5,1,2
2021/3/14,15,2021,3,35,10,39,8,1,2
2021/3/15,15,2021,3,35,17,42,10,1,3
2021/3/16,15,2021,3,52,20,36,5,1,2
2021/3/17,15,2021,3,57,14,39,7,1,2
2021/3/18,15,2021,3,46,12,37,8,2,2
2021/3/19,15,2021,3,38,12,36,7,4,2
2021/3/20,15,2021,3,43,9,39,7,1,6
2021/3/21,15,2021,3,29,14,39,3,1,2
2021/3/22,15,2021,3,48,10,36,6,1,2
2021/3/23,15,2021,3,43,15,50,11,1,2
2021/3/24,15,2021,3,49,16,43,13,1,2
2021/3/25,15,2021,3,56,23,62,11,1,4
2021/3/26,15,2021,3,68,20,45,9,2,2
2021/3/27,15,2021,3,65,13,42,7,1,2
2021/3/28,15,2021,3,47,7,33,8, ,2
2021/3/29,15,2021,3,24, , , , , 
2021/2/1,15,2021,2,53,16,34,7,1,2
2021/2/2,15,2021,2,53,9,35,6,1,2
2021/2/3,15,2021,2,31,9,35,5,1,3
2021/2/4,15,2021,2,30,8,34,10,1,2
2021/2/5,15,2021,2,32,15,42,16,1,4
2021/2/6,15,2021,2,49,20,44,6,1,4
