date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,32,2021,5,38,10,40,1, ,2
2021/5/2,32,2021,5,28,10,48,1,1, 
2021/5/3,32,2021,5,31,10,49,1,1, 
2021/5/4,32,2021,5,32,12,45,1,1, 
2021/5/5,32,2021,5,34, , , , , 
2021/4/10,32,2021,4,21,7,38,1,1,2
2021/4/11,32,2021,4,25,8,38,2,1,2
2021/4/12,32,2021,4,28,6,42,1, ,2
2021/4/13,32,2021,4,17,9,36,1,2, 
2021/4/14,32,2021,4,32,7,40,1,1, 
2021/4/15,32,2021,4,17,9,41,1,1, 
2021/4/16,32,2021,4,31,9,45,1, ,2
2021/4/17,32,2021,4,30,13,38,1, ,2
2021/4/18,32,2021,4,32,12,57,1,1,2
2021/4/19,32,2021,4,39,16,76,1,1,2
2021/4/20,32,2021,4,55,24,68,3,1,3
2021/4/21,32,2021,4,71,15,42,2,1,2
2021/4/22,32,2021,4,49,13,44,1,1,2
2021/4/23,32,2021,4,45,15,38,1,1,2
2021/4/24,32,2021,4,45,9,42,1, ,2
2021/4/25,32,2021,4,24,6,39, , , 
2021/4/26,32,2021,4,15,12,44,2,1,2
2021/4/27,32,2021,4,38,8,31,1, ,2
2021/4/28,32,2021,4,28,8,34,1, , 
2021/4/29,32,2021,4,29,18,65,1,1,2
2021/4/30,32,2021,4,52,12,51,1,1, 
2021/3/1,32,2021,3,17,6,32,1,7,2
2021/3/2,32,2021,3,19,8,34,1, ,2
2021/3/3,32,2021,3,20,8,33,3,1,2
2021/3/4,32,2021,3,25,5,31,2, ,2
2021/3/5,32,2021,3,19,13,36,1, ,2
2021/3/6,32,2021,3,33,7,34,1, ,2
2021/3/7,32,2021,3,24,5,35,1,2, 
2021/3/8,32,2021,3,17,6,34,2,3, 
2021/3/9,32,2021,3,17,10,36,1, ,2
2021/3/10,32,2021,3,29,10,35,2,2,2
2021/3/11,32,2021,3,29,10,38,3,2,2
2021/3/12,32,2021,3,39,12,42,1, ,2
2021/3/13,32,2021,3,35,12,43,1,1,3
2021/3/14,32,2021,3,44,23,29,3,2,3
2021/3/15,32,2021,3,67,18,43,2,1,3
2021/3/16,32,2021,3,56,20,36,1, ,2
2021/3/17,32,2021,3,50,14,39,1,1,2
2021/3/18,32,2021,3,42,12,38,1, , 
2021/3/19,32,2021,3,35,12,30,2,1,2
2021/3/20,32,2021,3,35,8,40,1, ,3
2021/3/21,32,2021,3,29,14,34,1,7,2
2021/3/22,32,2021,3,53,10,45,2,1,2
2021/3/23,32,2021,3,51,16,48,1,2,2
2021/3/24,32,2021,3,38,14,46,2,6,2
2021/3/25,32,2021,3,40,15,48,1,1,2
2021/3/26,32,2021,3,53,14,46,3, ,2
2021/3/27,32,2021,3,45,11,55,1, ,2
2021/3/28,32,2021,3,35,20,58,1, ,3
2021/3/29,32,2021,3,61, , , , , 
2021/2/1,32,2021,2,43,13,37,1,4,2
2021/2/2,32,2021,2,45,11,35,1,2,2
2021/2/3,32,2021,2,37,11,37,1,3,2
2021/2/4,32,2021,2,40,10,29,2,1,2
2021/2/5,32,2021,2,28,8,38,1, ,2
2021/2/6,32,2021,2,26,36,41,2,1,4
2021/2/7,32,2021,2,95,11,28,2,3,2
2021/2/8,32,2021,2,47,8,28,1,3,2
2021/2/9,32,2021,2,23,13,44,2,2,2
2021/2/10,32,2021,2,41,19,40,3,1,3
2021/2/11,32,2021,2,60,17,35,5,1,3
2021/2/12,32,2021,2,61,15,36,4, ,2
2021/2/13,32,2021,2,51,13,29,3,1,2
2021/2/14,32,2021,2,54,9,38,1,2,2
2021/2/15,32,2021,2,35,8,33,1,1,2
2021/2/16,32,2021,2,29,8,30,1,2, 
2021/2/17,32,2021,2,25,6,30,1,4,2
2021/2/18,32,2021,2,21,8,31,1,2,2
2021/2/19,32,2021,2,37,19,49,1,1,2
2021/2/20,32,2021,2,56,22,47,1,1,2
2021/2/21,32,2021,2,62,14,44,1,1,2
2021/2/22,32,2021,2,44,17,38,1, ,2
2021/2/23,32,2021,2,55,8,34,1,1,2
2021/2/24,32,2021,2,32,7,33, ,167,2
2021/2/25,32,2021,2,26,7,35,1, , 
2021/2/26,32,2021,2,24,8,34,1, ,2
2021/2/27,32,2021,2,27,7,35,1, , 
2021/2/28,32,2021,2,21,5,36,1,1,2
2021/1/4,32,2021,1,25,10,34,1,5,2
2021/1/5,32,2021,1,38,5,34,1,3, 
2021/1/6,32,2021,1,18,6,30,1,3,2
2021/1/7,32,2021,1,26,4,31,1,3, 
2021/1/8,32,2021,1,13,4,32,1,1, 
2021/1/9,32,2021,1,14,5,30,1,1, 
2021/1/10,32,2021,1,17,7,28,2,1,2
2021/1/11,32,2021,1,27,7,29,2,4,2
2021/1/12,32,2021,1,32,15,28,3,2,2
2021/1/13,32,2021,1,45,25,35,4,6,3
2021/1/14,32,2021,1,68,20,38,5,4,3
2021/1/15,32,2021,1,62,21,34,1,1,2
2021/1/16,32,2021,1,62,9,31,1, ,2
2021/1/17,32,2021,1,41,7,33,1,2,2
2021/1/18,32,2021,1,24,6,32,1,14,2
2021/1/19,32,2021,1,29,6,29,3,2,2
2021/1/20,32,2021,1,32,12,28,5,2,3
2021/1/21,32,2021,1,46,17,14,10,1,3
2021/1/22,32,2021,1,69,11,36,1, ,2
2021/1/23,32,2021,1,49,7,34, , , 
2021/1/24,32,2021,1,26,6,35,1,1, 
2021/1/25,32,2021,1,19,9,18,7,1,3
2021/1/26,32,2021,1,37,9,32,2,11,2
2021/1/27,32,2021,1,32,11,34,2,1,2
2021/1/28,32,2021,1,40,7,33,1,2,2
2021/1/29,32,2021,1,26,12,38,1,1,2
2021/1/30,32,2021,1,32,15,33,2,1,2
2021/1/31,32,2021,1,55,13,35,2,1,2
2020/10/1,32,2020,10,29,13,34,1,1,2
2020/10/2,32,2020,10,38,19,33,1,1,2
2020/10/3,32,2020,10,56,21,36,1,1,2
2020/10/4,32,2020,10,59,12,34,1, ,2
2020/10/5,32,2020,10,38,8,27,1, ,2
2020/10/6,32,2020,10,22,6,30,1, ,2
2020/10/7,32,2020,10,20,6,30,1, ,2
2020/10/8,32,2020,10,18,9,31,1, ,2
2020/10/9,32,2020,10,18,9,29,1, ,2
2020/10/10,32,2020,10,17,10,31,1, ,2
2020/10/11,32,2020,10,23,10,30,1, ,2
2020/10/12,32,2020,10,24,13,38,1, ,2
2020/10/13,32,2020,10,39,12,35,1,1,2
2020/10/14,32,2020,10,42,8,33,1,1, 
2020/10/15,32,2020,10,28,7,33,1,1, 
2020/10/16,32,2020,10,19,6,30,1, , 
2020/10/17,32,2020,10,22,9,35,1, ,2
2020/10/18,32,2020,10,31,10,37,1, ,2
2020/10/19,32,2020,10,35,10,39,1,1,2
2020/10/20,32,2020,10,41,18,35,2,1,2
2020/10/21,32,2020,10,61,9,29,3,1,2
2020/10/22,32,2020,10,34,14,35,1, ,2
2020/10/23,32,2020,10,35,8,36,1,1,2
2020/10/24,32,2020,10,25,9,39,1,1,2
2020/10/25,32,2020,10,29,10,35,1,1,2
2020/10/26,32,2020,10,39,12,35,2,1,2
2020/10/27,32,2020,10,42,14,42,1,1,3
2020/10/28,32,2020,10,48,16,35,2,1,2
2020/10/29,32,2020,10,58,8,32,1, ,2
2020/10/30,32,2020,10,26,9,30,1, ,2
2020/10/31,32,2020,10,31,18,25,1,1,3
2020/11/1,32,2020,11,57,16,29,1, ,2
2020/11/2,32,2020,11,52,8,35,1,1,2
2020/11/3,32,2020,11,31,8,33,1,1,2
2020/11/4,32,2020,11,22,8,26,2,1,2
2020/11/5,32,2020,11,31,13,30,2,2,2
2020/11/6,32,2020,11,43,13,25,2, ,2
2020/11/7,32,2020,11,50,20,46,2,1,2
2020/11/8,32,2020,11,56,7,30,1, ,2
2020/11/9,32,2020,11,30,6,27,1, , 
2020/11/10,32,2020,11,17,6,30,1, , 
2020/11/11,32,2020,11,26,7,28,1,1,2
2020/11/12,32,2020,11,31,9,26,1,1,2
2020/11/13,32,2020,11,39,9,31,1, , 
2020/11/14,32,2020,11,34,13,29,1,1,3
2020/11/15,32,2020,11,41,20,37,3,1,3
2020/11/16,32,2020,11,68,18,36,4,1,2
2020/11/17,32,2020,11,64,22,30,4,1,2
2020/11/18,32,2020,11,72,10,34,1, ,1
2020/11/19,32,2020,11,37,10,37,1,1,3
2020/11/20,32,2020,11,29,6,26,1, ,2
2020/11/21,32,2020,11,15,7,29,1,1,3
2020/11/22,32,2020,11,23,9,28,1, ,2
2020/11/23,32,2020,11,26,8,21,1,4,2
2020/11/24,32,2020,11,29,8,21,3,3,2
2020/11/25,32,2020,11,30,8,28,1,4,2
2020/11/26,32,2020,11,31,8,34,1,1,3
2020/11/27,32,2020,11,25,7,27,1, ,2
2020/11/28,32,2020,11,28,5,32,1,1,2
2020/11/29,32,2020,11,15,9,33,1,3,2
2020/11/30,32,2020,11,25,7,26,2,8,2
2020/12/1,32,2020,12,30,6,27,1,3,2
2020/12/2,32,2020,12,25,5,33,1,3,1
2020/12/3,32,2020,12,17,4,29,2,2,2
2020/12/4,32,2020,12,14,6,32,2, ,2
2020/12/5,32,2020,12,23,8,26,1, ,2
2020/12/6,32,2020,12,34,12,36,1,1,2
2020/12/7,32,2020,12,48,15,35,2,2,2
2020/12/8,32,2020,12,53,5,25,2,2,2
2020/12/9,32,2020,12,26,7,15,3,1,2
2020/12/10,32,2020,12,23,10,29,3,1,2
2020/12/11,32,2020,12,40,17,36,2,1,3
2020/12/12,32,2020,12,66,11,37,1,1,2
2020/12/13,32,2020,12,40,6,33,1,5,2
2020/12/14,32,2020,12,31,3,28,1,6, 
2020/12/15,32,2020,12,13,3,29,1,5, 
2020/12/16,32,2020,12,16,3,28,1,4, 
2020/12/17,32,2020,12,18,8,30,2,2,3
2020/12/18,32,2020,12,32,5,32,1, ,2
2020/12/19,32,2020,12,21,4,31,1, , 
2020/12/20,32,2020,12,18,6,32,3,3,2
2020/12/21,32,2020,12,26,10,33,1,2,2
2020/12/22,32,2020,12,41,14,32,2,3,2
2020/12/23,32,2020,12,63,14,34,4,3,3
2020/12/24,32,2020,12,58,8,33,1,3,2
2020/12/25,32,2020,12,30,10,30,1,1,2
2020/12/26,32,2020,12,30,12,24,2,1,2
2020/12/27,32,2020,12,46,9,27,2,5,2
2020/12/28,32,2020,12,38,14,19,2,1,2
2020/12/29,32,2020,12,48,6,33,1, ,2
2020/12/30,32,2020,12,29,4,29,1, , 
2020/12/31,32,2020,12,14,5,31, , , 
2021/1/1,32,2021,1,15,9,32,1,1,2
2021/1/2,32,2021,1,28,8,31,1, , 
2021/1/3,32,2021,1,32,6,28,1,3,2
2020/7/1,32,2020,7,9,8,31,1, ,1
2020/7/2,32,2020,7,17,9,28,1, ,1
2020/7/3,32,2020,7,24,6,39,1, ,1
2020/7/4,32,2020,7,22,4,36,1, ,2
2020/7/5,32,2020,7,14,18,20,1,1,2
2020/7/6,32,2020,7,28,9,30,1,1,1
2020/7/7,32,2020,7,10,11,40,1,3,1
2020/7/8,32,2020,7,25,15,38,1,2,2
2020/7/9,32,2020,7,36,19,15,1, ,1
2020/7/10,32,2020,7,26,11,37,1, ,1
2020/7/11,32,2020,7,16,13,35,1, ,1
2020/7/12,32,2020,7,21,8,25,2,1,2
2020/7/13,32,2020,7,234,5,35,1,1,1
2020/7/14,32,2020,7,5,10,25, , , 
2020/7/15,32,2020,7,32,10,27, , ,1
2020/7/16,32,2020,7,31,8,27,1, , 
2020/7/17,32,2020,7,26,9,27,1, ,1
2020/7/18,32,2020,7,24,17,33,1,1,2
2020/7/19,32,2020,7,43,22,25,1,1,1
2020/7/20,32,2020,7,48,16,38,1,5,1
2020/7/21,32,2020,7,32,14,38,1,2,2
2020/7/22,32,2020,7,34,4,35,1, ,1
2020/7/23,32,2020,7,15,15,20,1, ,1
2020/7/24,32,2020,7,27,10,31,1, ,1
2020/7/25,32,2020,7,23,15,32,1,1,1
2020/7/26,32,2020,7,36,17,14,1,1,1
2020/7/27,32,2020,7,16,14,26,1,1,1
2020/7/28,32,2020,7,25,11,22,1,3, 
2020/7/29,32,2020,7,18,20,23,1,1,1
2020/7/30,32,2020,7,37,17,30,1,1,1
2020/7/31,32,2020,7,22,13,22,1,1,1
2020/8/1,32,2020,8,24,31,16,1,1,1
2020/8/2,32,2020,8,78,45,22,1,3,1
2020/8/3,32,2020,8,88,50,33,1,2,1
2020/8/4,32,2020,8,108,48,31,1,7,1
2020/8/5,32,2020,8,102,45,30,1,6,1
2020/8/6,32,2020,8,88,66,15,1,9,1
2020/8/7,32,2020,8,124,42,14,1,1,1
2020/8/8,32,2020,8,74,19,15,1,1,1
2020/8/9,32,2020,8,49,8,20,1, ,1
2020/8/10,32,2020,8,14,15,18,1,1,1
2020/8/11,32,2020,8,27,15,15,1,2, 
2020/8/12,32,2020,8,19,17,17,1,2,1
2020/8/13,32,2020,8,22,13,19,1,2,1
2020/8/14,32,2020,8,20,15,25, ,1, 
2020/8/15,32,2020,8,22,12,16, ,4,1
2020/8/16,32,2020,8,21,23,33,1,2,2
2020/8/17,32,2020,8,47,26,31,1,4,1
2020/8/18,32,2020,8,57,23,30,1,3, 
2020/8/19,32,2020,8,54,30,44,1,8, 
2020/8/20,32,2020,8,69,36,38,1,8,2
2020/8/21,32,2020,8,78,24,30,1,1,1
2020/8/22,32,2020,8,59,20,25,1,6,1
2020/8/23,32,2020,8,36,16,29,1,5,1
2020/8/24,32,2020,8,39,29,40,2,6,2
2020/8/25,32,2020,8,71,17,33,1,1,1
2020/8/26,32,2020,8,56,12,28,1,5,1
2020/8/27,32,2020,8,29,12,26,1,4,1
2020/8/28,32,2020,8,25,15,26,1,6,1
2020/8/29,32,2020,8,32,18,23,1,7, 
2020/8/30,32,2020,8,31,12,23,1,3, 
2020/8/31,32,2020,8,23,10,25,1,1,1
2020/9/1,32,2020,9,17,7,21,1, , 
2020/9/2,32,2020,9,13,13,38,1,1,2
2020/9/3,32,2020,9,22,17,47,1,3, 
2020/9/4,32,2020,9,44,19,34,1,1,2
2020/9/5,32,2020,9,43,10,29,1, ,1
2020/9/6,32,2020,9,25,7,25,1, , 
2020/9/7,32,2020,9,12, , , , , 
2020/9/13,32,2020,9,9,5,32,1, ,1
2020/9/14,32,2020,9,14,7,34,1,1,1
2020/9/15,32,2020,9,17,13,32,2,1,2
2020/9/16,32,2020,9,34,10,38,1, ,2
2020/9/17,32,2020,9,27,8,45,1, ,2
2020/9/18,32,2020,9,19,10,40,1,1, 
2020/9/19,32,2020,9,30,10,43,1,1,2
2020/9/20,32,2020,9,34,8,30,1, ,2
2020/9/21,32,2020,9,34,6,32,1, ,2
2020/9/22,32,2020,9,19,8,35,1, ,2
2020/9/23,32,2020,9,17,10,31,1, , 
2020/9/24,32,2020,9,27,8,32,3, ,1
2020/9/25,32,2020,9,16,8,32, , ,1
2020/9/26,32,2020,9,15,8,35, , ,1
2020/9/27,32,2020,9,24,7,32,1, ,2
2020/9/28,32,2020,9,19,8,24,1,1,1
2020/9/29,32,2020,9,21,9,31,1, ,1
2020/9/30,32,2020,9,21,10,34,1, ,2
2020/4/1,32,2020,4,38,14,40,1,9,2
2020/4/2,32,2020,4,44,13,52,1,3,2
2020/4/3,32,2020,4,48,15,63,1,1,2
2020/4/4,32,2020,4,51,7,39,1,1,2
2020/4/5,32,2020,4,23,11,42,1,3,2
2020/4/6,32,2020,4,46,15,68,2,1,2
2020/4/7,32,2020,4,54,18,54,2,1,3
2020/4/8,32,2020,4,59,13,47,1,3,2
2020/4/9,32,2020,4,40,6,38,1,1, 
2020/4/10,32,2020,4,24,8,41,1,1, 
2020/4/11,32,2020,4,28,6,43,1, , 
2020/4/12,32,2020,4,20,8,43,1,4,2
2020/4/13,32,2020,4,17,9,42,2,5,2
2020/4/14,32,2020,4,34,10,54,1,1, 
2020/4/15,32,2020,4,44,14,45,1, ,2
2020/4/16,32,2020,4,47,17,45,2,1,2
2020/4/17,32,2020,4,50,13,49,1,1,2
2020/4/18,32,2020,4,45,7,44,1, ,2
2020/4/19,32,2020,4,22,5,48,1, , 
2020/4/20,32,2020,4,18,11,47,1,1,2
2020/4/21,32,2020,4,50,9,41,1,2,2
2020/4/22,32,2020,4,31,11,34,1,2, 
2020/4/23,32,2020,4,33,12,45,1,1, 
2020/4/24,32,2020,4,42,12,63,1,1,2
2020/4/25,32,2020,4,47,21,83,1,1,2
2020/4/26,32,2020,4,72,12,46,1, ,2
2020/4/27,32,2020,4,34,12,50,1,1,2
2020/4/28,32,2020,4,44,14,65,1,1,2
2020/4/29,32,2020,4,52,14,61,1,1,2
2020/4/30,32,2020,4,48,19,45,1,1, 
2020/5/1,32,2020,5,60,21,55,1,1, 
2020/5/2,32,2020,5,67,18,35,1,1,2
2020/5/3,32,2020,5,56,8,42,1,1, 
2020/5/4,32,2020,5,33,9,36,1, , 
2020/5/5,32,2020,5,22,8,39,1, ,1
2020/5/6,32,2020,5,20,6,40, , ,1
2020/5/7,32,2020,5,11,8,42,1,1,1
2020/5/8,32,2020,5,31,10,33,1,1,2
2020/5/9,32,2020,5,34,8,46,1, ,2
2020/5/10,32,2020,5,25,14,61,1,1,2
2020/5/11,32,2020,5,41,17,61,1,1,2
2020/5/12,32,2020,5,52,12,51,1,2,2
2020/5/13,32,2020,5,35,13,64,1,1, 
2020/5/14,32,2020,5,40,19,40,3,1,2
2020/5/15,32,2020,5,56,4,40,1, ,2
2020/5/16,32,2020,5,20,8,39,1,1,2
2020/5/17,32,2020,5,28,10,31,2, ,2
2020/5/18,32,2020,5,28,14,49,1,1,2
2020/5/19,32,2020,5,40,5,27,1, ,1
2020/5/20,32,2020,5,9,3,28,1, ,1
2020/5/21,32,2020,5,9,5,35,1, ,2
2020/5/22,32,2020,5,18,10,41,1,1, 
