date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,25,2021,5,54,9,40,1, ,3
2021/5/2,25,2021,5,27,15,46,1,1,2
2021/5/3,25,2021,5,41,16,54,3,1,3
2021/5/4,25,2021,5,47,15,34,3,2,3
2021/5/5,25,2021,5,52, , , , , 
2021/4/10,25,2021,4,26,13,41,4,1,2
2021/4/11,25,2021,4,41,14,40,6,1,2
2021/4/12,25,2021,4,45,8,37,4,1,2
2021/4/13,25,2021,4,19,8,40,2, ,2
2021/4/14,25,2021,4,19,10,41,3,1,2
2021/4/15,25,2021,4,31,12,39,5,1,2
2021/4/16,25,2021,4,34,5,30,5, ,2
2021/4/17,25,2021,4,12,20,39,2, ,2
2021/4/18,25,2021,4,36,25,44,3, ,2
2021/4/19,25,2021,4,55,26,74,7,2,3
2021/4/20,25,2021,4,63,32,53,5,1,3
2021/4/21,25,2021,4,75,17,46,5,1,3
2021/4/22,25,2021,4,51,21,49,6,1,2
2021/4/23,25,2021,4,54,21,54,5,1,2
2021/4/24,25,2021,4,56,14,44,2,1,2
2021/4/25,25,2021,4,38,10,40,1,1,2
2021/4/26,25,2021,4,33,12,46,6,1,3
2021/4/27,25,2021,4,39,16,26,8, ,2
2021/4/28,25,2021,4,46,5,35,3, ,3
2021/4/29,25,2021,4,11,18,52,3,1,2
2021/4/30,25,2021,4,41,25,48,3,1,3
2021/3/1,25,2021,3,36,4,32,1,1,2
2021/3/2,25,2021,3,11,10,26,2,1,3
2021/3/3,25,2021,3,31,14,33,9,1,3
2021/3/4,25,2021,3,41,10,23,7,1,2
2021/3/5,25,2021,3,29,10,35,4,1,2
2021/3/6,25,2021,3,29,10,35,1,1,2
2021/3/7,25,2021,3,29,10,32,3,1,3
2021/3/8,25,2021,3,26,11,26,10,1,3
2021/3/9,25,2021,3,38,15,38,5,1,3
2021/3/10,25,2021,3,38,14,36,9,1,3
2021/3/11,25,2021,3,41,17,36,13,1,3
2021/3/12,25,2021,3,51,6,44,2,1,2
2021/3/13,25,2021,3,15,10,39,1, ,2
