date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,31,2021,5,42,11,37,1, ,2
2021/5/2,31,2021,5,30,13,43,1, , 
2021/5/3,31,2021,5,34,10,43,1,1,2
2021/5/4,31,2021,5,35,8,40,1, , 
2021/5/5,31,2021,5,36, , , , , 
2021/4/10,31,2021,4,28,11,34,1, ,2
2021/4/11,31,2021,4,26,10,36,1, ,2
2021/4/12,31,2021,4,28,7,36,1, , 
2021/4/13,31,2021,4,21,9,31,1, ,2
2021/4/14,31,2021,4,29,8,33,2, ,2
2021/4/15,31,2021,4,26,10,36,1, , 
2021/4/16,31,2021,4,28,9,39,1, , 
2021/4/17,31,2021,4,21,11,33,1, ,2
2021/4/18,31,2021,4,28,11,45,2,1,2
2021/4/19,31,2021,4,42,17,68,2,1,3
2021/4/20,31,2021,4,46,21,46,2,1,3
2021/4/21,31,2021,4,62,9,37,1, ,2
2021/4/22,31,2021,4,33,14,38,2, ,2
2021/4/23,31,2021,4,41,15,34,1, ,2
2021/4/24,31,2021,4,42,12,40,1, , 
2021/4/25,31,2021,4,35,11,36,1, , 
2021/4/26,31,2021,4,26,12,43,2, ,2
2021/4/27,31,2021,4,26,13,34,2, ,2
2021/4/28,31,2021,4,30,8,28,2, , 
2021/4/29,31,2021,4,18,12,46,2, ,2
2021/4/30,31,2021,4,40,13,46,1, ,2
2021/3/1,31,2021,3,19,9,33,2, ,2
2021/3/2,31,2021,3,22,11,33,3, ,2
2021/3/3,31,2021,3,29,10,30,3,1,2
2021/3/4,31,2021,3,23,7,21,6, ,2
2021/3/5,31,2021,3,14,9,32,1, ,3
2021/3/6,31,2021,3,30,11,31,1, ,2
2021/3/7,31,2021,3,32,7,30,2, ,2
2021/3/8,31,2021,3,24,8,24,4,1,2
2021/3/9,31,2021,3,24,9,31,3, ,2
2021/3/10,31,2021,3,34,8,29,3, ,2
2021/3/11,31,2021,3,23,10,32,7,1,2
2021/3/12,31,2021,3,31,12,38,1, ,2
2021/3/13,31,2021,3,33,9,32,1, ,2
2021/3/14,31,2021,3,30,14,37,4, ,4
2021/3/15,31,2021,3,58,14,38,4,1,4
2021/3/16,31,2021,3,50,10,31,1, ,3
2021/3/17,31,2021,3,50,13,29,2, , 
2021/3/18,31,2021,3,40,10,29,2, ,2
2021/3/19,31,2021,3,37,9,32,1,1,2
2021/3/20,31,2021,3,32,9,35,1, ,3
2021/3/21,31,2021,3,23,14,32,3, ,3
2021/3/22,31,2021,3,41,13,29,3, ,2
2021/3/23,31,2021,3,38,13,34,3,1,3
2021/3/24,31,2021,3,44,9,37,3, ,2
2021/3/25,31,2021,3,38,8,41,2, ,2
2021/3/26,31,2021,3,52,9,45,1,1,2
2021/3/27,31,2021,3,40,15,42,1, ,2
2021/3/28,31,2021,3,35,10,14,1, , 
2021/3/29,31,2021,3,32, , , , , 
2021/2/1,31,2021,2,36,13,29,4,1,3
