date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,44,2021,5,60,15,43,5,5,2
2021/5/2,44,2021,5,50,13,46,7,5,3
2021/5/3,44,2021,5,52,17,43,6,7,2
2021/5/4,44,2021,5,62,10,41,1, , 
2021/5/5,44,2021,5,44, , , , , 
2021/4/10,44,2021,4,50,14,42,8,5,3
2021/4/11,44,2021,4,47,16,34,12,2,3
2021/4/12,44,2021,4,46,13,36,10,2,2
2021/4/13,44,2021,4,37,14,42,8,1,2
2021/4/14,44,2021,4,51,13,46,8,5,3
2021/4/15,44,2021,4,43,13,26,16,1,3
2021/4/16,44,2021,4,52,19,40,10,2,2
2021/4/17,44,2021,4,48,14,40,8,5,3
2021/4/18,44,2021,4,43,16,47,12,5,3
2021/4/19,44,2021,4,56,23,72,13,7,4
2021/4/20,44,2021,4,66,23,75,17,8,4
2021/4/21,44,2021,4,73,25,59,19,5,4
2021/4/22,44,2021,4,74,19,46,13,3,2
2021/4/23,44,2021,4,63,16,42,6,2,1
2021/4/24,44,2021,4,59,14,43,5,3,1
2021/4/25,44,2021,4,53,13,41,5,5,1
2021/4/26,44,2021,4,45,14,41,9,4,2
2021/4/27,44,2021,4,47,17,34,9,2,1
2021/4/28,44,2021,4,50,12,34,11,2,2
2021/4/29,44,2021,4,45,22,58,5,3,2
2021/4/30,44,2021,4,67,19,49,5,6,3
2021/3/1,44,2021,3,40,8,36,5,1,2
2021/3/2,44,2021,3,27,12,37,8,3,3
2021/3/3,44,2021,3,45,16,23,17,4,4
2021/3/4,44,2021,3,54,15,12,24,3,4
2021/3/5,44,2021,3,45,14,36,11,1,2
2021/3/6,44,2021,3,51,14,36,6,1,2
2021/3/7,44,2021,3,49,12,36,9,3,2
2021/3/8,44,2021,3,49,17,28,14,6,4
2021/3/9,44,2021,3,58,20,49,15,4,4
2021/3/10,44,2021,3,67,22,35,16,10,5
2021/3/11,44,2021,3,72,23,27,26,2,5
2021/3/12,44,2021,3,65,15,41,9,2,2
2021/3/13,44,2021,3,50,27,45,9,2,4
2021/3/14,44,2021,3,83,27,49,14,3,4
2021/3/15,44,2021,3,85,23,40,16,3,4
2021/3/16,44,2021,3,78,25,53,16,4,3
2021/3/17,44,2021,3,70,22,42,14,7,5
2021/3/18,44,2021,3,68,27,38,20,6,4
2021/3/19,44,2021,3,77,18,31,20,2,4
2021/3/20,44,2021,3,60,13,41,9,6,3
2021/3/21,44,2021,3,43,19,39,10,5,3
2021/3/22,44,2021,3,58,14,43,9,7,3
2021/3/23,44,2021,3,50,20,41,11,7,3
2021/3/24,44,2021,3,61,18,45,14,4,2
2021/3/25,44,2021,3,61,19,67,15,3,3
2021/3/26,44,2021,3,65,18,54,9,4,2
2021/3/27,44,2021,3,60,12,40,9,1,3
2021/3/28,44,2021,3,43,17,24,7,1,4
2021/3/29,44,2021,3,57, , , , , 
2021/2/1,44,2021,2,64,20,37,10,5,3
2021/2/2,44,2021,2,61,14,33,10,4,4
2021/2/3,44,2021,2,48,17,38,10,2,4
2021/2/4,44,2021,2,59,17,34,12,5,4
2021/2/5,44,2021,2,66,13,34,14,4,4
2021/2/6,44,2021,2,55,23,47,9,2,4
2021/2/7,44,2021,2,81,19,34,8,3,4
2021/2/8,44,2021,2,70,10,33,9,2,3
2021/2/9,44,2021,2,45,13,32,12,4,4
2021/2/10,44,2021,2,44,21,41,10,3,4
2021/2/11,44,2021,2,72,28,36,18,6,5
2021/2/12,44,2021,2,84,37,19,24,2,5
2021/2/13,44,2021,2,97,28,23,22,2,4
2021/2/14,44,2021,2,84,15,37,10,5,4
2021/2/15,44,2021,2,49,11,36,6,4,2
2021/2/16,44,2021,2,43,13,33,7,6,4
2021/2/17,44,2021,2,38,13,31,6,2,3
