date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,27,2021,5,70,15,45,6,5,1
2021/5/2,27,2021,5,47,19,48,18,6,3
2021/5/3,27,2021,5,56,21,51,19,7,3
2021/5/4,27,2021,5,59,14,47,15,6,6
2021/5/5,27,2021,5,42, , , , , 
2021/4/1,27,2021,4,85,42,43,26,5, 
2021/4/2,27,2021,4,90,28,37,25,6, 
2021/4/3,27,2021,4,67,30,32,14,4, 
2021/4/4,27,2021,4,61,14,38,16,3, 
2021/4/5,27,2021,4,36,22,30,27,4, 
2021/4/6,27,2021,4,56,21,44,25,4, 
2021/4/7,27,2021,4,57,20,45,30,4, 
2021/4/8,27,2021,4,64,15,40,19,5, 
2021/4/9,27,2021,4,51,11,37,18,5, 
2021/4/10,27,2021,4,45,15,40,16,3,2
2021/4/11,27,2021,4,51,17,36,29,3,3
2021/4/12,27,2021,4,56,16,37,27,4,3
2021/4/13,27,2021,4,48,16,36,22,3,2
2021/4/14,27,2021,4,44,18,42,27,4,2
2021/4/15,27,2021,4,57,13,35,22,1,3
2021/4/16,27,2021,4,40,20,29,29,2,3
2021/4/17,27,2021,4,41,25,36,11,3,2
2021/4/18,27,2021,4,57,26,43,30,3,3
2021/4/19,27,2021,4,63,30,59,42,3,4
2021/4/20,27,2021,4,77,34,61,42,4,3
2021/4/21,27,2021,4,86,20,42,36,5,3
2021/4/22,27,2021,4,63,25,44,27,2,2
2021/4/23,27,2021,4,62,23,41,25,3,2
2021/4/24,27,2021,4,60,20,44,12,3,6
2021/4/25,27,2021,4,57,16,42,17,4,5
2021/4/26,27,2021,4,55,15,41,28,4,5
2021/4/27,27,2021,4,49,25,27,37,5,5
2021/4/28,27,2021,4,59,13,29,24,4,2
2021/4/29,27,2021,4,25,29,51,29,7,3
2021/4/30,27,2021,4,66,30,48,22,6,2
2021/3/1,27,2021,3,58,17,31,24,4,2
2021/3/2,27,2021,3,43,17,35,20,4,1
2021/3/3,27,2021,3,45,20,30,33,5,3
2021/3/4,27,2021,3,60,14,23,18,3,1
2021/3/5,27,2021,3,47,19,37,18,3,2
2021/3/6,27,2021,3,59,15,35,9,3,2
2021/3/7,27,2021,3,48,14,32,20,4,1
2021/3/8,27,2021,3,46,19,22,37,5,3
2021/3/9,27,2021,3,62,27,39,29,5,3
2021/3/10,27,2021,3,84,21,26,40,5,3
2021/3/11,27,2021,3,68,29,31,38,5,3
2021/3/12,27,2021,3,93,13,44,17,4,1
2021/3/13,27,2021,3,48,25,40,15,4,2
2021/3/14,27,2021,3,64,42,42,39,6,4
2021/3/15,27,2021,3,95,46,29,44,7,5
2021/3/16,27,2021,3,114,34,39,20,4,2
2021/3/17,27,2021,3,69,27,34,32,4,3
2021/3/18,27,2021,3,55,20,34,28,5,3
2021/3/19,27,2021,3,48,22,37,24,3,3
2021/3/20,27,2021,3,64,21,36,17,2,3
2021/3/21,27,2021,3,48,19,33,19,3,3
2021/3/22,27,2021,3,60,22,39,29,4,3
2021/3/23,27,2021,3,63,27,37,37,5,4
2021/3/24,27,2021,3,71,29,23,46,3,4
2021/3/25,27,2021,3,69,37,44,30,4,5
2021/3/26,27,2021,3,94,35,43,29,3,4
2021/3/27,27,2021,3,82,27,37,23,3,3
2021/3/28,27,2021,3,58,47,54,37,4,1
2021/3/29,27,2021,3,93,80,48,35,4, 
2021/3/30,27,2021,3,150,40,42,27,7, 
2021/3/31,27,2021,3,85,35,47,27,6, 
2021/2/1,27,2021,2,78,26,30,30,4,3
2021/2/2,27,2021,2,68,19,32,24,5,2
2021/2/3,27,2021,2,62,21,29,36,4,3
2021/2/4,27,2021,2,66,22,28,44,4,4
2021/2/5,27,2021,2,66,30,25,41,3,4
2021/2/6,27,2021,2,80,41,35,27,3,4
2021/2/7,27,2021,2,101,28,27,26,4,4
2021/2/8,27,2021,2,77,10,26,25,3,2
2021/2/9,27,2021,2,49,11,27,30,5,3
2021/2/10,27,2021,2,61,25,40,24,5,4
2021/2/11,27,2021,2,88,28,29,47,6,4
2021/2/12,27,2021,2,101,30,32,38,4,4
2021/2/13,27,2021,2,61,29,30,25,4,3
2021/2/14,27,2021,2,40,16,34,22,5,2
2021/2/15,27,2021,2,25,16,32,17,4,1
2021/2/16,27,2021,2,50,14,30,17,4,2
2021/2/17,27,2021,2,48,14,25,17,4,2
2021/2/18,27,2021,2,49,15,28,33,5,3
2021/2/19,27,2021,2,46,26,38,37,6,5
2021/2/20,27,2021,2,73,39,47,39,5,6
2021/2/21,27,2021,2,96,34,34,50,6,6
2021/2/22,27,2021,2,95,22,37,15,4,2
2021/2/23,27,2021,2,66,16,32,20,3,2
2021/2/24,27,2021,2,49,18,25,38,5,3
2021/2/25,27,2021,2,62,16,32,30,4,2
2021/2/26,27,2021,2,46,18,35,16,5,2
2021/2/27,27,2021,2,51,21,33,22,4,3
2021/2/28,27,2021,2,57,22,32,33,6,2
2021/1/4,27,2021,1,41,23,10,39,2,5
2021/1/5,27,2021,1,59,16,28,25,4,2
2021/1/6,27,2021,1,47,13,27,18,3,2
2021/1/7,27,2021,1,42,13,28,18,3,1
2021/1/8,27,2021,1,41,14,28,16,3, 
2021/1/9,27,2021,1,42,15,27,14,3, 
2021/1/10,27,2021,1,50,17,23,28,4, 
2021/1/11,27,2021,1,53,39,6,40,6,5
2021/1/12,27,2021,1,91,35,22,41,2,7
2021/1/13,27,2021,1,86,51,14,52,7,7
2021/1/14,27,2021,1,116,51,22,49,5,4
2021/1/15,27,2021,1,119,39,24,37,5, 
2021/1/16,27,2021,1,99,16,30,13,3, 
2021/1/17,27,2021,1,46,18,27,25,3,2
2021/1/18,27,2021,1,51,19,28,19,3,2
2021/1/19,27,2021,1,56,15,26,26,4,3
2021/1/20,27,2021,1,47,27,13,46,5,5
2021/1/21,27,2021,1,83,45,6,41,5,5
2021/1/22,27,2021,1,117,26,28,24,3,3
2021/1/23,27,2021,1,82,17,26,18,3,3
2021/1/24,27,2021,1,40,18,29,30,4,4
2021/1/25,27,2021,1,55,20,26,30,4,3
2021/1/26,27,2021,1,66,17,33,23,3,3
2021/1/27,27,2021,1,53,25,32,33,4,4
2021/1/28,27,2021,1,70,16,31,16,4,2
2021/1/29,27,2021,1,44,19,30,20,3,3
2021/1/30,27,2021,1,53,26,30,18,5,3
2021/1/31,27,2021,1,68,29,21,41,4,4
2020/10/1,27,2020,10,50,18,42,30,5,2
2020/10/2,27,2020,10,58,25,44,31,7,2
2020/10/3,27,2020,10,70,25,39,18,3,2
2020/10/4,27,2020,10,63,25,31,21,5,2
2020/10/5,27,2020,10,62,16,28,19,5,2
2020/10/6,27,2020,10,46,19,34,20,5,2
2020/10/7,27,2020,10,57,15,32,22,3,2
2020/10/8,27,2020,10,36,11,33,17,2,1
2020/10/9,27,2020,10,24,12,29,12,5,1
2020/10/10,27,2020,10,34,19,35,16,5,2
2020/10/11,27,2020,10,52,18,35,27,5,2
2020/10/12,27,2020,10,57,15,34,20,5,1
2020/10/13,27,2020,10,56,16,34,23,5,2
2020/10/14,27,2020,10,53,12,33,19,6,1
2020/10/15,27,2020,10,38,11,33,20,5,2
2020/10/16,27,2020,10,35,13,30,20,3,2
2020/10/17,27,2020,10,49,20,31,13,4,3
2020/10/18,27,2020,10,65,24,16,28,5,4
2020/10/19,27,2020,10,77,26,38,21,5,3
2020/10/20,27,2020,10,80,20,34,18,6,2
2020/10/21,27,2020,10,62,17,30,20,7,2
2020/10/22,27,2020,10,43,20,30,20,4,1
2020/10/23,27,2020,10,41,20,36,16,4,2
2020/10/24,27,2020,10,52,20,43,22,5,2
2020/10/25,27,2020,10,56,22,27,34,6,3
2020/10/26,27,2020,10,64,18,37,35,5,2
2020/10/27,27,2020,10,60,26,30,38,6,4
2020/10/28,27,2020,10,68,31,37,29,6,3
2020/10/29,27,2020,10,76,17,29,22,5,2
2020/10/30,27,2020,10,52,18,32,24,5,4
2020/10/31,27,2020,10,60,20,32,19,5,3
2020/11/1,27,2020,11,63,26,18,33,4,4
2020/11/2,27,2020,11,67,19,33,14,5,3
2020/11/3,27,2020,11,51,15,29,22,4,2
2020/11/4,27,2020,11,47,23,24,37,6,7
2020/11/5,27,2020,11,67,27,27,41,6,4
2020/11/6,27,2020,11,77,37,14,33,5,4
2020/11/7,27,2020,11,96,30,37,16,6,4
2020/11/8,27,2020,11,68,16,25,18,4,2
2020/11/9,27,2020,11,47,16,24,25,5,3
2020/11/10,27,2020,11,49,13,25,26,5,3
2020/11/11,27,2020,11,46,19,21,35,5,3
2020/11/12,27,2020,11,64,35,13,40,5,3
2020/11/13,27,2020,11,96,29,26,25,4,3
2020/11/14,27,2020,11,76,22,19,24,4,4
2020/11/15,27,2020,11,68,30,29,39,8,5
2020/11/16,27,2020,11,89,33,37,43,6,4
2020/11/17,27,2020,11,94,35,45,44,7,5
2020/11/18,27,2020,11,100,32,30,37,8,4
2020/11/19,27,2020,11,89,24,32,29,5,3
2020/11/20,27,2020,11,68,15,30,15,5,3
2020/11/21,27,2020,11,44,15,19,17,5,3
2020/11/22,27,2020,11,43,18,26,14,3,1
2020/11/23,27,2020,11,45,16,25,28,4,3
2020/11/24,27,2020,11,50,21,9,35,5,5
2020/11/25,27,2020,11,56,29,20,34,5,4
2020/11/26,27,2020,11,78,20,28,31,3,3
2020/11/27,27,2020,11,61,15,27,14,3,3
2020/11/28,27,2020,11,45,16,22,18,3,3
2020/11/29,27,2020,11,45,20,23,30,3,3
2020/11/30,27,2020,11,56,15,26,32,6,4
2020/12/1,27,2020,12,59,9,18,35,5,5
2020/12/2,27,2020,12,64,11,30,30,5,4
2020/12/3,27,2020,12,57,7,28,24,4,3
2020/12/4,27,2020,12,44,17,26,29,4,4
2020/12/5,27,2020,12,60,22,29,28,4,5
2020/12/6,27,2020,12,67,27,15,40,5,4
2020/12/7,27,2020,12,80,29,28,33,4,4
2020/12/8,27,2020,12,76,25,21,41,7,4
2020/12/9,27,2020,12,71,33,17,40,5,5
2020/12/10,27,2020,12,89,35,23,41,6,5
2020/12/11,27,2020,12,92,29,31,30,6,5
2020/12/12,27,2020,12,80,22,32,20,3,4
2020/12/13,27,2020,12,66,16,29,21,5,4
2020/12/14,27,2020,12,48,9,26,18,3,2
2020/12/15,27,2020,12,36,11,27,17,3,2
2020/12/16,27,2020,12,40,12,22,25,3,3
2020/12/17,27,2020,12,38,16,20,31,5,3
2020/12/18,27,2020,12,47,17,26,21,3,3
2020/12/19,27,2020,12,48,10,26,18,3,2
2020/12/20,27,2020,12,32,15,29,35,4,4
2020/12/21,27,2020,12,53,30,23,41,4,5
2020/12/22,27,2020,12,81,34,24,43,5,5
2020/12/23,27,2020,12,88,52,7,45,5,7
2020/12/24,27,2020,12,127,31,28,26,5,4
2020/12/25,27,2020,12,81,19,23,25,4,3
2020/12/26,27,2020,12,55,29,24,29,5,4
2020/12/27,27,2020,12,78,31,15,33,5,4
2020/12/28,27,2020,12,68,39,18,35,4,7
2020/12/29,27,2020,12,88,18,29,16,4,2
2020/12/30,27,2020,12,55,9,28,7,3,1
2020/12/31,27,2020,12,34,13,29,7,4,2
2021/1/1,27,2021,1,41,17,29,13,4,3
2021/1/2,27,2021,1,53,20,31,12,4,3
2021/1/3,27,2021,1,57,14,25,26,3,2
2020/7/1,27,2020,7,69,15,42,26,6,2
2020/7/2,27,2020,7,46,19,31,21,5,2
2020/7/3,27,2020,7,45,24,25,22,5,2
2020/7/4,27,2020,7,53,26,42,16,8,2
2020/7/5,27,2020,7,66,20,12,13,3,1
2020/7/6,27,2020,7,47,26,22,20,5,2
2020/7/7,27,2020,7,63,21,54,33,6,2
2020/7/8,27,2020,7,53,21,25,31,7,1
2020/7/9,27,2020,7,53,23,20,22,5,2
2020/7/10,27,2020,7,58,33,22,11,4,2
2020/7/11,27,2020,7,69,16,36,11,4,1
2020/7/12,27,2020,7,42,19,21,23,4,3
2020/7/13,27,2020,7,53,27,31,22,5,2
2020/7/14,27,2020,7,55,16,26,24,6,3
2020/7/15,27,2020,7,49,16,44,26,7,3
2020/7/16,27,2020,7,46,18,32,20,5,2
2020/7/17,27,2020,7,61,17,41,22,7,2
2020/7/18,27,2020,7,49,27,52,18,11,2
2020/7/19,27,2020,7,67,41,48,31,14,3
2020/7/20,27,2020,7,95,29,31,18,10,2
2020/7/21,27,2020,7,80,20,45,16,6,2
2020/7/22,27,2020,7,43,14,30,13,4,2
2020/7/23,27,2020,7,43,15,18,11,3,2
2020/7/24,27,2020,7,37,13,21,14,3,2
2020/7/25,27,2020,7,33,13,19,14,3,2
2020/7/26,27,2020,7,31,17,16,22,5,2
2020/7/27,27,2020,7,31,25,13,18,8,2
2020/7/28,27,2020,7,40,27,33,27,8,3
2020/7/29,27,2020,7,42,26,35,29,8,2
2020/7/30,27,2020,7,33,29,43,32,8,2
2020/7/31,27,2020,7,51,24,71,30,14,2
2020/8/1,27,2020,8,47,35,62,17,15,3
2020/8/2,27,2020,8,67,36,28,27,9,3
2020/8/3,27,2020,8,82,47,40,32,17,2
2020/8/4,27,2020,8,107,62,58,32,11,2
2020/8/5,27,2020,8,142,47,22,25,12,1
2020/8/6,27,2020,8,108,46,70,24,15,1
2020/8/7,27,2020,8,102,59,40,13,13,2
2020/8/8,27,2020,8,119,32,33,9,10,2
2020/8/9,27,2020,8,67,22,12,10,15,6
2020/8/10,27,2020,8,36,29,29,14,14,1
2020/8/11,27,2020,8,51,27,36,10,8,1
2020/8/12,27,2020,8,59,34,45,10,11,1
2020/8/13,27,2020,8,62,37,52,9,14,1
2020/8/14,27,2020,8,69,33,58,10,18,1
2020/8/15,27,2020,8,71,36,86,6,22,2
2020/8/16,27,2020,8,77,40,80,23,21,1
2020/8/17,27,2020,8,80,28,42,18,12,1
2020/8/18,27,2020,8,68,33,67,27,14,2
2020/8/19,27,2020,8,72,44,61,31,14,2
2020/8/20,27,2020,8,83,46,99,30,14,3
2020/8/21,27,2020,8,85,39,61,16,11,1
2020/8/22,27,2020,8,85,28,54,14,9,1
2020/8/23,27,2020,8,69,38,45,24,5,2
2020/8/24,27,2020,8,80,33,40,18,11,2
2020/8/25,27,2020,8,78,24,48,21,10,1
2020/8/26,27,2020,8,60,31,33,24,10,2
2020/8/27,27,2020,8,67,25,40,21,11,2
2020/8/28,27,2020,8,52,29,39,17,15,2
2020/8/29,27,2020,8,59,37,60,13,18,2
2020/8/30,27,2020,8,72,23,51,24,14,1
2020/8/31,27,2020,8,63,25,48,21,11,1
2020/9/1,27,2020,9,68,20,25,16,10,1
2020/9/2,27,2020,9,45,23,21,18,10,2
2020/9/3,27,2020,9,48,28,40,22,11,2
2020/9/4,27,2020,9,65,26,47,17,14,1
2020/9/5,27,2020,9,60,18,28,8,10,1
2020/9/6,27,2020,9,43,19,20,14,10, 
2020/9/7,27,2020,9,48, , , , , 
2020/9/13,27,2020,9,33,7,27,10,7,2
2020/9/14,27,2020,9,22,7,60,9,12,2
2020/9/15,27,2020,9,24,10,49,10,14,2
2020/9/16,27,2020,9,35,10,26,11,16,2
2020/9/17,27,2020,9,32,14,39,6,9,3
2020/9/18,27,2020,9,31,8,48,5,10,2
2020/9/19,27,2020,9,31,19,52,13,8,2
2020/9/20,27,2020,9,53,16,42,8,5,1
2020/9/21,27,2020,9,54,16,43,8,4,1
2020/9/22,27,2020,9,52,21,39,16,7,2
2020/9/23,27,2020,9,63,28,37,34,6,3
2020/9/24,27,2020,9,72,19,21,24,4,2
2020/9/25,27,2020,9,46,15,24,25,7,3
2020/9/26,27,2020,9,43,13,32,9,5,1
2020/9/27,27,2020,9,38,14,30,19,5,1
2020/9/28,27,2020,9,46,17,37,21,9,2
2020/9/29,27,2020,9,50,17,31,24,6,1
2020/9/30,27,2020,9,59,16,34,19,6,1
2020/4/1,27,2020,4,32,17,37,22,4,2
2020/4/2,27,2020,4,53,24,27,42,6,3
2020/4/3,27,2020,4,70,30,51,31,6,3
2020/4/4,27,2020,4,79,13,36,7,5,2
2020/4/5,27,2020,4,46,18,37,28,4,2
2020/4/6,27,2020,4,56,21,47,35,5,3
2020/4/7,27,2020,4,68,35,61,43,5,3
2020/4/8,27,2020,4,93,19,49,27,6,2
2020/4/9,27,2020,4,61,14,41,17,5,1
2020/4/10,27,2020,4,49,16,38,22,4,2
2020/4/11,27,2020,4,53,14,35,9,4,2
2020/4/12,27,2020,4,51,12,38,23,4,3
2020/4/13,27,2020,4,39,17,38,19,4,2
2020/4/14,27,2020,4,54,23,35,42,7,3
2020/4/15,27,2020,4,70,29,51,32,6,3
2020/4/16,27,2020,4,78,24,46,29,5,3
2020/4/17,27,2020,4,73,24,45,22,3,2
2020/4/18,27,2020,4,66,10,44,12,4,2
2020/4/19,27,2020,4,39,15,38,33,5,2
2020/4/20,27,2020,4,54,21,44,36,6,4
2020/4/21,27,2020,4,64,16,36,18,4,2
2020/4/22,27,2020,4,51,19,35,21,5,1
2020/4/23,27,2020,4,53,20,41,25,3,1
2020/4/24,27,2020,4,59,21,46,24,5,2
2020/4/25,27,2020,4,65,30,72,19,6,5
2020/4/26,27,2020,4,77,23,51,25,4,2
2020/4/27,27,2020,4,65,18,48,23,4,2
2020/4/28,27,2020,4,59,21,61,23,5,2
2020/4/29,27,2020,4,72,30,46,31,8,3
2020/4/30,27,2020,4,87,33,43,21,6,2
2020/5/1,27,2020,5,102,47,51,21,13,2
2020/5/2,27,2020,5,131,34,39,14,5,1
2020/5/3,27,2020,5,109,13,35,14,4,1
2020/5/4,27,2020,5,46,16,45,16,6,1
2020/5/5,27,2020,5,54,17,38,13,5,1
2020/5/6,27,2020,5,53,11,40,16,4,1
2020/5/7,27,2020,5,43,17,42,24,5,2
2020/5/8,27,2020,5,55,19,38,25,5,3
2020/5/9,27,2020,5,59,20,22,14,5,2
