date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2013/12/31,1,2013,12, ,17,26,21,2,3
2014/1/1,1,2014,1,49,15,22,13,2,2
2014/1/2,1,2014,1,49,13,23,20,2,4
2014/1/3,1,2014,1,41,12,23,22,1,3
2014/1/4,1,2014,1,36,12,20,32,1,5
2014/1/5,1,2014,1,35,15,26,39,1,5
2014/1/6,1,2014,1,48,18,20,43,3,6
2014/1/7,1,2014,1,56,26,24,36,2,9
2014/1/8,1,2014,1,69,16,24,24,1,4
2014/1/9,1,2014,1,50,11,26,23,1,3
2014/1/10,1,2014,1,32,12,25,24,1,4
2014/1/11,1,2014,1,41,15,25,23,2,4
2014/1/12,1,2014,1,43,11,24,23,1,3
2014/1/13,1,2014,1,27,13,23,32,1,5
2014/1/14,1,2014,1,38,18,15,44,2,5
2014/1/15,1,2014,1,60,14,24,40,9,6
2014/1/16,1,2014,1,45,23,16,49,10,7
2014/1/17,1,2014,1,75,24,15,48,4,7
2014/1/18,1,2014,1,77,18,22,36,5,5
2014/1/19,1,2014,1,58,29,18,55,7,9
2014/1/20,1,2014,1,84,29,21,54,5,7
2014/1/21,1,2014,1,86,17,21,34,1,4
2014/1/22,1,2014,1,54,17,20,37,5,5
2014/1/23,1,2014,1,52,19,19,37,4,5
2014/1/24,1,2014,1,51,42,27,46,5,7
2014/1/25,1,2014,1,107,24,25,24,8,4
2014/1/26,1,2014,1,71,16,22,25,2,4
2014/1/27,1,2014,1,43,21,25,30,3,4
2014/1/28,1,2014,1,47,16,26,25,2,3
2014/1/29,1,2014,1,53,21,23,34,2,5
2014/1/30,1,2014,1,55,21,26,23,1,4
2014/1/31,1,2014,1,60,13,25,24,1,3
2014/2/1,1,2014,2,47,14,22,24,2,4
2014/2/2,1,2014,2,40,16,25,26, ,4
2014/2/3,1,2014,2,50,14,24,32,1,3
2014/2/4,1,2014,2,41,17,18,41,6,5
2014/2/5,1,2014,2,56,13,24,33,2,4
2014/2/6,1,2014,2,41,12,23,32,1,3
2014/2/7,1,2014,2,40,32,15,47,15,7
2014/2/8,1,2014,2,90,20,21,37,6,5
2014/2/9,1,2014,2,59,15,21,38,7,4
2014/2/10,1,2014,2,50,20,20,41,6,6
2014/2/11,1,2014,2,61,25,22,54,5,6
2014/2/12,1,2014,2,76,14,23,36,3,4
2014/2/13,1,2014,2,47,16,25,38,2,4
2014/2/14,1,2014,2,50,22,21,45,6,5
2014/2/15,1,2014,2,67,12,28,21,1,2
2014/2/16,1,2014,2,36,14,32,16,1,2
2014/2/17,1,2014,2,39,20,32,18,1,3
2014/2/18,1,2014,2,59,11,26,20, ,2
2014/2/19,1,2014,2,30,14,28,34,3,5
2014/2/20,1,2014,2,38,13,30,31,2,4
2014/2/21,1,2014,2,43,17,26,40,3,4
2014/2/22,1,2014,2,53,16,28,37,2,4
2014/2/23,1,2014,2,50,28,29,62,5,6
2014/2/24,1,2014,2,80,40,33,64,5,9
2014/2/25,1,2014,2,104,31,35,51,6,6
2014/2/26,1,2014,2,81,40,40,43,5,6
2014/2/27,1,2014,2,108,21,36,22,2,3
2014/2/28,1,2014,2,60,15,33,24,1,3
2014/3/1,1,2014,3,39,14,32,15,1,2
2014/3/2,1,2014,3,36,19,31,27,1,4
2014/3/3,1,2014,3,52,18,32,25,3,4
2014/3/4,1,2014,3,55,24,31,36,4,5
2014/3/5,1,2014,3,65,14,32,18,1,2
2014/3/6,1,2014,3,43,13,32,27,1,3
2014/3/7,1,2014,3,40,16,31,26,1,4
2014/3/8,1,2014,3,48,20,37,27,2,4
2014/3/9,1,2014,3,57,16,34,28,1,3
2014/3/10,1,2014,3,45,17,29,33,11,4
2014/3/11,1,2014,3,45,20,28,39,9,5
2014/3/12,1,2014,3,60,16,32,35,6,4
2014/3/13,1,2014,3,69,14,31,23,1,3
2014/3/14,1,2014,3,39,17,33,30,1,5
2014/3/15,1,2014,3,45,24,41,27,3,4
2014/3/16,1,2014,3,62,23,38,37,3,4
2014/3/17,1,2014,3,65,22,40,24,3,4
2014/3/18,1,2014,3,57,17,35,25,1,4
2014/3/19,1,2014,3,46,20,33,36,6,6
2014/3/20,1,2014,3,55,16,32,20,1,3
2014/3/21,1,2014,3,38,15,33,26,1,4
2014/3/22,1,2014,3,39,14,32,27,2,4
2014/3/23,1,2014,3,42,28,42,49,5,7
2014/3/24,1,2014,3,69,60,67,53,4,8
2014/3/25,1,2014,3,142,63,54,55,5,10
2014/3/26,1,2014,3,153,51,45,37,7,8
2014/3/27,1,2014,3,133,33,43,30,2,6
2014/3/28,1,2014,3,82,37,42,35,1,5
2014/3/29,1,2014,3,89,22,38,27,2,5
2014/3/30,1,2014,3,61,16,37,17,1,3
2014/3/31,1,2014,3,49,24,41,21,1,4
2014/4/1,1,2014,4,65,26,38,31,6,5
2014/4/2,1,2014,4,69,23,44,16,2,4
2014/4/3,1,2014,4,60,14,38,19, ,3
2014/4/4,1,2014,4,38,14,34,13, ,3
2014/4/5,1,2014,4,37,16,38,14,1,3
2014/4/6,1,2014,4,46,30,49,25,1,4
2014/4/7,1,2014,4,76,21,40,30,6,4
2014/4/8,1,2014,4,60,27,53,32,3,5
2014/4/9,1,2014,4,67,24,41,21,1,4
2014/4/10,1,2014,4,54,12,34,15,1,2
2014/4/11,1,2014,4,33,18,40,15,1,2
2014/4/12,1,2014,4,48,18,37,12,1,2
2014/4/13,1,2014,4,49,19,42,35,3,4
2014/4/14,1,2014,4,54,28,54,29,2,5
2014/4/15,1,2014,4,71,33,43,20,1,3
2014/4/16,1,2014,4,84,26,39,29,1,5
2014/4/17,1,2014,4,71,21,39,27,1,5
2014/4/18,1,2014,4,55,11,34,15,1,3
2014/4/19,1,2014,4,39,18,37,22,1,4
2014/4/20,1,2014,4,46,18,39,21,5,4
2014/4/21,1,2014,4,49,27,38,23,2,4
2014/4/22,1,2014,4,54,22,39,18,1,3
2014/4/23,1,2014,4,52,29,55,28,3,5
2014/4/24,1,2014,4,78,36,62,41,3,6
2014/4/25,1,2014,4,90,40,74,31,4,6
2014/4/26,1,2014,4,99,35,75,19,2,4
2014/4/27,1,2014,4,86,33,51,15,1,3
2014/4/28,1,2014,4,75,12,38,14,3,3
2014/4/29,1,2014,4,37,23,47,16,3,3
2014/4/30,1,2014,4,51,26,41,19,2,4
2014/5/1,1,2014,5,61,23,40,23,2,4
2014/5/2,1,2014,5,61,25,55,10,2,3
2014/5/3,1,2014,5,62,25,41,12,1,3
2014/5/4,1,2014,5,69,31,46,13,1,3
2014/5/5,1,2014,5,72,20,40,9, ,3
2014/5/6,1,2014,5,59,27,45,17,1,4
2014/5/7,1,2014,5,71,31,64,25,2,5
2014/5/8,1,2014,5,81,28,50,22,2,4
2014/5/9,1,2014,5,70,22,45,15,1,3
2014/5/10,1,2014,5,61,23,43,22,1,4
2014/5/11,1,2014,5,62,25,50,24,2,4
2014/5/12,1,2014,5,67,26,55,16,1,4
2014/5/13,1,2014,5,69,40,55,22,2,5
2014/5/14,1,2014,5,96,53,52,27,2,5
2014/5/15,1,2014,5,113,26,37,23, ,4
2014/5/16,1,2014,5,57,21,37,11, ,2
2014/5/17,1,2014,5,50,18,35,11, ,3
2014/5/18,1,2014,5,48,19,37,20,2,3
2014/5/19,1,2014,5,50,21,42,23,2,4
2014/5/20,1,2014,5,56,23,39,19,1,5
2014/5/21,1,2014,5,64,20,33,19,1,7
2014/5/22,1,2014,5,56,12,28,17, ,3
2014/5/23,1,2014,5,40,18,33,17,1,4
2014/5/24,1,2014,5,56,19,35,13,1,3
2014/5/25,1,2014,5,54,20,35,9, ,3
2014/5/26,1,2014,5,54,17,40,13,1,4
2014/5/27,1,2014,5,46,19,42,17,1,4
2014/5/28,1,2014,5,57,39,79,19,2,5
2014/5/29,1,2014,5,104,53,72,24,2,5
2014/5/30,1,2014,5,128,38,55,22,3,5
2014/5/31,1,2014,5,93,24,55,14,1,3
2014/6/1,1,2014,6,64,17,42,23,2,4
2014/6/2,1,2014,6,57,32,72,26,2,5
2014/6/3,1,2014,6,85,38,79,29,3,6
2014/6/4,1,2014,6,98,29,38,11,1,4
2014/6/5,1,2014,6,83,15,32,9, ,3
2014/6/6,1,2014,6,49,17,36,8, ,3
2014/6/7,1,2014,6,48,13,21,9,1,3
2014/6/8,1,2014,6,38,10,16,9, ,3
2014/6/9,1,2014,6,33,12,16,8, ,8
2014/6/10,1,2014,6,29,10,16,9, ,4
2014/6/11,1,2014,6,24,9,15,9, ,3
2014/6/12,1,2014,6,27,13,19,19, ,4
2014/6/13,1,2014,6,40,11,17,15, ,5
2014/6/14,1,2014,6,33,15,18,14, ,4
2014/6/15,1,2014,6,46,19,18,22, ,4
2014/6/16,1,2014,6,48,17,28,19, ,11
2014/6/17,1,2014,6,53,20,26,23,1,6
2014/6/18,1,2014,6,57,14,22,14,1,3
2014/6/19,1,2014,6,45,12,21,12, ,2
2014/6/20,1,2014,6,36,11,20,11, ,2
2014/6/21,1,2014,6,38,13,25,9,1,3
2014/6/22,1,2014,6,48,12,21,11, ,2
2014/6/23,1,2014,6,37,14,26,14,1,2
2014/6/24,1,2014,6,42,23,34,18,2,3
2014/6/25,1,2014,6,73,21,34,18,1,3
2014/6/26,1,2014,6,64,16,36,12,1,3
2014/6/27,1,2014,6,55,14,25,9,1,3
2014/6/28,1,2014,6,45,16,23,6,1,2
2014/6/29,1,2014,6,50,16,29,15,1,3
