date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,4,2021,5,47,12,46,6,9, 
2021/5/2,4,2021,5,28,9,44,6,10, 
2021/5/3,4,2021,5,31,17,56,15,20,1
2021/5/4,4,2021,5,53,16,27,19,14,2
2021/5/5,4,2021,5,52, , , , , 
2021/4/1,4,2021,4,37,8,8,8,12, 
2021/4/2,4,2021,4,38,11,11,11,17, 
2021/4/3,4,2021,4,49,14,15,13,21, 
2021/4/4,4,2021,4,56,8,8,8,12, 
2021/4/5,4,2021,4,37,6,6,5,9, 
2021/4/6,4,2021,4,30,8,8,7,12, 
2021/4/7,4,2021,4,36,9,9,8,14, 
2021/4/8,4,2021,4,43,8,9,7,12, 
2021/4/9,4,2021,4,38,6,33,5,9, 
2021/4/10,4,2021,4,28,10,39,13,10,1
2021/4/11,4,2021,4,32,13,39,13,11, 
2021/4/12,4,2021,4,41,21,39,11,10, 
2021/4/13,4,2021,4,35,15,38,13,8, 
2021/4/14,4,2021,4,25,11,41,12,10, 
2021/4/15,4,2021,4,29,16,41,16,13, 
2021/4/16,4,2021,4,40,24,39,11,14, 
2021/4/17,4,2021,4,43,13,55,8,10, 
2021/4/18,4,2021,4,29,21,49,15,21,1
2021/4/19,4,2021,4,53,25,64,24,27,2
2021/4/20,4,2021,4,66,17,48,14,20, 
2021/4/21,4,2021,4,56,17,48,15,18, 
2021/4/22,4,2021,4,50,12,39,13,11, 
2021/4/23,4,2021,4,38,15,43,12,12,1
2021/4/24,4,2021,4,40,14,43,12,14,1
2021/4/25,4,2021,4,44,10,35,10,10, 
2021/4/26,4,2021,4,31,10,43,14,11,1
2021/4/27,4,2021,4,34,17,40,19,18,1
2021/4/28,4,2021,4,47,17,35,14,13,1
2021/4/29,4,2021,4,40,8,48,9,7, 
2021/4/30,4,2021,4,23,15,47,11,16,1
2021/3/1,4,2021,3,49,14,35,12,9,1
2021/3/2,4,2021,3,29,8,36,10,10,1
2021/3/3,4,2021,3,30,11,35,26,11,2
2021/3/4,4,2021,3,37,16,31,22,13,2
2021/3/5,4,2021,3,41,11,39,11,12,1
2021/3/6,4,2021,3,38,8,36,6,8, 
2021/3/7,4,2021,3,26,8,33,14,7,2
2021/3/8,4,2021,3,24,10,19,14,6,1
2021/3/9,4,2021,3,22,13,39,14,11, 
2021/3/10,4,2021,3,36,13,37,19,12,1
2021/3/11,4,2021,3,39,12,28,27,12,2
2021/3/12,4,2021,3,38,12,36,9,15, 
2021/3/13,4,2021,3,42,3,40,3,1, 
2021/3/14,4,2021,3,7,8,40,10,9,1
2021/3/15,4,2021,3,29,13,42,28,10,2
2021/3/16,4,2021,3,32,22,36,13,12,1
2021/3/17,4,2021,3,37,19,38,15,17,1
2021/3/18,4,2021,3,50,13,38,14,12,2
2021/3/19,4,2021,3,38,13,35,17,13,1
2021/3/20,4,2021,3,41,17,39,13,11,2
2021/3/21,4,2021,3,35,13,38,9,15,1
2021/3/22,4,2021,3,43,11,37,11,13,1
2021/3/23,4,2021,3,41,12,48,6,14, 
2021/3/24,4,2021,3,40,17,40,9,16, 
2021/3/25,4,2021,3,48,17,53,5,22, 
2021/3/26,4,2021,3,58,14,42,3,18, 
2021/3/27,4,2021,3,52,15,36,7,17, 
2021/3/28,4,2021,3,50,16,45,14,20, 
2021/3/29,4,2021,3,53,49,51,51,58, 
2021/3/30,4,2021,3,143,30,41,30,41, 
2021/3/31,4,2021,3,95,8,8,7,12, 
2021/2/1,4,2021,2,44,13,36,12,13,2
2021/2/2,4,2021,2,42,10,31,19,9,2
2021/2/3,4,2021,2,28,14,32,17,10,2
2021/2/4,4,2021,2,32,8,35,20,8,3
2021/2/5,4,2021,2,26,15,32,32,16,6
2021/2/6,4,2021,2,44,19,42,19,19,3
2021/2/7,4,2021,2,53,9,32,11,10,1
2021/2/8,4,2021,2,33,6,34,13,5,1
2021/2/9,4,2021,2,17,8,24,16,7,1
2021/2/10,4,2021,2,22,13,33,11,11, 
2021/2/11,4,2021,2,33,13,27,24,9,1
2021/2/12,4,2021,2,29,20,31,24,19,3
2021/2/13,4,2021,2,51,23,34,22,24,4
2021/2/14,4,2021,2,65,14,36,19,14,3
2021/2/15,4,2021,2,42,9,36,8,10,1
2021/2/16,4,2021,2,30,9,29,11,6,1
2021/2/17,4,2021,2,22,6,31,12,4,1
2021/2/18,4,2021,2,14,8,32,17,7,2
2021/2/19,4,2021,2,21,18,46,26,21,3
2021/2/20,4,2021,2,53,30,37,22,26,3
2021/2/21,4,2021,2,67,33,18,26,25,3
2021/2/22,4,2021,2,70, , , , , 
2021/1/4,4,2021,1,23,10,29,12,11,2
2021/1/5,4,2021,1,34,9,26,20,12,2
2021/1/6,4,2021,1,37,8,32,19,10,2
2021/1/7,4,2021,1,33,8,28,15,7,1
2021/1/8,4,2021,1,22,8,28,20,8,2
2021/1/9,4,2021,1,27,8,29,20,9,2
2021/1/10,4,2021,1,28,7,28,16,7,3
2021/1/11,4,2021,1,24,9,20,20,8,1
2021/1/12,4,2021,1,29,12,27,27,11,5
2021/1/13,4,2021,1,34,15,33,19,14,3
2021/1/14,4,2021,1,44,13,26,26,13,3
2021/1/15,4,2021,1,41,16,34,17,13,2
2021/1/16,4,2021,1,40,8,31,12,8,1
