date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,13,2021,5,45,9,42,3,1,3
2021/5/2,13,2021,5,31,8,42,3,1,1
2021/5/3,13,2021,5,25,15, ,11, , 
2021/5/4,13,2021,5,49,18, ,12, , 
2021/5/5,13,2021,5,45, , , , , 
2021/4/1,13,2021,4,1,17,39,10,1, 
2021/4/2,13,2021,4,1,20,40,12,1,3
2021/4/3,13,2021,4,1,23,38,4, ,2
2021/4/4,13,2021,4,1,10,24,10, ,3
2021/4/5,13,2021,4,1,9,29,9,1,3
2021/4/6,13,2021,4,1,13,39,12,1,3
2021/4/7,13,2021,4,1,14,39,13,1,3
2021/4/8,13,2021,4,1,11,35,9,1,2
2021/4/9,13,2021,4,1,8,37,6,1,3
2021/4/10,13,2021,4,8,11,42,7,1,3
2021/4/11,13,2021,4,43,12,38,14,1,3
2021/4/12,13,2021,4,43,11,35,13,1,3
2021/4/13,13,2021,4,39,7,28,9, ,3
2021/4/14,13,2021,4,26,9,34,10,1,3
2021/4/15,13,2021,4,32,13,29,15,1,3
2021/4/16,13,2021,4,45,12,30,13,1,3
2021/4/17,13,2021,4,39,9,41,4, ,2
2021/4/18,13,2021,4,27,19,46,7,1,3
2021/4/19,13,2021,4,54,21,44,17,3,3
2021/4/20,13,2021,4,59,21,52,13,1,3
2021/4/21,13,2021,4,61,12,40,6,1,2
2021/4/22,13,2021,4,43,14,40,9,1,4
2021/4/23,13,2021,4,43,15,52,12,1,4
2021/4/24,13,2021,4,46,16,54,7,1,3
2021/4/25,13,2021,4,48,12,37,5,1,3
2021/4/26,13,2021,4,40,10,38,12,1,3
2021/4/27,13,2021,4,32,13,36,11,1,3
2021/4/28,13,2021,4,42,9,32,5, ,2
2021/4/29,13,2021,4,23,12,49,8,1,3
2021/4/30,13,2021,4,34,17,49,8,1,3
2021/3/1,13,2021,3,47,6,32,5, ,2
2021/3/2,13,2021,3,23,6,32,7,1,3
2021/3/3,13,2021,3,22,11,27,16,3,3
2021/3/4,13,2021,3,41,16,24,27,1,3
2021/3/5,13,2021,3,56,21,32,17, ,3
2021/3/6,13,2021,3,69,9,32,5,1,2
2021/3/7,13,2021,3,33,12,25,15,1,3
2021/3/8,13,2021,3,44,10,24,17,1,3
2021/3/9,13,2021,3,37,14,38,12,1,3
2021/3/10,13,2021,3,43,13,30,19,1,3
