date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,6,2021,5,39,4,41,2,1,2
2021/5/2,6,2021,5,18,4,38,3, ,3
2021/5/3,6,2021,5,24,8,50,4, ,3
2021/5/4,6,2021,5,45,6,19,6, ,3
2021/5/5,6,2021,5,40, , , , , 
2021/4/10,6,2021,4,27,6,34,6,1,3
2021/4/11,6,2021,4,30,6,40,9,1, 
2021/4/12,6,2021,4,35,6,38,9, ,2
2021/4/13,6,2021,4,29,6,31,9, ,3
2021/4/14,6,2021,4,22,6,36,8,1,2
2021/4/15,6,2021,4,28,6,37,8,1,3
2021/4/16,6,2021,4,33,11,24,10,1,3
2021/4/17,6,2021,4,36,5,40,2,1,2
2021/4/18,6,2021,4,18,11,42,7,1,3
2021/4/19,6,2021,4,50,17,64,10,1,3
2021/4/20,6,2021,4,64,11,44,8,1,3
2021/4/21,6,2021,4,52,9,44,11,1,3
2021/4/22,6,2021,4,39,8,36,9,1,3
2021/4/23,6,2021,4,37,7,36,9,1,3
2021/4/24,6,2021,4,38,7,40,4, ,2
2021/4/25,6,2021,4,41,4,32,5,1,2
2021/4/26,6,2021,4,21,5,38,9,1,2
2021/4/27,6,2021,4,26,8,37,13,1,3
2021/4/28,6,2021,4,39,8,27,7,1,2
2021/4/29,6,2021,4,31,5,43,6,1,2
2021/4/30,6,2021,4,20,9,39,5,1,2
2021/3/1,6,2021,3,55,13,33,19, ,5
2021/3/2,6,2021,3,42,5,33,7, ,3
2021/3/3,6,2021,3,23,7,31,18, ,3
2021/3/4,6,2021,3,34,14,28,22, ,4
2021/3/5,6,2021,3,53,14,12,17, ,4
2021/3/6,6,2021,3,59,4,32,6, ,4
2021/3/7,6,2021,3,15,6,30,12, ,3
2021/3/8,6,2021,3,23,7,30,15, ,3
2021/3/9,6,2021,3,26,7,35,10, ,2
2021/3/10,6,2021,3,37,7,32,13, ,3
2021/3/11,6,2021,3,29,15,24,21, ,4
2021/3/12,6,2021,3,53,13,27,13, ,3
2021/3/13,6,2021,3,42,4,36,4, ,2
2021/3/14,6,2021,3,12,6,35,9, ,2
2021/3/15,6,2021,3,27,14,32,15, ,4
2021/3/16,6,2021,3,42,11,34,8, ,3
2021/3/17,6,2021,3,43,8,22,11, ,3
2021/3/18,6,2021,3,31,8,26,11, ,3
2021/3/19,6,2021,3,31,9,34,7, ,3
2021/3/20,6,2021,3,40,10,31,6, ,3
2021/3/21,6,2021,3,37,7,36,7, ,3
2021/3/22,6,2021,3,33,8,35,10, ,3
2021/3/23,6,2021,3,41,10,40,14, ,4
2021/3/24,6,2021,3,40,14,38,14, ,3
2021/3/25,6,2021,3,58,15,45,13, ,4
2021/3/26,6,2021,3,55,14,37,9, ,3
2021/3/27,6,2021,3,60,27,30,8, ,5
2021/3/28,6,2021,3,84,46,10,9, , 
2021/3/29,6,2021,3,108, , , , , 
2021/2/1,6,2021,2,28,8,28,11, ,3
2021/2/2,6,2021,2,29,5,25,13, ,4
2021/2/3,6,2021,2,33,7,28,16, ,4
2021/2/4,6,2021,2,28,4,29,10, ,3
2021/2/5,6,2021,2,20,10,27,17, ,5
2021/2/6,6,2021,2,46,9,33,10, ,4
2021/2/7,6,2021,2,44,5,26,9, ,3
2021/2/8,6,2021,2,29,4,25,9, ,3
2021/2/9,6,2021,2,17,5,23,16, ,4
2021/2/10,6,2021,2,23,7,28,12, ,4
2021/2/11,6,2021,2,37,8,23,25, ,5
2021/2/12,6,2021,2,40,13,24,25, ,6
2021/2/13,6,2021,2,53,17,23,24, ,6
2021/2/14,6,2021,2,63,15,32,25, ,6
2021/2/15,6,2021,2,52,6,36,6, ,3
2021/2/16,6,2021,2,26,5,29,9, ,4
2021/2/17,6,2021,2,18,3,25,11, ,3
2021/2/18,6,2021,2,12,3,30,8, ,3
2021/2/19,6,2021,2,14,11,42,5, ,3
2021/2/20,6,2021,2,45,19,25,16, ,5
2021/2/21,6,2021,2,58,16,38,12, ,3
2021/2/22,6,2021,2,60,7,34,4, ,3
2021/2/23,6,2021,2,27,5,29,6, ,3
2021/2/24,6,2021,2,20,5,29,16, ,3
