date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,37,2021,5,38,9,45,2,1, 
2021/5/2,37,2021,5,29,10,50,1,1, 
2021/5/3,37,2021,5,33,13,48,3,1, 
2021/5/4,37,2021,5,38,16,36,2, , 
2021/5/5,37,2021,5,43, , , , , 
2021/4/10,37,2021,4,25,8,39,4,1, 
2021/4/11,37,2021,4,22,9,40,3,1, 
2021/4/12,37,2021,4,27,8,36,10,1, 
2021/4/13,37,2021,4,19,9,43,4,1, 
2021/4/14,37,2021,4,28,7,45,2,1, 
2021/4/15,37,2021,4,19,8,40,2,1, 
2021/4/16,37,2021,4,21,7,44,4,1, 
2021/4/17,37,2021,4,18,16,40,2,1, 
2021/4/18,37,2021,4,39,15,51,2,1, 
2021/4/19,37,2021,4,39,15,61,7,2, 
2021/4/20,37,2021,4,46,19,79,7,1, 
2021/4/21,37,2021,4,54,13,47,6,1, 
2021/4/22,37,2021,4,35,15,45,4,1, 
2021/4/23,37,2021,4,35,15,46,4,1, 
2021/4/24,37,2021,4,39,10,45,4,1, 
2021/4/25,37,2021,4,32,10,44,2,1, 
2021/4/26,37,2021,4,25,8,38,7,1, 
2021/4/27,37,2021,4,24,10,32,6,1, 
2021/4/28,37,2021,4,28,5,32,4, , 
2021/4/29,37,2021,4,11,16,66,3,1, 
2021/4/30,37,2021,4,43,14,57,1,1, 
2021/3/1,37,2021,3,18,3,33,4, , 
2021/3/2,37,2021,3,10,7,38,1, , 
2021/3/3,37,2021,3,16,9,32,9,1, 
2021/3/4,37,2021,3,23,7,22,8, , 
2021/3/5,37,2021,3,14,13,37,7,1, 
2021/3/6,37,2021,3,33,9,36,2,1, 
2021/3/7,37,2021,3,24,7,30,5,1, 
2021/3/8,37,2021,3,22,7,27,6,1, 
2021/3/9,37,2021,3,21,18,42,9,1, 
2021/3/10,37,2021,3,47,8,30,5,1, 
2021/3/11,37,2021,3,22,14,25,17,1, 
2021/3/12,37,2021,3,36,10,38,5, , 
2021/3/13,37,2021,3,25,13,41,2,1, 
2021/3/14,37,2021,3,39,27,45,6,1, 
2021/3/15,37,2021,3,66,24,29,9,1, 
2021/3/16,37,2021,3,63,24,43,9, , 
2021/3/17,37,2021,3,54,14,39,4,1, 
2021/3/18,37,2021,3,32,12,40,6,1, 
2021/3/19,37,2021,3,33,10,37,6,1, 
2021/3/20,37,2021,3,20,12,40,7,2, 
2021/3/21,37,2021,3,26,15,33,3,1, 
2021/3/22,37,2021,3,46,10,43,3,1,2
2021/3/23,37,2021,3,27,13,46,5,1,3
2021/3/24,37,2021,3,36,13,30,7,1,2
2021/3/25,37,2021,3,37,17,54,5,1,2
2021/3/26,37,2021,3,46,21,52,6,1,2
2021/3/27,37,2021,3,54,13,44,10, ,1
2021/3/28,37,2021,3,31,19,44,6, ,2
2021/3/29,37,2021,3,42, , , , , 
2021/2/1,37,2021,2,47,12,34,8,2, 
2021/2/2,37,2021,2,41,6,31,2, , 
2021/2/3,37,2021,2,17, , , , , 
2021/1/4,37,2021,1,29,15,31,7,2, 
2021/1/5,37,2021,1,49,6,29,5,1, 
2021/1/6,37,2021,1,24,6,28,3,1, 
2021/1/7,37,2021,1,19,3,27,2, , 
2021/1/8,37,2021,1,11,4,29,2, , 
2021/1/9,37,2021,1,17,7,29,2,1, 
2021/1/10,37,2021,1,24,9,27,4,1, 
2021/1/11,37,2021,1,33,12,21,6,1, 
2021/1/12,37,2021,1,33,18,29,6,2, 
2021/1/13,37,2021,1,49,25,32,11,3, 
2021/1/14,37,2021,1,59,29,19,12,1, 
2021/1/15,37,2021,1,63,25,31,11,2, 
2021/1/16,37,2021,1,58,10,31,3,1, 
2021/1/17,37,2021,1,34,7,33,3,1, 
2021/1/18,37,2021,1,28,8,30,4,1, 
2021/1/19,37,2021,1,31,4,30,4,1, 
2021/1/20,37,2021,1,15,14,13,14,2, 
2021/1/21,37,2021,1,44,23,6,21,2, 
2021/1/22,37,2021,1,59,9,29,7,1, 
2021/1/23,37,2021,1,24,5,25,3,1, 
2021/1/24,37,2021,1,11,6,31,4, , 
2021/1/25,37,2021,1,19,11,19,11, , 
2021/1/26,37,2021,1,28,10,32,10,1, 
2021/1/27,37,2021,1,32,11,39,4,1, 
2021/1/28,37,2021,1,36,6,32,1, , 
2021/1/29,37,2021,1,21,10,33,2,1, 
2021/1/30,37,2021,1,34,21,36,5,2, 
2021/1/31,37,2021,1,56,15,18,13,1, 
2020/10/1,37,2020,10,21,10,40,2,1, 
2020/10/2,37,2020,10,26,12,40,2,1, 
2020/10/3,37,2020,10,38,14,33,2,1, 
2020/10/4,37,2020,10,42,15,37,2,1, 
2020/10/5,37,2020,10,44,7,30,1, , 
2020/10/6,37,2020,10,17,6,33,2,1, 
2020/10/7,37,2020,10,14,5,33,1, , 
2020/10/8,37,2020,10,14,5,30,2, , 
2020/10/9,37,2020,10,12,4,26,2,1, 
2020/10/10,37,2020,10,15,8,31,1,1, 
2020/10/11,37,2020,10,20,12,37,2,2, 
2020/10/12,37,2020,10,33,11,38,2,1, 
2020/10/13,37,2020,10,29,12,39,2,1, 
2020/10/14,37,2020,10,40,8,35,1,1, 
2020/10/15,37,2020,10,25,6,32,1,1, 
2020/10/16,37,2020,10,15,5,24,2, , 
2020/10/17,37,2020,10,13,6,32,1,1, 
2020/10/18,37,2020,10,17,7,25,3, , 
2020/10/19,37,2020,10,20,9,26,2, , 
2020/10/20,37,2020,10,29,12,37,3,1, 
2020/10/21,37,2020,10,34,9,34,2, , 
2020/10/22,37,2020,10,22,8,36,3,1, 
2020/10/23,37,2020,10,28,9,38,2,1, 
2020/10/24,37,2020,10,23,9,41,2,1, 
2020/10/25,37,2020,10,24,9,36,3,1, 
2020/10/26,37,2020,10,27,9,34,4,1, 
2020/10/27,37,2020,10,23,13,25,7,1, 
2020/10/28,37,2020,10,39,21,43,4,1, 
2020/10/29,37,2020,10,55,7,32,2, , 
2020/10/30,37,2020,10,21,7,31,2,1, 
2020/10/31,37,2020,10,18,9,29,2, , 
2020/11/1,37,2020,11,24,7,21,3, , 
2020/11/2,37,2020,11,22,8,35,1,1, 
2020/11/3,37,2020,11,25,9,31,2,1, 
2020/11/4,37,2020,11,23,9,31,5,2, 
2020/11/5,37,2020,11,28,12,28,6,1, 
2020/11/6,37,2020,11,37,19,10,10,1, 
2020/11/7,37,2020,11,50,18,43,5,2, 
2020/11/8,37,2020,11,50,10,32,3,1, 
2020/11/9,37,2020,11,27,6,27,3,1, 
2020/11/10,37,2020,11,18,10,27,2,1, 
2020/11/11,37,2020,11,24,6,27,3,1, 
2020/11/12,37,2020,11,15,11,22,7, , 
2020/11/13,37,2020,11,32,11,32,4, , 
2020/11/14,37,2020,11,37,9,21,4,1, 
2020/11/15,37,2020,11,26,16,16,10,1, 
2020/11/16,37,2020,11,49,16,35,6,1, 
2020/11/17,37,2020,11,48,21,33,9,1, 
2020/11/18,37,2020,11,57,16,21,7,1, 
2020/11/19,37,2020,11,44,9,34,5,1, 
2020/11/20,37,2020,11,30,7,30,3,1, 
2020/11/21,37,2020,11,20,12,19,6,1, 
2020/11/22,37,2020,11,39,5,29,3,1, 
2020/11/23,37,2020,11,22,6,26,3, , 
2020/11/24,37,2020,11,20,9,16,7, , 
2020/11/25,37,2020,11,32,11,28,5,2, 
2020/11/26,37,2020,11,37,11,33,5,1, 
2020/11/27,37,2020,11,37,8,28,3,1, 
2020/11/28,37,2020,11,28,9,29,3,1, 
2020/11/29,37,2020,11,28,9,27,5,1, 
2020/11/30,37,2020,11,31,8,29,5,1, 
2020/12/1,37,2020,12,28,8,25,6,1, 
2020/12/2,37,2020,12,23,6,31,5,1, 
2020/12/3,37,2020,12,18,5,25,5, , 
2020/12/4,37,2020,12,17,9,30,5,2, 
2020/12/5,37,2020,12,30,12,33,4, , 
2020/12/6,37,2020,12,38,16,26,9,3, 
2020/12/7,37,2020,12,48,17,30,6,1, 
2020/12/8,37,2020,12,55,10,29,7,1, 
2020/12/9,37,2020,12,33,15,19,10,3, 
2020/12/10,37,2020,12,47,13,29,8,2, 
2020/12/11,37,2020,12,41,19,38,6,1, 
2020/12/12,37,2020,12,59,15,32,3,1, 
2020/12/13,37,2020,12,46,8,29,3,1, 
2020/12/14,37,2020,12,25,4,26,2,2, 
2020/12/15,37,2020,12,13,4,27,1,1, 
2020/12/16,37,2020,12,14,5,26,3,1, 
2020/12/17,37,2020,12,13,7,25,4,1, 
2020/12/18,37,2020,12,25,8,27,3,1, 
2020/12/19,37,2020,12,29,6,30,3,1, 
2020/12/20,37,2020,12,19,6,32,4,1, 
2020/12/21,37,2020,12,22,12,33,5, , 
2020/12/22,37,2020,12,39,20,35,8,1, 
2020/12/23,37,2020,12,63,27,16,13,1, 
2020/12/24,37,2020,12,72,14,30,7,1, 
2020/12/25,37,2020,12,36,9,27,4,1, 
2020/12/26,37,2020,12,30,11,26,5,1, 
2020/12/27,37,2020,12,38,13,22,8,2, 
2020/12/28,37,2020,12,39,13,24,6,1, 
2020/12/29,37,2020,12,40,8,29,4, , 
2020/12/30,37,2020,12,27,3,28,1, , 
2020/12/31,37,2020,12,13,4,29,1, , 
2021/1/1,37,2021,1,14,8,30,3,2, 
2021/1/2,37,2021,1,27,7,30,2,1, 
2021/1/3,37,2021,1,23,9,29,4,1, 
2020/7/1,37,2020,7,25,9,41,3,1, 
2020/7/2,37,2020,7,24,10,27,9,1, 
2020/7/3,37,2020,7,23,9,28,6,2, 
2020/7/4,37,2020,7,21,17,39,3,2, 
2020/7/5,37,2020,7,38,11,17,3, , 
2020/7/6,37,2020,7,18,7,35,6, , 
2020/7/7,37,2020,7,14,10,34,4,1, 
