date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2021/5/1,36,2021,5,47,7,39,1, 
2021/5/2,36,2021,5,27,8,42,1, 
2021/5/3,36,2021,5,34,11,43,1,1
2021/5/4,36,2021,5,33,8,43,1, 
2021/5/5,36,2021,5,43, , , , 
2021/4/10,36,2021,4,22,6,42,1,1
2021/4/11,36,2021,4,20,10,35,2, 
2021/4/12,36,2021,4,22,11,35,1, 
2021/4/13,36,2021,4,21,9,42,1, 
2021/4/14,36,2021,4,31,6,40,1,1
2021/4/15,36,2021,4,23,9,32,1, 
2021/4/16,36,2021,4,29,8,29,2, 
2021/4/17,36,2021,4,22,11,36,1, 
2021/4/18,36,2021,4,41,11,42,1, 
2021/4/19,36,2021,4,29,14,45,2,1
2021/4/20,36,2021,4,40,18,63,3,1
2021/4/21,36,2021,4,47,10,44,2,1
2021/4/22,36,2021,4,32,13,41,1,1
2021/4/23,36,2021,4,43,10,41,1, 
2021/4/24,36,2021,4,32,9,43,2,1
2021/4/25,36,2021,4,36,7,39,1, 
2021/4/26,36,2021,4,25,7,39,1,1
2021/4/27,36,2021,4,26,10,24,1, 
2021/4/28,36,2021,4,22,5,28,1, 
2021/4/29,36,2021,4,15,14,40,1,2
2021/4/30,36,2021,4,46,16,38,1,1
2021/3/1,36,2021,3,16,10,34,1, 
2021/3/2,36,2021,3,20,4,37,1, 
2021/3/3,36,2021,3,23,5,31,2,1
2021/3/4,36,2021,3,22,6,24,1, 
2021/3/5,36,2021,3,22,7,36,1, 
2021/3/6,36,2021,3,27,10,34,1,1
2021/3/7,36,2021,3,26,8,32,2,1
2021/3/8,36,2021,3,26,4,30,2,1
2021/3/9,36,2021,3,28,13,43,2,1
2021/3/10,36,2021,3,35,5,32,4,1
2021/3/11,36,2021,3,26,12,21,9,1
2021/3/12,36,2021,3,39,7,43,2, 
2021/3/13,36,2021,3,33,12,42,1,1
2021/3/14,36,2021,3,52,24,48,3,1
2021/3/15,36,2021,3,61,22,34,4,2
2021/3/16,36,2021,3,59,24,42,4,1
2021/3/17,36,2021,3,58,14,37,3,1
2021/3/18,36,2021,3,35,11,40,3,1
2021/3/19,36,2021,3,32,13,35,2, 
2021/3/20,36,2021,3,29,15,37,2,1
2021/3/21,36,2021,3,26,15,36,1,1
2021/3/22,36,2021,3,44,8,40,1, 
2021/3/23,36,2021,3,27,6,42,1, 
2021/3/24,36,2021,3,25,8,26,2,1
2021/3/25,36,2021,3,31,11,53,1, 
2021/3/26,36,2021,3,40,15,51,2, 
2021/3/27,36,2021,3,39,12,43,1, 
2021/3/28,36,2021,3,30,7,14,1, 
2021/3/29,36,2021,3,30, , , , 
2021/2/1,36,2021,2,32,14,38,2,1
2021/2/2,36,2021,2,47,9,33,2,1
2021/2/3,36,2021,2,23,8,35,3, 
2021/2/4,36,2021,2,26,8,30,4,1
2021/2/5,36,2021,2,32,10,27,3,2
2021/2/6,36,2021,2,26,16,42,1,1
2021/2/7,36,2021,2,48,20,34,2,1
2021/2/8,36,2021,2,41,6,31,1,1
2021/2/9,36,2021,2,26,10,28,4,1
2021/2/10,36,2021,2,26,16,44,3,1
2021/2/11,36,2021,2,46,17,31,4,1
2021/2/12,36,2021,2,50,10,23,2, 
2021/2/13,36,2021,2,29,10,26,1, 
2021/2/14,36,2021,2,21,5,36,2, 
2021/2/15,36,2021,2,29,9,31,2,1
2021/2/16,36,2021,2,25,5,31,1, 
2021/2/17,36,2021,2,23,4,30,1, 
2021/2/18,36,2021,2,26,4,31,2, 
2021/2/19,36,2021,2,28,8,34,1,1
2021/2/20,36,2021,2,34,17,39,1,1
2021/2/21,36,2021,2,49,15,37,2,1
2021/2/22,36,2021,2,39,16,39,1, 
2021/2/23,36,2021,2,48,9,33,2,1
2021/2/24,36,2021,2,29,5,33,2,1
2021/2/25,36,2021,2,28,6,32,3,1
2021/2/26,36,2021,2,22,7,37,1,1
2021/2/27,36,2021,2,25,6,23,1,2
2021/2/28,36,2021,2,21,5,29,1, 
2021/1/4,36,2021,1,31,10,34,1,1
2021/1/5,36,2021,1,37,8,33,1,1
2021/1/6,36,2021,1,23,5,30,2, 
2021/1/7,36,2021,1,24,3,27,1,1
2021/1/8,36,2021,1,24,3,31,1, 
2021/1/9,36,2021,1,19,4,30,1, 
2021/1/10,36,2021,1,20,4,30,3,1
2021/1/11,36,2021,1,26,4,25,1, 
2021/1/12,36,2021,1,17,11,21,3,1
2021/1/13,36,2021,1,41,19,22,4,3
2021/1/14,36,2021,1,46,27,34,1,1
2021/1/15,36,2021,1,46,17,36,2,1
2021/1/16,36,2021,1,49,13,34,1,1
2021/1/17,36,2021,1,38,3,32,1,1
2021/1/18,36,2021,1,20,9,33,1,1
2021/1/19,36,2021,1,30,5,31,2,1
2021/1/20,36,2021,1,22,7,22,6,1
2021/1/21,36,2021,1,36,23,13,8,1
2021/1/22,36,2021,1,45,8,33,4,1
2021/1/23,36,2021,1,35,3,31,1, 
2021/1/24,36,2021,1,18,5,35,1, 
2021/1/25,36,2021,1,28,10,32,2, 
2021/1/26,36,2021,1,16,4,35,1, 
2021/1/27,36,2021,1,25,14,32,2,1
2021/1/28,36,2021,1,40,8,31,1, 
2021/1/29,36,2021,1,33,5,34,1, 
2021/1/30,36,2021,1,26, , , , 
2020/10/1,36,2020,10,21,9,36,1,1
2020/10/2,36,2020,10,31,14,34,1,1
2020/10/3,36,2020,10,36,10,19, , 
2020/10/4,36,2020,10,26,14,38,1,1
2020/10/5,36,2020,10,41,8,32,1, 
2020/10/6,36,2020,10,19,9,33,1, 
2020/10/7,36,2020,10,26,5,37,1,1
2020/10/8,36,2020,10,18,2,32,1, 
2020/10/9,36,2020,10,14,3,33,1, 
2020/10/10,36,2020,10,18,6,30, , 
2020/10/11,36,2020,10,20,11,23,1,1
2020/10/12,36,2020,10,34,11,35,1, 
2020/10/13,36,2020,10,37,13,40,1,1
2020/10/14,36,2020,10,40,11,37,1,1
2020/10/15,36,2020,10,23,7,34,1,1
2020/10/16,36,2020,10,21,5,32,1, 
2020/10/17,36,2020,10,21,6,32,1, 
2020/10/18,36,2020,10,25,8,18,2, 
2020/10/19,36,2020,10,22,9,39,1, 
2020/10/20,36,2020,10,33,12,34,1,1
2020/10/21,36,2020,10,32,15,30,1, 
2020/10/22,36,2020,10,26,10,35,1, 
2020/10/23,36,2020,10,43,8,35,1,1
2020/10/24,36,2020,10,30,10,35,1,1
2020/10/25,36,2020,10,31,8,35,1,1
2020/10/26,36,2020,10,36,10,32,1,1
2020/10/27,36,2020,10,31,10,25,1,1
2020/10/28,36,2020,10,36,21,46,2,1
2020/10/29,36,2020,10,60,9,33,1,1
2020/10/30,36,2020,10,26,9,32,1,1
2020/10/31,36,2020,10,23,6,11,1, 
2020/11/1,36,2020,11,36,5,26,1, 
2020/11/2,36,2020,11,22,9,33,1,1
2020/11/3,36,2020,11,22,8,34,1,1
2020/11/4,36,2020,11,25,10,32,1,1
2020/11/5,36,2020,11,32,12,9,1,1
2020/11/6,36,2020,11,45,5,8,1, 
2020/11/7,36,2020,11,27,18,43,1,1
2020/11/8,36,2020,11,47,12,36,1,1
2020/11/9,36,2020,11,30,7,31,1, 
2020/11/10,36,2020,11,27,4,32,1, 
2020/11/11,36,2020,11,26,9,23,2,1
2020/11/12,36,2020,11,31,13,25,1,1
2020/11/13,36,2020,11,32,12,37,2, 
2020/11/14,36,2020,11,38,8,28,1,1
2020/11/15,36,2020,11,23,10,24,2,1
2020/11/16,36,2020,11,36,15,31,1,2
2020/11/17,36,2020,11,41,15,31,1,1
2020/11/18,36,2020,11,46,10,30,1, 
2020/11/19,36,2020,11,34,11,32,2,1
2020/11/20,36,2020,11,35,7,35,1,1
2020/11/21,36,2020,11,18,7,22,3,1
2020/11/22,36,2020,11,27,6,33,1,1
2020/11/23,36,2020,11,26,5,30,1, 
2020/11/24,36,2020,11,24,9,12,3,1
2020/11/25,36,2020,11,24,10,34,1,1
2020/11/26,36,2020,11,24,11,23,2,1
2020/11/27,36,2020,11,33,10,28,1, 
2020/11/28,36,2020,11,26,7,28,1,1
2020/11/29,36,2020,11,26,8,33,1,1
2020/11/30,36,2020,11,33,6,35,1, 
2020/12/1,36,2020,12,28,4,27,2,1
2020/12/2,36,2020,12,17,6,34,2,1
2020/12/3,36,2020,12,23,3,31,1,1
2020/12/4,36,2020,12,24,5,29,2,1
2020/12/5,36,2020,12,36,8,30,2,1
2020/12/6,36,2020,12,29,14,25,3,1
2020/12/7,36,2020,12,33,18,34,2,1
2020/12/8,36,2020,12,53,11,31,2,1
2020/12/9,36,2020,12,36,11,23,5,1
2020/12/10,36,2020,12,18,11,28,3,1
2020/12/11,36,2020,12,53,16,40,2,1
2020/12/12,36,2020,12,45,15,35,1,1
2020/12/13,36,2020,12,41,6,31,1, 
2020/12/14,36,2020,12,21,2,30,1, 
2020/12/15,36,2020,12,21,2,32,1, 
2020/12/16,36,2020,12,21,2,29,2, 
2020/12/17,36,2020,12,18,2,30,2, 
2020/12/18,36,2020,12,23,7,30,3, 
2020/12/19,36,2020,12,22,4,32,1, 
2020/12/20,36,2020,12,20,3,36,1, 
2020/12/21,36,2020,12,22,10,30,2, 
2020/12/22,36,2020,12,22,16,33,2,1
2020/12/23,36,2020,12,46,19,11,4, 
2020/12/24,36,2020,12,41,10,32,1, 
2020/12/25,36,2020,12,24,5,29,1, 
2020/12/26,36,2020,12,25,12,23,2,1
2020/12/27,36,2020,12,32,12,31,2,1
2020/12/28,36,2020,12,34,11,29,2,1
2020/12/29,36,2020,12,32,4,32,1, 
2020/12/30,36,2020,12,20,3,31, , 
2020/12/31,36,2020,12,16,2,32, , 
2021/1/1,36,2021,1,19,3,18, , 
2021/1/2,36,2021,1,25, , , , 
2020/7/1,36,2020,7,41,10,32,1,1
2020/7/2,36,2020,7,28,12,25,1, 
