date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,5,2021,5,37,6,45,1, ,1
2021/5/2,5,2021,5,29,10,45,1, ,1
2021/5/3,5,2021,5,46,13,49,2,1,2
2021/5/4,5,2021,5,53,6,36,1, , 
2021/5/5,5,2021,5,41, , , , , 
2021/4/10,5,2021,4,31,4,37,3, ,2
2021/4/11,5,2021,4,29,6,45,3,1,2
2021/4/12,5,2021,4,42,6,38,2, ,2
2021/4/13,5,2021,4,33,7,34,1, ,2
2021/4/14,5,2021,4,35,6,37,3,1,2
2021/4/15,5,2021,4,42,7,42,2,1,2
2021/4/16,5,2021,4,35,7,36,1, ,2
2021/4/17,5,2021,4,34,8,44,1, , 
2021/4/18,5,2021,4,33,19,48,1,1,2
2021/4/19,5,2021,4,57,21,51,4,1,2
2021/4/20,5,2021,4,60,11,40,2,1,2
2021/4/21,5,2021,4,42,15,44,4,1,2
2021/4/22,5,2021,4,51,6,39,3,1,2
2021/4/23,5,2021,4,31,9,37,4,1,2
2021/4/24,5,2021,4,39,8,40,1, ,2
2021/4/25,5,2021,4,35,4,33,1, ,1
2021/4/26,5,2021,4,24,7,39,3,1,2
2021/4/27,5,2021,4,36,9,39,4, ,2
2021/4/28,5,2021,4,32,13,39,2, ,2
2021/4/29,5,2021,4,46,10,43,2,1, 
2021/4/30,5,2021,4,36,7,43,1,1,2
2021/3/1,5,2021,3,33,5,35,4, ,2
2021/3/2,5,2021,3,32,4,35,2, ,2
2021/3/3,5,2021,3,29,4,39,3, ,2
2021/3/4,5,2021,3,34,9,36,6,1,2
2021/3/5,5,2021,3,47,8,36,2, ,2
2021/3/6,5,2021,3,29,3,34,3, ,3
2021/3/7,5,2021,3,35,4,33,6,1,2
2021/3/8,5,2021,3,32,5,35,6, ,2
2021/3/9,5,2021,3,30,10,36,3, ,2
2021/3/10,5,2021,3,45,6,35,4, ,2
2021/3/11,5,2021,3,42,7,35,6,1,3
2021/3/12,5,2021,3,36,10,32,6, ,3
2021/3/13,5,2021,3,53,7,40,2, ,2
2021/3/14,5,2021,3,32,9,37,5,1,3
2021/3/15,5,2021,3,44,13,38,4, ,2
2021/3/16,5,2021,3,49,19,35,1, ,2
2021/3/17,5,2021,3,47,8,35,2, , 
2021/3/18,5,2021,3,37,6,37,3,1,2
2021/3/19,5,2021,3,35,6,38,3, ,2
2021/3/20,5,2021,3,29,4,39,2, ,2
2021/3/21,5,2021,3,24,11,38,1, ,2
2021/3/22,5,2021,3,50,8,38,2, ,2
2021/3/23,5,2021,3,45,13,46,4,1,2
2021/3/24,5,2021,3,48,18,39,6, ,2
2021/3/25,5,2021,3,55,20,56,2, ,2
2021/3/26,5,2021,3,59,10,34,4, ,2
2021/3/27,5,2021,3,37,10,41,1, ,2
2021/3/28,5,2021,3,42,6,34,2, ,2
2021/3/29,5,2021,3,21, , , , , 
2021/2/1,5,2021,2,35,14,35,3, ,2
2021/2/2,5,2021,2,59,7,30,2,1,2
2021/2/3,5,2021,2,42,4,32,3, ,2
2021/2/4,5,2021,2,40,5,34,5,1,3
2021/2/5,5,2021,2,31,18,42,6,1,3
2021/2/6,5,2021,2,63,17,33,5, ,3
2021/2/7,5,2021,2,68,4,31,1,1,2
2021/2/8,5,2021,2,35,8,30,2,1,2
2021/2/9,5,2021,2,37,6,37,5,1,2
2021/2/10,5,2021,2,44,8,32,3,1,2
2021/2/11,5,2021,2,37,7,29,12, ,3
2021/2/12,5,2021,2,37,5,31,6, ,3
2021/2/13,5,2021,2,38,8,33,6, ,3
2021/2/14,5,2021,2,49,9,36,8, ,3
2021/2/15,5,2021,2,37,11,35,1, ,2
2021/2/16,5,2021,2,46,6,30,1, , 
2021/2/17,5,2021,2,28,3,31,2,1,2
2021/2/18,5,2021,2,32,6,33,3, ,2
2021/2/19,5,2021,2,30,23,41,3,1,3
2021/2/20,5,2021,2,66,14,34,4,2,2
2021/2/21,5,2021,2,51,31,47,7, ,3
2021/2/22,5,2021,2,81,8,36,1, ,2
2021/2/23,5,2021,2,40,6,33,2,1,2
2021/2/24,5,2021,2,32,5,34,4,1,2
2021/2/25,5,2021,2,33,9,37,4,1,2
2021/2/26,5,2021,2,47,4,32,5, ,3
2021/2/27,5,2021,2,28,5,32,4, ,2
2021/2/28,5,2021,2,29,7,29,9, ,3
2021/1/4,5,2021,1,29,4,27,4,1,3
2021/1/5,5,2021,1,37,5,24,11,1,3
2021/1/6,5,2021,1,35,6,29,5,1,3
