date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,3,2021,5,34,4,33,2, ,2
2021/5/2,3,2021,5,20,7,37,2, ,1
2021/5/3,3,2021,5,23,14,51,1, , 
2021/5/4,3,2021,5,47,9,22,2, , 
2021/5/5,3,2021,5,41, , , , , 
2021/4/10,3,2021,4,18,7,38,3,1,2
2021/4/11,3,2021,4,30,9,41,4,1,2
2021/4/12,3,2021,4,39,12,38,2,1, 
2021/4/13,3,2021,4,42,5,35,3, ,2
2021/4/14,3,2021,4,25,8,38,5,1,2
2021/4/15,3,2021,4,35,11,36,4,1,2
2021/4/16,3,2021,4,38,10,33,2,1, 
2021/4/17,3,2021,4,33,5,41,2, ,1
2021/4/18,3,2021,4,14,18,48,3, ,2
2021/4/19,3,2021,4,50,21,58,4,1,2
2021/4/20,3,2021,4,65,9,42,2,1,2
2021/4/21,3,2021,4,40,13,46,4,1,2
2021/4/22,3,2021,4,40,7,43,4,1,2
2021/4/23,3,2021,4,24,11,41,4,1, 
2021/4/24,3,2021,4,41,7,39,2,1,2
2021/4/25,3,2021,4,34,5,34,4,2, 
2021/4/26,3,2021,4,17,8,37,5, ,1
2021/4/27,3,2021,4,29,11,36,9,1,2
2021/4/28,3,2021,4,41,12,40,5, ,2
2021/4/29,3,2021,4,37,7,41,2, ,2
2021/4/30,3,2021,4,24,9,39,4, ,2
2021/3/1,3,2021,3,56,11,34,12,1,2
2021/3/2,3,2021,3,44,5,36,6,1,2
2021/3/3,3,2021,3,20,9,34,7,1,2
2021/3/4,3,2021,3,42,9,26,7, ,2
2021/3/5,3,2021,3,39,6,36,2,1,2
2021/3/6,3,2021,3,26,6,35,4,1,2
2021/3/7,3,2021,3,23,7,32,11,1,2
2021/3/8,3,2021,3,30,10,33,9,1,2
2021/3/9,3,2021,3,43,10,35,5,1,2
2021/3/10,3,2021,3,40,10,35,8,1,2
2021/3/11,3,2021,3,40,15,24,15,1,3
2021/3/12,3,2021,3,53,25,37,10,1,4
2021/3/13,3,2021,3,70,2,35,4,1,2
2021/3/14,3,2021,3,8,8,37,3,1,2
2021/3/15,3,2021,3,26,13,39,9,1,2
2021/3/16,3,2021,3,41,20,33,3,1,2
2021/3/17,3,2021,3,58,10, ,3,1,2
2021/3/18,3,2021,3,38,8, ,5,1,2
2021/3/19,3,2021,3,33,11, ,5,1,2
2021/3/20,3,2021,3,42,5, ,7,1,2
2021/3/21,3,2021,3,13,9,31,4,1,2
2021/3/22,3,2021,3,33,10,36,6,1,2
2021/3/23,3,2021,3,37,16,43,6, ,2
2021/3/24,3,2021,3,51,16,43,9, ,2
2021/3/25,3,2021,3,52,17,52,6, ,2
2021/3/26,3,2021,3,55,13,36,5, ,2
2021/3/27,3,2021,3,47,19,31,7, ,3
2021/3/28,3,2021,3,54,12,32,6, ,2
2021/3/29,3,2021,3,37, , , , , 
2021/2/1,3,2021,2,44,9,32,10,1,3
2021/2/2,3,2021,2,40,7,30,7,1,2
2021/2/3,3,2021,2,32,8,34,9,1,2
2021/2/4,3,2021,2,34,7,32,9,1,2
2021/2/5,3,2021,2,23,12,37,9,1,3
2021/2/6,3,2021,2,41,15,35,9,1,3
2021/2/7,3,2021,2,55,6,29,8,1,2
2021/2/8,3,2021,2,26,4,28,6,1,2
2021/2/9,3,2021,2,14,9,36,10,1,3
2021/2/10,3,2021,2,32,10,33,7,1,2
2021/2/11,3,2021,2,38,10,28,16,1,4
2021/2/12,3,2021,2,39,12,32,17,1,4
2021/2/13,3,2021,2,50,16,33,17,1,4
2021/2/14,3,2021,2,59,12,31,21,1,4
2021/2/15,3,2021,2,47,6,35,2, ,2
2021/2/16,3,2021,2,30,7,28,5,1,2
2021/2/17,3,2021,2,27,4,30,6,1,2
2021/2/18,3,2021,2,19,6,31,8,1,2
2021/2/19,3,2021,2,23,14,43,5,1,3
2021/2/20,3,2021,2,44,17,36,5,1,2
2021/2/21,3,2021,2,53,23,37,19,1,4
