date,prefecture_num,year,month, pm25, pm10, o3, no2, so2, co
2021/5/1,9,2021,5,53,9,44,4,1,1
2021/5/2,9,2021,5,33,11,46,4,1,2
2021/5/3,9,2021,5,42,15,71,10,2,2
2021/5/4,9,2021,5,51,18,34,6,1,3
2021/5/5,9,2021,5,47, , , , , 
2021/4/10,9,2021,4,30,12,37,6,1,2
2021/4/11,9,2021,4,47,13,40,9,1,2
2021/4/12,9,2021,4,45,16,32,14,1,2
2021/4/13,9,2021,4,39,15,37,13, ,2
2021/4/14,9,2021,4,34,10,38,10,1,2
2021/4/15,9,2021,4,41,13,39,14,1,2
2021/4/16,9,2021,4,41,17,35,13,1,2
2021/4/17,9,2021,4,40,12,40,4,1, 
2021/4/18,9,2021,4,34,19,45,14,1,2
2021/4/19,9,2021,4,54,23,63,18,2,3
2021/4/20,9,2021,4,71,19,45,16,1,2
2021/4/21,9,2021,4,64,15,40,13,1,1
2021/4/22,9,2021,4,44,16,34,13,1,2
2021/4/23,9,2021,4,48,18,40,10,1,2
2021/4/24,9,2021,4,50,19,41,12,1,2
2021/4/25,9,2021,4,56,10,35,10,1,1
2021/4/26,9,2021,4,30,13,37,13,1,2
2021/4/27,9,2021,4,47,20,44,17,1,2
2021/4/28,9,2021,4,57,18,29,10,1,2
2021/4/29,9,2021,4,40,11,54,12,1,2
2021/4/30,9,2021,4,42,17,59,11,1,2
2021/3/1,9,2021,3,52,16,29,13,1,2
2021/3/2,9,2021,3,35,8,35,9,1,2
2021/3/3,9,2021,3,33,14,38,16,1,2
2021/3/4,9,2021,3,42,12,17,15,1,2
2021/3/5,9,2021,3,47,22,34,9,1,2
2021/3/6,9,2021,3,45,11,36,5,1,2
2021/3/7,9,2021,3,34,17,24,16,1,2
2021/3/8,9,2021,3,40,12,29,15,1,2
2021/3/9,9,2021,3,38,14,31,12,1,3
2021/3/10,9,2021,3,46,16,36,21,1,3
2021/3/11,9,2021,3,52,25,38,22,1,3
2021/3/12,9,2021,3,65,16,30,8, ,2
2021/3/13,9,2021,3,36,9,37,7,1,1
2021/3/14,9,2021,3,29,11,41,16, ,2
2021/3/15,9,2021,3,44,17,43,20,1,2
2021/3/16,9,2021,3,58,18,36,14,1,2
2021/3/17,9,2021,3,58,19,39,16,1,2
2021/3/18,9,2021,3,54,18,38,14,1,2
2021/3/19,9,2021,3,49,18,35,10,1,2
2021/3/20,9,2021,3,47,22,32,8, ,2
2021/3/21,9,2021,3,39,9,35,10, ,2
2021/3/22,9,2021,3,28,14,41,18,1,2
2021/3/23,9,2021,3,50,19,53,16,1,2
2021/3/24,9,2021,3,55,21,43,19, ,2
2021/3/25,9,2021,3,58,21,52,14, ,2
2021/3/26,9,2021,3,59,22,53,11, ,2
2021/3/27,9,2021,3,65,30,44,9, ,2
2021/3/28,9,2021,3,59,11,31,7, ,2
2021/3/29,9,2021,3,33, , , , , 
2021/2/1,9,2021,2,57,25,18,17,1,3
2021/2/2,9,2021,2,54,9,18,15,1,3
2021/2/3,9,2021,2,28,11,20,18,1,2
2021/2/4,9,2021,2,38,11,18,20,1,3
2021/2/5,9,2021,2,46,18,24,18,1,3
2021/2/6,9,2021,2,55,19,25,11,1,3
2021/2/7,9,2021,2,57,13,28,13,1,2
2021/2/8,9,2021,2,30,9,28,15,1,2
2021/2/9,9,2021,2,28,14,24,21,1,3
2021/2/10,9,2021,2,45,15,36,15,1,2
2021/2/11,9,2021,2,50,22,29,20,1,4
2021/2/12,9,2021,2,64,30,34,20,1,3
2021/2/13,9,2021,2,72,24,39,13,1,2
2021/2/14,9,2021,2,67,18,28,16, ,2
2021/2/15,9,2021,2,38,8,33,6, ,2
2021/2/16,9,2021,2,25,9,30,11,1,2
2021/2/17,9,2021,2,30,6,29,9,3,2
2021/2/18,9,2021,2,30,10,20,22,1,3
2021/2/19,9,2021,2,41,18,19,21,1,3
2021/2/20,9,2021,2,56,26,27,16,1,3
2021/2/21,9,2021,2,77,30,34,21,1,3
2021/2/22,9,2021,2,81,18,20,8,1,2
2021/2/23,9,2021,2,46,8,29,12,1,2
2021/2/24,9,2021,2,32,12,26,20,1,2
2021/2/25,9,2021,2,40,14,33,18,1,2
2021/2/26,9,2021,2,43,11,34,7, ,2
2021/2/27,9,2021,2,33,15,35,14, ,3
2021/2/28,9,2021,2,55,17,32,19,1,2
2021/1/4,9,2021,1,41,13,13,15,1,3
2021/1/5,9,2021,1,38,12,17,16,1,2
2021/1/6,9,2021,1,38,18,20,15,1,3
2021/1/7,9,2021,1,41,9,23,17,1,3
2021/1/8,9,2021,1,36,11,26,17,1,3
2021/1/9,9,2021,1,40,11,27,11,1,2
2021/1/10,9,2021,1,41,14,23,13,1,3
2021/1/11,9,2021,1,49,18,16,16,1,2
2021/1/12,9,2021,1,46,26,12,22,1,4
2021/1/13,9,2021,1,64,19,25,23,1,3
2021/1/14,9,2021,1,55,27,20,22,1,3
2021/1/15,9,2021,1,62,27,25,15,1,3
2021/1/16,9,2021,1,65,14,25,12, ,2
2021/1/17,9,2021,1,37,13,23,19,1,3
2021/1/18,9,2021,1,42,13,29,16,1,3
2021/1/19,9,2021,1,41,12,26,23,1,3
2021/1/20,9,2021,1,40,22,30,25,1,3
2021/1/21,9,2021,1,58,32,32,30,1,3
2021/1/22,9,2021,1,73,23,28,15,1,3
2021/1/23,9,2021,1,53,14,27,2, ,2
2021/1/24,9,2021,1,36,15,26,18,1,3
2021/1/25,9,2021,1,48,16,25,25,1,3
2021/1/26,9,2021,1,46,20,27,16,1,2
2021/1/27,9,2021,1,48,16,21,15,1,2
2021/1/28,9,2021,1,46,11,28,12, ,2
2021/1/29,9,2021,1,35,8,18,12,1,2
2021/1/30,9,2021,1,33,19,25,10,1,2
2021/1/31,9,2021,1,56,21,15,23,1,4
2020/10/1,9,2020,10,54,18,32,11,1,2
2020/10/2,9,2020,10,50,22,41,7,1,3
2020/10/3,9,2020,10,61,31,37,7,1,3
2020/10/4,9,2020,10,78,30,20,11,1,3
2020/10/5,9,2020,10,72,13,28,15,1,2
