prefecture_num,prefecture,year,month,bankruptcy
1,北海道,2014,1,32
2,青森県,2014,1,3
3,岩手県,2014,1,6
4,宮城県,2014,1,4
5,秋田県,2014,1,9
6,山形県,2014,1,7
7,福島県,2014,1,4
8,茨城県,2014,1,14
9,栃木県,2014,1,6
10,群馬県,2014,1,9
11,埼玉県,2014,1,48
12,千葉県,2014,1,15
13,東京都,2014,1,159
14,神奈川県,2014,1,43
15,新潟県,2014,1,6
19,山梨県,2014,1,4
20,長野県,2014,1,9
21,岐阜県,2014,1,13
22,静岡県,2014,1,23
23,愛知県,2014,1,64
24,三重県,2014,1,11
16,富山県,2014,1,9
17,石川県,2014,1,10
18,福井県,2014,1,6
25,滋賀県,2014,1,4
26,京都府,2014,1,32
27,大阪府,2014,1,127
28,兵庫県,2014,1,36
29,奈良県,2014,1,21
30,和歌山県,2014,1,8
31,鳥取県,2014,1,1
32,島根県,2014,1,6
33,岡山県,2014,1,8
34,広島県,2014,1,14
35,山口県,2014,1,9
36,徳島県,2014,1,4
37,香川県,2014,1,2
38,愛媛県,2014,1,7
39,高知県,2014,1,2
40,福岡県,2014,1,25
41,佐賀県,2014,1,5
42,長崎県,2014,1,6
43,熊本県,2014,1,6
44,大分県,2014,1,9
45,宮崎県,2014,1,3
46,鹿児島県,2014,1,8
47,沖縄県,2014,1,7
1,北海道,2014,2,20
2,青森県,2014,2,7
3,岩手県,2014,2,3
4,宮城県,2014,2,7
5,秋田県,2014,2,5
6,山形県,2014,2,2
7,福島県,2014,2,1
8,茨城県,2014,2,7
9,栃木県,2014,2,5
10,群馬県,2014,2,9
11,埼玉県,2014,2,33
12,千葉県,2014,2,23
13,東京都,2014,2,145
14,神奈川県,2014,2,53
15,新潟県,2014,2,12
19,山梨県,2014,2,3
20,長野県,2014,2,6
21,岐阜県,2014,2,15
22,静岡県,2014,2,26
23,愛知県,2014,2,47
24,三重県,2014,2,8
16,富山県,2014,2,8
17,石川県,2014,2,6
18,福井県,2014,2,3
25,滋賀県,2014,2,8
26,京都府,2014,2,25
27,大阪府,2014,2,108
28,兵庫県,2014,2,43
29,奈良県,2014,2,12
30,和歌山県,2014,2,8
31,鳥取県,2014,2,2
32,島根県,2014,2,5
33,岡山県,2014,2,7
34,広島県,2014,2,19
35,山口県,2014,2,7
36,徳島県,2014,2,6
