ダウンロードした時刻：2021/05/19 13:42:53,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉,千葉
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,12,6.2,10.4,2,15.6,-1,44,0,7,0,18,0,194.4,0,63,0,48,1017.2
14-Feb,2014,2,12,5.7,9.9,2.5,20.3,-1.6,148.5,0,11.5,0,58.5,0,118.7,0,39,0,55,1017.9
14-Mar,2014,3,12,10,13.9,6.3,20.5,0.9,106,0,8,0,30.5,0,192.5,0,52,0,56,1014.1
14-Apr,2014,4,12,14.3,18.6,10.5,23.7,5.4,101,0,13.5,0,33.5,0,211.9,0,54,0,59,1015.5
14-May,2014,5,12,19.6,24.2,15.8,31.7,10.5,104.5,0,11,0,44,0,238,0,55,0,65,1010.3
14-Jun,2014,6,12,22.7,26.5,20.1,31.5,17.8,303.5,0,24,0,112.5,0,146.5,0,34,0,76,1006.6
14-Jul,2014,7,12,26.1,30.1,23.1,35,20,90.5,0,52.5,0,56,0,189.7,0,43,0,75,1008.3
14-Aug,2014,8,12,27.1,30.8,24.3,34.1,19,71.5,0,11,0,23.5,0,196.7,0,47,0,75,1009.6
14-Sep,2014,9,12,22.6,26.7,19.6,31.1,15.9,60.5,0,15,0,29.5,0,152.7,0,41,0,69,1012.1
14-Oct,2014,10,12,18.8,22.8,15.4,30.9,10.7,285,0,23,0,102.5,0,135.8,0,39,0,68,1016.9
14-Nov,2014,11,12,14.1,17.6,10.7,23.2,6.4,85,0,9.5,0,21,0,136,0,44,0,63,1017
14-Dec,2014,12,12,7.8,11.5,4.3,17.3,0.7,95.5,0,13,0,32.5,0,200.5,0,66,0,52,1013.2
15-Jan,2015,1,12,6.5,10.4,2.9,17.2,0,91.5,0,12,0,35,0,190.1,0,61,0,49,1014.3
15-Feb,2015,2,12,6.2,10.1,3,19.9,-0.8,62,0,5.5,0,21,0,166.5,0,55,0,56,1014.5
15-Mar,2015,3,12,10.5,14.5,6.8,21.1,1.4,103,0,8.5,0,29,0,188.6,0,51,0,59,1016
15-Apr,2015,4,12,14.5,18.5,10.8,24,1.8,118.5,0,7,0,35,0,149.3,0,38,0,71,1016.2
15-May,2015,5,12,21,25.9,17.2,31.6,11.7,72.5,0,17.5,0,25.5,0,237.2,0,55,0,64,1009.3
15-Jun,2015,6,12,22.2,26.2,19.3,29.8,13.6,161.5,0,40,0,49.5,0,145.8,0,34,0,73,1008
15-Jul,2015,7,12,26.3,29.9,23.8,35.4,19.1,255,0,45,0,115.5,0,201.5,0,46,0,78,1009
15-Aug,2015,8,12,26.8,30.6,24.5,38.5,19.3,105,0,21,0,33,0,159.1,0,38,0,78,1008.8
