É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:43:44,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl,â°ïl
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,14,6.4,10.5,2.5,16.4,-0.4,38.5,0,6.5,0,20,0,206.6,0,67,0,50,1012.5
14-Feb,2014,2,14,5.8,9.9,2.7,19.1,-1.1,127.5,0,8,0,44.5,0,126,0,42,0,57,1013.2
14-Mar,2014,3,14,10.1,14.5,6.4,22.1,1,128,0,9,0,45,0,197.5,0,54,0,57,1009.4
14-Apr,2014,4,14,14.3,19,10.5,23.4,4.6,154.5,0,16,0,48.5,0,222,0,57,0,62,1010.9
14-May,2014,5,14,19.5,24.3,15.8,30.3,10.8,127.5,0,12.5,0,57.5,0,253,0,58,0,68,1005.8
14-Jun,2014,6,14,22.6,26.4,19.8,31,17.5,348.5,0,24.5,0,155,0,172.1,0,40,0,79,1002.3
14-Jul,2014,7,14,25.9,30.1,23.1,35.2,19.9,68.5,0,9,0,11,0,197.5,0,45,0,79,1004
14-Aug,2014,8,14,26.8,30.5,24.1,34.5,19.4,125.5,0,17.5,0,50.5,0,197.3,0,47,0,78,1005.3
14-Sep,2014,9,14,22.8,26.7,19.9,30.9,15.8,88.5,0,11.5,0,38,0,166.6,0,45,0,71,1007.7
14-Oct,2014,10,14,18.6,22.7,15.6,30.2,11.4,476,0,51,0,187,0,142.6,0,41,0,72,1012.5
14-Nov,2014,11,14,14,17.2,11,22.3,6.8,90,0,6.5,0,31,0,142.2,0,46,0,67,1012.6
14-Dec,2014,12,14,7.5,11.4,4,17.1,0.4,87,0,8.5,0,28.5,0,197.3,0,65,0,56,1008.7
15-Jan,2015,1,14,6.2,10.4,2.7,16.6,-0.8,106.5,0,12,0,32,0,188.9,0,61,0,55,1009.8
15-Feb,2015,2,14,6.4,10.5,3.3,20.7,-0.7,53,0,5,0,14.5,0,167.3,0,55,0,60,1009.9
15-Mar,2015,3,14,10.5,15,6.9,21.8,2.1,113,0,9,0,37.5,0,184.9,0,50,0,61,1011.5
15-Apr,2015,4,14,14.6,18.8,11.1,25.4,2.8,121,0,5.5,0,41.5,0,152.5,0,39,0,74,1011.7
15-May,2015,5,14,20.8,25.4,17.3,30.3,13.2,69.5,0,17,0,31,0,249.9,0,58,0,68,1004.9
15-Jun,2015,6,14,21.9,25.8,19.1,29.3,13.9,145.5,0,10.5,0,29.5,0,143.1,0,33,0,78,1003.6
15-Jul,2015,7,14,26,29.7,23.4,35.3,18.6,325.5,0,28.5,0,103,0,204.8,0,46,0,81,1004.7
15-Aug,2015,8,14,26.8,30.2,24.4,35.8,17.7,118,0,22.5,0,44,0,176.8,0,42,0,79,1004.6
15-Sep,2015,9,14,22.9,26.2,20.5,30.4,16.4,483,0,35,0,142,0,125.4,0,34,0,79,1007.4
15-Oct,2015,10,14,18.9,22.6,15.9,27,12.1,54,0,15,0,20,0,192,0,55,0,67,1010.4
15-Nov,2015,11,14,14.7,17.9,11.9,23.5,6,137,0,11.5,0,30,0,122.9,0,40,0,74,1016
