É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:44:35,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,16,2.9,6.8,-0.5,14.4,-3.2,195.5,0,10,0,25.5,0,97.3,0,32,0,74,1019.3
14-Feb,2014,2,16,2.8,6.3,-0.2,16.7,-4.1,120,0,4.5,0,26,0,73.1,0,24,0,74,1020.6
14-Mar,2014,3,16,6.8,11.5,2.9,25.1,-2.9,269,0,7,0,69,0,120.3,0,33,0,70,1015.7
14-Apr,2014,4,16,12.2,17.7,6.9,24.2,2.3,90,0,9.5,0,35.5,0,232.4,0,59,0,61,1015.3
14-May,2014,5,16,18.3,24,13.3,32.6,7.1,67,0,8,0,26.5,0,238,0,55,0,60,1009.8
14-Jun,2014,6,16,22.5,27,18.7,31,16.2,105.5,0,21,0,36,0,184.9,0,42,0,76,1004.9
14-Jul,2014,7,16,25.8,30.2,22.1,38,18,183,0,20.5,0,52.5,0,184.3,0,41,0,77,1006.6
14-Aug,2014,8,16,26.2,30.3,22.9,36.8,19.8,443.5,0,39.5,0,102,0,124.1,0,30,0,78,1007.5
14-Sep,2014,9,16,22.1,26.8,17.9,32,13.7,107.5,0,11,0,51.5,0,196.3,0,53,0,69,1011
14-Oct,2014,10,16,16.6,20.9,12.5,25.8,6.6,201,0,16,0,47.5,0,170.1,0,49,0,71,1016.4
14-Nov,2014,11,16,11.5,15.9,7.8,22,2.6,211.5,0,10,0,27,0,104.3,0,34,0,76,1017.2
14-Dec,2014,12,16,3.5,6.6,1,19,-3.3,541.5,0,10,0,57.5,0,43.4,0,15,0,81,1015.2
15-Jan,2015,1,16,2.8,6,0.1,13.5,-2.4,264.5,0,8.5,0,27.5,0,59.3,0,19,0,78,1017.1
15-Feb,2015,2,16,3.8,7.6,0.5,18.5,-3.3,145,0,5.5,0,32,0,78.1,0,26,0,73,1016
15-Mar,2015,3,16,7,12,2.7,25.4,-1.6,184.5,0,6.5,0,34.5,0,141.8,0,38,0,70,1016.9
15-Apr,2015,4,16,13.2,18.1,8.6,29.7,3.8,185.5,0,8.5,0,39,0,163.4,0,42,0,67,1014.7
15-May,2015,5,16,19.6,25.8,14,31.2,8.9,85.5,0,17.5,0,34,0,266.8,0,61,0,58,1008.3
15-Jun,2015,6,16,21.4,25.8,17.6,31.5,12.6,114,0,9,0,26,0,165.3,0,38,0,74,1006.2
15-Jul,2015,7,16,25.8,30.2,22,36.7,17.5,184.5,0,25,0,59,0,189.7,0,43,0,73,1007.1
15-Aug,2015,8,16,26.7,30.6,23.3,35.7,20.6,165.5,0,32.5,0,60.5,0,177.3,0,42,0,72,1006.9
15-Sep,2015,9,16,21.3,25.3,18.1,31.5,13.1,200,0,19,0,33,0,128.3,0,34,0,76,1010.9
15-Oct,2015,10,16,16.3,21.5,11.6,26.8,6.3,88.5,0,15,0,32.5,0,186.3,0,53,0,67,1015.2
15-Nov,2015,11,16,12.7,16.5,9.4,23.9,3.2,222.5,0,8,0,26,0,79.9,0,26,0,76,1019.8
