ダウンロードした時刻：2021/05/19 13:48:08,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,津,津,津,津,津,津,津,津,津,津,津,津,津,津,津,津,津
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,24,5.2,9.5,1.4,14.1,-1.4,34.5,0,3.5,0,24,0,193.7,0,62,0,61,1018.6
14-Feb,2014,2,24,5.5,9.2,2.6,16.2,-0.6,71,0,5,0,32,0,143.3,0,53,0,60,1018.1
14-Mar,2014,3,24,9,13.5,5.3,20.3,-0.1,96.5,0,9,0,22,0,194.7,0,53,0,64,1015.1
14-Apr,2014,4,24,14.3,18.8,10.2,25.3,4.7,147,0,16,0,62,0,203,0,52,0,59,1014.6
14-May,2014,5,24,19.2,24.1,15.2,33.3,9.8,98.5,0,12,0,38,0,261.8,0,61,0,63,1009.9
14-Jun,2014,6,24,23.4,27.1,20.6,31.2,17.9,84,0,17.5,0,37.5,0,169.9,0,39,0,73,1004.8
14-Jul,2014,7,24,27.1,30.9,24.2,36.8,20.2,153.5,0,18.5,0,40,0,190.7,0,43,0,74,1006.9
14-Aug,2014,8,24,26.8,30.1,24.4,34.3,20.7,417,0,40.5,0,271,0,122.2,0,29,0,81,1007.9
14-Sep,2014,9,24,23.4,27.5,20.2,31.8,15.9,100,0,11.5,0,30,0,183.2,0,49,0,68,1010.3
14-Oct,2014,10,24,18.8,22.3,15.9,27.9,10.6,237,0,17,0,70,0,152.6,0,44,0,71,1015.3
14-Nov,2014,11,24,13.7,17.4,10.2,24,4,111,0,10,0,50.5,0,159.3,0,51,0,66,1016.7
14-Dec,2014,12,24,6.4,9.9,3.5,19.3,-1.3,39,0,8,0,11.5,0,167.6,0,55,0,60,1015.8
15-Jan,2015,1,24,5.7,9.2,2.7,13.2,-0.1,105,0,12,0,35,0,143.4,0,46,0,65,1016.2
15-Feb,2015,2,24,6.2,10.1,3.1,16,-0.7,42.5,0,4.5,0,19,0,172.4,0,57,0,62,1015.5
15-Mar,2015,3,24,9.5,13.6,5.8,20.8,0.5,157,0,11,0,40.5,0,187.4,0,51,0,63,1016.5
15-Apr,2015,4,24,14.8,18.5,11.7,26.3,5,109,0,4.5,0,24.5,0,139.7,0,36,0,72,1014.7
15-May,2015,5,24,20.7,25.3,16.5,33.9,11.1,48,0,7,0,17.5,0,236.6,0,55,0,63,1008.4
15-Jun,2015,6,24,21.9,25,19.2,30.2,14.2,288.5,0,14.5,0,93.5,0,123.9,0,29,0,77,1006.5
15-Jul,2015,7,24,26.3,29.5,23.7,37.3,19,271.5,0,23,0,51.5,0,161.7,0,37,0,80,1007.6
15-Aug,2015,8,24,27.8,31.3,25,35.5,21.1,462.5,0,82,0,205,0,193.1,0,46,0,75,1006.7
