É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:48:37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,25,3.6,7.1,0.1,10.3,-2.5,73.5,0,3.5,0,33,0,149.3,0,48,0,73,1009.9
14-Feb,2014,2,25,4.3,7.5,1.6,13.9,-1.7,63.5,0,3,0,21.5,0,143.1,0,47,0,68,1009.9
14-Mar,2014,3,25,7.2,11.2,3.7,19.8,-2,158,0,8,0,30,0,154,0,42,0,75,1006.6
14-Apr,2014,4,25,12.2,17.7,7.6,24.5,2.8,62,0,4.5,0,32,0,216.1,0,55,0,67,1006.1
14-May,2014,5,25,17.7,23.1,13.2,28.8,6.8,73.5,0,10,0,21,0,256.6,0,59,0,67,1001.5
14-Jun,2014,6,25,23.1,27.6,19.6,33.8,15.7,53.5,0,9.5,0,20,0,162.9,0,38,0,70,996.2
14-Jul,2014,7,25,26.4,31,22.9,37.7,19,102.5,0,17.5,0,23.5,0,201.1,0,46,0,74,998.4
14-Aug,2014,8,25,26.6,31,23.6,35.8,20.2,430,0,49,0,79.5,0,108,0,26,0,78,999.2
14-Sep,2014,9,25,22.6,27.1,18.8,30,14.3,89.5,0,23,0,40.5,0,191.1,0,51,0,71,1002
14-Oct,2014,10,25,17.8,22.2,14.1,26.9,7.8,138.5,0,15,0,59,0,164.6,0,47,0,73,1006.9
14-Nov,2014,11,25,12.2,16.1,8.4,19.9,2.6,66.5,0,6.5,0,24.5,0,140.3,0,45,0,73,1008.2
14-Dec,2014,12,25,5.1,8,2.2,14.9,-2.2,138.5,0,5.5,0,19.5,0,83.5,0,28,0,71,1006.9
15-Jan,2015,1,25,3.9,6.7,1.1,10.1,-2.7,196.5,0,7.5,0,24.5,0,65.1,0,21,0,78,1007.6
15-Feb,2015,2,25,4.8,8.1,1.9,14.3,-1.8,75.5,0,3.5,0,19.5,0,112.1,0,37,0,73,1006.9
15-Mar,2015,3,25,7.9,12.4,3.9,22.9,-2.2,136.5,0,10,0,30.5,0,167.5,0,45,0,71,1007.9
15-Apr,2015,4,25,13.6,18.3,9.5,25.8,4.3,143.5,0,7.5,0,29,0,168.4,0,43,0,73,1005.9
15-May,2015,5,25,19.3,24.9,14.8,29.6,9,100.5,0,14,0,35,0,246.6,0,57,0,64,1000
15-Jun,2015,6,25,21.6,25.7,18.3,30.2,13.3,175.5,0,16,0,49.5,0,137.8,0,32,0,75,997.8
15-Jul,2015,7,25,26.2,30,23.1,35.9,18.2,252,0,16.5,0,55.5,0,157,0,36,0,77,998.9
15-Aug,2015,8,25,27.4,31.7,24.2,35.7,21,159.5,0,15,0,70.5,0,206.5,0,50,0,73,998.2
15-Sep,2015,9,25,22.1,25.8,19.4,29.7,15.4,240.5,0,26.5,0,100.5,0,146.8,0,40,0,75,1001.8
15-Oct,2015,10,25,17.2,21.9,12.9,24.9,8.1,45.5,0,19,0,29.5,0,228.6,0,65,0,68,1006.3
15-Nov,2015,11,25,13.4,16.7,10.2,20.8,3.3,140.5,0,9.5,0,31,0,108.2,0,35,0,77,1010.6
