É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:49:05,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs,ãûìs
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,26,4.4,8.9,0.7,14.3,-1.5,42.5,0,4,0,30,0,139.2,0,45,0,67,1016
14-Feb,2014,2,26,5.1,9.2,1.9,15.4,-1,55,0,3.5,0,17.5,0,108.1,0,36,0,67,1015
14-Mar,2014,3,26,9,14.1,4.7,22.9,-0.8,147.5,0,11,0,36.5,0,165.5,0,45,0,65,1011.5
14-Apr,2014,4,26,14.4,20.8,8.9,26.9,2,84.5,0,9,0,59,0,205.7,0,53,0,53,1010.7
14-May,2014,5,26,19.8,26.1,14.5,33.6,8.3,78,0,13.5,0,34,0,224,0,52,0,56,1006
14-Jun,2014,6,26,24.1,29.3,20.3,36,17.3,61,0,18.5,0,18.5,0,113.8,0,26,0,64,1000.7
14-Jul,2014,7,26,27.6,32.6,23.7,38.3,19.9,98,0,10.5,0,43,0,131.7,0,30,0,68,1002.7
14-Aug,2014,8,26,27.5,32.2,24.4,36.2,20.4,487,0,87.5,0,121,0,96.1,0,23,0,72,1003.6
14-Sep,2014,9,26,23.3,28.7,19.4,32.6,15.5,65,0,12,0,15,0,174.4,0,47,0,64,1006.6
14-Oct,2014,10,26,18.8,23.7,14.7,27.9,7.2,105,0,10.5,0,57,0,155.8,0,45,0,67,1011.5
14-Nov,2014,11,26,13.1,18,9.3,21.7,4,60,0,9.5,0,24.5,0,139.6,0,45,0,68,1013.1
14-Dec,2014,12,26,5.5,9.3,2.2,15.5,-1.7,93.5,0,10.5,0,20.5,0,126.9,0,42,0,67,1012.3
15-Jan,2015,1,26,4.9,8.4,2.2,13,-1.7,120.5,0,9.5,0,25.5,0,97.4,0,31,0,74,1012.9
15-Feb,2015,2,26,5.6,9.9,2.3,15.9,-1,43.5,0,4.5,0,13,0,104.8,0,34,0,69,1012.1
15-Mar,2015,3,26,9.4,14.8,4.9,24.5,-1.2,159,0,8,0,34,0,170.9,0,46,0,64,1012.8
15-Apr,2015,4,26,15.6,20.5,10.9,28.8,4.5,163.5,0,7,0,42.5,0,150,0,38,0,64,1010.4
15-May,2015,5,26,21.2,27.7,15.8,33.6,10.7,128,0,14.5,0,40.5,0,208.4,0,48,0,55,1004.4
15-Jun,2015,6,26,22.8,27.5,18.9,32.9,14.4,263,0,29,0,65,0,119.6,0,28,0,68,1002.2
15-Jul,2015,7,26,27.2,31.7,23.8,36.5,19.4,416.5,0,25.5,0,183.5,0,128.7,0,29,0,71,1003.3
15-Aug,2015,8,26,28.3,33.6,24.6,39.1,21.9,241.5,0,27,0,59.5,0,175.7,0,42,0,67,1002.6
15-Sep,2015,9,26,22.9,27.5,19.5,31.6,16.3,190.5,0,28.5,0,37.5,0,139.8,0,38,0,70,1006.3
15-Oct,2015,10,26,18.1,23.9,13.3,28,8.4,38.5,0,19.5,0,21,0,234.3,0,67,0,61,1011
15-Nov,2015,11,26,14.5,18.4,11.2,25.3,4.1,177,0,12,0,34.5,0,116.8,0,38,0,72,1015.4
