ダウンロードした時刻：2021/05/19 13:50:29,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,29,3.8,9.4,-1,15.5,-3.7,59.5,0,5.5,0,35,0,130.1,0,42,0,74,1008.1
14-Feb,2014,2,29,4,9.2,0.1,17.8,-3,50.5,0,3.5,0,24,0,110.4,0,36,0,74,1008
14-Mar,2014,3,29,8.2,13.8,2.9,22.5,-3.4,150,0,17,0,45.5,0,159.5,0,43,0,71,1004.7
14-Apr,2014,4,29,13.2,20.1,6.9,26,1.5,59,0,4.5,0,33,0,199.2,0,51,0,63,1003.9
14-May,2014,5,29,18.4,25.5,12.3,32.3,5.8,76.5,0,9,0,18.5,0,240.8,0,56,0,66,999.4
14-Jun,2014,6,29,22.6,28,18.5,34.1,15.2,77.5,0,21,0,21,0,138.7,0,32,0,75,994.2
14-Jul,2014,7,29,26.4,31.8,22.3,36.8,18.9,134,0,27,0,27,0,182.2,0,41,0,76,996.5
14-Aug,2014,8,29,26.4,31.6,23,35.7,18.3,357.5,0,27.5,0,134.5,0,118.4,0,28,0,81,997.2
14-Sep,2014,9,29,21.9,27.7,17.3,32,12.6,86,0,26.5,0,29.5,0,180,0,48,0,75,1000
14-Oct,2014,10,29,17.5,23,12.9,28.8,5.1,123,0,20,0,58,0,150.9,0,43,0,77,1004.7
14-Nov,2014,11,29,11.8,17.3,7.1,22.4,1.3,69.5,0,9.5,0,31.5,0,141.1,0,46,0,79,1006.4
14-Dec,2014,12,29,5,9.3,1.4,15.3,-3.3,77.5,0,8.5,0,20,0,102.7,0,34,0,71,1005.6
15-Jan,2015,1,29,4.4,8.9,0.8,13.8,-2.4,94,0,7.5,0,29,0,90.1,0,29,0,75,1006.1
15-Feb,2015,2,29,5.1,10.2,1.2,16.8,-3.1,43.5,0,7,0,16,0,104.3,0,34,0,71,1005.3
15-Mar,2015,3,29,8.4,14.6,3.3,24.6,-1.5,179.5,0,11,0,45.5,0,150.9,0,41,0,72,1006
15-Apr,2015,4,29,14.6,20.2,9.3,27.7,3.2,111,0,7.5,0,23,0,139.8,0,36,0,73,1003.6
15-May,2015,5,29,20.1,27,13.9,31.7,7.4,99,0,15,0,40,0,232.8,0,54,0,66,997.9
15-Jun,2015,6,29,21.5,26.4,17.5,31.4,11.9,192.5,0,13.5,0,33.5,0,119.2,0,28,0,79,995.6
15-Jul,2015,7,29,25.8,30.5,22.1,36,18.5,265.5,0,39.5,0,51.5,0,140,0,32,0,83,996.9
15-Aug,2015,8,29,27,32.6,22.8,36.9,20.1,175,0,27.5,0,40.5,0,180.9,0,44,0,78,996.3
