É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:53:41,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,34,5.7,10.4,2.1,15.7,-0.7,45,0,5,0,18,0,169.2,0,54,0,68,1015.8
14-Feb,2014,2,34,6.2,10.4,2.8,16.8,0,42,0,2,0,10,0,116,0,38,0,64,1015.6
14-Mar,2014,3,34,10,15,5.8,22.5,-0.4,159.5,0,10,0,51,0,197.7,0,54,0,64,1012.4
14-Apr,2014,4,34,14.3,19.4,9.6,24.5,2.2,79.5,0,6.5,0,21.5,0,191.3,0,49,0,59,1010.5
14-May,2014,5,34,19.6,24.7,14.8,29.6,7.5,114.5,0,9.5,0,46.5,0,273.2,0,63,0,61,1005.8
14-Jun,2014,6,34,23.2,27,20.1,30.3,17.6,119,0,9.5,0,33,0,133,0,31,0,73,1000.3
14-Jul,2014,7,34,26.9,30.8,23.7,36.4,20.5,283,0,31,0,110.5,0,169.6,0,39,0,74,1002.4
14-Aug,2014,8,34,26.9,30.3,24.4,33.8,20.2,337.5,0,46.5,0,74.5,0,84.8,0,20,0,78,1002.5
14-Sep,2014,9,34,23.9,28.5,20.4,31.7,16.6,117,0,31.5,0,61.5,0,162.3,0,44,0,66,1006.3
14-Oct,2014,10,34,18.7,23.4,14.9,29.2,8.5,143.5,0,21,0,39.5,0,186.1,0,53,0,67,1011.3
14-Nov,2014,11,34,13.4,18.2,9.7,22.8,5.5,63.5,0,9.5,0,15.5,0,163.6,0,53,0,69,1013.4
14-Dec,2014,12,34,5.5,9.5,2.2,16.4,-1.5,69,0,4.5,0,24,0,132.9,0,44,0,70,1014.3
15-Jan,2015,1,34,5.8,9.8,2.8,15.1,-0.9,95.5,0,7,0,37,0,126.1,0,40,0,69,1014.5
15-Feb,2015,2,34,6.1,10.5,2.8,13.8,-1,24,0,3.5,0,7,0,128.6,0,42,0,63,1013.4
15-Mar,2015,3,34,10,14.8,5.8,21.3,-1,106.5,0,6,0,35,0,200.9,0,54,0,57,1013.3
15-Apr,2015,4,34,15.8,20.2,11.6,25.4,5.6,198,0,12.5,0,46.5,0,150.5,0,39,0,63,1009.6
15-May,2015,5,34,20.5,25.4,15.9,30.5,12.5,101,0,16,0,36.5,0,239.7,0,56,0,60,1004.3
15-Jun,2015,6,34,22.5,26.4,19.3,30.1,14.5,237.5,0,15.5,0,82,0,149.4,0,35,0,69,1001.7
15-Jul,2015,7,34,26.5,30.2,23.6,34.2,19.4,110,0,12,0,23.5,0,129.2,0,29,0,72,1002.3
15-Aug,2015,8,34,27.5,31.6,24.1,35.9,20.1,215.5,0,23,0,53,0,201.8,0,49,0,68,1002.3
15-Sep,2015,9,34,23.1,27.6,19.8,30.8,16.6,159.5,0,22,0,64,0,150.4,0,41,0,66,1006.2
15-Oct,2015,10,34,18,23.6,13.3,27.1,8.6,94,0,19.5,0,57,0,227,0,67,0,58,1011.4
15-Nov,2015,11,34,14.6,18.4,11.5,24.4,3.2,192.5,0,22.5,0,47,0,112.4,0,36,0,69,1015.3
