ダウンロードした時刻：2021/05/19 13:54:36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,36,6.2,10.3,2.1,15,-1.7,26,0,4.5,0,19.5,0,204.2,0,65,0,64,1021
14-Feb,2014,2,36,6.1,9.7,3,17.4,0.4,106,0,30,0,60,0,124.7,0,41,0,66,1020.9
14-Mar,2014,3,36,10.1,14.4,6.1,21.7,0.7,88,0,21,0,33.5,0,190.7,0,52,0,64,1017.3
14-Apr,2014,4,36,14.2,18.6,9.9,24,4.2,139,0,29.5,0,91,0,195.5,0,50,0,64,1016.1
14-May,2014,5,36,19.4,24.2,14.9,28.8,10.7,67,0,11.5,0,28,0,271.1,0,63,0,64,1011.4
14-Jun,2014,6,36,23,26.8,20,31.5,17.9,168.5,0,16.5,0,39,0,148,0,34,0,75,1005.9
14-Jul,2014,7,36,26.9,30.8,23.8,35.1,20.3,111.5,0,11.5,0,41.5,0,196.4,0,45,0,75,1008
14-Aug,2014,8,36,26.5,30.2,23.9,34.4,20.1,1065.5,0,51,0,314,0,116.3,0,28,0,81,1008.4
14-Sep,2014,9,36,23.9,27.9,20.5,30.8,16.9,163,0,82,0,108.5,0,182.4,0,49,0,68,1011.8
14-Oct,2014,10,36,19.3,23.1,15.7,28.1,10.6,427,0,54.5,0,223.5,0,169,0,48,0,70,1016.6
14-Nov,2014,11,36,14.1,17.9,10.4,21.9,4.9,48,0,8,0,19.5,0,144.5,0,46,0,68,1018.7
14-Dec,2014,12,36,6.7,10.5,3.3,19.6,-0.3,124.5,0,21,0,92.5,0,155.2,0,51,0,62,1018.8
15-Jan,2015,1,36,6.6,10.1,3.4,16.5,0.1,80,0,13.5,0,42,0,146.2,0,47,0,62,1019.1
15-Feb,2015,2,36,7,11.1,3.3,16.8,-0.4,23.5,0,4,0,15,0,172.1,0,56,0,57,1018.2
15-Mar,2015,3,36,9.9,14,5.9,21.2,0.4,153,0,10,0,53.5,0,193,0,52,0,64,1018.6
15-Apr,2015,4,36,15.6,19.9,11.6,26.1,4.9,122,0,7,0,31,0,145,0,37,0,71,1015.5
15-May,2015,5,36,20.8,25.7,16.3,31.4,11.6,54,0,9.5,0,40.5,0,246.8,0,57,0,64,1009.8
15-Jun,2015,6,36,22.4,26.1,19.3,31.1,15.2,150,0,9,0,24,0,133.4,0,31,0,76,1007.3
15-Jul,2015,7,36,25.9,29.4,23.2,35.8,19.3,401,0,34,0,132.5,0,156.9,0,36,0,82,1008.1
15-Aug,2015,8,36,27.6,31.7,24.6,35.9,22.3,290,0,42.5,0,117.5,0,208.4,0,50,0,74,1007.8
