ダウンロードした時刻：2021/05/19 13:55:30,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,38,6.5,11.2,2.4,16.6,-1.1,33.5,0,3.5,0,19,0,175.1,0,56,0,65,1018.1
14-Feb,2014,2,38,6.4,10.6,2.6,19.3,-1.8,54.5,0,4,0,16.5,0,130.7,0,43,0,65,1017.1
14-Mar,2014,3,38,10.3,15,5.8,20.9,-0.8,138.5,0,15,0,49,0,194.3,0,53,0,64,1014.7
14-Apr,2014,4,38,14.4,19.2,9.8,25.3,3,89,0,8.5,0,26.5,0,178.3,0,46,0,62,1012.7
14-May,2014,5,38,19.3,24.5,14.4,29.6,8,95.5,0,7.5,0,32,0,269.8,0,63,0,60,1008.2
14-Jun,2014,6,38,22.5,26.4,19.6,29.9,16.5,205,0,11,0,65.5,0,113.3,0,26,0,75,1002.6
14-Jul,2014,7,38,26.7,31.2,23.4,36.8,20.1,178,0,19,0,51,0,166.5,0,38,0,74,1004.9
14-Aug,2014,8,38,26.8,30.5,24,35.3,19.4,268,0,23.5,0,76,0,97.8,0,24,0,78,1004.6
14-Sep,2014,9,38,23.9,28.8,20.2,32.9,15.6,33,0,5.5,0,9,0,156.9,0,42,0,68,1008.2
14-Oct,2014,10,38,19.3,23.9,15.3,29,9,159.5,0,19,0,68.5,0,163,0,46,0,68,1012.9
14-Nov,2014,11,38,14,18.6,10.1,22.6,5.6,74,0,7.5,0,18,0,152.7,0,49,0,69,1015.4
14-Dec,2014,12,38,6.7,10.4,3.4,17.1,-0.7,89,0,7,0,24,0,102.8,0,33,0,62,1016.8
15-Jan,2015,1,38,6.7,10.3,3.2,14.3,0,91,0,10.5,0,28,0,122.6,0,39,0,64,1016.7
15-Feb,2015,2,38,6.6,10.5,2.8,13.5,-0.7,33,0,5,0,18,0,138,0,45,0,62,1015.8
15-Mar,2015,3,38,9.8,14.2,5.8,20.9,-0.8,174,0,11,0,41.5,0,180.6,0,49,0,66,1015.7
15-Apr,2015,4,38,16,20.4,11.6,25.7,6.4,137.5,0,13,0,45.5,0,140.2,0,36,0,69,1011.7
15-May,2015,5,38,20.2,25.3,15.5,29.5,11,120.5,0,15.5,0,36,0,230.4,0,54,0,64,1006.6
15-Jun,2015,6,38,21.9,25.7,18.7,30.5,14,259,0,22,0,80.5,0,125.9,0,29,0,78,1003.9
15-Jul,2015,7,38,26.3,30.2,23.2,35.2,18.8,234,0,48,0,51.5,0,133.7,0,31,0,78,1004.6
15-Aug,2015,8,38,27.1,31.4,23.7,34.6,20.7,193.5,0,22.5,0,39.5,0,196.3,0,47,0,75,1004.6
