ダウンロードした時刻：2021/05/19 13:56:47,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀,佐賀
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,41,6.3,11.4,1.8,16.6,-3.2,46.5,0,9.5,0,20,0,166.7,0,53,0,71,1019.2
14-Feb,2014,2,41,7.2,11.6,3.6,19.2,0.7,104.5,0,10,0,28.5,0,122.5,0,40,0,71,1017.2
14-Mar,2014,3,41,11.1,15.9,6.4,24.7,-0.6,137.5,0,12.5,0,57.5,0,182.9,0,49,0,69,1015.4
14-Apr,2014,4,41,15.4,20.8,10.5,25.5,3.2,81,0,7.5,0,25,0,182.8,0,47,0,64,1012.5
14-May,2014,5,41,20.3,26.4,14.6,34.6,7.8,163.5,0,24.5,0,98.5,0,265.3,0,62,0,62,1008.3
14-Jun,2014,6,41,22.9,27.1,19.7,32.9,17.6,134.5,0,8.5,0,44,0,101.1,0,24,0,76,1002.3
14-Jul,2014,7,41,26.8,30.9,23.8,37.8,20.3,479,0,55,0,220.5,0,126.7,0,29,0,79,1004.7
14-Aug,2014,8,41,26.6,30,24.1,34.8,20.8,671,0,68,0,113,0,87.9,0,21,0,83,1004.2
14-Sep,2014,9,41,24.1,28.9,20.6,33.1,16.2,170,0,20.5,0,52,0,155.4,0,42,0,72,1008
14-Oct,2014,10,41,19.5,24.5,15.3,30.1,9.4,85,0,12.5,0,49.5,0,196.6,0,56,0,69,1012.9
14-Nov,2014,11,41,14,18.7,9.8,21.9,4.7,113,0,34,0,44.5,0,148,0,47,0,73,1016
14-Dec,2014,12,41,6.3,10.4,2.5,16.1,-2.5,67,0,6.5,0,25,0,123.8,0,40,0,71,1018.4
15-Jan,2015,1,41,6.8,10.9,2.7,15,-2.1,86.5,0,10.5,0,21.5,0,143.9,0,46,0,71,1018
15-Feb,2015,2,41,6.6,10.8,2.8,14.1,-2,40.5,0,3,0,8,0,119.1,0,39,0,70,1016.9
15-Mar,2015,3,41,10.8,16,6,23.8,0.1,137.5,0,12.5,0,59.5,0,201.5,0,55,0,63,1016.3
15-Apr,2015,4,41,16.5,21.6,12,27.4,7.4,256,0,23,0,78,0,159.6,0,41,0,70,1011.5
15-May,2015,5,41,21,26.5,16.1,32.3,12.8,150,0,13,0,52.5,0,218,0,51,0,68,1006.4
15-Jun,2015,6,41,22.7,26.2,19.7,31.7,15.5,319,0,19,0,64.5,0,94.1,0,22,0,80,1003.5
15-Jul,2015,7,41,26.5,30.6,23.4,36.2,19.3,276.5,0,25,0,76,0,132.1,0,30,0,80,1004.1
15-Aug,2015,8,41,27.5,32.1,24,38.6,20.6,309.5,0,31,0,94.5,0,178.8,0,43,0,76,1004.3
