É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:57:40,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{,åFñ{
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,43,6.3,12,1.1,17.1,-2.4,36,0,8.5,0,18,0,172.1,0,54,0,69,1018.3
14-Feb,2014,2,43,7.2,11.9,3,20.7,-1,120.5,0,12.5,0,18,0,125,0,41,0,70,1015.9
14-Mar,2014,3,43,11.3,16.4,5.9,24.7,-1.4,130,0,24.5,0,47.5,0,187.6,0,51,0,67,1014.5
14-Apr,2014,4,43,15.7,21,10.4,27.2,2.7,69,0,6,0,25,0,170.5,0,44,0,64,1011.5
14-May,2014,5,43,20.1,26.3,14.6,33.9,7.3,135,0,21,0,50,0,250.3,0,59,0,64,1007.5
14-Jun,2014,6,43,22.8,26.9,19.7,31,16.4,258.5,0,15.5,0,61.5,0,105.5,0,25,0,76,1001.3
14-Jul,2014,7,43,26.8,31,23.6,36.7,20.2,358,0,40.5,0,99.5,0,148.2,0,34,0,78,1004
14-Aug,2014,8,43,26.8,30.7,24.2,34.5,21.8,213,0,56,0,68,0,104,0,25,0,81,1003.4
14-Sep,2014,9,43,24.3,28.9,20.4,33.3,15.8,107,0,30,0,40,0,149.8,0,40,0,72,1006.9
14-Oct,2014,10,43,19.7,25,15,29.6,8.6,142,0,19,0,45.5,0,201.2,0,57,0,69,1011.5
14-Nov,2014,11,43,13.8,18.9,9.1,23.2,3.8,62.5,0,12.5,0,23.5,0,141.6,0,45,0,74,1015
14-Dec,2014,12,43,6.2,10.8,2,18.4,-3.7,62.5,0,4,0,18,0,127.9,0,41,0,70,1017.6
15-Jan,2015,1,43,6.6,11.4,2.1,15.4,-2.8,99.5,0,9,0,37.5,0,143,0,45,0,71,1017
15-Feb,2015,2,43,6.8,11.5,2.6,14.6,-1.6,33.5,0,2.5,0,17.5,0,120.5,0,39,0,68,1016
15-Mar,2015,3,43,10.9,16.1,6.1,24.7,-0.7,186,0,15.5,0,59,0,182.1,0,49,0,66,1015.3
15-Apr,2015,4,43,17.1,22.4,12.5,28.2,8.3,150.5,0,14,0,41.5,0,144,0,37,0,71,1010.6
15-May,2015,5,43,21.2,26.8,16.2,31.7,12.1,131,0,13.5,0,35,0,199.5,0,47,0,70,1005.6
15-Jun,2015,6,43,22.4,25.9,19.5,30.6,15.8,628,0,31,0,158.5,0,82.6,0,19,0,87,1002.8
15-Jul,2015,7,43,26.2,30.7,23,35.9,18.7,375.5,0,36.5,0,135.5,0,134.6,0,31,0,82,1003.5
15-Aug,2015,8,43,27.4,31.9,24,37.1,21.6,246,0,21.5,0,61,0,186.3,0,45,0,77,1003.7
15-Sep,2015,9,43,23.9,28.9,20.1,32.4,16.1,149.5,0,24,0,64.5,0,180.5,0,49,0,72,1006.9
15-Oct,2015,10,43,18.7,24.9,13.2,28.9,8.9,64.5,0,13,0,45.5,0,236.8,0,67,0,65,1012.8
15-Nov,2015,11,43,16,20.6,12.3,26.5,4.3,136.5,0,18.5,0,51.5,0,110.1,0,35,0,78,1016.3
