ダウンロードした時刻：2021/05/19 13:58:07,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分,大分
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,44,6.7,11.4,2,19.2,-1.5,23.5,0,7.5,0,18,0,184.9,0,59,0,64,1021
14-Feb,2014,2,44,6.5,10,3.2,16.2,0,174.5,0,6.5,0,27,0,109.8,0,36,0,72,1020.1
14-Mar,2014,3,44,10.6,15.4,6.1,22.8,-1,66,0,6.5,0,11.5,0,199.9,0,54,0,66,1017.5
14-Apr,2014,4,44,14,18.8,9.3,24.1,1.4,113,0,12,0,50.5,0,167,0,43,0,67,1015.2
14-May,2014,5,44,19.5,24.9,14.4,28.6,7.6,85,0,7,0,40.5,0,260.7,0,61,0,64,1010.6
14-Jun,2014,6,44,22,25.6,19.3,29.6,16.8,358.5,0,17,0,129.5,0,100,0,23,0,79,1005
14-Jul,2014,7,44,26.5,30.3,23.3,35.5,19.3,130.5,0,11,0,53,0,170.7,0,39,0,76,1007
14-Aug,2014,8,44,26.4,30.1,23.9,34.5,20.7,294,0,25,0,72,0,98.4,0,24,0,82,1006.7
14-Sep,2014,9,44,23.2,27.2,20.1,32.4,15.6,58.5,0,10.5,0,14.5,0,118.6,0,32,0,75,1010.8
14-Oct,2014,10,44,19.1,23.2,15.4,29.1,9.4,223,0,19,0,133,0,164.7,0,47,0,72,1015.5
14-Nov,2014,11,44,14.1,18.3,10,23,5.9,55,0,8.5,0,25,0,134.4,0,43,0,71,1018.2
14-Dec,2014,12,44,7.3,11.3,3.5,17,-0.4,31.5,0,5,0,21.5,0,131.6,0,43,0,61,1019.9
15-Jan,2015,1,44,7.2,11.1,3.6,17.1,-1.8,100.5,0,14.5,0,41,0,140.9,0,45,0,64,1019.8
15-Feb,2015,2,44,7.1,11.3,3.4,19.5,0,37,0,3,0,16.5,0,140.8,0,46,0,64,1018.7
15-Mar,2015,3,44,10,14.1,6,21.9,-0.6,110.5,0,8,0,37,0,178.1,0,48,0,66,1018.4
15-Apr,2015,4,44,15.6,19.9,11.7,24.9,7.1,150,0,17,0,45,0,132.3,0,34,0,72,1014.2
15-May,2015,5,44,20.1,25,15.5,30.4,11.6,118.5,0,12,0,28,0,216.9,0,51,0,68,1008.9
15-Jun,2015,6,44,21.6,25.1,19,32.4,14.6,385.5,0,18.5,0,87,0,88.1,0,21,0,81,1006.2
15-Jul,2015,7,44,25.5,29.3,22.9,35.3,18.6,173,0,16,0,33,0,133.4,0,31,0,81,1006.7
15-Aug,2015,8,44,27.2,31.3,24.1,35.5,21,144,0,22,0,46,0,191.8,0,46,0,75,1006.7
15-Sep,2015,9,44,22.9,26.5,19.8,30.2,16.1,180,0,22,0,54.5,0,122.1,0,33,0,76,1010.6
