É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:59:35,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,47,16.8,19.8,14.1,23.5,10.6,66,0,15,0,36.5,0,145.4,0,44,0,61,1015.5
14-Feb,2014,2,47,17.9,20.4,15.7,24.1,11.7,227,0,17,0,55,0,82.9,0,26,0,72,1011.6
14-Mar,2014,3,47,18.4,21.2,16,26.1,12,185,0,30,0,51.5,0,110.1,0,30,0,69,1013
14-Apr,2014,4,47,20.9,23.6,18.7,27.2,14,100.5,0,9,0,36.5,0,149.1,0,39,0,73,1009.2
14-May,2014,5,47,23.6,26.3,21.2,30.1,17.3,354.5,0,32.5,0,66.5,0,112.5,0,27,0,81,1006.1
14-Jun,2014,6,47,26.9,29.4,24.9,32.5,20.4,397.5,0,47,0,117.5,0,134.5,0,33,0,85,1000.6
14-Jul,2014,7,47,29.3,32.1,27.2,33.9,23.8,494,0,79,0,212,0,235.5,0,56,0,80,1001.5
14-Aug,2014,8,47,28.7,31.5,26.6,33.1,23.9,229,0,42,0,70.5,0,175.7,0,44,0,82,1002.1
14-Sep,2014,9,47,28.8,31.6,26.6,33.3,25,95.5,0,15,0,36.5,0,224,0,61,0,75,1004.3
14-Oct,2014,10,47,25.4,28.1,23.4,32,20.7,269,0,32.5,0,251.5,0,171.2,0,48,0,70,1005.9
14-Nov,2014,11,47,22.6,25.1,20.6,28.4,17.4,49.5,0,26,0,30,0,134.7,0,41,0,68,1011.7
14-Dec,2014,12,47,17.6,20.1,15.3,24.6,12,117,0,27,0,34.5,0,84.6,0,26,0,62,1015.6
15-Jan,2015,1,47,16.6,19.1,14.3,23.5,9.8,22,0,7.5,0,9.5,0,90.7,0,27,0,61,1015.7
15-Feb,2015,2,47,16.8,19.5,14.4,25,9.6,47,0,18,0,21.5,0,114.1,0,36,0,65,1014.4
15-Mar,2015,3,47,19,21.8,16.8,25.5,11.4,95.5,0,12.5,0,29.5,0,126.5,0,34,0,72,1013.4
15-Apr,2015,4,47,22.2,24.9,20.1,28.8,16.7,100,0,14.5,0,29,0,118.9,0,31,0,76,1009.7
15-May,2015,5,47,24.9,27.7,22.9,30.5,18.8,197.5,0,18,0,86,0,144.2,0,35,0,81,1004.7
15-Jun,2015,6,47,28.7,31.3,26.9,32.5,24.4,38,0,6.5,0,9,0,221.7,0,54,0,83,1003.7
15-Jul,2015,7,47,29,31.6,27,33.8,23.8,369,0,64,0,157.5,0,202.3,0,48,0,79,1000.7
15-Aug,2015,8,47,28.7,31.3,26.6,32.8,24.9,278,0,40,0,52,0,170.2,0,42,0,79,1002.3
15-Sep,2015,9,47,27.8,30.4,25.7,32.6,23.8,46.5,0,15.5,0,23,0,208.5,0,57,0,73,1004.5
15-Oct,2015,10,47,25.5,28.3,23.3,32,20,63.5,0,7,0,29.5,0,174.6,0,49,0,68,1009.1
15-Nov,2015,11,47,23.8,26.5,21.6,29.8,16.6,95,0,42,0,58,0,139.7,0,43,0,71,1013.2
