ダウンロードした時刻：2021/05/19 13:41:01,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,8,3,9.5,-2.6,15.1,-5.8,24,0,4.5,0,15.5,0,216.6,0,70,0,58,1014.1
14-Feb,2014,2,8,3.5,8.9,-1.4,17.7,-7.8,189.5,0,33.5,0,142.5,0,156.7,0,52,0,64,1015
14-Mar,2014,3,8,7.8,13.6,2.4,23.7,-3.9,91,0,10.5,0,26,0,209.3,0,57,0,61,1010.9
14-Apr,2014,4,8,12.5,18.3,6.6,24.9,1.1,152,0,22.5,0,80,0,240.7,0,61,0,63,1012.6
14-May,2014,5,8,18,23.9,12.7,30.4,6.6,144.5,0,13,0,46.5,0,245.7,0,56,0,71,1007.3
14-Jun,2014,6,8,21.2,25.1,18.4,31.2,16.1,207.5,0,11,0,45,0,147.9,0,34,0,84,1004.3
14-Jul,2014,7,8,24.5,28.9,21.1,36.2,19,140.5,0,41,0,41,0,196,0,44,0,82,1005.6
14-Aug,2014,8,8,25.6,30.3,22.1,36.1,18,105,0,14,0,43.5,0,174.1,0,42,0,81,1006.8
14-Sep,2014,9,8,20.6,25.2,16.8,28.9,10.9,55,0,14.5,0,32.5,0,163.2,0,44,0,78,1009.5
14-Oct,2014,10,8,16.7,21.6,12.1,30.4,4.2,245.5,0,30,0,103.5,0,160,0,46,0,77,1014.3
14-Nov,2014,11,8,11.9,16.7,7.2,21.9,0.8,55.5,0,4.5,0,22,0,145.1,0,47,0,75,1014.2
14-Dec,2014,12,8,4.6,10,-0.1,15.7,-5,61,0,7.5,0,17,0,194.3,0,65,0,65,1009.8
15-Jan,2015,1,8,3.7,9.5,-1.1,15.7,-4.6,75,0,8,0,24,0,198,0,64,0,63,1011.1
15-Feb,2015,2,8,3.8,8.9,-0.5,13.5,-4.6,56,0,6.5,0,17,0,171.9,0,57,0,68,1011.4
15-Mar,2015,3,8,8.4,14.2,2.9,23,-1.8,95.5,0,15.5,0,42,0,206.1,0,56,0,64,1013
15-Apr,2015,4,8,12.8,18.2,7.5,29.3,0.5,89,0,6.5,0,19,0,174,0,44,0,77,1013.4
15-May,2015,5,8,18.8,24.3,13.8,29.9,7.3,112.5,0,32,0,42,0,256.6,0,59,0,69,1006.6
15-Jun,2015,6,8,20.9,25.1,17.4,30.2,12.6,118,0,7.5,0,36.5,0,153.4,0,35,0,80,1005.3
15-Jul,2015,7,8,25.2,29.5,21.9,34.8,17.7,164.5,0,22,0,33.5,0,181,0,41,0,83,1006.1
15-Aug,2015,8,8,25.6,29.2,22.8,36.5,19.1,44.5,0,6,0,14.5,0,151.7,0,36,0,81,1006.3
