É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:41:28,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{
îNåé,,,,ïΩãœãCâ∑(Åé),ì˙ç≈çÇãCâ∑ÇÃïΩãœ(Åé),ì˙ç≈í·ãCâ∑ÇÃïΩãœ(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),1éûä‘ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙ç~êÖó ÇÃç≈ëÂ(mm),ì˙è∆éûä‘(éûä‘),ì˙è∆éûä‘(éûä‘),ì˙è∆ó¶(Åì),ì˙è∆ó¶(Åì),ïΩãœéºìx(Åì),ïΩãœåªínãCà≥(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,åªè€Ç»ÇµèÓïÒ,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
14-Jan,2014,1,9,2.3,8.6,-3.1,14.4,-6,9,0,3,0,7.5,0,237.8,0,77,0,53,1000.6
14-Feb,2014,2,9,2.8,8.5,-2.2,18.4,-7.6,97,0,13,0,67.5,0,188.8,0,63,0,58,1001.6
14-Mar,2014,3,9,7.6,13.2,2.2,22.9,-4.3,113,0,11,0,34,0,221.8,0,60,0,54,997.6
14-Apr,2014,4,9,12.8,19.3,7,25.5,0.2,135.5,0,9.5,0,59.5,0,233.6,0,60,0,54,999.4
14-May,2014,5,9,18.7,24.9,13.3,32.4,6.8,74.5,0,7.5,0,33,0,230.6,0,53,0,64,994.3
14-Jun,2014,6,9,21.9,26.8,18.4,34.2,16,456.5,0,34,0,78,0,133,0,30,0,78,991.5
14-Jul,2014,7,9,25.1,29.8,21.6,35.4,18.8,194.5,0,21.5,0,59.5,0,136,0,31,0,78,993
14-Aug,2014,8,9,26,30.7,22.4,37.3,18.6,145.5,0,23.5,0,45,0,139.3,0,33,0,78,994.2
14-Sep,2014,9,9,21.1,26.2,16.8,30.9,11,164.5,0,49,0,87.5,0,154.1,0,41,0,71,996.8
14-Oct,2014,10,9,16.6,21.6,12.1,28.1,4.2,273.5,0,33,0,101.5,0,157.4,0,45,0,72,1001.4
14-Nov,2014,11,9,11.5,16.2,7.1,22.4,1.3,58.5,0,4.5,0,23.5,0,147,0,48,0,68,1001.3
14-Dec,2014,12,9,3.9,9.1,-0.6,13.8,-5.4,41.5,0,4,0,18.5,0,200.9,0,67,0,62,996.6
15-Jan,2015,1,9,3.2,8.8,-1.6,15,-5,55.5,0,6,0,22.5,0,204.6,0,67,0,58,997.8
15-Feb,2015,2,9,3.7,8.9,-0.7,17.3,-4.8,42,0,5.5,0,14.5,0,185.6,0,61,0,61,998.1
15-Mar,2015,3,9,8.5,14.5,3.1,23.7,-1.1,79,0,7,0,28.5,0,204.8,0,56,0,54,999.7
15-Apr,2015,4,9,13.6,19.3,8.3,30.1,0.6,96,0,4.5,0,19.5,0,153.5,0,39,0,67,1000.1
15-May,2015,5,9,20.2,26.4,14.6,31.2,7.2,90.5,0,11.5,0,26,0,250.5,0,58,0,57,993.6
15-Jun,2015,6,9,21.4,26.1,17.8,31.6,13,153.5,0,11,0,24.5,0,119.7,0,27,0,73,992.5
15-Jul,2015,7,9,25.6,30.3,22.1,36.2,17.9,349,0,33.5,0,141,0,160.1,0,36,0,77,993.5
15-Aug,2015,8,9,25.4,29.7,22.4,36.5,16.8,101.5,0,9.5,0,22,0,120.6,0,29,0,76,993.9
15-Sep,2015,9,9,21.4,25.5,18.4,30.7,12.1,423.5,0,46.5,0,177.5,0,102.9,0,28,0,76,996.6
15-Oct,2015,10,9,16.7,21.8,12.3,29.2,4.5,49.5,0,10,0,21.5,0,204.6,0,59,0,65,999.1
15-Nov,2015,11,9,12.3,16.3,8.7,21.9,2,149.5,0,11.5,0,37.5,0,119,0,39,0,75,1004.7
