,,,労働力調査参考資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,[四半期平均],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,第４表　都道府県別完全失業者（モデル推計値）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(千人）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,,,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2014年,１～３月,1,122,32,20,47,23,19,33,53,34,33,138,108,275,173,42,16,19,10,13,36,29,55,110,22,23,53,214,110,22,15,8,10,34,46,18,13,16,25,12,121,16,26,36,19,17,30,33
,,2,122,32,20,47,23,19,33,53,34,33,138,108,275,173,42,16,19,10,13,36,29,55,110,22,23,53,214,110,22,15,8,10,34,46,18,13,16,25,12,121,16,26,36,19,17,30,33
,,3,122,32,20,47,23,19,33,53,34,33,138,108,275,173,42,16,19,10,13,36,29,55,110,22,23,53,214,110,22,15,8,10,34,46,18,13,16,25,12,121,16,26,36,19,17,30,33
,４～６月,4,109,29,21,45,18,18,33,54,36,30,145,112,292,164,40,17,18,9,14,34,30,58,111,23,21,49,209,112,23,13,10,9,33,47,22,12,16,20,12,119,16,28,42,21,21,32,37
,,5,109,29,21,45,18,18,33,54,36,30,145,112,292,164,40,17,18,9,14,34,30,58,111,23,21,49,209,112,23,13,10,9,33,47,22,12,16,20,12,119,16,28,42,21,21,32,37
,,6,109,29,21,45,18,18,33,54,36,30,145,112,292,164,40,17,18,9,14,34,30,58,111,23,21,49,209,112,23,13,10,9,33,47,22,12,16,20,12,119,16,28,42,21,21,32,37
,７～９月,7,89,26,19,44,17,17,30,49,35,30,130,109,302,171,38,14,18,11,12,30,28,54,98,24,23,47,188,106,23,13,9,10,33,47,22,13,14,22,12,118,14,25,33,18,20,32,42
,,8,89,26,19,44,17,17,30,49,35,30,130,109,302,171,38,14,18,11,12,30,28,54,98,24,23,47,188,106,23,13,9,10,33,47,22,13,14,22,12,118,14,25,33,18,20,32,42
,,9,89,26,19,44,17,17,30,49,35,30,130,109,302,171,38,14,18,11,12,30,28,54,98,24,23,47,188,106,23,13,9,10,33,47,22,13,14,22,12,118,14,25,33,18,20,32,42
,10～12月,10,114,26,17,42,16,14,30,48,30,30,122,101,287,151,36,15,16,9,13,31,24,51,107,20,19,41,191,99,23,13,7,7,26,42,20,10,15,19,11,108,14,22,29,19,15,31,34
,,11,114,26,17,42,16,14,30,48,30,30,122,101,287,151,36,15,16,9,13,31,24,51,107,20,19,41,191,99,23,13,7,7,26,42,20,10,15,19,11,108,14,22,29,19,15,31,34
,,12,114,26,17,42,16,14,30,48,30,30,122,101,287,151,36,15,16,9,13,31,24,51,107,20,19,41,191,99,23,13,7,7,26,42,20,10,15,19,11,108,14,22,29,19,15,31,34
2015年,１～３月,1,100,30,20,47,21,18,32,52,33,32,128,100,286,161,37,14,16,8,13,35,24,51,89,19,17,50,193,102,21,12,9,7,31,45,17,12,15,23,12,108,13,23,33,19,17,27,38
,,2,100,30,20,47,21,18,32,52,33,32,128,100,286,161,37,14,16,8,13,35,24,51,89,19,17,50,193,102,21,12,9,7,31,45,17,12,15,23,12,108,13,23,33,19,17,27,38
,,3,100,30,20,47,21,18,32,52,33,32,128,100,286,161,37,14,16,8,13,35,24,51,89,19,17,50,193,102,21,12,9,7,31,45,17,12,15,23,12,108,13,23,33,19,17,27,38
,４～６月,4,90,29,22,46,19,18,33,53,35,29,134,105,277,171,36,15,15,9,14,33,27,55,106,21,12,45,181,106,18,12,7,10,29,44,20,11,15,18,12,108,13,23,39,18,19,28,35
,,5,90,29,22,46,19,18,33,53,35,29,134,105,277,171,36,15,15,9,14,33,27,55,106,21,12,45,181,106,18,12,7,10,29,44,20,11,15,18,12,108,13,23,39,18,19,28,35
,,6,90,29,22,46,19,18,33,53,35,29,134,105,277,171,36,15,15,9,14,33,27,55,106,21,12,45,181,106,18,12,7,10,29,44,20,11,15,18,12,108,13,23,39,18,19,28,35
,７～９月,7,88,25,18,43,17,15,29,46,33,28,120,105,255,164,33,13,14,8,11,28,28,54,106,24,18,46,203,105,23,14,7,9,31,44,21,11,13,19,10,109,14,22,31,15,21,29,37
,,8,88,25,18,43,17,15,29,46,33,28,120,105,255,164,33,13,14,8,11,28,28,54,106,24,18,46,203,105,23,14,7,9,31,44,21,11,13,19,10,109,14,22,31,15,21,29,37
,,9,88,25,18,43,17,15,29,46,33,28,120,105,255,164,33,13,14,8,11,28,28,54,106,24,18,46,203,105,23,14,7,9,31,44,21,11,13,19,10,109,14,22,31,15,21,29,37
,10～12月,10,89,26,17,42,17,14,29,46,28,29,114,94,289,134,34,13,13,8,11,30,24,52,102,20,17,39,163,96,22,11,7,9,27,42,19,10,14,17,10,97,13,19,25,17,15,27,33
,,11,89,26,17,42,17,14,29,46,28,29,114,94,289,134,34,13,13,8,11,30,24,52,102,20,17,39,163,96,22,11,7,9,27,42,19,10,14,17,10,97,13,19,25,17,15,27,33
,,12,89,26,17,42,17,14,29,46,28,29,114,94,289,134,34,13,13,8,11,30,24,52,102,20,17,39,163,96,22,11,7,9,27,42,19,10,14,17,10,97,13,19,25,17,15,27,33
2016年,１～３月,1,96,29,19,44,19,16,30,47,29,29,124,96,268,155,37,14,15,9,11,32,25,52,109,19,16,46,174,97,20,12,10,8,29,43,16,11,14,21,12,89,11,19,29,15,13,21,31
,,2,96,29,19,44,19,16,30,47,29,29,124,96,268,155,37,14,15,9,11,32,25,52,109,19,16,46,174,97,20,12,10,8,29,43,16,11,14,21,12,89,11,19,29,15,13,21,31
,,3,96,29,19,44,19,16,30,47,29,29,124,96,268,155,37,14,15,9,11,32,25,52,109,19,16,46,174,97,20,12,10,8,29,43,16,11,14,21,12,89,11,19,29,15,13,21,31
,４～６月,4,91,26,19,41,17,16,30,48,32,27,130,99,268,151,35,14,14,8,12,31,25,52,92,18,18,45,200,102,20,9,7,7,27,42,19,11,15,17,14,90,10,22,35,17,12,24,38
,,5,91,26,19,41,17,16,30,48,32,27,130,99,268,151,35,14,14,8,12,31,25,52,92,18,18,45,200,102,20,9,7,7,27,42,19,11,15,17,14,90,10,22,35,17,12,24,38
,,6,91,26,19,41,17,16,30,48,32,27,130,99,268,151,35,14,14,8,12,31,25,52,92,18,18,45,200,102,20,9,7,7,27,42,19,11,15,17,14,90,10,22,35,17,12,24,38
,７～９月,7,106,22,15,36,14,13,25,39,27,24,119,101,211,167,32,12,13,10,10,23,24,49,85,20,19,43,184,94,22,12,7,6,26,40,18,11,12,18,11,94,10,20,28,13,14,24,29
,,8,106,22,15,36,14,13,25,39,27,24,119,101,211,167,32,12,13,10,10,23,24,49,85,20,19,43,184,94,22,12,7,6,26,40,18,11,12,18,11,94,10,20,28,13,14,24,29
,,9,106,22,15,36,14,13,25,39,27,24,119,101,211,167,32,12,13,10,10,23,24,49,85,20,19,43,184,94,22,12,7,6,26,40,18,11,12,18,11,94,10,20,28,13,14,24,29
,10～12月,10,88,22,13,34,13,10,24,39,23,25,115,93,258,144,31,12,12,6,10,26,22,48,96,17,18,34,157,81,20,9,4,2,21,35,15,10,13,17,11,86,7,18,23,15,11,24,25
,,11,88,22,13,34,13,10,24,39,23,25,115,93,258,144,31,12,12,6,10,26,22,48,96,17,18,34,157,81,20,9,4,2,21,35,15,10,13,17,11,86,7,18,23,15,11,24,25
,,12,88,22,13,34,13,10,24,39,23,25,115,93,258,144,31,12,12,6,10,26,22,48,96,17,18,34,157,81,20,9,4,2,21,35,15,10,13,17,11,86,7,18,23,15,11,24,25
2017年,１～３月,1,97,25,15,37,18,12,25,38,23,24,116,89,235,136,33,12,13,7,9,26,23,47,102,16,16,43,152,80,17,9,6,5,25,36,12,10,13,20,11,89,6,18,29,15,10,23,27
,,2,97,25,15,37,18,12,25,38,23,24,116,89,235,136,33,12,13,7,9,26,23,47,102,16,16,43,152,80,17,9,6,5,25,36,12,10,13,20,11,89,6,18,29,15,10,23,27
,,3,97,25,15,37,18,12,25,38,23,24,116,89,235,136,33,12,13,7,9,26,23,47,102,16,16,43,152,80,17,9,6,5,25,36,12,10,13,20,11,89,6,18,29,15,10,23,27
,４～６月,4,92,22,16,37,15,12,26,39,26,21,122,94,226,163,33,15,12,9,10,24,24,50,110,18,14,39,149,82,16,8,6,5,24,36,16,9,14,15,13,88,12,22,34,15,10,24,29
,,5,92,22,16,37,15,12,26,39,26,21,122,94,226,163,33,15,12,9,10,24,24,50,110,18,14,39,149,82,16,8,6,5,24,36,16,9,14,15,13,88,12,22,34,15,10,24,29
,,6,92,22,16,37,15,12,26,39,26,21,122,94,226,163,33,15,12,9,10,24,24,50,110,18,14,39,149,82,16,8,6,5,24,36,16,9,14,15,13,88,12,22,34,15,10,24,29
,７～９月,7,87,18,13,34,13,12,22,36,25,23,109,93,213,140,30,11,12,7,10,20,23,48,93,20,17,35,161,75,19,9,6,4,23,36,15,9,12,17,10,89,8,18,27,13,13,24,25
,,8,87,18,13,34,13,12,22,36,25,23,109,93,213,140,30,11,12,7,10,20,23,48,93,20,17,35,161,75,19,9,6,4,23,36,15,9,12,17,10,89,8,18,27,13,13,24,25
,,9,87,18,13,34,13,12,22,36,25,23,109,93,213,140,30,11,12,7,10,20,23,48,93,20,17,35,161,75,19,9,6,4,23,36,15,9,12,17,10,89,8,18,27,13,13,24,25
,10～12月,10,78,19,10,31,13,9,21,35,20,23,103,81,230,108,27,11,10,6,9,21,18,43,81,14,14,32,141,68,15,8,4,2,20,33,14,9,12,15,9,82,10,15,22,14,11,23,26
,,11,78,19,10,31,13,9,21,35,20,23,103,81,230,108,27,11,10,6,9,21,18,43,81,14,14,32,141,68,15,8,4,2,20,33,14,9,12,15,9,82,10,15,22,14,11,23,26
,,12,78,19,10,31,13,9,21,35,20,23,103,81,230,108,27,11,10,6,9,21,18,43,81,14,14,32,141,68,15,8,4,2,20,33,14,9,12,15,9,82,10,15,22,14,11,23,26
2018年,１～３月,1,81,22,12,34,16,12,23,33,20,20,105,77,218,115,28,11,9,6,8,21,17,40,70,12,13,38,138,73,15,10,5,2,23,34,10,8,11,16,10,80,9,15,27,13,9,19,26
,,2,81,22,12,34,16,12,23,33,20,20,105,77,218,115,28,11,9,6,8,21,17,40,70,12,13,38,138,73,15,10,5,2,23,34,10,8,11,16,10,80,9,15,27,13,9,19,26
,,3,81,22,12,34,16,12,23,33,20,20,105,77,218,115,28,11,9,6,8,21,17,40,70,12,13,38,138,73,15,10,5,2,23,34,10,8,11,16,10,80,9,15,27,13,9,19,26
,４～６月,4,82,18,14,33,13,10,23,36,23,19,107,80,236,134,26,10,9,6,9,20,17,41,66,11,17,36,129,72,16,9,6,6,22,35,13,7,12,11,10,74,9,17,31,14,7,20,26
,,5,82,18,14,33,13,10,23,36,23,19,107,80,236,134,26,10,9,6,9,20,17,41,66,11,17,36,129,72,16,9,6,6,22,35,13,7,12,11,10,74,9,17,31,14,7,20,26
