prefecture_num,prefecture,unemployment201401,unemployment201402,unemployment201403,unemployment201404,unemployment201405,unemployment201406,unemployment201407,unemployment201408,unemployment201409,unemployment201410,unemployment201411,unemployment201412,unemployment201501,unemployment201502,unemployment201503,unemployment201504,unemployment201505,unemployment201506,unemployment201507,unemployment201508,unemployment201509,unemployment201510,unemployment201511,unemployment201512,unemployment201601,unemployment201602,unemployment201603,unemployment201604,unemployment201605,unemployment201606,unemployment201607,unemployment201608,unemployment201609,unemployment201610,unemployment201611,unemployment201612,unemployment201701,unemployment201702,unemployment201703,unemployment201704,unemployment201705,unemployment201706,unemployment201707,unemployment201708,unemployment201709,unemployment201710,unemployment201711,unemployment201712,unemployment201801,unemployment201802,unemployment201803,unemployment201804,unemployment201805,unemployment201806,unemployment201807,unemployment201808,unemployment201809,unemployment201810,unemployment201811,unemployment201812,unemployment201901,unemployment201902,unemployment201903,unemployment201904,unemployment201905,unemployment201906,unemployment201907,unemployment201908,unemployment201909,unemployment201910,unemployment201911,unemployment201912,unemployment202001,unemployment202002,unemployment202003,unemployment202004,unemployment202005,unemployment202006,unemployment202007,unemployment202008,unemployment202009,unemployment202010,unemployment202011,unemployment202012,unemployment202101,unemployment202102,unemployment202103
1,ñkäCìπ,122,122,122,109,109,109,89,89,89,114,114,114,100,100,100,90,90,90,88,88,88,89,89,89,96,96,96,91,91,91,106,106,106,88,88,88,97,97,97,92,92,92,87,87,87,78,78,78,81,81,81,82,82,82,78,78,78,78,78,78,75,75,75,80,80,80,59,59,59,66,66,66,66,66,66,90,90,90,75,75,75,88,88,88,79,79,79
2,ê¬êXåß,32,32,32,29,29,29,26,26,26,26,26,26,30,30,30,29,29,29,25,25,25,26,26,26,29,29,29,26,26,26,22,22,22,22,22,22,25,25,25,22,22,22,18,18,18,19,19,19,22,22,22,18,18,18,17,17,17,17,17,17,19,19,19,17,17,17,16,16,16,18,18,18,20,20,20,19,19,19,20,20,20,19,19,19,23,23,23
3,ä‚éËåß,20,20,20,21,21,21,19,19,19,17,17,17,20,20,20,22,22,22,18,18,18,17,17,17,19,19,19,19,19,19,15,15,15,13,13,13,15,15,15,16,16,16,13,13,13,10,10,10,12,12,12,14,14,14,12,12,12,11,11,11,14,14,14,14,14,14,14,14,14,13,13,13,14,14,14,18,18,18,18,18,18,16,16,16,19,19,19
4,ã{èÈåß,47,47,47,45,45,45,44,44,44,42,42,42,47,47,47,46,46,46,43,43,43,42,42,42,44,44,44,41,41,41,36,36,36,34,34,34,37,37,37,37,37,37,34,34,34,31,31,31,34,34,34,33,33,33,32,32,32,31,31,31,34,34,34,30,30,30,31,31,31,32,32,32,33,33,33,37,37,37,39,39,39,40,40,40,42,42,42
5,èHìcåß,23,23,23,18,18,18,17,17,17,16,16,16,21,21,21,19,19,19,17,17,17,17,17,17,19,19,19,17,17,17,14,14,14,13,13,13,18,18,18,15,15,15,13,13,13,13,13,13,16,16,16,13,13,13,11,11,11,12,12,12,17,17,17,13,13,13,13,13,13,12,12,12,16,16,16,15,15,15,13,13,13,15,15,15,16,16,16
6,éRå`åß,19,19,19,18,18,18,17,17,17,14,14,14,18,18,18,18,18,18,15,15,15,14,14,14,16,16,16,16,16,16,13,13,13,10,10,10,12,12,12,12,12,12,12,12,12,9,9,9,12,12,12,10,10,10,10,10,10,8,8,8,11,11,11,10,10,10,11,11,11,10,10,10,12,12,12,14,14,14,14,14,14,10,10,10,16,16,16
7,ïüìáåß,33,33,33,33,33,33,30,30,30,30,30,30,32,32,32,33,33,33,29,29,29,29,29,29,30,30,30,30,30,30,25,25,25,24,24,24,25,25,25,26,26,26,22,22,22,21,21,21,23,23,23,23,23,23,20,20,20,20,20,20,22,22,22,21,21,21,20,20,20,21,21,21,21,21,21,25,25,25,24,24,24,25,25,25,27,27,27
8,àÔèÈåß,53,53,53,54,54,54,49,49,49,48,48,48,52,52,52,53,53,53,46,46,46,46,46,46,47,47,47,48,48,48,39,39,39,39,39,39,38,38,38,39,39,39,36,36,36,35,35,35,33,33,33,36,36,36,32,32,32,34,34,34,36,36,36,41,41,41,35,35,35,33,33,33,36,36,36,38,38,38,35,35,35,37,37,37,41,41,41
9,ì»ñÿåß,34,34,34,36,36,36,35,35,35,30,30,30,33,33,33,35,35,35,33,33,33,28,28,28,29,29,29,32,32,32,27,27,27,23,23,23,23,23,23,26,26,26,25,25,25,20,20,20,20,20,20,23,23,23,22,22,22,20,20,20,22,22,22,27,27,27,24,24,24,19,19,19,22,22,22,25,25,25,24,24,24,22,22,22,26,26,26
10,åQînåß,33,33,33,30,30,30,30,30,30,30,30,30,32,32,32,29,29,29,28,28,28,29,29,29,29,29,29,27,27,27,24,24,24,25,25,25,24,24,24,21,21,21,23,23,23,23,23,23,20,20,20,19,19,19,20,20,20,23,23,23,24,24,24,25,25,25,24,24,24,23,23,23,24,24,24,22,22,22,22,22,22,25,25,25,28,28,28
