,,,òJì≠óÕí≤ç∏éQçléëóø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,[élîºä˙ïΩãœ],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,ëÊÇUï\Å@ìsìπï{åßï äÆëSé∏ã∆ó¶ÅiÉÇÉfÉãêÑåvílÅj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(ÅìÅj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,
,,month,ñkäCìπ,ê¬êXåß,ä‚éËåß,ã{èÈåß,èHìcåß,éRå`åß,ïüìáåß,àÔèÈåß,ì»ñÿåß,åQînåß,çÈã åß,êÁótåß,ìåãûìs,ê_ìﬁêÏåß,êVäÉåß,ïxéRåß,êŒêÏåß,ïüà‰åß,éRóúåß,í∑ñÏåß,äÚïååß,ê√â™åß,à§ímåß,éOèdåß,é†âÍåß,ãûìsï{,ëÂç„ï{,ï∫å…åß,ìﬁó«åß,òaâÃéRåß,íπéÊåß,ìáç™åß,â™éRåß,çLìáåß,éRå˚åß,ìøìáåß,çÅêÏåß,à§ïQåß,çÇímåß,ïüâ™åß,ç≤âÍåß,í∑çËåß,åFñ{åß,ëÂï™åß,ã{çËåß,é≠éôìáåß,â´ìÍåß,ëSçë
2014îN,ÇPÅ`ÇRåé,1,4.6,5,3.2,3.9,4.6,3.3,3.4,3.5,3.3,3.3,3.7,3.3,3.7,3.6,3.6,2.9,3.1,2.5,2.9,3.3,2.7,2.8,2.8,2.3,3.1,4,4.9,4,3.4,3.2,2.9,2.9,3.6,3.2,2.6,3.5,3.3,3.7,3.3,4.8,3.7,3.8,4,3.3,3,3.8,4.8,3.7
,,2,4.6,5,3.2,3.9,4.6,3.3,3.4,3.5,3.3,3.3,3.7,3.3,3.7,3.6,3.6,2.9,3.1,2.5,2.9,3.3,2.7,2.8,2.8,2.3,3.1,4,4.9,4,3.4,3.2,2.9,2.9,3.6,3.2,2.6,3.5,3.3,3.7,3.3,4.8,3.7,3.8,4,3.3,3,3.8,4.8,3.7
,,3,4.6,5,3.2,3.9,4.6,3.3,3.4,3.5,3.3,3.3,3.7,3.3,3.7,3.6,3.6,2.9,3.1,2.5,2.9,3.3,2.7,2.8,2.8,2.3,3.1,4,4.9,4,3.4,3.2,2.9,2.9,3.6,3.2,2.6,3.5,3.3,3.7,3.3,4.8,3.7,3.8,4,3.3,3,3.8,4.8,3.7
,ÇSÅ`ÇUåé,4,4.1,4.2,3.2,3.7,3.4,3,3.3,3.5,3.4,2.9,3.8,3.4,3.8,3.4,3.3,3,2.9,2.1,3.1,3,2.7,2.9,2.8,2.4,2.8,3.6,4.8,4.1,3.5,2.7,3.3,2.5,3.4,3.3,3.2,3.2,3.2,3,3.2,4.6,3.6,4,4.6,3.6,3.7,4,5.5,3.7
