,,work201401,work201402,work201403,work201404,work201405,work201406,work201407,work201408,work201409,work201410,work201411,work201412,work201501,work201502,work201503,work201504,work201505,work201506,work201507,work201508,work201509,work201510,work201511,work201512,work201601,work201602,work201603,work201604,work201605,work201606,work201607,work201608,work201609,work201610,work201611,work201612,work201701,work201702,work201703,work201704,work201705,work201706,work201707,work201708,work201709,work201710,work201711,work201712,work201801,work201802,work201803,work201804,work201805,work201806,work201807,work201808,work201809,work201810,work201811,work201812,work201901,work201902,work201903,work201904,work201905,work201906,work201907,work201908,work201909,work201910,work201911,work201912,work202001,work202002,work202003,work202004,work202005,work202006,work202007,work202008,work202009,work202010,work202011,work202012
1,ñkäCìπ,2544,2544,2544,2568,2568,2568,2565,2565,2565,2510,2510,2510,2522,2522,2522,2595,2595,2595,2602,2602,2602,2514,2514,2514,2490,2490,2490,2610,2610,2610,2616,2616,2616,2553,2553,2553,2489,2489,2489,2632,2632,2632,2602,2602,2602,2582,2582,2582,2553,2553,2553,2657,2657,2657,2665,2665,2665,2665,2665,2665,2583,2583,2583,2613,2613,2613,2731,2731,2731,2703,2703,2703,2589,2589,2589,2621,2621,2621,2668,2668,2668,2614,2614,2614
2,ê¬êXåß,611,611,611,659,659,659,667,667,667,648,648,648,610,610,610,658,658,658,665,665,665,647,647,647,611,611,611,659,659,659,668,668,668,650,650,650,615,615,615,661,661,661,670,670,670,651,651,651,616,616,616,664,664,664,673,673,673,655,655,655,620,620,620,666,666,666,674,674,674,655,655,655,620,620,620,661,661,661,666,666,666,645,645,645
3,ä‚éËåß,611,611,611,646,646,646,650,650,650,629,629,629,602,602,602,649,649,649,657,657,657,642,642,642,621,621,621,667,667,667,675,675,675,653,653,653,628,628,628,665,665,665,673,673,673,656,656,656,637,637,637,679,679,679,687,687,687,667,667,667,641,641,641,683,683,683,682,682,682,656,656,656,638,638,638,672,672,672,674,674,674,649,649,649
4,ã{èÈåß,1152,1152,1152,1166,1166,1166,1173,1173,1173,1160,1160,1160,1155,1155,1155,1163,1163,1163,1161,1161,1161,1140,1140,1140,1141,1141,1141,1155,1155,1155,1178,1178,1178,1168,1168,1168,1175,1175,1175,1190,1190,1190,1204,1204,1204,1195,1195,1195,1194,1194,1194,1211,1211,1211,1222,1222,1222,1220,1220,1220,1225,1225,1225,1229,1229,1229,1231,1231,1231,1216,1216,1216,1220,1220,1220,1223,1223,1223,1228,1228,1228,1211,1211,1211
5,èHìcåß,481,481,481,509,509,509,514,514,514,498,498,498,477,477,477,499,499,499,500,500,500,484,484,484,466,466,466,493,493,493,504,504,504,484,484,484,466,466,466,494,494,494,504,504,504,491,491,491,471,471,471,500,500,500,507,507,507,491,491,491,474,474,474,498,498,498,505,505,505,489,489,489,471,471,471,489,489,489,493,493,493,474,474,474
6,éRå`åß,559,559,559,583,583,583,593,593,593,575,575,575,563,563,563,596,596,596,600,600,600,583,583,583,560,560,560,589,589,589,580,580,580,567,567,567,553,553,553,578,578,578,576,576,576,554,554,554,540,540,540,581,581,581,597,597,597,581,581,581,564,564,564,592,592,592,600,600,600,582,582,582,559,559,559,581,581,581,584,584,584,569,569,569
7,ïüìáåß,939,939,939,979,979,979,979,979,979,969,969,969,939,939,939,979,979,979,977,977,977,968,968,968,941,941,941,984,984,984,984,984,984,977,977,977,949,949,949,988,988,988,987,987,987,978,978,978,951,951,951,991,991,991,990,990,990,981,981,981,954,954,954,994,994,994,991,991,991,982,982,982,955,955,955,986,986,986,984,984,984,972,972,972
8,àÔèÈåß,1451,1451,1451,1480,1480,1480,1480,1480,1480,1474,1474,1474,1454,1454,1454,1482,1482,1482,1483,1483,1483,1477,1477,1477,1457,1457,1457,1485,1485,1485,1485,1485,1485,1480,1480,1480,1461,1461,1461,1491,1491,1491,1493,1493,1493,1491,1491,1491,1473,1473,1473,1504,1504,1504,1505,1505,1505,1501,1501,1501,1481,1481,1481,1509,1509,1509,1509,1509,1509,1504,1504,1504,1484,1484,1484,1500,1500,1500,1502,1502,1502,1491,1491,1491
9,ì»ñÿåß,1006,1006,1006,1030,1030,1030,1020,1020,1020,1013,1013,1013,1005,1005,1005,1028,1028,1028,1021,1021,1021,1015,1015,1015,1006,1006,1006,1029,1029,1029,1023,1023,1023,1017,1017,1017,1009,1009,1009,1033,1033,1033,1027,1027,1027,1022,1022,1022,1015,1015,1015,1040,1040,1040,1033,1033,1033,1027,1027,1027,1019,1019,1019,1042,1042,1042,1035,1035,1035,1028,1028,1028,1020,1020,1020,1036,1036,1036,1029,1029,1029,1018,1018,1018
10,åQînåß,974,974,974,1001,1001,1001,1005,1005,1005,989,989,989,974,974,974,999,999,999,1009,1009,1009,991,991,991,977,977,977,1004,1004,1004,1012,1012,1012,995,995,995,982,982,982,1009,1009,1009,1018,1018,1018,1004,1004,1004,995,995,995,1024,1024,1024,1034,1034,1034,1019,1019,1019,1006,1006,1006,1031,1031,1031,1039,1039,1039,1023,1023,1023,1011,1011,1011,1027,1027,1027,1035,1035,1035,1014,1014,1014
11,çÈã åß,3601,3601,3601,3666,3666,3666,3701,3701,3701,3704,3704,3704,3658,3658,3658,3722,3722,3722,3745,3745,3745,3760,3760,3760,3694,3694,3694,3740,3740,3740,3783,3783,3783,3803,3803,3803,3750,3750,3750,3811,3811,3811,3868,3868,3868,3871,3871,3871,3832,3832,3832,3917,3917,3917,3980,3980,3980,3987,3987,3987,3927,3927,3927,3985,3985,3985,4022,4022,4022,4019,4019,4019,3944,3944,3944,3965,3965,3965,3979,3979,3979,3982,3982,3982
12,êÁótåß,3171,3171,3171,3203,3203,3203,3204,3204,3204,3189,3189,3189,3189,3189,3189,3224,3224,3224,3218,3218,3218,3207,3207,3207,3207,3207,3207,3249,3249,3249,3259,3259,3259,3251,3251,3251,3241,3241,3241,3280,3280,3280,3291,3291,3291,3285,3285,3285,3289,3289,3289,3332,3332,3332,3338,3338,3338,3331,3331,3331,3327,3327,3327,3368,3368,3368,3369,3369,3369,3359,3359,3359,3351,3351,3351,3363,3363,3363,3352,3352,3352,3339,3339,3339
13,ìåãûìs,7260,7260,7260,7441,7441,7441,7258,7258,7258,7360,7360,7360,7296,7296,7296,7497,7497,7497,7463,7463,7463,7427,7427,7427,7366,7366,7366,7497,7497,7497,7592,7592,7592,7611,7611,7611,7560,7560,7560,7686,7686,7686,7757,7757,7757,7723,7723,7723,7875,7875,7875,7966,7966,7966,7899,7899,7899,7946,7946,7946,8051,8051,8051,8153,8153,8153,8053,8053,8053,7985,7985,7985,8049,8049,8049,8127,8127,8127,8022,8022,8022,8220,8220,8220
14,ê_ìﬁêÏåß,4600,4600,4600,4611,4611,4611,4730,4730,4730,4674,4674,4674,4622,4622,4622,4644,4644,4644,4707,4707,4707,4664,4664,4664,4753,4753,4753,4822,4822,4822,4777,4777,4777,4753,4753,4753,4810,4810,4810,4868,4868,4868,4815,4815,4815,4912,4912,4912,4876,4876,4876,4952,4952,4952,4950,4950,4950,5065,5065,5065,5011,5011,5011,5070,5070,5070,5134,5134,5134,5135,5135,5135,5087,5087,5087,4992,4992,4992,5040,5040,5040,5049,5049,5049
15,êVäÉåß,1118,1118,1118,1179,1179,1179,1189,1189,1189,1155,1155,1155,1126,1126,1126,1185,1185,1185,1195,1195,1195,1161,1161,1161,1131,1131,1131,1188,1188,1188,1197,1197,1197,1162,1162,1162,1134,1134,1134,1192,1192,1192,1204,1204,1204,1172,1172,1172,1146,1146,1146,1204,1204,1204,1214,1214,1214,1180,1180,1180,1150,1150,1150,1206,1206,1206,1216,1216,1216,1181,1181,1181,1151,1151,1151,1196,1196,1196,1196,1196,1196,1162,1162,1162
