date,year,month,day,stringency_index
2020/1/1,2020,1,1,0
2020/1/2,2020,1,2,0
2020/1/3,2020,1,3,0
2020/1/4,2020,1,4,0
2020/1/5,2020,1,5,0
2020/1/6,2020,1,6,0
2020/1/7,2020,1,7,2.78
2020/1/8,2020,1,8,2.78
2020/1/9,2020,1,9,2.78
2020/1/10,2020,1,10,2.78
2020/1/11,2020,1,11,2.78
2020/1/12,2020,1,12,2.78
2020/1/13,2020,1,13,2.78
2020/1/14,2020,1,14,2.78
2020/1/15,2020,1,15,2.78
2020/1/16,2020,1,16,2.78
2020/1/17,2020,1,17,2.78
2020/1/18,2020,1,18,2.78
2020/1/19,2020,1,19,2.78
2020/1/20,2020,1,20,2.78
2020/1/21,2020,1,21,2.78
2020/1/22,2020,1,22,2.78
2020/1/23,2020,1,23,2.78
2020/1/24,2020,1,24,2.78
2020/1/25,2020,1,25,2.78
2020/1/26,2020,1,26,2.78
2020/1/27,2020,1,27,2.78
2020/1/28,2020,1,28,2.78
2020/1/29,2020,1,29,2.78
2020/1/30,2020,1,30,2.78
2020/1/31,2020,1,31,2.78
2020/2/1,2020,2,1,8.33
2020/2/2,2020,2,2,8.33
2020/2/3,2020,2,3,8.33
2020/2/4,2020,2,4,19.44
2020/2/5,2020,2,5,19.44
2020/2/6,2020,2,6,19.44
2020/2/7,2020,2,7,19.44
2020/2/8,2020,2,8,19.44
2020/2/9,2020,2,9,19.44
2020/2/10,2020,2,10,19.44
2020/2/11,2020,2,11,19.44
2020/2/12,2020,2,12,19.44
2020/2/13,2020,2,13,19.44
2020/2/14,2020,2,14,19.44
2020/2/15,2020,2,15,19.44
2020/2/16,2020,2,16,19.44
2020/2/17,2020,2,17,19.44
2020/2/18,2020,2,18,19.44
2020/2/19,2020,2,19,19.44
2020/2/20,2020,2,20,25
2020/2/21,2020,2,21,25
2020/2/22,2020,2,22,25
2020/2/23,2020,2,23,25
2020/2/24,2020,2,24,25
2020/2/25,2020,2,25,34.26
2020/2/26,2020,2,26,34.26
2020/2/27,2020,2,27,34.26
2020/2/28,2020,2,28,34.26
2020/2/29,2020,2,29,34.26
2020/3/1,2020,3,1,34.26
2020/3/2,2020,3,2,43.52
2020/3/3,2020,3,3,43.52
2020/3/4,2020,3,4,43.52
2020/3/5,2020,3,5,43.52
2020/3/6,2020,3,6,43.52
2020/3/7,2020,3,7,43.52
2020/3/8,2020,3,8,43.52
2020/3/9,2020,3,9,40.74
2020/3/10,2020,3,10,40.74
2020/3/11,2020,3,11,40.74
2020/3/12,2020,3,12,40.74
2020/3/13,2020,3,13,40.74
2020/3/14,2020,3,14,40.74
2020/3/15,2020,3,15,40.74
2020/3/16,2020,3,16,40.74
2020/3/17,2020,3,17,40.74
2020/3/18,2020,3,18,40.74
2020/3/19,2020,3,19,40.74
2020/3/20,2020,3,20,40.74
2020/3/21,2020,3,21,40.74
2020/3/22,2020,3,22,40.74
2020/3/23,2020,3,23,40.74
2020/3/24,2020,3,24,40.74
2020/3/25,2020,3,25,40.74
2020/3/26,2020,3,26,40.74
2020/3/27,2020,3,27,40.74
2020/3/28,2020,3,28,40.74
2020/3/29,2020,3,29,40.74
2020/3/30,2020,3,30,40.74
2020/3/31,2020,3,31,40.74
2020/4/1,2020,4,1,40.74
2020/4/2,2020,4,2,40.74
2020/4/3,2020,4,3,43.52
2020/4/4,2020,4,4,43.52
2020/4/5,2020,4,5,43.52
2020/4/6,2020,4,6,43.52
2020/4/7,2020,4,7,45.37
2020/4/8,2020,4,8,45.37
2020/4/9,2020,4,9,45.37
2020/4/10,2020,4,10,45.37
2020/4/11,2020,4,11,45.37
2020/4/12,2020,4,12,45.37
2020/4/13,2020,4,13,45.37
2020/4/14,2020,4,14,45.37
2020/4/15,2020,4,15,45.37
2020/4/16,2020,4,16,47.22
2020/4/17,2020,4,17,47.22
2020/4/18,2020,4,18,47.22
2020/4/19,2020,4,19,47.22
2020/4/20,2020,4,20,47.22
2020/4/21,2020,4,21,47.22
2020/4/22,2020,4,22,47.22
2020/4/23,2020,4,23,47.22
2020/4/24,2020,4,24,47.22
2020/4/25,2020,4,25,47.22
2020/4/26,2020,4,26,47.22
2020/4/27,2020,4,27,47.22
2020/4/28,2020,4,28,47.22
2020/4/29,2020,4,29,47.22
2020/4/30,2020,4,30,47.22
2020/5/1,2020,5,1,47.22
2020/5/2,2020,5,2,47.22
2020/5/3,2020,5,3,47.22
2020/5/4,2020,5,4,47.22
2020/5/5,2020,5,5,47.22
2020/5/6,2020,5,6,47.22
2020/5/7,2020,5,7,47.22
2020/5/8,2020,5,8,47.22
2020/5/9,2020,5,9,47.22
2020/5/10,2020,5,10,47.22
2020/5/11,2020,5,11,47.22
2020/5/12,2020,5,12,47.22
2020/5/13,2020,5,13,47.22
2020/5/14,2020,5,14,40.74
2020/5/15,2020,5,15,40.74
2020/5/16,2020,5,16,40.74
2020/5/17,2020,5,17,40.74
2020/5/18,2020,5,18,40.74
2020/5/19,2020,5,19,40.74
2020/5/20,2020,5,20,40.74
2020/5/21,2020,5,21,40.74
2020/5/22,2020,5,22,40.74
2020/5/23,2020,5,23,40.74
2020/5/24,2020,5,24,40.74
2020/5/25,2020,5,25,31.48
2020/5/26,2020,5,26,34.26
2020/5/27,2020,5,27,34.26
2020/5/28,2020,5,28,34.26
2020/5/29,2020,5,29,34.26
2020/5/30,2020,5,30,34.26
2020/5/31,2020,5,31,34.26
2020/6/1,2020,6,1,28.7
2020/6/2,2020,6,2,28.7
2020/6/3,2020,6,3,28.7
2020/6/4,2020,6,4,28.7
2020/6/5,2020,6,5,28.7
2020/6/6,2020,6,6,28.7
2020/6/7,2020,6,7,28.7
2020/6/8,2020,6,8,28.7
2020/6/9,2020,6,9,28.7
2020/6/10,2020,6,10,28.7
2020/6/11,2020,6,11,28.7
2020/6/12,2020,6,12,28.7
2020/6/13,2020,6,13,28.7
2020/6/14,2020,6,14,28.7
2020/6/15,2020,6,15,28.7
2020/6/16,2020,6,16,28.7
2020/6/17,2020,6,17,28.7
2020/6/18,2020,6,18,28.7
2020/6/19,2020,6,19,28.7
2020/6/20,2020,6,20,28.7
2020/6/21,2020,6,21,25.93
2020/6/22,2020,6,22,25.93
2020/6/23,2020,6,23,25.93
2020/6/24,2020,6,24,25.93
2020/6/25,2020,6,25,25.93
2020/6/26,2020,6,26,25.93
