ä˙ä‘ÅièTÅj,,,éxããê\êøåèêîÅiåèÅj,,éxããåàíËåèêîÅiåèÅj,,éxããåàíËäzÅiêÁâ~Åj,
,,,Å@Å@,ó›åv,Å@Å@,ó›åv,Å@Å@,ó›åv
week,year,month,claims_for_subsidy,claims_for_subsidy_total,accepted_application,accepted_application_total,amount_of_subsidy,amount_of_subsidy_total
Å`7/16,2020,7,4134,4134,0,0,0,0
7/17Å`7/23,2020,7,12760,16894,817,817,101127,101127
7/24Å`7/30,2020,7,19636,36530,2830,3647,315625,416752
7/31Å`8/6,2020,8,23057,59587,10811,14458,950330,1367083
8/7Å`8/13,2020,8,27367,86954,12601,27059,1043777,2410860
8/14Å`8/20,2020,8,33784,120738,18207,45266,1523262,3934122
8/21Å`8/27,2020,8,44763,165501,22854,68120,1910355,5844477
8/28Å`9/3,2020,9,50847,216348,24285,92405,1906183,7750659
9/4Å`9/10,2020,9,49522,265870,29265,121670,2295847,10046506
9/11Å`9/17,2020,9,55072,320942,33810,155480,2563110,12609616
9/18Å`9/24,2020,9,50631,371573,21578,177058,1601547,14211163
9/25Å`10/1,2020,9,93826,465399,34889,211947,2555610,16766772
10/2Å`10/8,2020,10,37976,503375,51749,263696,3952523,20719296
10/9Å`10/15,2020,10,46931,550306,56213,319909,4298704,25018000
10/16Å`10/22,2020,10,38847,589153,58663,378572,4328230,29346230
10/23Å`10/29,2020,10,27635,616788,56338,434910,4270180,33616410
10/30Å`11/5,2020,11,23349,640137,40865,475775,3112148,36728557
11/6Å`11/12,2020,11,21037,661174,44599,520374,3558148,40286705
11/13Å`11/19,2020,11,23541,684715,36555,556929,3061859,43348564
11/20Å`11/26,2020,11,23333,708048,24598,581527,2104291,45452855
11/27Å`12/3,2020,12,25364,733412,27898,609425,2291969,47744824
12/4Å`12/10,2020,12,31618,765030,28605,638030,2384193,50129017
12/11Å`12/17,2020,12,33242,798272,31878,669908,2740316,52869333
12/18Å`12/24,2020,12,39154,837426,30643,700551,2519946,55389279
12/25Å`12/31,2020,12,83305,920731,11482,712033,897700,56286980
1/1Å`1/7,2021,1,17803,938534,24469,736502,1936594,58223573
1/8Å`1/14,2021,1,20583,959117,29844,766346,2238236,60461810
1/15Å`1/21,2021,1,36365,995482,40958,807304,3165023,63626832
1/22Å`1/28,2021,1,48585,1044067,42080,849384,3580975,67207808
1/29Å`2/4,2021,2,54024,1098091,36475,885859,2945685,70153492
2/5Å`2/11,2021,2,28912,1127003,30574,916433,2334888,72488380
2/12Å`2/18,2021,2,35982,1162985,35602,952035,2807151,75295531
2/19Å`2/25,2021,2,34151,1197136,29957,981992,2298247,77593778
2/26Å`3/4,2021,3,38047,1235183,34585,1016577,2678408,80272186
3/5Å`3/11,2021,3,57150,1292333,31495,1048072,2412943,82685129
3/12Å`3/18,2021,3,62298,1354631,32751,1080823,2591616,85276746
3/19Å`3/25,2021,3,79638,1434269,34045,1114868,2638187,87914933
3/26Å`4/1,2021,3,111197,1545466,30950,1145818,2382958,90297891
4/2Å`4/8,2021,4,55606,1601072,37491,1183309,2692594,92990485
4/9Å`4/15,2021,4,56178,1657250,42791,1226100,2995502,95985987
4/16Å`4/22,2021,4,49228,1706478,53680,1279780,3886694,99872681
4/23Å`4/29,2021,4,41995,1748473,39724,1319504,2765149,102637830
4/30Å`5/6,2021,5,23141,1771614,19984,1339488,1422852,104060682
5/7Å`5/13,2021,5,60902,1832516,50500,1389988,3556385,107617067
5/14Å`5/20,2021,5,64356,1896872,58330,1448318,4271278,111888345
