year,month,working_hour
2014,1,94.4
2014,2,98.6
2014,3,99.6
2014,4,103.5
2014,5,99.1
2014,6,103.6
2014,7,104.4
2014,8,97.7
2014,9,100.3
2014,10,102.9
2014,11,100.8
2014,12,99.8
2015,1,94.4
2015,2,98.6
2015,3,101.1
2015,4,104.7
2015,5,96.3
2015,6,103.4
2015,7,104.0
2015,8,97.9
2015,9,99.2
2015,10,100.2
2015,11,100.7
2015,12,99.5
2016,1,93.6
2016,2,98.9
2016,3,101.9
2016,4,103.0
2016,5,95.6
2016,6,103.2
2016,7,101.4
2016,8,97.2
2016,9,99.7
2016,10,99.3
2016,11,100.6
2016,12,99.3
2017,1,92.7
2017,2,98.3
2017,3,100.2
2017,4,102.5
2017,5,96.7
2017,6,103.3
2017,7,101.0
2017,8,96.5
2017,9,99.6
2017,10,100.1
2017,11,100.8
2017,12,99.8
2018,1,92.6
2018,2,96.2
2018,3,98.8
2018,4,101.1
2018,5,97.4
2018,6,102.2
2018,7,100.6
2018,8,96.9
2018,9,96.3
2018,10,99.7
2018,11,102.1
2018,12,97.6
2019,1,90.2
2019,2,95.4
2019,3,96.1
2019,4,99.3
2019,5,93.1
2019,6,98.8
2019,7,99.8
2019,8,94.0
2019,9,95.7
2019,10,97.4
2019,11,98.3
2019,12,97.2
2020,1,90.9
2020,2,93.9
2020,3,94.9
2020,4,95.4
2020,5,84.3
2020,6,94.8
2020,7,97.1
2020,8,89.2
2020,9,94.1
2020,10,97.7
2020,11,95.6
2020,12,94.8
2021,1,89.0
2021,2,90.6
2021,3,95.7
