date, pm25, pm10, o3, no2, so2, co
2021/5/1, 65, 22, 56, 10, 6, 3
2021/5/2, 54, 15, 46, 11, 4, 3
2021/5/3, 48, 20, 56, 18, 6, 4
2021/5/4, 65, 26, 36, 14, 8, 3
2021/5/5, 58, , , , , 
2021/4/10, 42, 17, 34, 10, 1, 1
2021/4/11, 51, 14, 33, 21, 1, 2
2021/4/12, 50, 20, 40, 17, 2, 2
2021/4/13, 51, 20, 33, 10, 1, 2
2021/4/14, 44, 15, 34, 15, 1, 3
2021/4/15, 47, 16, 40, 18, 1, 2
2021/4/16, 43, 17, 40, 13, 1, 2
2021/4/17, 31, 20, 38, 8, 3, 2
2021/4/18, 27, 26, 41, 12, 3, 2
2021/4/19, 41, 29, 49, 32, 7, 2
2021/4/20, 51, 29, 46, 28, 2, 4
2021/4/21, 70, 24, 57, 22, 3, 4
2021/4/22, 66, 21, 44, 15, 2, 2
2021/4/23, 51, 17, 42, 16, 5, 2
2021/4/24, 56, 22, 52, 14, 4, 2
2021/4/25, 63, 16, 56, 14, 1, 3
2021/4/26, 45, 14, 40, 14, 2, 2
2021/4/27, 43, 23, 42, 16, 6, 2
2021/4/28, 54, 19, 39, 11, 3, 2
2021/4/29, 36, 22, 32, 14, 5, 4
2021/4/30, 59, 27, 53, 14, 4, 3
2021/3/1, 57, 16, 32, 10, 2, 3
2021/3/2, 46, 7, 33, 4, 1, 2
2021/3/3, 16, 14, 36, 22, 1, 2
2021/3/4, 48, 17, 31, 26, 2, 2
2021/3/5, 50, 29, 37, 17, 1, 2
2021/3/6, 64, 13, 36, 4, 2, 2
2021/3/7, 48, 16, 34, 15, 1, 2
2021/3/8, 42, 15, 32, 18, 1, 3
2021/3/9, 42, 21, 42, 22, 1, 3
2021/3/10, 57, 18, 39, 25, 2, 2
2021/3/11, 55, 29, 36, 32, 5, 3
2021/3/12, 69, 15, 34, 12, 1, 1
2021/3/13, 41, 12, 40, 10, 3, 2
2021/3/14, 38, 15, 40, 15, 1, 2
2021/3/15, 49, 28, 46, 28, 3, 4
2021/3/16, 72, 21, 45, 23, 2, 2
2021/3/17, 55, 21, 43, 23, 5, 2
2021/3/18, 62, 20, 40, 16, 2, 2
2021/3/19, 59, 20, 39, 11, 2, 1
2021/3/20, 50, 26, 35, 8, 1, 3
2021/3/21, 48, 13, 38, 14, 1, 2
2021/3/22, 45, 13, 45, 17, 3, 3
2021/3/23, 44, 20, 47, 20, 4, 3
2021/3/24, 60, 20, 36, 21, 4, 3
2021/3/25, 50, 28, 53, 22, 2, 3
2021/3/26, 69, 23, 55, 17, 2, 3
2021/3/27, 69, 26, 45, 6, 3, 3
2021/3/28, 60, 16, 33, 16, 1, 3
2021/3/29, 43, , , , , 
2021/2/1, 63, 23, 33, 20, 4, 3
2021/2/2, 43, 12, 32, 32, 1, 3
2021/2/3, 25, 15, 34, 26, 3, 3
2021/2/4, 48, 11, 30, 29, 2, 2
2021/2/5, 43, 26, 35, 31, 3, 4
2021/2/6, 73, 28, 41, 22, 5, 3
2021/2/7, 75, 12, 29, 20, 1, 3
2021/2/8, 42, 11, 30, 17, 1, 2
2021/2/9, 33, 15, 31, 29, 2, 3
2021/2/10, 49, 18, 39, 18, 2, 4
2021/2/11, 45, 17, 33, 31, 2, 4
2021/2/12, 43, 20, 34, 24, 4, 3
2021/2/13, 49, 24, 33, 17, 4, 2
2021/2/14, 70, 18, 28, 21, 2, 2
2021/2/15, 37, 19, 33, 19, 4, 2
2021/2/16, 39, 15, 35, 11, 3, 2
2021/2/17, 28, 9, 30, 17, 3, 2
2021/2/18, 32, 11, 32, 19, 3, 3
2021/2/19, 36, 23, 45, 24, 5, 3
2021/2/20, 69, 35, 51, 25, 10, 4
2021/2/21, 90, 42, 45, 39, 12, 4
2021/2/22, 104, 17, 37, 12, 4, 3
2021/2/23, 48, 12, 34, 11, 1, 3
2021/2/24, 38, 12, 36, 19, 1, 3
2021/2/25, 42, 22, 31, 30, 2, 3
2021/2/26, 65, 15, 35, 13, 1, 2
2021/2/27, 49, 17, 36, 20, 3, 3
2021/2/28, 58, 19, 34, 27, 4, 4
2021/1/4, 63, 22, 19, 28, 1, 4
2021/1/5, 59, 16, 26, 17, 1, 2
2021/1/6, 44, 22, 32, 17, 2, 2
2021/1/7, 39, 11, 23, 22, 2, 3
2021/1/8, 26, 13, 28, 27, 1, 3
2021/1/9, 43, 18, 27, 25, 1, 5
2021/1/10, 57, 22, 21, 23, 1, 5
2021/1/11, 68, 25, 11, 25, 1, 4
2021/1/12, 70, 23, 19, 36, 1, 5
2021/1/13, 71, 28, 22, 43, 6, 5
2021/1/14, 81, 32, 17, 27, 1, 3
2021/1/15, 78, 32, 34, 22, 2, 3
2021/1/16, 76, 14, 27, 9, 1, 2
2021/1/17, 42, 16, 26, 21, 2, 2
2021/1/18, 51, 14, 29, 13, 1, 2
2021/1/19, 40, 15, 28, 22, 1, 3
2021/1/20, 45, 32, 22, 40, 4, 6
2021/1/21, 86, 50, 26, 52, 4, 6
2021/1/22, 124, 28, 33, 13, 1, 3
2021/1/23, 70, 14, 25, 6, 1, 2
2021/1/24, 45, 17, 28, 24, 1, 5
2021/1/25, 53, 28, 17, 32, 2, 4
2021/1/26, 61, 35, 24, 31, 2, 4
2021/1/27, 65, 18, 28, 19, 1, 2
2021/1/28, 45, 17, 31, 19, 2, 2
2021/1/29, 59, 12, 31, 22, 1, 3
