date, pm25, pm10, o3, no2, so2, co
2021/5/1, 52, 16, 46, 5, 1, 4
2021/5/2, 51, 13, 49, 9, 1, 4
2021/5/3, 46, 17, 43, 6, 3, 4
2021/5/4, 55, 18, 42, 1, 1, 4
2021/5/5, 42, , , , , 
2021/4/1, 75, 35, 41, 10, 1, 4
2021/4/2, 73, 21, 47, 14, 1, 4
2021/4/3, 48, 11, 38, 4, , 4
2021/4/4, 27, 14, 39, 5, 1, 4
2021/4/5, 38, 10, 38, 11, 1, 4
2021/4/6, 32, 18, 58, 18, 1, 5
2021/4/7, 51, 21, 59, 21, 1, 5
2021/4/8, 64, 18, 41, 16, 1, 5
2021/4/9, 56, 18, 37, 11, 1, 5
2021/4/10, 44, 12, 44, 12, 1, 5
2021/4/11, 47, 11, 32, 8, 1, 5
2021/4/12, 45, 13, 43, 10, 1, 4
2021/4/13, 34, 17, 41, 12, 1, 4
2021/4/14, 47, 13, 45, 16, 1, 4
2021/4/15, 43, 15, 33, 11, 1, 4
2021/4/16, 49, 25, 43, 9, 1, 4
2021/4/17, 61, 12, 39, 6, 1, 4
2021/4/18, 41, 17, 58, 12, 1, 4
2021/4/19, 50, 22, 83, 15, 1, 5
2021/4/20, 60, 27, 83, 25, 2, 6
2021/4/21, 72, 31, 68, 33, 2, 5
2021/4/22, 74, 24, 48, 17, 1, 5
2021/4/23, 62, 23, 44, 12, 1, 5
2021/4/24, 62, 18, 46, 4, 1, 4
2021/4/25, 51, 12, 40, 8, 1, 4
2021/4/26, 39, 19, 36, 21, 1, 5
2021/4/27, 56, 19, 31, 14, 1, 4
2021/4/28, 46, 15, 47, 9, 1, 4
2021/4/29, 40, 31, 63, 10, 1, 4
2021/4/30, 74, 18, 53, 7, 1, 4
2021/3/1, 30, 10, 35, 8, 3, 2
2021/3/2, 27, 13, 33, 10, 1, 2
2021/3/3, 44, 13, 28, 19, 2, 2
2021/3/4, 48, 10, 26, 23, , 3
2021/3/5, 30, 14, 40, 19, 1, 2
2021/3/6, 37, 15, 33, 6, , 3
2021/3/7, 48, 11, 34, 13, 1, 2
2021/3/8, 34, 12, 35, 21, 1, 3
2021/3/9, 39, 22, 44, 21, 1, 3
2021/3/10, 58, 27, 41, 24, 2, 4
2021/3/11, 71, 18, 36, 20, 1, 3
2021/3/12, 50, 21, 44, 10, 1, 3
2021/3/13, 58, 29, 48, 12, 1, 4
2021/3/14, 78, 28, 52, 19, 1, 4
2021/3/15, 77, 17, 44, 13, 1, 3
2021/3/16, 49, 40, 43, 19, 1, 4
2021/3/17, 74, 35, 35, 26, 2, 4
2021/3/18, 67, 31, 39, 23, 3, 4
2021/3/19, 66, 20, 32, 14, 2, 3
2021/3/20, 52, 15, 42, 9, 1, 3
2021/3/21, 42, 20, 40, 12, 1, 2
2021/3/22, 59, 26, 39, 14, 1, 2
2021/3/23, 62, 26, 37, 14, 1, 3
2021/3/24, 56, 20, 47, 11, 1, 4
2021/3/25, 50, 24, 56, 18, 1, 6
2021/3/26, 63, 23, 42, 7, 5, 4
2021/3/27, 59, 15, 51, 5, 1, 4
2021/3/28, 43, 59, 58, 12, 1, 6
2021/3/29, 116, 99, 44, 14, 1, 6
2021/3/30, 147, 44, 45, 19, 1, 5
2021/3/31, 85, 36, 50, 19, 1, 5
2021/2/1, 59, 30, 35, 21, 1, 5
2021/2/2, 70, 17, 31, 22, 1, 4
2021/2/3, 53, 20, 38, 23, 1, 5
2021/2/4, 59, 19, 28, 20, 1, 4
2021/2/5, 60, 15, 36, 16, 1, 4
2021/2/6, 46, 35, 49, 15, 1, 5
2021/2/7, 88, 23, 34, 14, 1, 5
2021/2/8, 60, 12, 31, 21, 1, 5
2021/2/9, 35, 11, 35, 23, 3, 5
2021/2/10, 45, 27, 44, 20, 5, 7
2021/2/11, 76, 33, 39, 37, 4, 7
2021/2/12, 84, 30, 34, 29, 2, 7
2021/2/13, 72, 16, 27, 16, 2, 5
2021/2/14, 43, 16, 37, 13, 1, 5
2021/2/15, 41, 16, 34, 12, 1, 6
2021/2/16, 45, 15, 32, 7, 1, 6
2021/2/17, 47, 15, 31, 10, , 6
2021/2/18, 50, 17, 31, 14, 1, 6
2021/2/19, 55, 19, 49, 10, 1, 6
2021/2/20, 54, 22, 46, 6, 1, 5
2021/2/21, 60, 19, 53, 13, 1, 5
2021/2/22, 51, 23, 39, 12, , 6
2021/2/23, 60, 15, 34, 17, 1, 7
2021/2/24, 49, 20, 29, 22, 1, 8
2021/2/25, 56, 9, 31, 11, 1, 7
2021/2/26, 28, 12, 34, 10, 1, 7
2021/2/27, 38, 12, 34, 9, 1, 6
2021/2/28, 39, 8, 35, 9, 2, 
2021/1/4, 37, 16, 22, 22, 1, 5
2021/1/5, 49, 12, 34, 15, 1, 3
2021/1/6, 41, 14, 29, 14, 1, 4
2021/1/7, 42, 9, 29, 10, 1, 4
2021/1/8, 35, 13, 30, 9, , 4
2021/1/9, 40, 12, 31, 7, , 4
2021/1/10, 42, 18, 26, 12, 1, 5
2021/1/11, 60, 20, 27, 25, 1, 5
2021/1/12, 58, 27, 28, 20, 1, 4
2021/1/13, 68, 37, 34, 29, 2, 6
2021/1/14, 70, 32, 34, 20, 7, 4
2021/1/15, 68, 38, 35, 21, 3, 5
2021/1/16, 78, 12, 31, 11, 2, 4
2021/1/17, 36, 22, 33, 18, 1, 3
2021/1/18, 58, 14, 35, 14, 1, 5
2021/1/19, 39, 10, 27, 17, 1, 5
2021/1/20, 41, 23, 19, 27, 1, 5
2021/1/21, 67, 17, 27, 11, 2, 4
2021/1/22, 52, 13, 22, 22, 1, 6
2021/1/23, 42, 11, 31, 7, 1, 4
2021/1/24, 32, 11, 26, 17, 1, 5
2021/1/25, 36, 15, 29, 25, 1, 5
2021/1/26, 42, 16, 32, 14, 1, 5
2021/1/27, 44, 24, 35, 24, 2, 5
2021/1/28, 61, 13, 31, 13, 1, 4
2021/1/29, 44, 27, 33, 17, 1, 4
2021/1/30, 66, 30, 40, 15, 1, 5
2021/1/31, 70, 23, 36, 13, 4, 5
2020/10/1, 33, 23, 41, 17, 3, 3
2020/10/2, 49, 31, 38, 5, 5, 3
2020/10/3, 69, 32, 35, 3, 2, 3
2020/10/4, 70, 17, 36, 4, 1, 4
2020/10/5, 38, 12, 32, 6, 1, 3
2020/10/6, 27, 14, 33, 6, 1, 3
2020/10/7, 38, 11, 29, 7, 1, 3
2020/10/8, 30, 19, 31, 8, 1, 3
2020/10/9, 41, 16, 33, 10, 1, 3
2020/10/10, 32, 17, 34, 6, 1, 3
2020/10/11, 42, 20, 48, 15, 1, 3
2020/10/12, 53, 25, 50, 21, 1, 4
2020/10/13, 69, 20, 40, 15, 2, 3
2020/10/14, 50, 21, 49, 15, 4, 4
2020/10/15, 53, 16, 35, 12, 3, 3
2020/10/16, 40, 12, 42, 10, 2, 3
2020/10/17, 37, 15, 43, 10, 1, 3
2020/10/18, 51, 15, 38, 14, 1, 4
2020/10/19, 47, 14, 38, 15, 1, 4
2020/10/20, 48, 21, 39, 22, 3, 4
2020/10/21, 57, 14, 36, 15, 1, 3
2020/10/22, 38, 22, 37, 17, 1, 3
2020/10/23, 51, 14, 39, 11, 1, 3
2020/10/24, 42, 15, 43, 9, 1, 3
2020/10/25, 47, 18, 48, 24, 1, 4
2020/10/26, 55, 21, 49, 27, 1, 4
2020/10/27, 62, 22, 49, 31, 1, 4
2020/10/28, 62, 32, 57, 26, 1, 5
2020/10/29, 80, 18, 36, 12, 1, 3
2020/10/30, 48, 16, 32, 11, 1, 3
2020/10/31, 43, 17, 37, 9, 2, 3
2020/11/1, 50, 22, 31, 18, 1, 4
2020/11/2, 51, 24, 36, 18, 1, 3
2020/11/3, 56, 13, 34, 15, 1, 3
2020/11/4, 38, 17, 30, 28, 1, 4
2020/11/5, 45, 19, 30, 20, 4, 4
2020/11/6, 60, 23, 36, 16, 1, 3
2020/11/7, 60, 28, 48, 12, 1, 3
2020/11/8, 68, 13, 30, 15, 1, 3
2020/11/9, 33, 14, 35, 22, 1, 3
2020/11/10, 44, 13, 28, 21, 1, 2
2020/11/11, 45, 17, 27, 26, 1, 3
2020/11/12, 54, 21, 40, 27, 1, 2
2020/11/13, 62, 21, 42, 23, 1, 2
2020/11/14, 62, 22, 43, 18, 3, 3
2020/11/15, 65, 31, 25, 34, 1, 3
2020/11/16, 78, 32, 27, 32, 2, 3
2020/11/17, 78, 24, 33, 17, 4, 2
2020/11/18, 66, 16, 28, 7, 2, 1
2020/11/19, 39, 19, 34, 16, , 3
2020/11/20, 49, 13, 29, 12, 1, 2
2020/11/21, 43, 16, 28, 10, 1, 2
2020/11/22, 48, 17, 33, 12, 1, 3
2020/11/23, 49, 15, 30, 20, 1, 4
2020/11/24, 48, 17, 34, 23, 1, 3
2020/11/25, 52, 17, 28, 26, 1, 4
2020/11/26, 55, 20, 34, 21, 1, 3
2020/11/27, 60, 13, 30, 12, 1, 3
2020/11/28, 41, 13, 31, 9, 1, 3
2020/11/29, 44, 14, 32, 18, 1, 5
2020/11/30, 44, 11, 27, 21, 1, 4
2020/12/1, 39, 13, 28, 21, 1, 4
2020/12/2, 41, 15, 34, 20, 1, 4
2020/12/3, 46, 18, 33, 26, 1, 5
2020/12/4, 55, 14, 33, 17, 1, 5
2020/12/5, 47, 13, 34, 16, 1, 5
2020/12/6, 48, 21, 36, 26, 1, 5
2020/12/7, 61, 25, 33, 20, 1, 4
2020/12/8, 73, 17, 30, 25, 1, 4
2020/12/9, 55, 16, 22, 31, 1, 4
2020/12/10, 44, 15, 29, 30, 1, 5
2020/12/11, 51, 27, 42, 20, 1, 5
2020/12/12, 75, 23, 38, 16, 1, 4
2020/12/13, 68, 16, 32, 11, 1, 4
2020/12/14, 42, 10, 28, 11, 1, 3
2020/12/15, 32, 11, 31, 11, 1, 4
2020/12/16, 35, 11, 30, 16, 1, 3
2020/12/17, 32, 15, 35, 23, 1, 4
2020/12/18, 47, 15, 30, 13, 1, 5
2020/12/19, 42, 10, 33, 12, 1, 4
2020/12/20, 36, 18, 30, 23, 1, 3
2020/12/21, 55, 30, 33, 25, 1, 4
2020/12/22, 86, 39, 31, 27, 1, 5
2020/12/23, 98, 30, 31, 18, 1, 4
2020/12/24, 77, 17, 31, 20, 1, 3
2020/12/25, 47, 16, 24, 20, 1, 4
2020/12/26, 51, 18, 21, 16, 1, 4
2020/12/27, 58, 17, 33, 25, 1, 5
2020/12/28, 52, 17, 23, 21, 1, 4
2020/12/29, 52, 12, 31, 5, 1, 3
2020/12/30, 36, 7, 30, 4, 1, 3
2020/12/31, 24, 10, 28, 6, , 3
2021/1/1, 32, 16, 34, 9, 1, 3
2021/1/2, 52, 14, 32, 9, , 4
2021/1/3, 45, 11, 25, 16, 1, 4
2020/7/1, 35, 14, 45, 15, 1, 2
2020/7/2, 40, 15, 35, 12, 1, 2
2020/7/3, 42, 12, 39, 12, 1, 3
2020/7/4, 28, 18, 39, 10, 1, 2
2020/7/5, 42, 9, 31, 15, , 2
2020/7/6, 19, 15, 41, 18, 1, 2
2020/7/7, 25, 16, 44, 16, 1, 2
2020/7/8, 37, 18, 25, 12, 1, 2
2020/7/9, 34, 8, 24, 8, 1, 1
2020/7/10, 15, 19, 41, 11, 1, 3
2020/7/11, 41, 14, 37, 11, 1, 2
2020/7/12, 33, 17, 19, 9, 1, 1
2020/7/13, 35, 12, 37, 11, 1, 2
2020/7/14, 24, 11, 29, 13, 1, 2
2020/7/15, 27, 13, 28, 13, 1, 2
2020/7/16, 32, 20, 30, 14, 1, 2
2020/7/17, 48, 23, 37, 13, 1, 3
2020/7/18, 52, 22, 23, 4, 1, 2
2020/7/19, 47, 14, 12, 6, 1, 1
2020/7/20, 27, 20, 33, 13, 1, 2
2020/7/21, 38, 20, 15, 13, 1, 2
2020/7/22, 37, 14, 14, 7, 1, 2
2020/7/23, 28, 11, 39, 4, 1, 2
2020/7/24, 26, 11, 32, 5, 1, 2
2020/7/25, 24, 23, 42, 6, 1, 2
2020/7/26, 53, 12, 15, 8, 1, 1
2020/7/27, 24, 13, 12, 8, , 1
2020/7/28, 24, 18, 13, 11, 1, 2
2020/7/29, 37, 22, 24, 11, 1, 2
2020/7/30, 53, 22, 16, 11, , 1
2020/7/31, 50, 20, 19, 8, 1, 1
2020/8/1, 38, 52, 22, 5, 1, 1
2020/8/2, 101, 64, 23, 7, 2, 2
2020/8/3, 138, 63, 34, 5, 6, 2
2020/8/4, 134, 46, 34, 12, 4, 2
2020/8/5, 88, 56, 12, 6, 7, 2
2020/8/6, 115, 60, 13, 4, 4, 2
2020/8/7, 111, 22, 11, 3, 1, 2
2020/8/8, 45, 16, 11, 2, 1, 1
2020/8/9, 42, 15, 13, 3, 1, 1
2020/8/10, 29, 15, 10, 7, , 1
2020/8/11, 26, 19, 16, 6, 1, 
2020/8/12, 35, 19, 17, 7, 1, 
2020/8/13, 35, 13, 20, 5, 1, 
2020/8/14, 31, 14, 17, 5, 1, 1
2020/8/15, 30, 22, 21, 5, 1, 1
2020/8/16, 48, 30, 22, 8, 1, 2
2020/8/17, 63, 33, 25, 12, 1, 2
2020/8/18, 70, 40, 76, 18, 1, 3
2020/8/19, 83, 58, 85, 14, 1, 3
2020/8/20, 101, 61, 57, 14, 1, 3
2020/8/21, 102, 43, 51, 11, 1, 3
2020/8/22, 78, 32, 35, 6, 1, 2
2020/8/23, 67, 41, 67, 15, 4, 3
2020/8/24, 80, 33, 23, 7, 4, 3
2020/8/25, 73, 13, 23, 8, 2, 
2020/8/26, 31, 11, 17, 9, 1, 
2020/8/27, 22, 15, 21, 11, 2, 2
2020/8/28, 23, 24, 40, 11, 2, 3
2020/8/29, 42, 27, 38, 9, 3, 3
2020/8/30, 48, 24, 28, 12, 1, 3
2020/8/31, 36, 25, 28, 10, 1, 2
