date, pm25, pm10, o3, no2, so2, co
2021/5/1, 38, 5, 41, 2, 1, 
2021/5/2, 16, 6, 44, 1, 1, 1
2021/5/3, 24, 10, 51, 6, 1, 
2021/5/4, 38, 15, 14, 10, , 
2021/5/5, 57, , , , , 
2021/4/1, 75, 17, 38, 4, 1, 
2021/4/2, 48, 15, 42, 3, 1, 
2021/4/3, 48, 18, 35, 5, 1, 
2021/4/4, 51, 9, 32, 5, 1, 
2021/4/5, 30, 6, 36, 4, 1, 
2021/4/6, 23, 8, 39, 3, 2, 
2021/4/7, 29, 11, 43, 8, 1, 
2021/4/8, 40, 9, 41, 3, 1, 
2021/4/9, 35, 7, 39, 3, 1, 1
2021/4/10, 33, 11, 49, 5, 1, 
2021/4/11, 44, 12, 44, 5, 1, 1
2021/4/12, 45, 10, 34, 4, 1, 1
2021/4/13, 36, 10, 36, 3, 1, 
2021/4/14, 34, 7, 39, 4, 1, 1
2021/4/15, 31, 12, 37, 5, 1, 2
2021/4/16, 42, 12, 20, 4, , 1
2021/4/17, 41, 6, 41, 1, 1, 1
2021/4/18, 23, 17, 45, 4, 1, 
2021/4/19, 50, 19, 54, 9, 1, 
2021/4/20, 56, 13, 44, 6, 1, 
2021/4/21, 49, 10, 41, 6, 1, 1
2021/4/22, 39, 14, 49, 4, 1, 
2021/4/23, 48, 14, 57, 7, 1, 2
2021/4/24, 46, 14, 44, 6, 1, 1
2021/4/25, 46, 7, 39, 2, 1, 1
2021/4/26, 28, 10, 41, 7, 1, 2
2021/4/27, 36, 14, 40, 7, 1, 
2021/4/28, 49, 17, 20, 4, 1, 
2021/4/29, 56, 10, 47, 3, 1, 1
2021/4/30, 34, 12, 59, 4, 1, 1
2021/3/1, 43, 16, 5, 13, 1, 
2021/3/2, 58, 4, 36, 3, 1, 1
2021/3/3, 18, 9, 34, 7, 2, 2
2021/3/4, 39, 14, 30, 9, 1, 3
2021/3/5, 49, 7, 34, 3, 2, 2
2021/3/6, 29, 6, 30, 3, 1, 1
2021/3/7, 25, 10, 24, 5, , 2
2021/3/8, 39, 9, 23, 6, , 1
2021/3/9, 34, 12, 38, 7, 1, 
2021/3/10, 40, 11, 31, 12, 2, 2
2021/3/11, 42, 17, 32, 15, 1, 3
2021/3/12, 56, 7, 26, 4, , 2
2021/3/13, 26, 3, 39, 2, 1, 1
2021/3/14, 18, 9, 39, 5, 2, 1
2021/3/15, 35, 12, 37, 11, 2, 1
2021/3/16, 47, 13, 35, 4, 1, 2
2021/3/17, 38, 17, 37, 12, 2, 3
2021/3/18, 50, 15, 40, 10, 2, 2
2021/3/19, 48, 17, 29, 4, , 2
2021/3/20, 48, 18, 19, 6, , 
2021/3/21, 54, 4, 36, 2, 1, 
2021/3/22, 16, 10, 37, 7, 1, 2
2021/3/23, 37, 13, 44, 8, 1, 2
2021/3/24, 45, 17, 37, 10, 1, 2
2021/3/25, 57, 17, 48, 6, 1, 2
2021/3/26, 54, 18, 49, 7, 1, 3
2021/3/27, 57, 21, 30, 7, , 2
2021/3/28, 63, 13, 12, 5, , 
2021/3/29, 46, , , , , 
2021/2/1, 45, 10, 29, 10, 1, 1
2021/2/2, 42, 6, 33, 7, 1, 
2021/2/3, 25, 5, 36, 6, 1, 1
2021/2/4, 23, 7, 29, 10, 1, 1
2021/2/5, 29, 11, 29, 14, 2, 2
2021/2/6, 43, 12, 42, 9, 2, 2
2021/2/7, 46, 7, 30, 5, 1, 1
2021/2/8, 28, 4, 30, 4, 1, 1
2021/2/9, 18, 7, 31, 7, 1, 2
2021/2/10, 29, 9, 39, 7, 1, 2
2021/2/11, 39, 14, 24, 15, 1, 3
2021/2/12, 53, 19, 33, 14, 2, 3
2021/2/13, 64, 16, 36, 11, 2, 2
2021/2/14, 59, 15, 26, 9, , 1
2021/2/15, 47, 5, 36, 3, 1, 
2021/2/16, 25, 7, 33, 5, 1, 
2021/2/17, 29, 3, 30, 5, 1, 1
2021/2/18, 15, 5, 31, 7, 1, 1
2021/2/19, 23, 13, 42, 9, 2, 2
2021/2/20, 45, 19, 41, 7, 2, 1
2021/2/21, 63, 22, 45, 16, 3, 2
2021/2/22, 69, 9, 36, 5, 2, 2
2021/2/23, 38, 5, 33, 4, 1, 
2021/2/24, 24, 8, 29, 11, 1, 2
2021/2/25, 36, 11, 35, 11, , 2
2021/2/26, 42, 7, 36, 4, , 
2021/2/27, 29, 8, 33, 7, 1, 
2021/2/28, 35, 12, 31, 14, 2, 1
2021/1/4, 28, 10, 20, 14, 1, 2
2021/1/5, 37, 9, 21, 11, 1, 2
2021/1/6, 39, 8, 32, 6, , 2
2021/1/7, 35, 4, 25, 6, , 1
2021/1/8, 16, 4, 29, 6, , 
2021/1/9, 20, 6, 24, 10, , 
2021/1/10, 24, 7, 18, 10, 1, 1
2021/1/11, 30, 11, 20, 10, 1, 1
2021/1/12, 47, 9, 24, 11, 1, 
2021/1/13, 37, 10, 30, 12, 1, 1
2021/1/14, 38, 19, 24, 11, 1, 1
2021/1/15, 54, 15, 28, 7, 1, 
2021/1/16, 45, 8, 26, 5, 1, 1
2021/1/17, 34, 13, 18, 12, 1, 2
2021/1/18, 50, 6, 30, 6, 1, 1
2021/1/19, 23, 6, 26, 8, , 1
2021/1/20, 25, 14, 24, 14, , 1
2021/1/21, 51, 16, 22, 17, 1, 
2021/1/22, 55, 15, 20, 13, , 1
2021/1/23, 58, 9, 6, 10, , 1
2021/1/24, 40, 7, 23, 10, 1, 1
2021/1/25, 29, 11, 23, 10, 1, 1
2021/1/26, 45, 10, 25, 7, 1, 2
2021/1/27, 38, 12, 24, 6, , 1
2021/1/28, 47, 8, 33, 3, 1, 
2021/1/29, 34, 6, 32, 6, 1, 
2021/1/30, 30, 7, 31, 7, 1, 
2021/1/31, 33, 11, 25, 12, 1, 2
2020/10/1, 46, 13, 40, 5, 1, 2
2020/10/2, 40, 20, 35, 4, 1, 2
2020/10/3, 61, 22, 22, 2, 1, 2
2020/10/4, 65, 17, 26, 4, 1, 2
2020/10/5, 50, 8, 26, 3, 1, 
2020/10/6, 26, 11, 22, 5, 1, 
2020/10/7, 36, 2, 27, 2, 1, 1
2020/10/8, 12, 2, 22, 3, 1, 1
2020/10/9, 7, 2, 17, 6, 1, 1
2020/10/10, 10, 5, 20, 3, 1, 
2020/10/11, 14, 5, 18, 2, 1, 
2020/10/12, 18, 9, 22, 3, 1, 1
2020/10/13, 29, 11, 19, 3, 1, 
2020/10/14, 36, 9, 15, 4, 1, 
2020/10/15, 31, 7, 24, 4, 1, 
2020/10/16, 26, 6, 21, 5, 1, 1
2020/10/17, 22, 6, 19, 5, 1, 
2020/10/18, 23, 10, 4, 8, 1, 
2020/10/19, 34, 9, 23, 7, , 2
2020/10/20, 32, 13, 24, 6, 1, 2
2020/10/21, 46, 11, 22, 4, , 2
2020/10/22, 42, 10, 11, 5, 1, 2
2020/10/23, 34, 7, 21, 4, , 1
2020/10/24, 27, 5, 28, 5, 1, 1
2020/10/25, 21, 9, 26, 8, 1, 1
2020/10/26, 31, 12, 21, 9, 1, 1
2020/10/27, 44, 13, 25, 6, 1, 
2020/10/28, 46, 10, 32, 4, 1, 
2020/10/29, 36, 6, 29, 2, 1, 1
2020/10/30, 27, 7, 26, 6, 1, 1
2020/10/31, 28, 12, 29, 7, 1, 
2020/11/1, 43, 15, 9, 10, 1, 
2020/11/2, 53, 10, 15, 5, 1, 1
2020/11/3, 35, 5, 25, 4, , 1
2020/11/4, 21, 9, 25, 9, , 
2020/11/5, 31, 12, 12, 10, 1, 2
2020/11/6, 42, 15, 13, 9, 1, 1
2020/11/7, 52, 14, 21, 6, , 1
2020/11/8, 50, 8, 27, 6, , 
2020/11/9, 29, 7, 22, 7, 1, 1
2020/11/10, 25, 6, 28, 5, 2, 
2020/11/11, 24, 7, 20, 8, , 1
2020/11/12, 26, 10, 21, 7, , 1
2020/11/13, 38, 10, 28, 7, 1, 1
2020/11/14, 37, 12, 24, 9, 1, 2
2020/11/15, 42, 14, 19, 9, 1, 1
2020/11/16, 48, 19, 30, 13, 1, 1
2020/11/17, 59, 25, 34, 12, 1, 2
2020/11/18, 72, 29, 39, 10, 1, 1
2020/11/19, 78, 23, 26, 10, 2, 1
2020/11/20, 62, 5, 24, 5, 2, 1
2020/11/21, 22, 10, 21, 6, 2, 2
2020/11/22, 38, 8, 29, 3, 1, 1
2020/11/23, 31, 6, 22, 7, 1, 1
2020/11/24, 23, 12, 17, 10, 1, 
2020/11/25, 45, 9, 17, 9, 1, 1
2020/11/26, 33, 13, 13, 8, 1, 2
2020/11/27, 48, 8, 27, 4, 4, 2
2020/11/28, 34, 6, 20, 6, 1, 2
2020/11/29, 25, 8, 22, 10, 1, 1
2020/11/30, 34, 8, 23, 10, 1, 1
2020/12/1, 29, 12, 4, 12, , 
2020/12/2, 43, 20, 11, 7, 1, 1
2020/12/3, 61, 12, 27, 7, 2, 1
2020/12/4, 40, 7, 19, 8, 1, 1
2020/12/5, 30, 8, 20, 8, 1, 1
2020/12/6, 35, 11, 20, 9, 1, 1
2020/12/7, 42, 9, 28, 8, 1, 1
2020/12/8, 31, 7, 18, 8, , 
2020/12/9, 26, 12, 19, 9, 1, 1
2020/12/10, 46, 13, 18, 12, 1, 2
2020/12/11, 48, 13, 24, 8, 1, 2
2020/12/12, 48, 8, 24, 7, 1, 2
2020/12/13, 32, 4, 25, 5, 1, 1
2020/12/14, 17, 6, 25, 6, 1, 
2020/12/15, 23, 5, 25, 6, , 
2020/12/16, 18, 5, 27, 4, , 1
2020/12/17, 21, 9, 17, 14, 1, 
2020/12/18, 31, 7, 27, 8, , 
2020/12/19, 28, 3, 29, 2, , 
2020/12/20, 17, 5, 28, 7, 1, 1
2020/12/21, 24, 10, 18, 18, 1, 1
2020/12/22, 36, 11, 22, 15, 1, 1
2020/12/23, 41, 14, 17, 16, 1, 1
2020/12/24, 48, 8, 30, 10, 1, 1
2020/12/25, 31, 8, 22, 12, 1, 
2020/12/26, 31, 9, 25, 12, 1, 2
2020/12/27, 37, 11, 26, 10, 1, 2
2020/12/28, 44, 10, 24, 11, 1, 2
2020/12/29, 42, 8, 28, 6, 1, 1
2020/12/30, 34, 3, 28, 8, , 
2020/12/31, 14, 5, 28, 7, , 1
2021/1/1, 21, 4, 27, 8, 1, 1
2021/1/2, 17, 4, 23, 8, 1, 1
2021/1/3, 21, 6, 22, 11, 1, 2
2020/7/1, 27, 17, 37, 5, 1, 2
2020/7/2, 45, 15, 35, 6, 1, 
2020/7/3, 42, 5, 23, 2, 1, 1
2020/7/4, 17, 15, 20, 2, 1, 2
2020/7/5, 34, 14, 16, 5, 1, 2
2020/7/6, 37, 15, 15, 3, 1, 2
2020/7/7, 33, 10, 19, 1, 1, 2
2020/7/8, 22, 10, 21, 3, 1, 2
2020/7/9, 24, 12, 7, 3, 1, 3
2020/7/10, 28, 19, 9, 4, 1, 2
2020/7/11, 46, 7, 29, 1, 1, 2
2020/7/12, 18, 9, 23, 4, 1, 2
2020/7/13, 30, 7, 16, 3, 1, 2
2020/7/14, 21, 5, 17, 3, 1, 1
2020/7/15, 16, 6, 19, 3, 1, 1
2020/7/16, 20, 7, 15, 2, 1, 1
2020/7/17, 24, 10, 16, 3, 1, 2
2020/7/18, 30, 16, 30, 3, 1, 2
2020/7/19, 38, 25, 39, 4, 1, 2
2020/7/20, 55, 28, 23, 4, 1, 3
2020/7/21, 56, 23, 36, 3, 1, 2
2020/7/22, 49, 9, 22, 3, 1, 2
2020/7/23, 24, 15, 13, 3, 1, 3
2020/7/24, 39, 7, 10, 1, 1, 2
2020/7/25, 18, 8, 8, 1, 1, 
2020/7/26, 18, 9, 4, 3, 1, 
2020/7/27, 20, 10, 6, 2, 1, 1
2020/7/28, 24, 6, 13, 3, 1, 
2020/7/29, 16, 8, 19, 2, 1, 1
2020/7/30, 25, 16, 30, 2, 1, 1
2020/7/31, 42, 11, 29, 2, 1, 1
2020/8/1, 32, 13, 29, 2, 1, 
2020/8/2, 35, 23, 43, 4, 1, 1
2020/8/3, 51, 33, 51, 5, 1, 1
2020/8/4, 66, 36, 49, 3, 1, 
2020/8/5, 69, 35, 49, 7, 1, 1
2020/8/6, 71, 32, 41, 6, 1, 1
2020/8/7, 85, 19, 33, 2, 1, 1
2020/8/8, 68, 33, 32, 3, 1, 
2020/8/9, 113, 36, 30, 3, 1, 1
2020/8/10, 85, 31, 39, 3, 1, 
2020/8/11, 104, 20, 29, 2, 1, 1
2020/8/12, 85, 13, 24, 2, 1, 
2020/8/13, 60, 26, 51, 4, 1, 1
2020/8/14, 50, 31, 36, 3, 1, 1
2020/8/15, 57, 32, 33, 3, 1, 1
2020/8/16, 52, 27, 41, 4, 1, 
2020/8/17, 49, 20, 41, 5, 1, 1
2020/8/18, 46, 24, 63, 5, 1, 1
2020/8/19, 52, 33, 66, 6, 1, 1
2020/8/20, 60, 32, 66, 5, 1, 
2020/8/21, 58, 30, 46, 3, 1, 
2020/8/22, 57, 19, 35, 2, 1, 1
2020/8/23, 47, 17, 34, 3, 1, 1
2020/8/24, 45, 18, 59, 3, 1, 2
2020/8/25, 44, 25, 81, 5, 1, 1
2020/8/26, 56, 15, 23, 3, 1, 
2020/8/27, 30, 18, 18, 2, 1, 
2020/8/28, 34, 25, 34, 4, 1, 
2020/8/29, 48, 21, 32, 3, 1, 
2020/8/30, 40, 14, 35, 4, 1, 1
2020/8/31, 27, 5, 17, 1, 1, 
2020/9/1, 12, 11, 22, 2, , 
2020/9/2, 21, 10, 10, 2, , 
2020/9/3, 14, 9, 32, 2, , 
2020/9/4, 17, 11, 30, 2, , 
2020/9/5, 22, 6, 19, 1, , 
2020/9/6, 11, 8, 7, 1, , 
2020/9/7, 15, , , , , 
2020/9/13, 6, 6, 23, 3, 1, 1
2020/9/14, 17, 8, 25, 2, 1, 1
2020/9/15, 18, 16, 17, 3, 1, 1
2020/9/16, 43, 19, 18, 5, 1, 2
2020/9/17, 47, 21, 20, 4, 1, 1
2020/9/18, 45, 9, 25, 2, 1, 2
2020/9/19, 22, 9, 19, 3, 1, 2
2020/9/20, 28, 15, 30, 3, 1, 
2020/9/21, 47, 16, 36, 3, , 2
2020/9/22, 50, 9, 26, 2, 1, 
2020/9/23, 29, 5, 27, 1, 1, 1
2020/9/24, 16, 2, 19, 2, 1, 3
2020/9/25, 8, 2, 22, 2, , 1
2020/9/26, 9, 5, 21, 1, 1, 1
2020/9/27, 16, 6, 26, 5, 1, 1
2020/9/28, 21, 8, 30, 4, , 1
2020/9/29, 29, 10, 33, 4, 1, 1
2020/9/30, 36, 14, 29, 7, 1, 2
2020/4/1, 41, 7, 42, 1, 1, 1
2020/4/2, 32, 12, 39, 8, 1, 1
2020/4/3, 44, 18, 49, 7, 2, 2
2020/4/4, 58, 12, 36, 3, , 1
2020/4/5, 42, 9, 41, 5, 1, 1
2020/4/6, 34, 14, 44, 9, 1, 2
2020/4/7, 49, 21, 58, 11, 2, 3
2020/4/8, 64, 15, 47, 7, 1, 2
2020/4/9, 50, 6, 38, 2, 1, 
2020/4/10, 27, 7, 42, 3, 1, 1
2020/4/11, 31, 10, 33, 2, 1, 
2020/4/12, 38, 3, 32, 1, , 
2020/4/13, 13, 4, 38, 1, 1, 
2020/4/14, 19, 10, 39, 7, 2, 1
2020/4/15, 37, 20, 43, 9, 1, 1
2020/4/16, 61, 12, 26, 4, 1, 1
2020/4/17, 43, 6, 26, 3, , 1
2020/4/18, 26, 4, 38, 1, 1, 1
2020/4/19, 19, 4, 27, 4, 1, 
2020/4/20, 17, 8, 34, 7, 1, 2
2020/4/21, 28, 8, 37, 2, 1, 2
2020/4/22, 29, 6, 39, 4, 1, 2
2020/4/23, 28, 7, 36, 5, 1, 1
2020/4/24, 30, 8, 43, 4, 1, 2
2020/4/25, 30, 16, 55, 5, 1, 1
2020/4/26, 51, 10, 41, 4, 1, 3
2020/4/27, 40, 10, 40, 3, 1, 3
2020/4/28, 39, 12, 46, 6, 1, 3
2020/4/29, 44, 21, 81, 7, 1, 3
2020/4/30, 66, 25, 62, 6, 1, 2
2020/5/1, 72, 29, 58, 6, 1, 2
2020/5/2, 80, 34, 49, 5, 1, 1
2020/5/3, 89, 15, 24, 5, 1, 
2020/5/4, 53, 11, 41, 2, 1, 1
2020/5/5, 40, 7, 28, 2, 1, 1
2020/5/6, 26, 5, 38, 1, 1, 
2020/5/7, 19, 8, 46, 8, 1, 1
2020/5/8, 33, 15, 36, 7, 1, 1
2020/5/9, 53, 16, 38, 4, 1, 
2020/5/10, 53, 14, 56, 5, 1, 
2020/5/11, 44, 15, 33, 4, 1, 2
2020/5/12, 47, 18, 48, 4, 1, 1
2020/5/13, 52, 9, 48, 6, 1, 1
