date, pm25, pm10, o3, no2, so2, co
2021/5/1, 48, 13, 40, 8, 1, 2
2021/5/2, 44, 16, 48, 13, 1, 3
2021/5/3, 52, 17, 46, 12, 4, 3
2021/5/4, 53, 14, 40, 2, 1, 2
2021/5/5, 39, , , , , 
2021/4/1, 68, , 51, , , 
2021/4/2, 75, , 43, , , 
2021/4/3, 65, , 36, , , 
2021/4/4, 49, , 37, , , 
2021/4/5, 45, , 40, , , 
2021/4/6, 54, , 45, , , 
2021/4/7, 48, , 49, , , 
2021/4/8, 58, , 41, , , 
2021/4/9, 54, 12, 38, 19, 1, 4
2021/4/10, 45, 13, 42, 13, 1, 4
2021/4/11, 52, 17, 32, 25, 2, 5
2021/4/12, 60, 16, 27, 29, 1, 5
2021/4/13, 55, 12, 39, 15, 1, 3
2021/4/14, 46, 12, 41, 17, 1, 4
2021/4/15, 41, 16, 44, 27, 1, 4
2021/4/16, 53, 18, 40, 16, 1, 4
2021/4/17, 52, 18, 37, 9, 1, 3
2021/4/18, 50, 18, 46, 11, 1, 4
2021/4/19, 52, 19, 56, 24, 2, 5
2021/4/20, 59, 24, 80, 30, 2, 5
2021/4/21, 68, 21, 58, 25, 2, 4
2021/4/22, 64, 18, 44, 23, 2, 4
2021/4/23, 57, 20, 54, 19, 2, 4
2021/4/24, 77, 13, 43, 8, 1, 2
2021/4/25, 47, 11, 42, 14, 1, 4
2021/4/26, 45, 15, 45, 19, 1, 3
2021/4/27, 45, 16, 36, 22, 1, 4
2021/4/28, 53, 10, 32, 15, 1, 3
2021/4/29, 32, 20, 53, 20, 2, 4
2021/4/30, 60, 16, 52, 11, 1, 3
2021/3/1, 53, 9, 36, 10, 1, 2
2021/3/2, 41, 12, 35, 14, 1, 4
2021/3/3, 51, 10, 17, 16, 1, 3
2021/3/4, 47, 9, 26, 16, 1, 3
2021/3/5, 43, 14, 36, 9, 1, 3
2021/3/6, 56, 12, 34, 9, 1, 3
2021/3/7, 59, 13, 35, 16, 1, 3
2021/3/8, 54, 12, 27, 18, 1, 4
2021/3/9, 50, 18, 44, 18, 1, 4
2021/3/10, 65, 16, 33, 23, 1, 5
2021/3/11, 58, 16, 27, 27, 2, 4
2021/3/12, 59, 13, 42, 10, , 2
2021/3/13, 53, 15, 35, 15, 1, 4
2021/3/14, 55, 29, 45, 21, 1, 6
2021/3/15, 85, 30, 29, 30, 3, 6
2021/3/16, 85, 20, 48, 19, 1, 4
2021/3/17, 64, 25, 35, 21, 2, 4
2021/3/18, 69, 23, 42, 26, 3, 6
2021/3/19, 68, 20, 21, 23, 1, 5
2021/3/20, 68, 14, 40, 17, , 4
2021/3/21, 50, 17, 36, 15, 1, 4
2021/3/22, 67, 16, 42, 23, 2, 4
2021/3/23, 55, 21, 41, 24, 2, 4
2021/3/24, 64, 18, 39, 22, 2, 4
2021/3/25, 67, 21, 51, 24, 2, 4
2021/3/26, 64, 19, 48, 21, 2, 4
2021/3/27, 67, 19, 38, 24, 1, 4
2021/3/28, 59, 17, 56, 20, 1, 5
2021/3/29, 105, , 44, , , 
2021/3/30, 126, , 46, , , 
2021/3/31, 79, , 42, , , 
2021/2/1, 76, 18, 34, 19, 1, 4
2021/2/2, 63, 14, 34, 22, 1, 4
2021/2/3, 60, 14, 34, 26, 1, 6
2021/2/4, 59, 15, 31, 28, 2, 5
2021/2/5, 56, 14, 32, 25, 2, 5
2021/2/6, 57, 24, 40, 20, 2, 4
2021/2/7, 72, 17, 34, 15, , 4
2021/2/8, 64, 13, 30, 19, 1, 4
2021/2/9, 54, 13, 28, 25, 1, 5
2021/2/10, 49, 27, 44, 24, 2, 5
2021/2/11, 79, 27, 36, 27, 3, 6
2021/2/12, 81, 28, 33, 29, 3, 8
2021/2/13, 86, 22, 30, 25, 2, 5
2021/2/14, 70, 11, 38, 12, 1, 4
2021/2/15, 48, 10, 34, 11, 1, 3
2021/2/16, 54, 10, 31, 9, 1, 3
2021/2/17, 50, 10, 30, 14, 1, 4
2021/2/18, 51, 15, 29, 23, 1, 5
2021/2/19, 64, 19, 41, 21, 1, 4
2021/2/20, 65, 24, 50, 20, 2, 4
2021/2/21, 69, 17, 41, 26, 2, 4
2021/2/22, 59, 20, 38, 10, 1, 2
2021/2/23, 64, 14, 33, 12, 1, 3
2021/2/24, 58, 14, 30, 20, 2, 4
2021/2/25, 54, 8, 28, 16, 1, 3
2021/2/26, 47, 11, 34, 12, 1, 3
2021/2/27, 52, 12, 33, 16, 1, 4
2021/2/28, 53, 13, 32, 22, 4, 6
2021/1/4, 47, 14, 30, 20, 1, 4
2021/1/5, 57, 10, 30, 18, 1, 4
2021/1/6, 36, 9, 28, 13, 1, 3
2021/1/7, 31, 8, 28, 12, , 3
2021/1/8, 43, 8, 29, 13, , 4
2021/1/9, 46, 10, 28, 14, , 3
2021/1/10, 45, 14, 28, 13, 1, 4
2021/1/11, 52, 14, 27, 22, 1, 5
2021/1/12, 52, 28, 26, 28, 1, 6
2021/1/13, 69, 33, 32, 30, 2, 5
2021/1/14, 74, 36, 26, 32, 4, 7
2021/1/15, 75, 32, 35, 21, 1, 5
2021/1/16, 76, 13, 31, 13, 1, 3
2021/1/17, 47, 13, 31, 17, 1, 4
2021/1/18, 48, 12, 31, 20, 1, 4
2021/1/19, 54, 11, 25, 26, 1, 5
2021/1/20, 50, 20, 20, 32, 4, 7
2021/1/21, 68, 22, 8, 24, 1, 5
2021/1/22, 63, 7, 32, 12, 1, 3
2021/1/23, 32, 6, 31, 8, , 3
2021/1/24, 40, 12, 30, 22, 1, 4
2021/1/25, 49, 15, 10, 24, 1, 5
2021/1/26, 53, 11, 32, 15, 1, 3
2021/1/27, 46, 17, 36, 15, 1, 5
2021/1/28, 56, 9, 32, 12, 1, 4
2021/1/29, 38, 18, 34, 18, 1, 4
2021/1/30, 64, 25, 35, 18, 1, 5
2021/1/31, 69, 26, 15, 31, 1, 8
2020/10/1, 42, 18, 43, 18, 2, 4
2020/10/2, 66, 26, 37, 15, 2, 4
2020/10/3, 70, 29, 35, 9, 1, 4
2020/10/4, 78, 23, 37, 10, 1, 3
2020/10/5, 65, 11, 29, 11, 1, 3
2020/10/6, 37, 10, 33, 13, 1, 3
