date, pm25, pm10, o3, no2, so2
2021/5/1, 69, 5, 45, 2, 
2021/5/2, 33, 4, 42, 2, 1
2021/5/3, 68, 5, 54, 3, 1
2021/5/4, 73, 10, 19, 2, 
2021/5/5, 11, , , , 
2021/4/1, 56, 7, 39, 2, 1
2021/4/2, 38, 8, 42, 2, 1
2021/4/3, 39, 14, 37, 4, 1
2021/4/4, 51, 7, 30, 2, 1
2021/4/5, 27, 1, 33, 1, 1
2021/4/6, 33, 4, 38, 3, 
2021/4/7, 46, 8, 43, 2, 1
2021/4/8, 47, 4, 41, 2, 1
2021/4/9, 60, 3, 36, 2, 
2021/4/10, 42, 3, 39, 2, 1
2021/4/11, 47, 5, 40, 3, 1
2021/4/12, 48, 5, 37, 4, 1
2021/4/13, 36, 6, 33, 3, 
2021/4/14, 24, 5, 38, 2, 1
2021/4/15, 37, 6, 39, 3, 1
2021/4/16, 42, 6, 37, 3, 1
2021/4/17, 34, 5, 41, 1, 1
2021/4/18, 40, 8, 45, 3, 1
2021/4/19, 48, 14, 60, 7, 1
2021/4/20, 62, 16, 49, 5, 1
2021/4/21, 58, 8, 40, 3, 1
2021/4/22, 71, 6, 36, 3, 1
2021/4/23, 43, 7, 42, 4, 1
2021/4/24, 62, 9, 46, 3, 1
2021/4/25, 65, 5, 33, 1, 1
2021/4/26, 39, 3, 38, 3, 1
2021/4/27, 51, 6, 50, 5, 1
2021/4/28, 74, 6, 31, 4, 
2021/4/29, 16, 2, 45, 2, 1
2021/4/30, 49, 9, 56, 2, 1
2021/3/1, 56, 5, 30, 3, 1
2021/3/2, 35, 2, 35, 3, 
2021/3/3, 23, 2, 36, 3, 1
2021/3/4, 43, 3, 33, 5, 1
2021/3/5, 36, 5, 33, 3, 1
2021/3/6, 40, 2, 36, 1, 1
2021/3/7, 22, 5, 26, 6, 1
2021/3/8, 27, 2, 32, 6, 1
2021/3/9, 35, 6, 37, 3, 
2021/3/10, 51, 3, 36, 6, 1
2021/3/11, 41, 11, 35, 9, 1
2021/3/12, 56, 6, 34, 2, 
2021/3/13, 24, 1, 37, 2, 
2021/3/14, 50, 4, 37, 6, 
2021/3/15, 43, 7, 39, 9, 1
2021/3/16, 55, 7, 37, 2, 1
2021/3/17, 50, 8, 41, 6, 1
2021/3/18, 46, 6, 36, 3, 1
2021/3/19, 33, 3, 35, 4, 1
2021/3/20, 36, 7, 33, 3, 
2021/3/21, 39, 4, 33, 2, 
2021/3/22, 37, 7, 39, 4, 1
2021/3/23, 43, 8, 47, 6, 1
2021/3/24, 53, 7, 36, 7, 1
2021/3/25, 42, 12, 51, 5, 1
2021/3/26, 55, 11, 45, 4, 1
2021/3/27, 45, 11, 42, 3, 
2021/3/28, 52, 5, 40, 2, 1
2021/3/29, 41, 38, 47, 3, 1
2021/3/30, 105, 42, 45, 3, 1
2021/3/31, 100, 16, 43, 3, 1
2021/2/1, 49, 8, 30, 7, 1
2021/2/2, 56, 4, 30, 6, 1
2021/2/3, 36, 2, 32, 6, 1
2021/2/4, 50, 4, 31, 11, 1
2021/2/5, 40, 9, 36, 9, 1
2021/2/6, 49, 10, 42, 2, 1
2021/2/7, 56, 2, 31, 1, 1
2021/2/8, 37, 3, 29, 4, 1
2021/2/9, 32, 4, 29, 13, 1
2021/2/10, 44, 5, 35, 5, 1
2021/2/11, 38, 9, 31, 10, 1
2021/2/12, 40, 9, 36, 8, 1
2021/2/13, 47, 8, 35, 5, 
2021/2/14, 47, 5, 30, 5, 
2021/2/15, 31, 2, 34, 1, 1
2021/2/16, 34, 4, 30, 6, 1
2021/2/17, 37, 2, 29, 3, 1
2021/2/18, 39, 3, 29, 11, 1
2021/2/19, 42, 8, 34, 10, 1
2021/2/20, 55, 17, 45, 8, 1
2021/2/21, 73, 19, 48, 10, 2
2021/2/22, 72, 9, 33, 4, 
2021/2/23, 37, 2, 32, 3, 1
2021/2/24, 37, 3, 34, 7, 1
2021/2/25, 38, 4, 30, 5, 
2021/2/26, 29, 4, 33, 2, 1
2021/2/27, 23, 5, 35, 5, 1
2021/2/28, 49, 6, 33, 6, 1
2021/1/4, 38, 3, 3, 7, 
2021/1/5, 38, 5, 5, 5, 1
2021/1/6, 23, 3, 3, 6, 1
2021/1/7, 36, 3, 25, 7, 1
2021/1/8, 43, 2, 27, 7, 1
2021/1/9, 35, 4, 28, 5, 
2021/1/10, 38, 5, 25, 6, 1
2021/1/11, 41, 3, 18, 5, 
2021/1/12, 31, 9, 22, 10, 1
2021/1/13, 40, 8, 29, 9, 1
2021/1/14, 58, 10, 23, 8, 
2021/1/15, 45, 12, 30, 7, 1
2021/1/16, 64, 5, 28, 2, 
2021/1/17, 23, 7, 26, 9, 1
2021/1/18, 42, 7, 31, 9, 1
2021/1/19, 41, 5, 28, 12, 1
2021/1/20, 37, 10, 30, 11, 1
2021/1/21, 56, 16, 36, 14, 1
2021/1/22, 71, 11, 32, 4, 1
2021/1/23, 44, 3, 24, 1, 
2021/1/24, 29, 5, 28, 7, 1
2021/1/25, 37, 6, 26, 10, 1
2021/1/26, 46, 6, 31, 5, 
2021/1/27, 41, 5, 30, 4, 1
2021/1/28, 27, 3, 30, 4, 
2021/1/29, 39, 2, 30, 8, 
2021/1/30, 29, 6, 32, 2, 1
2021/1/31, 44, 8, 23, 8, 
2020/12/24, 76, 7, 4, 9, 
2020/12/25, 46, 5, 3, 8, 1
2020/12/26, 44, 5, 4, 4, 1
2020/12/27, 32, 6, 2, 7, 1
2020/12/28, 43, 8, 3, 8, 1
2020/12/29, 45, 10, 6, 5, 1
2020/12/30, 47, 3, 4, 3, 
2020/12/31, 37, 2, 3, 4, 
2021/1/1, 37, 2, 5, 2, 1
2021/1/2, 37, 1, 3, 4, 
2021/1/3, 42, 3, 5, 4, 1
2020/9/13, 13, 5, 19, 3, 1
2020/9/14, 17, 6, 18, 3, 1
2020/9/15, 20, 6, 19, 3, 1
2020/9/16, 21, 8, 22, 4, 1
2020/9/17, 29, 10, 23, 4, 1
2020/9/18, 28, 4, 25, 4, 1
2020/9/19, 22, , , , 
2020/4/1, 26, , , , 
2020/1/1, 27, 4, 28, 3, 1
2020/1/2, 35, 4, 29, 3, 1
2020/1/3, 47, 8, 31, 4, 1
2020/1/4, 37, 4, 31, 4, 
2020/1/5, 35, 5, 27, 6, 1
2020/1/6, 29, 7, 25, 7, 1
2020/1/7, 29, 6, 18, 8, 1
2020/1/8, 27, 3, 28, 7, 
2020/1/9, 37, 6, 29, 6, 1
2020/1/10, 28, 10, 19, 7, 1
2020/1/11, 38, 7, 32, 5, 1
2020/1/12, 32, 10, 32, 4, 1
2020/1/13, 34, 9, 29, 8, 1
2020/1/14, 39, 4, 23, 6, 1
2020/1/15, 24, 8, 27, 10, 1
2020/1/16, 33, 7, 27, 4, 1
2020/1/17, 20, 6, 30, 2, 1
2020/1/18, 20, 9, 34, 5, 1
2020/1/19, 39, 10, 31, 8, 1
2020/1/20, 45, 6, 31, 6, 1
2020/1/21, 23, 8, 25, 9, 1
2020/1/22, 47, 17, 14, 13, 1
2020/1/23, 57, 11, 28, 9, 
2020/1/24, 36, 6, 31, 4, 1
2020/1/25, 28, 10, 26, 5, 1
2020/1/26, 36, 9, 28, 5, 1
2020/1/27, 32, 3, 34, 2, 
2020/1/28, 21, 5, 34, 5, 1
2020/1/29, 22, 5, 29, 5, 1
2020/1/30, 37, 3, 31, 5, 1
2020/1/31, 34, 4, 31, 5, 1
2020/2/1, 37, 4, 34, 4, 1
2020/2/2, 50, 12, 31, 8, 1
2020/2/3, 39, 5, 30, 6, 103
2020/2/4, 26, 7, 35, 3, 1
2020/2/5, 48, 2, 29, 3, 1
2020/2/6, 26, 5, 30, 7, 1
2020/2/7, 37, 14, 18, 6, 
2020/2/8, 13, 6, 31, 3, 
2020/2/10, 46, 6, 35, 4, 
2020/2/11, 35, 10, 35, 5, 1
